Rename Method	Translation	Positive	Negative	EmotionRationale
125 commit 29bcfe67a714ec07fe3dd143369fbfd574b166b3 yarn-2302. refactor timelinewebservices. (contributed by zhijie shen) 	125 commit 29bcfe67a714ec07fe3dd143369fbfd574b166b3 yarn-2302.<br> refactor timelinewebservices.<br> (contributed by zhijie shen)	1	-1	 125[0] commit[0] 29bcfe67a714ec07fe3dd143369fbfd574b166b3[0] yarn[0] -2302[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] timelinewebservices[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] zhijie[0] shen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2525 commit 6a23a45b32e7bce795ce25834dc448802f6f6619 hdfs-5212. refactor rpcmessage and nfs3response to support different types of authentication information. contributed by jing zhao. 	2525 commit 6a23a45b32e7bce795ce25834dc448802f6f6619 hdfs-5212.<br> refactor rpcmessage and nfs3response to support different types of authentication information.<br> contributed by jing zhao.	1	-1	 2525[0] commit[0] 6a23a45b32e7bce795ce25834dc448802f6f6619[0] hdfs[0] -5212[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] rpcmessage[0] and[0] nfs3response[0] to[0] support[0] different[0] types[0] of[0] authentication[0] information[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] jing[0] zhao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3953 commit 9e35140ba413568816a732c99af1f098e36ed32f hdfs-4447. refactor inodedirectorywithsnapshot for supporting general inode diff lists. 	3953 commit 9e35140ba413568816a732c99af1f098e36ed32f hdfs-447.<br> refactor inodedirectorywithsnapshot for supporting general inode diff lists.	2	-1	 3953[0] commit[0] 9e35140ba413568816a732c99af1f098e36ed32f[0] hdfs[0] -4447/-447[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] inodedirectorywithsnapshot[0] for[0] supporting[1] general[0] inode[0] diff[0] lists[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5783 commit 3bb7e05d1f664438a97f8ba6d145d2b684423a55 hdfs-3144. refactor datanodeid#getname by use. contributed by eli collins 	5783 commit 3bb7e05d1f664438a97f8ba6d145d2b684423a55 hdfs-3144.<br> refactor datanodeid#getname by use.<br> contributed by eli collins	1	-1	 5783[0] commit[0] 3bb7e05d1f664438a97f8ba6d145d2b684423a55[0] hdfs[0] -3144[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] datanodeid#getname[0] by[0] use[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] eli[0] collins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7179 commit 969a361795cbad5c0dd0d5206fc66358e4fd4263 hdfs-2371. refactor blocksender.java for better readability. contributed by suresh srinivas. 	7179 commit 969a361795cbad5c0dd0d5206fc66358e4fd4263 hdfs-2371.<br> refactor blocksender.<br>java for better readability.<br> contributed by suresh srinivas.	1	-1	 7179[0] commit[0] 969a361795cbad5c0dd0d5206fc66358e4fd4263[0] hdfs[0] -2371[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] blocksender[0] [[Sentence=-1,1=word max, 1-5]] java[0] for[0] better[0] readability[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] suresh[0] srinivas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7503 commit 0c95d70f6ab2160efd649e8036c3ad9f937deb15 hdfs-2225. refactor file management so it's not in classes which should be generic. contributed by ivan kelly. 	7503 commit 0c95d70f6ab2160efd649e8036c3ad9f937deb15 hdfs-225.<br> refactor file management so it's not in classes which should be generic.<br> contributed by ivan kelly.	1	-1	 7503[0] commit[0] 0c95d70f6ab2160efd649e8036c3ad9f937deb15[0] hdfs[0] -2225/-225[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] file[0] management[0] so[0] it's[0] not[0] in[0] classes[0] which[0] should[0] be[0] generic[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] ivan[0] kelly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7529 commit a8de21fed43d21838c7b9d4aa3d220d664a81c71 hdfs-1073. redesign the namenode's storage layout for image checkpoints and edit logs to introduce transaction ids and be more robust. contributed by todd lipcon and ivan kelly. 	7529 commit a8de21fed43d21838c7b9d4a3d220d664a81c71 hdfs-1073.<br> redesign the namenode's storage layout for image checkpoints and edit logs to introduce transaction ids and be more robust.<br> contributed by todd lipcon and ivan kelly.	1	-1	 7529[0] commit[0] a8de21fed43d21838c7b9d4aa3d220d664a81c71/a8de21fed43d21838c7b9d4a3d220d664a81c71[0] hdfs[0] -1073[0] [[Sentence=-1,1=word max, 1-5]] redesign[0] the[0] namenode's[0] storage[0] layout[0] for[0] image[0] checkpoints[0] and[0] edit[0] logs[0] to[0] introduce[0] transaction[0] ids[0] and[0] be[0] more[0] robust[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] todd[0] lipcon[0] and[0] ivan[0] kelly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7535 commit 3c1d0024a1f6b7362fe9e56f2ee656160b779de1 hdfs-2195. refactor storagedirectory to not be an non-static inner class. contributed by todd lipcon 	7535 commit 3c1d0024a1f6b7362fe9e56f2ee656160b779de1 hdfs-2195.<br> refactor storagedirectory to not be an non-static inner class.<br> contributed by todd lipcon	1	-1	 7535[0] commit[0] 3c1d0024a1f6b7362fe9e56f2ee656160b779de1[0] hdfs[0] -2195[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] storagedirectory[0] to[0] not[0] be[0] an[0] non[0] static[0] inner[0] class[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] todd[0] lipcon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7955 commit 67c968a9ec2c9f35fb9111dc4e1c07a17f7c461e hadoop-7249. refactor the chmod/chown/chgrp command to conform to new fscommand class. contributed by daryn sharp 	7955 commit 67c968a9ec2c9f35fb911dc4e1c07a17f7c461e hadoop-7249.<br> refactor the chmod/chown/chgrp command to conform to new fscommand class.<br> contributed by daryn sharp	1	-1	 7955[0] commit[0] 67c968a9ec2c9f35fb9111dc4e1c07a17f7c461e/67c968a9ec2c9f35fb911dc4e1c07a17f7c461e[0] hadoop[0] -7249[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] chmod/chown/chgrp[0] command[0] to[0] conform[0] to[0] new[0] fscommand[0] class[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] daryn[0] sharp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7971 commit 655bacc0e340a7d491976f7f57b59a557ab7e3a9 hadoop-7236. refactor the mkdir command to conform to new fscommand class. contributed by daryn sharp 	7971 commit 655bacc0e340a7d491976f7f57b59a557ab7e3a9 hadoop-7236.<br> refactor the mkdir command to conform to new fscommand class.<br> contributed by daryn sharp	1	-1	 7971[0] commit[0] 655bacc0e340a7d491976f7f57b59a557ab7e3a9[0] hadoop[0] -7236[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] mkdir[0] command[0] to[0] conform[0] to[0] new[0] fscommand[0] class[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] daryn[0] sharp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
