Rename Method	Translation	Positive	Negative	EmotionRationale
96 commit ee7e8f218d8ba0411e0d28c866854502a24f1f69 openejb-1981 basic refactoring of applicationcomposer to move it over testing package   marking annotations of application as deprecated in junit package   adding a testng listener 	96 commit ee7e8f218d8ba0411e0d28c866854502a24f1f69 openejb-1981 basic refactoring of applicationcomposer to move it over testing package   marking annotations of application as deprecated in junit package   adding a testng listener	1	-1	 96[0] commit[0] ee7e8f218d8ba0411e0d28c866854502a24f1f69[0] openejb[0] -1981[0] basic[0] refactoring[0] of[0] applicationcomposer[0] to[0] move[0] it[0] over[0] testing[0] package[0] marking[0] annotations[0] of[0] application[0] as[0] deprecated[0] in[0] junit[0] package[0] adding[0] a[0] testng[0] listener[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1032 commit 7bff5443f84ff715e3e7fc0dde46f1e0013e87eb small refactoring - rename method from jararchive to wararchive 	1032 commit 7bff5443f84ff715e3e7fc0dde46f1e0013e87eb small refactoring - rename method from jararchive to wararchive	1	-1	 1032[0] commit[0] 7bff5443f84ff715e3e7fc0dde46f1e0013e87eb[0] small[0] refactoring[0] rename[0] method[0] from[0] jararchive[0] to[0] wararchive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2675 commit 7911381599d88296227f5fb7ccb0cfd8b97a45ce openejb-748 openejb-1739 openejb-1740 refactoring logs to use jul and its default conf. a custom logger means a custom config so everything should be ok. 	2675 commit 7911381599d88296227f5fb7ccb0cfd8b97a45ce openejb-748 openejb-1739 openejb-1740 refactoring logs to use jul and its default conf.<br> a custom logger means a custom config so everything should be ok.	1	-2	 2675[0] commit[0] 7911381599d88296227f5fb7ccb0cfd8b97a45ce[0] openejb[0] -748[0] openejb[0] -1739[0] openejb[0] -1740[0] refactoring[0] logs[0] to[0] use[0] jul[0] and[0] its[0] default[-1] conf[0] [[Sentence=-2,1=word max, 1-5]] a[0] custom[0] logger[0] means[0] a[0] custom[0] config[0] so[0] everything[0] should[0] be[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3863 commit e6b8a82abf37ca02d05354ac1f3b23762967b7b7 openejb-1237 refactoring to prepare rest ejb management 	3863 commit e6b8a82abf37ca02d05354ac1f3b23762967b7b7 openejb-1237 refactoring to prepare rest ejb management	1	-1	 3863[0] commit[0] e6b8a82abf37ca02d05354ac1f3b23762967b7b7[0] openejb[0] -1237[0] refactoring[0] to[0] prepare[0] rest[0] ejb[0] management[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4429 commit 945021a9cfb2c751ff33fc9b530c504097dd9e82 openejb-1410 dynamic ds routing. - apache headers - indentation - refactoring - test case completion - javadoc 	4429 commit 945021a9cfb2c751ff33fc9b530c504097dd9e82 openejb-1410 dynamic ds routing.<br> - apache headers - indentation - refactoring - test case completion - javadoc	1	-1	 4429[0] commit[0] 945021a9cfb2c751ff33fc9b530c504097dd9e82[0] openejb[0] -1410[0] dynamic[0] ds[0] routing[0] [[Sentence=-1,1=word max, 1-5]] apache[0] headers[0] indentation[0] refactoring[0] test[0] case[0] completion[0] javadoc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5145 commit 5b1b63d2b708f490f13ff68f7ae1b4245306b226 openejb-1056 add support for .uc, .lc and .cc for jndi name formats. refactored usages of swizzle stream stringtemplate class to use new util class instead 	5145 commit 5b1b63d2b708f490f13ff68f7ae1b4245306b226 openejb-1056 add support for .<br>uc, .<br>lc and .<br>c for jndi name formats.<br> refactored usages of swizle stream stringtemplate class to use new util class instead	1	-1	 5145[0] commit[0] 5b1b63d2b708f490f13ff68f7ae1b4245306b226[0] openejb[0] -1056[0] add[0] support[0] for[0] [[Sentence=-1,1=word max, 1-5]] uc[0] [[Sentence=-1,1=word max, 1-5]] lc[0] and[0] [[Sentence=-1,1=word max, 1-5]] cc/c[0] for[0] jndi[0] name[0] formats[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] usages[0] of[0] swizzle/swizle[0] stream[0] stringtemplate[0] class[0] to[0] use[0] new[0] util[0] class[0] instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5896 commit 809efd54cd520051678b338de897e07f29dd8cc4 * refactor statefulinstancemanager and statefulcontainer to provide necessary hooks to plug-in clustering logic for sfsb. the main refactoring are done to statefulinstancemanager where activation and passivation methods have been extracted so that cluster aware sub-classes can invoke activation and passivation logic at the appropriate time. * improve the protocol between ejb clients and ejb servers: jndi and ejb requests carry a non collision free integer resulting from the servermetadata locations attached to ejb clients. server-side, if the request is served by a clusteredrpccontainer container, then this integer is campared with the integer resulting from the locations attached to the clusteredrpccontainer container. if these integers differ, then the crpcc locations are attached to the jndi or ejb responses. locations propagated back to the ejb client override the ejb client locations definition. * support new substitution group element openejb-clustering-wadi which has been added to geronimo-openejb-2.0.xsd schema. 	5896 commit 809efd54cd520051678b338de897e07f29dd8cc4 * refactor statefulinstancemanager and statefulcontainer to provide necessary hooks to plug-in clustering logic for sfsb.<br> the main refactoring are done to statefulinstancemanager where activation and passivation methods have been extracted so that cluster aware sub-classes can invoke activation and passivation logic at the appropriate time.<br> * improve the protocol between ejb clients and ejb servers: jndi and ejb requests carry a non collision free integer resulting from the servermetadata locations attached to ejb clients.<br> server-side, if the request is served by a clusteredrpccontainer container, then this integer is campared with the integer resulting from the locations attached to the clusteredrpccontainer container.<br> if these integers differ, then the crpc locations are attached to the jndi or ejb responses.<br> locations propagated back to the ejb client override the ejb client locations definition.<br> * support new substitution group element openejb-clustering-wadi which has been added to geronimo-openejb-2.0.<br>xsd schema.	2	-2	 5896[0] commit[0] 809efd54cd520051678b338de897e07f29dd8cc4[0] refactor[0] statefulinstancemanager[0] and[0] statefulcontainer[0] to[0] provide[0] necessary[0] hooks[0] to[0] plug[0] in[0] clustering[0] logic[0] for[0] sfsb[0] [[Sentence=-1,1=word max, 1-5]] the[0] main[0] refactoring[0] are[0] done[0] to[0] statefulinstancemanager[0] where[0] activation[0] and[0] passivation[0] methods[0] have[0] been[0] extracted[0] so[0] that[0] cluster[0] aware[0] sub[0] classes[0] can[0] invoke[0] activation[0] and[0] passivation[0] logic[0] at[0] the[0] appropriate[0] time[0] [[Sentence=-1,1=word max, 1-5]] improve[1] the[0] protocol[0] between[0] ejb[0] clients[0] and[0] ejb[0] servers[0] jndi[0] and[0] ejb[0] requests[0] carry[0] a[0] non[0] collision[-1] free[0] integer[0] resulting[0] from[0] the[0] servermetadata[0] locations[0] attached[0] to[0] ejb[0] clients[0] [[Sentence=-2,2=word max, 1-5]] server[0] side[0] if[0] the[0] request[0] is[0] served[0] by[0] a[0] clusteredrpccontainer[0] container[0] then[0] this[0] integer[0] is[0] campared[0] with[0] the[0] integer[0] resulting[0] from[0] the[0] locations[0] attached[0] to[0] the[0] clusteredrpccontainer[0] container[0] [[Sentence=-1,1=word max, 1-5]] if[0] these[0] integers[0] differ[-1] then[0] the[0] crpcc/crpc[0] locations[0] are[0] attached[0] to[0] the[0] jndi[0] or[0] ejb[0] responses[0] [[Sentence=-2,1=word max, 1-5]] locations[0] propagated[0] back[0] to[0] the[0] ejb[0] client[0] override[0] the[0] ejb[0] client[0] locations[0] definition[0] [[Sentence=-1,1=word max, 1-5]] support[0] new[0] substitution[0] group[0] element[0] openejb[0] clustering[0] wadi[0] which[0] has[0] been[0] added[0] to[0] geronimo[0] openejb[0] -2[0] .0[0] [[Sentence=-1,1=word max, 1-5]] xsd[0] schema[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
6651 commit 2412f56467828f4dd3a0d439dd9f2cac69d34853 stateful session bean @remove method support openejb-523, openejb-242 	6651 commit 2412f56467828f4dd3a0d439dd9f2cac69d34853 stateful session bean @remove method support openejb-523, openejb-242	1	-1	 6651[0] commit[0] 2412f56467828f4dd3a0d439dd9f2cac69d34853[0] stateful[0] session[0] bean[0] @remove[0] method[0] support[0] openejb[0] -523[0] openejb[0] -242[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6655 commit 9a2a2531d1ed0b5c5c934875526072a08fd29303 fixed bug where remote client entity home proxies would eat the remove method invocation allowed operation now tests cmp ejbstore ejbstore is only called if the cmp is modified, so we now modify the bean when the business method is called 	6655 commit 9a2a2531d1ed0b5c5c934875526072a08fd29303 fixed bug where remote client entity home proxies would eat the remove method invocation allowed operation now tests cmp ejbstore ejbstore is only called if the cmp is modified, so we now modify the bean when the business method is called	1	-1	 6655[0] commit[0] 9a2a2531d1ed0b5c5c934875526072a08fd29303[0] fixed[0] bug[0] where[0] remote[0] client[0] entity[0] home[0] proxies[0] would[0] eat[0] the[0] remove[0] method[0] invocation[0] allowed[0] operation[0] now[0] tests[0] cmp[0] ejbstore[0] ejbstore[0] is[0] only[0] called[0] if[0] the[0] cmp[0] is[0] modified[0] so[0] we[0] now[0] modify[0] the[0] bean[0] when[0] the[0] business[0] method[0] is[0] called[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7319 commit b5402750ec39d603b7c05532296154851d95cadc external (system) and internal (system) properties management add parameterless init in deploy for future simpler use in ioc container do not print help text twice when --help is used 	7319 commit b5402750ec39d603b7c05532296154851d95cadc external (system) and internal (system) properties management add parameterless init in deploy for future simpler use in ioc container do not print help text twice when -help is used	1	-1	 7319[0] commit[0] b5402750ec39d603b7c05532296154851d95cadc[0] external[0] system[0] and[0] internal[0] system[0] properties[0] management[0] add[0] parameterless[0] init[0] in[0] deploy[0] for[0] future[0] simpler[0] use[0] in[0] ioc[0] container[0] do[0] not[0] print[0] help[0] text[0] twice[0] when[0] help[0] is[0] used[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
