Extract Method	Translation	Positive	Negative	EmotionRationale
2509 commit 10c34ec2cd92d9bced2aec62d7cbef6cfa61fb42 documentation, fix copyright dates, code cleanup refs #100288 	2509 commit 10c34ec2cd92d9bced2aec62d7cbef6cfa61fb42 documentation, fix copyright dates, code cleanup refs #100288	1	-1	 2509[0] commit[0] 10c34ec2cd92d9bced2aec62d7cbef6cfa61fb42[0] documentation[0] fix[0] copyright[0] dates[0] code[0] cleanup[0] refs[0] #100288[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3646 commit 64dc4fee888d4a2a9b6f40310b7abbc18f4d0d85 refactored getunwrappedkey in keydirectory 	3646 commit 64dc4fee88d4a2a9b6f40310b7abbc18f4d0d85 refactored getunwrappedkey in keydirectory	1	-1	 3646[0] commit[0] 64dc4fee888d4a2a9b6f40310b7abbc18f4d0d85/64dc4fee88d4a2a9b6f40310b7abbc18f4d0d85[0] refactored[0] getunwrappedkey[0] in[0] keydirectory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4138 commit 7f34dda42e343a462a4ea0b3dfd4b55d8a5cd4f3 merge: a76643a 682f39f merge branch 'withregistration' into outbound * withregistration: (52 commits) clean up a bit more long/long handling. move things that don't need to be longs to longs. remove some 'xxx - should verify signature' comments from ccnd - the signature has already been verified by then. add port to ccnd's human-friendly time messages, take out extra newline. fix problem with java app builds not reporting build failures correctly refactor java app makefiles so bulk of logic is in one place minor cleanups working version of rightsearch change that prescreens for excludes make lookup more efficient -- don't peek repeatedly. handle end element. belt and suspenders, in case we get back null. handle null results (e.g. from end elements) correct call. added acl to schema, removed placeholder acloperation tag. add acl to schema. move to new encoding algorithm. clean up enums. more encoder updating. move to new encoding model. clean up enums, move to new encoding model. move to new encoding model. ... 	4138 commit 7f34dda42e343a462a4ea0b3dfd4b55d8a5cd4f3 merge: a76643a 682f39f merge branch 'withregistration' into outbound * withregistration: (52 commits) clean up a bit more long/long handling.<br> move things that don't need to be longs to longs.<br> remove some 'x - should verify signature' comments from ccnd - the signature has already been verified by then.<br> add port to ccnd's human-friendly time messages, take out extra newline.<br> fix problem with java ap builds not reporting build failures correctly refactor java ap makefiles so bulk of logic is in one place minor cleanups working version of rightsearch change that prescreens for excludes make lookup more efficient - don't peek repeatedly.<br> handle end element.<br> belt and suspenders, in case we get back null.<br> handle null results (e.<br>grin�.<br> from end elements) correct call.<br> added acl to schema, removed placeholder acloperation tag.<br> add acl to schema.<br> move to new encoding algorithm.<br> clean up enums.<br> more encoder updating.<br> move to new encoding model.<br> clean up enums, move to new encoding model.<br> move to new encoding model.<br> .	2	-2	 4138[0] commit[0] 7f34dda42e343a462a4ea0b3dfd4b55d8a5cd4f3[0] merge[0] a76643a[0] 682f39f[0] merge[0] branch[0] 'withregistration'[0] into[0] outbound[0] withregistration[0] (52[0] commits[0] clean[0] up[0] a[0] bit[0] more[0] long/long[0] handling[0] [[Sentence=-1,1=word max, 1-5]] move[0] things[0] that[0] don't[0] need[0] to[0] be[0] longs[0] to[0] longs[0] [[Sentence=-1,1=word max, 1-5]] remove[0] some[0] 'xxx/'x[0] should[0] verify[0] signature'[0] comments[0] from[0] ccnd[0] the[0] signature[0] has[0] already[0] been[0] verified[0] by[0] then[0] [[Sentence=-1,1=word max, 1-5]] add[0] port[0] to[0] ccnd's[0] human[0] friendly[1] time[0] messages[0] take[0] out[0] extra[0] newline[0] [[Sentence=-1,2=word max, 1-5]] fix[0] problem[-1] with[0] java[0] app/ap[0] builds[0] not[0] reporting[0] build[0] failures[0] correctly[0] refactor[0] java[0] app/ap[0] makefiles[0] so[0] bulk[0] of[0] logic[0] is[0] in[0] one[0] place[0] minor[0] cleanups[0] working[0] version[0] of[0] rightsearch[0] change[0] that[0] prescreens[0] for[0] excludes[0] make[0] lookup[0] more[0] efficient[0] don't[0] peek[0] repeatedly[0] [[Sentence=-2,1=word max, 1-5]] handle[0] end[0] element[0] [[Sentence=-1,1=word max, 1-5]] belt[0] and[0] suspenders[0] in[0] case[0] we[0] get[0] back[0] null[0] [[Sentence=-1,1=word max, 1-5]] handle[0] null[0] results[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] from[0] end[0] elements[0] correct[0] call[0] [[Sentence=-1,1=word max, 1-5]] added[0] acl[0] to[0] schema[0] removed[0] placeholder[0] acloperation[0] tag[0] [[Sentence=-1,1=word max, 1-5]] add[0] acl[0] to[0] schema[0] [[Sentence=-1,1=word max, 1-5]] move[0] to[0] new[0] encoding[0] algorithm[0] [[Sentence=-1,1=word max, 1-5]] clean[0] up[0] enums[0] [[Sentence=-1,1=word max, 1-5]] more[0] encoder[0] updating[0] [[Sentence=-1,1=word max, 1-5]] move[0] to[0] new[0] encoding[0] model[0] [[Sentence=-1,1=word max, 1-5]] clean[0] up[0] enums[0] move[0] to[0] new[0] encoding[0] model[0] [[Sentence=-1,1=word max, 1-5]] move[0] to[0] new[0] encoding[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
4203 commit 8c04d3e4bbc137ffc17a1c2499f0ecaf9515bf91 initial refactoring of encoding package done. now on to the clients... 	4203 commit 8c04d3e4bbc137ffc17a1c2499f0ecaf9515bf91 initial refactoring of encoding package done.<br> now on to the clients.	1	-1	 4203[0] commit[0] 8c04d3e4bbc137ffc17a1c2499f0ecaf9515bf91[0] initial[0] refactoring[0] of[0] encoding[0] package[0] done[0] [[Sentence=-1,1=word max, 1-5]] now[0] on[0] to[0] the[0] clients[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4208 commit 14a4892f13d7d1ec9219e19acae920f6daee6dd4 refactor of decoder code. add direct use of numeric tags. 	4208 commit 14a4892f13d7d1ec9219e19acae920f6daee6dd4 refactor of decoder code.<br> add direct use of numeric tags.	1	-1	 4208[0] commit[0] 14a4892f13d7d1ec9219e19acae920f6daee6dd4[0] refactor[0] of[0] decoder[0] code[0] [[Sentence=-1,1=word max, 1-5]] add[0] direct[0] use[0] of[0] numeric[0] tags[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4579 commit d802ac17678259df1d7dad81592aa19685cf9593 refactored initialization of groupaccesscontrolmanager and added methods to retrieve group managers by prefix and distinguishing hash. 	4579 commit d802ac17678259df1d7dad81592a19685cf9593 refactored initialization of groupaccesscontrolmanager and added methods to retrieve group managers by prefix and distinguishing hash.	1	-1	 4579[0] commit[0] d802ac17678259df1d7dad81592aa19685cf9593/d802ac17678259df1d7dad81592a19685cf9593[0] refactored[0] initialization[0] of[0] groupaccesscontrolmanager[0] and[0] added[0] methods[0] to[0] retrieve[0] group[0] managers[0] by[0] prefix[0] and[0] distinguishing[0] hash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6651 commit be308eddc3cf9974ae8dcc481c8a184cf495fe93 refactoring to add a method setfirstblock(contentobject) to inputstreams. refs #386 	6651 commit be308eddc3cf9974ae8dcc481c8a184cf495fe93 refactoring to add a method setfirstblock(contentobject) to inputstreams.<br> refs #386	1	-1	 6651[0] commit[0] be308eddc3cf9974ae8dcc481c8a184cf495fe93[0] refactoring[0] to[0] add[0] a[0] method[0] setfirstblock[0] contentobject[0] to[0] inputstreams[0] [[Sentence=-1,1=word max, 1-5]] refs[0] #386[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6774 commit 3971b66341e745a09689ba19f6eee428e6ce9afa refactor verification, block retrieval behavior to allow their use from outside by related classes. 	6774 commit 3971b66341e745a09689ba19f6ee428e6ce9afa refactor verification, block retrieval behavior to allow their use from outside by related classes.	1	-1	 6774[0] commit[0] 3971b66341e745a09689ba19f6eee428e6ce9afa/3971b66341e745a09689ba19f6ee428e6ce9afa[0] refactor[0] verification[0] block[0] retrieval[0] behavior[0] to[0] allow[0] their[0] use[0] from[0] outside[0] by[0] related[0] classes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6880 commit dcd03b73674200c23d494efae31e80158aa89ce4 restructure name handling for new version stuff, regenerate hashcode and equals. hopefully have namespace handling right, but not perfect yet. 	6880 commit dcd03b73674200c23d494efae31e80158a89ce4 restructure name handling for new version stuff, regenerate hashcode and equals.<br> hopefully have namespace handling right, but not perfect yet.	1	-2	 6880[0] commit[0] dcd03b73674200c23d494efae31e80158aa89ce4/dcd03b73674200c23d494efae31e80158a89ce4[0] restructure[0] name[0] handling[0] for[0] new[0] version[0] stuff[0] regenerate[0] hashcode[0] and[0] equals[0] [[Sentence=-1,1=word max, 1-5]] hopefully[0] have[0] namespace[0] handling[0] right[0] but[0] not[0] perfect[1][NegatedDueToPreviousWord] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
7726 commit 17c4c4f6232ba7f82de79f74077fd70d0dfd15da refactoring functionality 	7726 commit 17c4c4f6232ba7f82de79f74077fd70d0dfd15da refactoring functionality	1	-1	 7726[0] commit[0] 17c4c4f6232ba7f82de79f74077fd70d0dfd15da[0] refactoring[0] functionality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
