Extract Method	Translation	Positive	Negative	EmotionRationale
678 commit abfd2cea8f3fb9fcd6ffc7de639ef9effb010a98 issue #2130: more refactoring 	678 commit abfd2cea8f3fb9fcd6ffc7de639ef9effb010a98 issue #2130: more refactoring	1	-1	 678[0] commit[0] abfd2cea8f3fb9fcd6ffc7de639ef9effb010a98[0] issue[0] #2130[0] more[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1105 commit deaebb86a23ccf53bb9e5adcc69dd6b9619eb043 minor code cleanup 	1105 commit deaebb86a23ccf53bb9e5adcc69dd6b9619eb043 minor code cleanup	1	-1	 1105[0] commit[0] deaebb86a23ccf53bb9e5adcc69dd6b9619eb043[0] minor[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1131 commit 63d4d9da1562a5b7441f2df1bed444aac80ebfb7 small refactoring to help resynchronizing the  jdtmodelloader . 	1131 commit 63d4d9da1562a5b7441f2df1bed44ac80ebfb7 small refactoring to help resynchronizing the  jdtmodelloader .	2	-1	 1131[0] commit[0] 63d4d9da1562a5b7441f2df1bed444aac80ebfb7/63d4d9da1562a5b7441f2df1bed44ac80ebfb7[0][+0.6 MultipleLetters] small[0] refactoring[0] to[0] help[0] resynchronizing[0] the[0] jdtmodelloader[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2138 commit 1d2769908af8183e1e654dcbf2e970431e282abb issue #1817: refactor makename() and makequalifiedname() so we can generate a string or a jcexpression is much the same way as we do with maketypedeclarationexpression()/maketypedeclarationname() 	2138 commit 1d2769908af8183e1e654dcbf2e970431e282abb issue #1817: refactor makename( and makequalifiedname( so we can generate a string or a jcexpression is much the same way as we do with maketypedeclarationexpression()/maketypedeclarationname(	1	-1	 2138[0] commit[0] 1d2769908af8183e1e654dcbf2e970431e282abb[0] issue[0] #1817[0] refactor[0] makename[0] and[0] makequalifiedname[0] so[0] we[0] can[0] generate[0] a[0] string[0] or[0] a[0] jcexpression[0] is[0] much[0] the[0] same[0] way[0] as[0] we[0] do[0] with[0] maketypedeclarationexpression[0] ()/maketypedeclarationname[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2903 commit 35584aef5649df60bb98c06f41bb8e57f514790b very minor refactor 	2903 commit 35584aef5649df60bb98c06f41bb8e57f514790b very minor refactor	1	-1	 2903[0] commit[0] 35584aef5649df60bb98c06f41bb8e57f514790b[0] very[0] minor[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3280 commit 0a2a795e0053c86d2f300a56c831a3f8883765cc callablebuilder: refactor callablebuilder to remove a lot of copy and pasted code and generally make it less crazy. 	3280 commit 0a2a795e0053c86d2f300a56c831a3f883765c callablebuilder: refactor callablebuilder to remove a lot of copy and pasted code and generally make it less crazy.	2	-2	 3280[0] commit[0] 0a2a795e0053c86d2f300a56c831a3f8883765cc/0a2a795e0053c86d2f300a56c831a3f883765c[0][+0.6 MultipleLetters] callablebuilder[0] refactor[0] callablebuilder[0] to[0] remove[0] a[0] lot[0] of[0] copy[0] and[0] pasted[0] code[0] and[0] generally[0] make[0] it[0] less[0] crazy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
4300 commit 1256696ff6a9e4f63c2ab75cea69c72035710400 issues #1247, #1254: refactor how we build the model, to support sequenceenumerations, and maybe tuples, and also refactor how we build the annotations for the dpms. 	4300 commit 1256696ff6a9e4f63c2ab75cea69c72035710400 issues #1247, #1254: refactor how we build the model, to support sequenceenumerations, and maybe tuples, and also refactor how we build the annotations for the dpms.	1	-1	 4300[0] commit[0] 1256696ff6a9e4f63c2ab75cea69c72035710400[0] issues[0] #1247[0] #1254[0] refactor[0] how[0] we[0] build[0] the[0] model[0] to[0] support[0] sequenceenumerations[0] and[0] maybe[0] tuples[0] and[0] also[0] refactor[0] how[0] we[0] build[0] the[0] annotations[0] for[0] the[0] dpms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4604 commit 8cb785b3b902f1bb4c2532e65c197154ad6e6e24 codegen: fix compile errors in codegen caused by the remodelling refactoring. 	4604 commit 8cb785b3b902f1bb4c2532e65c197154ad6e6e24 codegen: fix compile errors in codegen caused by the remodelling refactoring.	1	-1	 4604[0] commit[0] 8cb785b3b902f1bb4c2532e65c197154ad6e6e24[0] codegen[0] fix[0] compile[0] errors[0] in[0] codegen[0] caused[0] by[0] the[0] remodelling[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4880 commit ecc3d607c76cb42a94f0f8fd0b6082a22701d54f classtransformer.transformmethod(): refactor how we call transformmethod so the different ways it is called are more apparent (i.e. the different transformations it does) are more apparent 	4880 commit ecc3d607c76cb42a94f0f8fd0b6082a22701d54f classtransformer.<br>transformmethodtransformmethod refactor how we call transformmethod so the different ways it is called are more apparent (i.<br>e.<br> the different transformations it does) are more apparent	1	-2	 4880[0] commit[0] ecc3d607c76cb42a94f0f8fd0b6082a22701d54f[0] classtransformer[0] [[Sentence=-1,1=word max, 1-5]] transformmethod[0][-1 Emoticon] refactor[0] how[0] we[0] call[0] transformmethod[0] so[0] the[0] different[0] ways[0] it[0] is[0] called[0] are[0] more[0] apparent[0] i[0] [[Sentence=-2,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] the[0] different[0] transformations[0] it[0] does[0] are[0] more[0] apparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
4904 commit fa47b5b35ef41c8e39db88f2ace84448649c5b0b model loader: refactored how we report model loader errors and produce less exceptions 	4904 commit fa47b5b35ef41c8e39db88f2ace8448649c5b0b model loader: refactored how we report model loader errors and produce less exceptions	1	-1	 4904[0] commit[0] fa47b5b35ef41c8e39db88f2ace84448649c5b0b/fa47b5b35ef41c8e39db88f2ace8448649c5b0b[0] model[0] loader[0] refactored[0] how[0] we[0] report[0] model[0] loader[0] errors[0] and[0] produce[0] less[0] exceptions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5712 commit e169d669a962006e52fab806f59ac350327bb3ac naming: refactored getcompanionfield name to accept a name param 	5712 commit e169d669a962006e52fab806f59ac350327bb3ac naming: refactored getcompanionfield name to accept a name param	1	-1	 5712[0] commit[0] e169d669a962006e52fab806f59ac350327bb3ac[0] naming[0] refactored[0] getcompanionfield[0] name[0] to[0] accept[0] a[0] name[0] param[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5847 commit ddc6b34cd2e705c2ca862880c4925778646c5836 issue #959: naming: rename methods, and fix a todo about a method called clone() and replace a chained if/else if with a set lookup. 	5847 commit ddc6b34cd2e705c2ca862880c4925778646c5836 issue #959: naming: rename methods, and fix a todo about a method called clone( and replace a chained if/else if with a set lookup.	1	-1	 5847[0] commit[0] ddc6b34cd2e705c2ca862880c4925778646c5836[0] issue[0] #959[0] naming[0] rename[0] methods[0] and[0] fix[0] a[0] todo[0] about[0] a[0] method[0] called[0] clone[0] and[0] replace[0] a[0] chained[0] if/else[0] if[0] with[0] a[0] set[0] lookup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6545 commit 52e584e5441e0c5b31204cc01bf02ab629d818c3 ceylondoc: test refactoring 	6545 commit 52e584e5441e0c5b31204cc01bf02ab629d818c3 ceylondoc: test refactoring	1	-1	 6545[0] commit[0] 52e584e5441e0c5b31204cc01bf02ab629d818c3[0] ceylondoc[0] test[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6689 commit 3e11e6d26654e095c5065ba54871f01ae67dbf26 ceylontool: refactor so we can generate more helpful messages when the arguments are incompatible with the tool model. somewhat thwarted by the fact that the ceylontool itself does not use the subtool infrastructure, and nor does the ceylonhelptool understand it properly, but i think this is still a lot better than what we had before 	6689 commit 3e11e6d26654e095c5065ba54871f01ae67dbf26 ceylontool: refactor so we can generate more helpful messages when the arguments are incompatible with the tool model.<br> somewhat thwarted by the fact that the ceylontool itself does not use the subtool infrastructure, and nor does the ceylonhelptool understand it properly, but i think this is still a lot better than what we had before	2	-3	 6689[0] commit[0] 3e11e6d26654e095c5065ba54871f01ae67dbf26[0] ceylontool[0] refactor[0] so[0] we[0] can[0] generate[0] more[0] helpful[1] messages[0] when[0] the[0] arguments[-1] are[0] incompatible[-2] with[0] the[0] tool[0] model[0] [[Sentence=-3,2=word max, 1-5]] somewhat[0] thwarted[-1] by[0] the[0] fact[0] that[0] the[0] ceylontool[0] itself[0] does[0] not[0] use[0] the[0] subtool[0] infrastructure[0] and[0] nor[0] does[0] the[0] ceylonhelptool[0] understand[0] it[0] properly[0] but[0] i[0] think[0] this[0] is[0] still[0] a[0] lot[0] better[0] than[0] what[0] we[0] had[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
6768 commit aa7c9e3e22ef9deef291504089c367ece9a157df conditions: refactoring how we do substitutions when transforming condition blocks. 	6768 commit a7c9e3e22ef9deef291504089c367ece9a157df conditions: refactoring how we do substitutions when transforming condition blocks.	1	-1	 6768[0] commit[0] aa7c9e3e22ef9deef291504089c367ece9a157df/a7c9e3e22ef9deef291504089c367ece9a157df[0] conditions[0] refactoring[0] how[0] we[0] do[0] substitutions[0] when[0] transforming[0] condition[0] blocks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6830 commit 953215d2a530a5bff2e12ef442014f87e51e3e9a classtransformer: refactored transform(tree.classorinterface) into smaller methods 	6830 commit 953215d2a530a5bff2e12ef442014f87e51e3e9a classtransformer: refactored transform(tree.<br>classorinterface) into smaller methods	1	-1	 6830[0] commit[0] 953215d2a530a5bff2e12ef442014f87e51e3e9a[0] classtransformer[0] refactored[0] transform[0] tree[0] [[Sentence=-1,1=word max, 1-5]] classorinterface[0] into[0] smaller[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6940 commit 14b10901180210b25dd317ad2cfad027552d5159 tools: refactor doc model so that we can describe subtools 	6940 commit 14b10901180210b25dd317ad2cfad027552d5159 tools: refactor doc model so that we can describe subtools	1	-1	 6940[0] commit[0] 14b10901180210b25dd317ad2cfad027552d5159[0] tools[0] refactor[0] doc[0] model[0] so[0] that[0] we[0] can[0] describe[0] subtools[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6992 commit bd9f01edc03543b336be57e3967de5d5fea844ce issue #754: statementtransformer: refactor 	6992 commit bd9f01edc03543b336be57e3967de5d5fea844ce issue #754: statementtransformer: refactor	1	-1	 6992[0] commit[0] bd9f01edc03543b336be57e3967de5d5fea844ce[0] issue[0] #754[0] statementtransformer[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
