Extract Method	Translation	Positive	Negative	EmotionRationale
130 commit 0a73451dd67a4ffe07e30196c78fd4e344386749 drools-1236 mbean aggregation of statistics mechanism (#877) * drools-1236 mbean aggregation of statistics mechanism * drools-1236 mbean aggregation of statistics mechanism refactoring mbean into different stateful, stateless providing tailored methods and also better performances. 	130 commit 0a73451dd67a4ffe07e30196c78fd4e344386749 drools-1236 mbean aggregation of statistics mechanism (#877) * drools-1236 mbean aggregation of statistics mechanism * drools-1236 mbean aggregation of statistics mechanism refactoring mbean into different stateful, stateless providing tailored methods and also better performances.	1	-1	 130[0] commit[0] 0a73451dd67a4ffe07e30196c78fd4e344386749[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] (#877[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] refactoring[0] mbean[0] into[0] different[0] stateful[0] stateless[0] providing[0] tailored[0] methods[0] and[0] also[0] better[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
145 commit b274c62d077b0651fe945b1075640af2a085c5c8 drools-1235 mbean naming rework (#866) * fixing kie-container monitoring * drools-1235 mbean naming rework * give kiecontainer an optional user defined name * kiecontainer mbean and various refactorings. * jargon: containerid * jargon: configuredreleaseid, resolvedreleaseid * unit testing * assuming the containerid can be "recycled" on dispose. * introducing test for kieservices api with containerid. * fixing other tests. * avoid using lock and leverage concurrentmap without java8 * fixing objectname conventions. 	145 commit b274c62d077b0651fe945b1075640af2a085c5c8 drools-1235 mbean naming rework (#866) * fixing kie-container monitoring * drools-1235 mbean naming rework * give kiecontainer an optional user defined name * kiecontainer mbean and various refactorings.<br> * jargon: containerid * jargon: configuredreleaseid, resolvedreleaseid * unit testing * assuming the containerid can be "recycled" on dispose.<br> * introducing test for kieservices api with containerid.<br> * fixing other tests.<br> * avoid using lock and leverage concurrentmap without java8 * fixing objectname conventions.	2	-2	 145[0] commit[0] b274c62d077b0651fe945b1075640af2a085c5c8[0] drools[0] -1235[0] mbean[0] naming[0] rework[0] (#866[0] fixing[0] kie[0] container[0] monitoring[0] drools[0] -1235[0] mbean[0] naming[0] rework[0] give[0] kiecontainer[0] an[0] optional[0] user[0] defined[0] name[0] kiecontainer[0] mbean[0] and[0] various[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]] jargon[0] containerid[0] jargon[0] configuredreleaseid[0] resolvedreleaseid[1] unit[0] testing[0] assuming[0] the[0] containerid[0] can[0] be[0] recycled[0] on[0] dispose[-1] [[Sentence=-2,2=word max, 1-5]] introducing[0] test[0] for[0] kieservices[0] api[0] with[0] containerid[0] [[Sentence=-1,1=word max, 1-5]] fixing[0] other[0] tests[0] [[Sentence=-1,1=word max, 1-5]] avoid[-1] using[0] lock[0] and[0] leverage[0] concurrentmap[0] without[0] java8[0] fixing[0] objectname[0] conventions[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
309 commit 8d52a6a3492cbf49354060a7bd80616fb2ed7f2a [drools-1025] incremental rule refactor   new tests 	309 commit 8d52a6a3492cbf49354060a7bd80616fb2ed7f2a [drools-1025] incremental rule refactor   new tests	1	-1	 309[0] commit[0] 8d52a6a3492cbf49354060a7bd80616fb2ed7f2a[0] [drools[0] -1025][0] incremental[0] rule[0] refactor[0] new[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
410 commit 40e17580a1b121f15649e4bf712601872ba1e0d8 [guvnor-2279] exposing mavensession. * exposing mavensession from mavenembedder. * refactored mavenprojectloader.getmavenembedder() to expose mavenembedder. 	410 commit 40e17580a1b121f15649e4bf712601872ba1e0d8 [guvnor-2279] exposing mavensession.<br> * exposing mavensession from mavenembedder.<br> * refactored mavenprojectloader.<br>getmavenembedder( to expose mavenembedder.	1	-2	 410[0] commit[0] 40e17580a1b121f15649e4bf712601872ba1e0d8[0] [guvnor[0] -2279][0] exposing[0] mavensession[0] [[Sentence=-1,1=word max, 1-5]] exposing[0] mavensession[0] from[0] mavenembedder[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] mavenprojectloader[0] [[Sentence=-1,1=word max, 1-5]] getmavenembedder[0] to[0] expose[-1] mavenembedder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
424 commit eda1a8b54bf1f4c39d13a1c543227595036663a0 [bz-1267510] treat .gdst and .scgd as standard kie resources * .gdst (guided dtables) and .scgd (guided score cards) were treated in a special way using formatconverters which caused issues during compilation as the resulting drls were copied in the compiled kjar. the behavior was changed to be in line with other resources like .xls dtables where the drl representation is create at runtime, on the fly. * ruletemplateconverter was refactored to ruletemplateprovider to have the name in sync with the others * the formatconverter abstraction was removed completely. all supported resources should be treated equaly to avoid different behavior for different resources (very much like the related bz reported) * integration tests for .gdst with and without dsl sentectes added 	424 commit eda1a8b54bf1f4c39d13a1c54322759503663a0 [bz-1267510] treat .<br>gdst and .<br>scgd as standard kie resources * .<br>gdst (guided dtables) and .<br>scgd (guided score cards) were treated in a special way using formatconverters which caused issues during compilation as the resulting drls were copied in the compiled kjar.<br> the behavior was changed to be in line with other resources like .<br>xls dtables where the drl representation is create at runtime, on the fly.<br> * ruletemplateconverter was refactored to ruletemplateprovider to have the name in sync with the others * the formatconverter abstraction was removed completely.<br> all supported resources should be treated equaly to avoid different behavior for different resources (very much like the related bz reported) * integration tests for .<br>gdst with and without dsl sentectes added	2	-2	 424[0] commit[0] eda1a8b54bf1f4c39d13a1c543227595036663a0/eda1a8b54bf1f4c39d13a1c54322759503663a0[0] [bz[0] -1267510][0] treat[1] [[Sentence=-1,2=word max, 1-5]] gdst[0] and[0] [[Sentence=-1,1=word max, 1-5]] scgd[0] as[0] standard[0] kie[0] resources[0] [[Sentence=-1,1=word max, 1-5]] gdst[0] guided[0] dtables[0] and[0] [[Sentence=-1,1=word max, 1-5]] scgd[0] guided[0] score[0] cards[0] were[0] treated[0] in[0] a[0] special[1] way[0] using[0] formatconverters[0] which[0] caused[0] issues[0] during[0] compilation[0] as[0] the[0] resulting[0] drls[0] were[0] copied[0] in[0] the[0] compiled[0] kjar[0] [[Sentence=-1,2=word max, 1-5]] the[0] behavior[0] was[0] changed[0] to[0] be[0] in[0] line[0] with[0] other[0] resources[0] like[0] [[Sentence=-1,1=word max, 1-5]] xls[0] dtables[0] where[0] the[0] drl[0] representation[0] is[0] create[0] at[0] runtime[0] on[0] the[0] fly[0] [[Sentence=-1,1=word max, 1-5]] ruletemplateconverter[0] was[0] refactored[0] to[0] ruletemplateprovider[0] to[0] have[0] the[0] name[0] in[0] sync[0] with[0] the[0] others[0] the[0] formatconverter[0] abstraction[0] was[0] removed[0] completely[0] [[Sentence=-1,1=word max, 1-5]] all[0] supported[1] resources[0] should[0] be[0] treated[0] equaly[0] to[0] avoid[-1] different[0] behavior[0] for[0] different[0] resources[0] very[0] much[0] like[0] the[0] related[0] bz[0] reported[0] integration[0] tests[0] for[0] [[Sentence=-2,2=word max, 1-5]] gdst[0] with[0] and[0] without[0] dsl[0] sentectes[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
472 commit 71e9d102592a1054b4d55aa2736dedf790fc4c89 [drools-664] implement left tuple delete in reactiveobject   minor refactor 	472 commit 71e9d102592a1054b4d55a2736dedf790fc4c89 [drools-664] implement left tuple delete in reactiveobject   minor refactor	1	-1	 472[0] commit[0] 71e9d102592a1054b4d55aa2736dedf790fc4c89/71e9d102592a1054b4d55a2736dedf790fc4c89[0] [drools[0] -664][0] implement[0] left[0] tuple[0] delete[0] in[0] reactiveobject[0] minor[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
832 commit 3132b8febc5c316d5cc1b366df7af68db10c80c4 drools-488 "pluggable and encapsulated knowledge types" -refactored undecided to decided. drools-488 "pluggable and encapsulated knowledge types" -introduced _.neg and removed the dfl, jtms pos/neg fact handle and neg entry point drools-488 "pluggable and encapsulated knowledge types" -added correct handling of negconstraint for declared masks -fixed fh cloning and negconstraint cloning drools-488 "pluggable and encapsulated knowledge types" -negatable support must be turned on for !_.neg constraint injection drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline -neg is now separate map in the objectstore 	832 commit 3132b8febc5c316d5cc1b366df7af68db10c80c4 drools-488 "pluggable and encapsulated knowledge types" -refactored undecided to decided.<br> drools-488 "pluggable and encapsulated knowledge types" -introduced _.<br>neg and removed the dfl, jtms pos/neg fact handle and neg entry point drools-488 "pluggable and encapsulated knowledge types" -added correct handling of negconstraint for declared masks -fixed fh cloning and negconstraint cloning drools-488 "pluggable and encapsulated knowledge types" -negatable support must be turned on for !_.<br>neg constraint injection drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline -neg is now separate map in the objectstore	1	-1	 832[0] commit[0] 3132b8febc5c316d5cc1b366df7af68db10c80c4[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] refactored[0] undecided[0] to[0] decided[0] [[Sentence=-1,1=word max, 1-5]] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] introduced[0] _[0] [[Sentence=-1,1=word max, 1-5]] neg[0] and[0] removed[0] the[0] dfl[0] jtms[0] pos/neg[0] fact[0] handle[0] and[0] neg[0] entry[0] point[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] added[0] correct[0] handling[0] of[0] negconstraint[0] for[0] declared[0] masks[0] fixed[0] fh[0] cloning[0] and[0] negconstraint[0] cloning[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] negatable[0] support[0] must[0] be[0] turned[0] on[0] for[0] !_[0] [[Sentence=-1,1=word max, 1-5]] neg[0] constraint[0] injection[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] better[0] wm[0] and[0] tms[0] separation[0] as[0] a[0] pipeline[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] better[0] wm[0] and[0] tms[0] separation[0] as[0] a[0] pipeline[0] neg[0] is[0] now[0] separate[0] map[0] in[0] the[0] objectstore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
959 commit f77a3fc01d171f1f58826beeac39ef7560ade5e9 drools-488 "pluggable and encapsulated knowledge types" -refactoring value to mode drools-488 "pluggable and encapsulated knowledge types" -refactoring value to mode 	959 commit f77a3fc01d171f1f58826beeac39ef7560ade5e9 drools-488 "pluggable and encapsulated knowledge types" -refactoring value to mode drools-488 "pluggable and encapsulated knowledge types" -refactoring value to mode	1	-1	 959[0] commit[0] f77a3fc01d171f1f58826beeac39ef7560ade5e9[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] refactoring[0] value[0] to[0] mode[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] refactoring[0] value[0] to[0] mode[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1627 commit 5679cdc6936556c323044e5eb3a786cc04025ea9 refactor workingmemoryevent* to ruleruntimeevent* 	1627 commit 5679cdc6936556c323044e5eb3a786cc04025ea9 refactor workingmemoryevent* to ruleruntimeevent*	1	-1	 1627[0] commit[0] 5679cdc6936556c323044e5eb3a786cc04025ea9[0] refactor[0] workingmemoryevent[0] to[0] ruleruntimeevent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1955 commit 2b8c6d05b4ecd7e6789e3c5711667ddf5c6f22f6 drools-198 separate rete and phreak -going through classes removing isunlinkenabled, and refactoring the related code into phreak/rete separations 	1955 commit 2b8c6d05b4ecd7e6789e3c5711667ddf5c6f22f6 drools-198 separate rete and phreak -going through classes removing isunlinkenabled, and refactoring the related code into phreak/rete separations	1	-1	 1955[0] commit[0] 2b8c6d05b4ecd7e6789e3c5711667ddf5c6f22f6[0] drools[0] -198[0] separate[0] rete[0] and[0] phreak[0] going[0] through[0] classes[0] removing[0] isunlinkenabled[0] and[0] refactoring[0] the[0] related[0] code[0] into[0] phreak/rete[0] separations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
