Move Class	Translation	Positive	Negative	EmotionRationale
130 commit 0a73451dd67a4ffe07e30196c78fd4e344386749 drools-1236 mbean aggregation of statistics mechanism (#877) * drools-1236 mbean aggregation of statistics mechanism * drools-1236 mbean aggregation of statistics mechanism refactoring mbean into different stateful, stateless providing tailored methods and also better performances. 	130 commit 0a73451dd67a4ffe07e30196c78fd4e344386749 drools-1236 mbean aggregation of statistics mechanism (#877) * drools-1236 mbean aggregation of statistics mechanism * drools-1236 mbean aggregation of statistics mechanism refactoring mbean into different stateful, stateless providing tailored methods and also better performances.	1	-1	 130[0] commit[0] 0a73451dd67a4ffe07e30196c78fd4e344386749[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] (#877[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] refactoring[0] mbean[0] into[0] different[0] stateful[0] stateless[0] providing[0] tailored[0] methods[0] and[0] also[0] better[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1964 commit f76351643767aac2a89bb6dc09faa17e4bc07dfe drools-198 separate rete and phreak -refactored propagationcontext to factory for rete and phreak implementation -moved rete actions into the rete node classes. 	1964 commit f76351643767ac2a89bb6dc09fa17e4bc07dfe drools-198 separate rete and phreak -refactored propagationcontext to factory for rete and phreak implementation -moved rete actions into the rete node classes.	2	-1	 1964[0] commit[0] f76351643767aac2a89bb6dc09faa17e4bc07dfe/f76351643767ac2a89bb6dc09fa17e4bc07dfe[0][+0.6 MultipleLetters] drools[0] -198[0] separate[0] rete[0] and[0] phreak[0] refactored[0] propagationcontext[0] to[0] factory[0] for[0] rete[0] and[0] phreak[0] implementation[0] moved[0] rete[0] actions[0] into[0] the[0] rete[0] node[0] classes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1969 commit 187c422222b3daecbabe7a42207a6f12c69e3a9b drools-192 refactor drools legacy classes and interfaces 	1969 commit 187c422b3daecbabe7a42207a6f12c69e3a9b drools-192 refactor drools legacy classes and interfaces	2	-1	 1969[0] commit[0] 187c422222b3daecbabe7a42207a6f12c69e3a9b/187c422b3daecbabe7a42207a6f12c69e3a9b[0][+0.6 MultipleLetters] drools[0] -192[0] refactor[0] drools[0] legacy[0] classes[0] and[0] interfaces[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1970 commit 9db86506b12181f1e1917a625113399eed4a53a5 drools-192 refactor drools legacy classes and interfaces 	1970 commit 9db86506b12181f1e1917a625113399eed4a53a5 drools-192 refactor drools legacy classes and interfaces	1	-1	 1970[0] commit[0] 9db86506b12181f1e1917a625113399eed4a53a5[0] drools[0] -192[0] refactor[0] drools[0] legacy[0] classes[0] and[0] interfaces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2198 commit 33cbc4d379ef7da7dd844d84bc960f5afb892616 drools-7 phreak -refactor for node separation -separation of rulenetworkevaluatoractivation 	2198 commit 33cbc4d379ef7da7dd844d84bc960f5afb892616 drools-7 phreak -refactor for node separation -separation of rulenetworkevaluatoractivation	1	-1	 2198[0] commit[0] 33cbc4d379ef7da7dd844d84bc960f5afb892616[0] drools[0] -7[0] phreak[0] refactor[0] for[0] node[0] separation[0] separation[0] of[0] rulenetworkevaluatoractivation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2408 commit 6947d48a64e139cd4bd4d19514fa6f8f589ac73c moved spi to core.spi, as refactoring was half way 	2408 commit 6947d48a64e139cd4bd4d19514fa6f8f589ac73c moved spi to core.<br>spi, as refactoring was half way	1	-1	 2408[0] commit[0] 6947d48a64e139cd4bd4d19514fa6f8f589ac73c[0] moved[0] spi[0] to[0] core[0] [[Sentence=-1,1=word max, 1-5]] spi[0] as[0] refactoring[0] was[0] half[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2477 commit 8c8fb8e48292257efeaae4c14be3ecd60c69c6ea refactoring test classes package name in order to remove fqn duplications among different modules 	2477 commit 8c8fb8e48292257efeae4c14be3ecd60c69c6ea refactoring test classes package name in order to remove fqn duplications among different modules	1	-1	 2477[0] commit[0] 8c8fb8e48292257efeaae4c14be3ecd60c69c6ea/8c8fb8e48292257efeae4c14be3ecd60c69c6ea[0] refactoring[0] test[0] classes[0] package[0] name[0] in[0] order[0] to[0] remove[0] fqn[0] duplications[0] among[0] different[0] modules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2788 commit 9c85d54305d11e5013b15a215f1eaf407423d1fb jbrules-3664 beliefsystem should keep each logically asserted object -majore refactor and cleanup, with working tests 	2788 commit 9c85d54305d11e5013b15a215f1eaf407423d1fb jbrules-3664 beliefsystem should keep each logically asserted object -majore refactor and cleanup, with working tests	1	-1	 2788[0] commit[0] 9c85d54305d11e5013b15a215f1eaf407423d1fb[0] jbrules[0] -3664[0] beliefsystem[0] should[0] keep[0] each[0] logically[0] asserted[0] object[0] majore[0] refactor[0] and[0] cleanup[0] with[0] working[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3524 commit 1133beaffa089428b496cc2cf59a69f98068aee2 [jbrules-3232] refactor asm stubbed builders to avoid dependecies with drools-compiler 	3524 commit 1133beaffa089428b496cc2cf59a69f98068aee2 [jbrules-3232] refactor asm stubbed builders to avoid dependecies with drools-compiler	1	-2	 3524[0] commit[0] 1133beaffa089428b496cc2cf59a69f98068aee2[0] [jbrules[0] -3232][0] refactor[0] asm[0] stubbed[0] builders[0] to[0] avoid[-1] dependecies[0] with[0] drools[0] compiler[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
4452 commit ae2d4b774c94d68f6cb8e3f4864f06089e593441 merge: a6c238b 667c82f merge branch 'master' into persistence_refactor 	4452 commit ae2d4b774c94d68f6cb8e3f4864f06089e593441 merge: a6c238b 667c82f merge branch 'master' into persistence_refactor	1	-1	 4452[0] commit[0] ae2d4b774c94d68f6cb8e3f4864f06089e593441[0] merge[0] a6c238b[0] 667c82f[0] merge[0] branch[0] 'master'[0] into[0] persistence_refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
