Extract Method	Translation	Positive	Negative	EmotionRationale
1410 commit a8e22985d7866fb0528d85d9710a5bc0f482d91a automatically show ime when showing the fingerprint delete/rename dialog. also a bit of code clean up. change-id: i541a9c9ec031b7075f2812ef938adb9e591757c5 (cherry picked from commit 86ccad0bfd2478ba6822b34ccd6db4d2fab59100) 	1410 commit a8e22985d7866fb0528d85d9710a5bc0f482d91a automatically show ime when showing the fingerprint delete/rename dialog.<br> also a bit of code clean up.<br> change-id: i541a9c9ec031b7075f2812ef938adb9e591757c5 (cherry picked from commit 86ccad0bfd2478ba6822b34ccd6db4d2fab59100)	1	-1	 1410[0] commit[0] a8e22985d7866fb0528d85d9710a5bc0f482d91a[0] automatically[0] show[0] ime[0] when[0] showing[0] the[0] fingerprint[0] delete/rename[0] dialog[0] [[Sentence=-1,1=word max, 1-5]] also[0] a[0] bit[0] of[0] code[0] clean[0] up[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i541a9c9ec031b7075f2812ef938adb9e591757c5[0] cherry[0] picked[0] from[0] commit[0] 86ccad0bfd2478ba6822b34ccd6db4d2fab59100[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1453 commit 2583fc1e069d0a54df46258d360499492d7e86d2 move process stats screen into memory screen. - move process stats from developer options to top level settings item. - some minor ui changes to the top of the page - major ui updates to detail page, now shows info with processes as pref categories and services as prefs, with a way to kill them (taken from running services page). - some major refactorings in code, in attempt to make it more usable - added color bar on per app basis to visualize the avg/max relationship - updated the way avg is calculated across multiple entries in procstatspackageentry to be more accurate - change the way max memory is calculated in procstatspackageentry to be less accurate but more useful bug: 19443802 change-id: ia6aaabe42c415c50997a09bfb814a6f6e5731772 	1453 commit 2583fc1e069d0a54df46258d360499492d7e86d2 move process stats screen into memory screen.<br> - move process stats from developer options to top level settings item.<br> - some minor ui changes to the top of the page - major ui updates to detail page, now shows info with processes as pref categories and services as prefs, with a way to kill them (taken from running services page)<br> - some major refactorings in code, in attempt to make it more usable - added color bar on per ap basis to visualize the avg/max relationship - updated the way avg is calculated across multiple entries in procstatspackageentry to be more accurate - change the way max memory is calculated in procstatspackageentry to be less accurate but more useful bug: 19443802 change-id: ia6abe42c415c50997a09bfb814a6f6e5731772	2	-1	 1453[0] commit[0] 2583fc1e069d0a54df46258d360499492d7e86d2[0] move[0] process[0] stats[0] screen[0] into[0] memory[0] screen[0] [[Sentence=-1,1=word max, 1-5]] move[0] process[0] stats[0] from[0] developer[0] options[0] to[0] top[0] level[0] settings[0] item[0] [[Sentence=-1,1=word max, 1-5]] some[0] minor[0] ui[0] changes[0] to[0] the[0] top[0] of[0] the[0] page[0] major[0] ui[0] updates[0] to[0] detail[0] page[0] now[0] shows[0] info[0] with[0] processes[0] as[0] pref[0] categories[0] and[0] services[0] as[0] prefs[0] with[0] a[0] way[0] to[0] kill[0] them[0] taken[0] from[0] running[0] services[0] page[0] [[Sentence=-1,1=word max, 1-5]] some[0] major[0] refactorings[0] in[0] code[0] in[0] attempt[0] to[0] make[0] it[0] more[0] usable[0] added[0] color[0] bar[0] on[0] per[0] app/ap[0] basis[0] to[0] visualize[0] the[0] avg/max[0] relationship[0] updated[0] the[0] way[0] avg[0] is[0] calculated[0] across[0] multiple[0] entries[0] in[0] procstatspackageentry[0] to[0] be[0] more[0] accurate[0] change[0] the[0] way[0] max[0] memory[0] is[0] calculated[0] in[0] procstatspackageentry[0] to[0] be[0] less[0] accurate[0] but[0] more[0] useful[1] bug[0] 19443802[0] change[0] id[0] ia6aaabe42c415c50997a09bfb814a6f6e5731772/ia6abe42c415c50997a09bfb814a6f6e5731772[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1506 commit 2bd92d5d0685144aad566b9d29454fb519ff0371 vpn2: show third-party vpn services vpn apps are shown alongside configured vpns now. the requirement that a password is set is now only enforced when setting up a configured vpn as this is not necessary for apps. some ui redesign. bug: 19573824 bug: 17474682 bug: 19575658 change-id: i02bd977136929647d65b9784fb4cc5df24b45428 	1506 commit 2bd92d5d0685144ad566b9d29454fb519ff0371 vpn2: show third-party vpn services vpn apps are shown alongside configured vpns now.<br> the requirement that a password is set is now only enforced when setting up a configured vpn as this is not necessary for apps.<br> some ui redesign.<br> bug: 19573824 bug: 17474682 bug: 19575658 change-id: i02bd977136929647d65b9784fb4cc5df24b45428	1	-2	 1506[0] commit[0] 2bd92d5d0685144aad566b9d29454fb519ff0371/2bd92d5d0685144ad566b9d29454fb519ff0371[0] vpn2[0] show[0] third[0] party[0] vpn[0] services[0] vpn[0] apps[0] are[0] shown[0] alongside[0] configured[0] vpns[0] now[0] [[Sentence=-1,1=word max, 1-5]] the[0] requirement[0] that[0] a[0] password[0] is[0] set[0] is[0] now[0] only[0] enforced[-1] when[0] setting[0] up[0] a[0] configured[0] vpn[0] as[0] this[0] is[0] not[0] necessary[0] for[0] apps[0] [[Sentence=-2,1=word max, 1-5]] some[0] ui[0] redesign[0] [[Sentence=-1,1=word max, 1-5]] bug[0] 19573824[0] bug[0] 17474682[0] bug[0] 19575658[0] change[0] id[0] i02bd977136929647d65b9784fb4cc5df24b45428[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
6969 commit fc8202463e64d9e85af3c99c1d8552d4bb74b7dc (do not merge) refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47 (cherry picked from commit 61d97ddda8ed09761f48fa1ed7c99b1a6caed948) 	6969 commit fc8202463e64d9e85af3c99c1d8552d4bb74b7dc (do not merge) refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47 (cherry picked from commit 61d97dda8ed09761f48fa1ed7c99b1a6caed948)	1	-1	 6969[0] commit[0] fc8202463e64d9e85af3c99c1d8552d4bb74b7dc[0] do[0] not[0] merge[0] refactor[0] inputmethodandsubtypeenabler[0] to[0] separate[0] loops[0] change[0] id[0] i1b7d26c37293e03dc20f87d60eb146017a574c47[0] cherry[0] picked[0] from[0] commit[0] 61d97ddda8ed09761f48fa1ed7c99b1a6caed948/61d97dda8ed09761f48fa1ed7c99b1a6caed948[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7002 commit 61d97ddda8ed09761f48fa1ed7c99b1a6caed948 refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47 	7002 commit 61d97dda8ed09761f48fa1ed7c99b1a6caed948 refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47	1	-1	 7002[0] commit[0] 61d97ddda8ed09761f48fa1ed7c99b1a6caed948/61d97dda8ed09761f48fa1ed7c99b1a6caed948[0] refactor[0] inputmethodandsubtypeenabler[0] to[0] separate[0] loops[0] change[0] id[0] i1b7d26c37293e03dc20f87d60eb146017a574c47[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7006 commit 72c2a6e5c2990df7f36c4f7305d4ba4b28e10023 small refactor, remove unused/unnecessary code, and cosmetic fix change-id: ia0771f547b0489d3519faf23495e5c6bdfefa42e 	7006 commit 72c2a6e5c2990df7f36c4f7305d4ba4b28e10023 small refactor, remove unused/unnecessary code, and cosmetic fix change-id: ia0771f547b0489d3519faf23495e5c6bdfefa42e	1	-1	 7006[0] commit[0] 72c2a6e5c2990df7f36c4f7305d4ba4b28e10023[0] small[0] refactor[0] remove[0] unused/unnecessary[0] code[0] and[0] cosmetic[0] fix[0] change[0] id[0] ia0771f547b0489d3519faf23495e5c6bdfefa42e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7503 commit 4ad687a0d841dd10470c79007575ee2a9ec2894e merge: 09626a8 d3446c5 merge "refactor setup wizard-related code" 	7503 commit 4ad687a0d841dd10470c79007575ee2a9ec2894e merge: 09626a8 d3446c5 merge "refactor setup wizard-related code"	1	-1	 7503[0] commit[0] 4ad687a0d841dd10470c79007575ee2a9ec2894e[0] merge[0] 09626a8[0] d3446c5[0] merge[0] refactor[0] setup[0] wizard[0] related[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7507 commit d3446c5708aff2580d4ddb9f559e72784bfac55e refactor setup wizard-related code extracted setup-related code from wifisettings, putting it into a new derived class, wifisettingsforsetupwizard. set taskaffinity to com.android.wizard, for alignment with other setup wizard-related tasks. change-id: if371f219dac5d3eff8f7899c16cc6f9475be47cf 	7507 commit d3446c5708aff2580d4ddb9f559e72784bfac55e refactor setup wizard-related code extracted setup-related code from wifisettings, putting it into a new derived class, wifisettingsforsetupwizard.<br> set taskaffinity to com.<br>android.<br>wizard, for alignment with other setup wizard-related tasks.<br> change-id: if371f219dac5d3eff8f7899c16cc6f9475be47cf	1	-1	 7507[0] commit[0] d3446c5708aff2580d4ddb9f559e72784bfac55e[0] refactor[0] setup[0] wizard[0] related[0] code[0] extracted[0] setup[0] related[0] code[0] from[0] wifisettings[0] putting[0] it[0] into[0] a[0] new[0] derived[0] class[0] wifisettingsforsetupwizard[0] [[Sentence=-1,1=word max, 1-5]] set[0] taskaffinity[0] to[0] com[0] [[Sentence=-1,1=word max, 1-5]] android[0] [[Sentence=-1,1=word max, 1-5]] wizard[0] for[0] alignment[0] with[0] other[0] setup[0] wizard[0] related[0] tasks[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] if371f219dac5d3eff8f7899c16cc6f9475be47cf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7888 commit 405febf56adbb2dfb3b2c68d8e76cc5212b9d683 fix bug #14288652 settings crash on hitting back key from tap and pay screen gasp ... the observer registering/unregistering code was not totally correct as we were unregistering on a different rootadapter. - refactor the code for registering / unregistering the observer - unregister when the fragment is stopped thru onstop(). change-id: i036eacd87c80fd2c9dedca705fb94a57a0c9a21d 	788 commit 405febf56adbb2dfb3b2c68d8e76cc5212b9d683 fix bug #14288652 settings crash on hitting back key from tap and pay screen gasp .<br> the observer registering/unregistering code was not totally correct as we were unregistering on a different rootadapter.<br> - refactor the code for registering / unregistering the observer - unregister when the fragment is stopped thru onstop(<br> change-id: i036eacd87c80fd2c9dedca705fb94a57a0c9a21d	1	-1	 7888/788[0] commit[0] 405febf56adbb2dfb3b2c68d8e76cc5212b9d683[0] fix[0] bug[0] #14288652[0] settings[0] crash[0] on[0] hitting[0] back[0] key[0] from[0] tap[0] and[0] pay[0] screen[0] gasp[0] [[Sentence=-1,1=word max, 1-5]] the[0] observer[0] registering/unregistering[0] code[0] was[0] not[0] totally[0] correct[0] as[0] we[0] were[0] unregistering[0] on[0] a[0] different[0] rootadapter[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] code[0] for[0] registering[0] /[0] unregistering[0] the[0] observer[0] unregister[0] when[0] the[0] fragment[0] is[0] stopped[0] thru[0] onstop[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i036eacd87c80fd2c9dedca705fb94a57a0c9a21d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8011 commit d1d2f0222443ace71e0cd48c7ad1538627f7a286 search - add indexing of securitysettings - implement a searchindexprovider for providing the data to index - some code refactoring to extract some helper methods change-id: ia8818c17d1bead7306b528d242cdc24c863c17eb 	8011 commit d1d2f022443ace71e0cd48c7ad1538627f7a286 search - add indexing of securitysettings - implement a searchindexprovider for providing the data to index - some code refactoring to extract some helper methods change-id: ia8818c17d1bead7306b528d242cdc24c863c17eb	2	-1	 8011[0] commit[0] d1d2f0222443ace71e0cd48c7ad1538627f7a286/d1d2f022443ace71e0cd48c7ad1538627f7a286[0] search[0] add[0] indexing[0] of[0] securitysettings[1] implement[0] a[0] searchindexprovider[0] for[0] providing[0] the[0] data[0] to[0] index[0] some[0] code[0] refactoring[0] to[0] extract[0] some[0] helper[0] methods[0] change[0] id[0] ia8818c17d1bead7306b528d242cdc24c863c17eb[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
8021 commit 2f1b4e2fd9cbe724f310d44a5a467cc806740036 merge: 2631b8c a9d3705 merge "some code refactoring" 	8021 commit 2f1b4e2fd9cbe724f310d44a5a467cc806740036 merge: 2631b8c a9d3705 merge "some code refactoring"	1	-1	 8021[0] commit[0] 2f1b4e2fd9cbe724f310d44a5a467cc806740036[0] merge[0] 2631b8c[0] a9d3705[0] merge[0] some[0] code[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8022 commit a9d37050cb427cca92587341f399606edfc8ef8d some code refactoring - use searchindexableresources.no_data_res_id - extract code for getting a searchindexprovider change-id: i3d31cc58f70b9b0abfa6684d9d20b19534ec5e45 	8022 commit a9d37050cb427cca92587341f399606edfc8ef8d some code refactoring - use searchindexableresources.<br>no_data_res_id - extract code for getting a searchindexprovider change-id: i3d31cc58f70b9b0abfa6684d9d20b19534ec5e45	1	-1	 8022[0] commit[0] a9d37050cb427cca92587341f399606edfc8ef8d[0] some[0] code[0] refactoring[0] use[0] searchindexableresources[0] [[Sentence=-1,1=word max, 1-5]] no_data_res_id[0] extract[0] code[0] for[0] getting[0] a[0] searchindexprovider[0] change[0] id[0] i3d31cc58f70b9b0abfa6684d9d20b19534ec5e45[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8221 commit 51bfee595c3ce587e2e26565fd9e8f4ae02c3482 add dynamic preferences indexing (part 2) - change the index sql model. add a new "enabled" column. - use that column for issuing a more restrictive search query - change the searchindexprovider api to pass the "enable" state - apply it to bluetooth settings - refactor the list of indexable resources (searchindexableresources) change-id: ic900fb27cb12a285a80d953aa1aa88f0070cd986 	8221 commit 51bfee595c3ce587e2e26565fd9e8f4ae02c3482 add dynamic preferences indexing (part 2) - change the index sql model.<br> add a new "enabled" column.<br> - use that column for issuing a more restrictive search query - change the searchindexprovider api to pass the "enable" state - apply it to bluetooth settings - refactor the list of indexable resources (searchindexableresources) change-id: ic900fb27cb12a285a80d953a1a88f0070cd986	2	-1	 8221[0] commit[0] 51bfee595c3ce587e2e26565fd9e8f4ae02c3482[0] add[0] dynamic[0] preferences[0] indexing[0] part[0] 2[0] change[0] the[0] index[0] sql[0] model[0] [[Sentence=-1,1=word max, 1-5]] add[0] a[0] new[0] enabled[0] column[0] [[Sentence=-1,1=word max, 1-5]] use[0] that[0] column[0] for[0] issuing[0] a[0] more[0] restrictive[0] search[0] query[0] change[0] the[0] searchindexprovider[0] api[0] to[0] pass[0] the[0] enable[0] state[0] apply[0] it[0] to[0] bluetooth[0] settings[0] refactor[0] the[0] list[0] of[0] indexable[0] resources[0] searchindexableresources[0] change[0] id[0] ic900fb27cb12a285a80d953aa1aa88f0070cd986/ic900fb27cb12a285a80d953a1a88f0070cd986[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
