Inline Method	Translation	Positive	Negative	EmotionRationale
6969 commit fc8202463e64d9e85af3c99c1d8552d4bb74b7dc (do not merge) refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47 (cherry picked from commit 61d97ddda8ed09761f48fa1ed7c99b1a6caed948) 	6969 commit fc8202463e64d9e85af3c99c1d8552d4bb74b7dc (do not merge) refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47 (cherry picked from commit 61d97dda8ed09761f48fa1ed7c99b1a6caed948)	1	-1	 6969[0] commit[0] fc8202463e64d9e85af3c99c1d8552d4bb74b7dc[0] do[0] not[0] merge[0] refactor[0] inputmethodandsubtypeenabler[0] to[0] separate[0] loops[0] change[0] id[0] i1b7d26c37293e03dc20f87d60eb146017a574c47[0] cherry[0] picked[0] from[0] commit[0] 61d97ddda8ed09761f48fa1ed7c99b1a6caed948/61d97dda8ed09761f48fa1ed7c99b1a6caed948[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6970 commit 989c364f2de3eeb2c92fa6713b8e0f137e8d971a (do not merge) refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724aac9d926d89a96201 (cherry picked from commit a5db65fe11f862747c34f271ea416052c653300d) 	6970 commit 989c364f2de3eeb2c92fa6713b8e0f137e8d971a (do not merge) refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724ac9d926d89a96201 (cherry picked from commit a5db65fe11f862747c34f271ea416052c653300d)	1	-1	 6970[0] commit[0] 989c364f2de3eeb2c92fa6713b8e0f137e8d971a[0] do[0] not[0] merge[0] refactor[0] inputmethodandsubtypeenabler[0] a[0] bit[0] change[0] id[0] id91b62ed084f98e3a6dc724aac9d926d89a96201/id91b62ed084f98e3a6dc724ac9d926d89a96201[0] cherry[0] picked[0] from[0] commit[0] a5db65fe11f862747c34f271ea416052c653300d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7002 commit 61d97ddda8ed09761f48fa1ed7c99b1a6caed948 refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47 	7002 commit 61d97dda8ed09761f48fa1ed7c99b1a6caed948 refactor inputmethodandsubtypeenabler to separate loops change-id: i1b7d26c37293e03dc20f87d60eb146017a574c47	1	-1	 7002[0] commit[0] 61d97ddda8ed09761f48fa1ed7c99b1a6caed948/61d97dda8ed09761f48fa1ed7c99b1a6caed948[0] refactor[0] inputmethodandsubtypeenabler[0] to[0] separate[0] loops[0] change[0] id[0] i1b7d26c37293e03dc20f87d60eb146017a574c47[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7003 commit a5db65fe11f862747c34f271ea416052c653300d refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724aac9d926d89a96201 	7003 commit a5db65fe11f862747c34f271ea416052c653300d refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724ac9d926d89a96201	1	-1	 7003[0] commit[0] a5db65fe11f862747c34f271ea416052c653300d[0] refactor[0] inputmethodandsubtypeenabler[0] a[0] bit[0] change[0] id[0] id91b62ed084f98e3a6dc724aac9d926d89a96201/id91b62ed084f98e3a6dc724ac9d926d89a96201[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7893 commit 0b35070410153e049eca1fe10a937b1a2a23b41b merge: 1502fba b9558d9 merge "refactor smslistpreference into applistpreference." 	7893 commit 0b35070410153e049eca1fe10a937b1a2a23b41b merge: 1502fba b9558d9 merge "refactor smslistpreference into applistpreference.	1	-1	 7893[0] commit[0] 0b35070410153e049eca1fe10a937b1a2a23b41b[0] merge[0] 1502fba[0] b9558d9[0] merge[0] refactor[0] smslistpreference[0] into[0] applistpreference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8000 commit b9558d91dfcae4cd98f2e25dd070dfa8c926d524 refactor smslistpreference into applistpreference. this generalizes the pattern of needing to offer a selection among a list of candidate applications. also move some reusable logic around querying packagemanager for icons into applistpreference, and remove some unnecessary update logic: the preference will update itself when onpreferencechange returns true, and we can set the summary to '%s' to automatically use the entry as the summary without having to reset it each time. change-id: i007b9ed58359302f93b367a4b86354e93613bf3e 	800 commit b9558d91dfcae4cd98f2e25dd070dfa8c926d524 refactor smslistpreference into applistpreference.<br> this generalizes the pattern of needing to offer a selection among a list of candidate applications.<br> also move some reusable logic around querying packagemanager for icons into applistpreference, and remove some unnecessary update logic: the preference will update itself when onpreferencechange returns true, and we can set the summary to '%s' to automatically use the entry as the summary without having to reset it each time.<br> change-id: i007b9ed58359302f93b367a4b86354e93613bf3e	2	-1	 8000/800[0] commit[0] b9558d91dfcae4cd98f2e25dd070dfa8c926d524[0] refactor[0] smslistpreference[0] into[0] applistpreference[0] [[Sentence=-1,1=word max, 1-5]] this[0] generalizes[0] the[0] pattern[0] of[0] needing[0] to[0] offer[0] a[0] selection[0] among[0] a[0] list[0] of[0] candidate[0] applications[0] [[Sentence=-1,1=word max, 1-5]] also[0] move[0] some[0] reusable[0] logic[0] around[0] querying[0] packagemanager[0] for[0] icons[0] into[0] applistpreference[0] and[0] remove[0] some[0] unnecessary[-1][--1 LastWordBoosterStrength] update[0] logic[0] the[0] preference[0] will[0] update[0] itself[0] when[0] onpreferencechange[0] returns[0] true[1] and[0] we[0] can[0] set[0] the[0] summary[0] to[0] '%s'[0] to[0] automatically[0] use[0] the[0] entry[0] as[0] the[0] summary[0] without[0] having[0] to[0] reset[0] it[0] each[0] time[0] [[Sentence=-1,2=word max, 1-5]] change[0] id[0] i007b9ed58359302f93b367a4b86354e93613bf3e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
8319 commit 5d702d90f31353fbfa73969f4c363e2b335620fd merge: 1c170db 2f4556e merge "code refactoring" 	8319 commit 5d702d90f31353fbfa73969f4c363e2b335620fd merge: 1c170db 2f4556e merge "code refactoring"	1	-1	 8319[0] commit[0] 5d702d90f31353fbfa73969f4c363e2b335620fd[0] merge[0] 1c170db[0] 2f4556e[0] merge[0] code[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8343 commit 2f4556e31b5d69e508ab9431eef4fea5f8d89e4f code refactoring change-id: i053ab0c691295b81dc7aa0fd858fd609a69ade81 	8343 commit 2f4556e31b5d69e508ab9431eef4fea5f8d89e4f code refactoring change-id: i053ab0c691295b81dc7a0fd858fd609a69ade81	1	-1	 8343[0] commit[0] 2f4556e31b5d69e508ab9431eef4fea5f8d89e4f[0] code[0] refactoring[0] change[0] id[0] i053ab0c691295b81dc7aa0fd858fd609a69ade81/i053ab0c691295b81dc7a0fd858fd609a69ade81[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
18700 commit c84832a173ded6640d399b34a366fa426dfe003a merge: 9dfa60c 58b0291 merge "refactor wifi code around xl setup" 	18700 commit c84832a173ded6640d399b34a366fa426dfe003a merge: 9dfa60c 58b0291 merge "refactor wifi code around xl setup"	1	-1	 18700[0] commit[0] c84832a173ded6640d399b34a366fa426dfe003a[0] merge[0] 9dfa60c[0] 58b0291[0] merge[0] refactor[0] wifi[0] code[0] around[0] xl[0] setup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
18701 commit 58b0291fe6e6e47bf3d7457d8cf2648b8ce4a1ae refactor wifi code around xl setup major: - move setupwizard-related codes to wifisettingsforsetupwizardxl as much as possible - stop using preference for configurinig wifi network. we use wificonfiguiforsetupwizardxl instead, which is base on a bare view. minor: - change button handling code expecting better readability. - hide detail button. - modify strings a bit. - add logs bug: 3175016 change-id: i5b29917af73aac6a82e13ba846a9d5085f9bd523 	18701 commit 58b0291fe6e6e47bf3d7457d8cf2648b8ce4a1ae refactor wifi code around xl setup major: - move setupwizard-related codes to wifisettingsforsetupwizardxl as much as possible - stop using preference for configurinig wifi network.<br> we use wificonfiguiforsetupwizardxl instead, which is base on a bare view.<br> minor: - change button handling code expecting better readability.<br> - hide detail button.<br> - modify strings a bit.<br> - add logs bug: 3175016 change-id: i5b29917af73ac6a82e13ba846a9d5085f9bd523	1	-1	 18701[0] commit[0] 58b0291fe6e6e47bf3d7457d8cf2648b8ce4a1ae[0] refactor[0] wifi[0] code[0] around[0] xl[0] setup[0] major[0] move[0] setupwizard[0] related[0] codes[0] to[0] wifisettingsforsetupwizardxl[0] as[0] much[0] as[0] possible[0] stop[0] using[0] preference[0] for[0] configurinig[0] wifi[0] network[0] [[Sentence=-1,1=word max, 1-5]] we[0] use[0] wificonfiguiforsetupwizardxl[0] instead[0] which[0] is[0] base[0] on[0] a[0] bare[0] view[0] [[Sentence=-1,1=word max, 1-5]] minor[0] change[0] button[0] handling[0] code[0] expecting[0] better[0] readability[0] [[Sentence=-1,1=word max, 1-5]] hide[0] detail[0] button[0] [[Sentence=-1,1=word max, 1-5]] modify[0] strings[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]] add[0] logs[0] bug[0] 3175016[0] change[0] id[0] i5b29917af73aac6a82e13ba846a9d5085f9bd523/i5b29917af73ac6a82e13ba846a9d5085f9bd523[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
