Move Method	Translation	Positive	Negative	EmotionRationale
1410 commit a8e22985d7866fb0528d85d9710a5bc0f482d91a automatically show ime when showing the fingerprint delete/rename dialog. also a bit of code clean up. change-id: i541a9c9ec031b7075f2812ef938adb9e591757c5 (cherry picked from commit 86ccad0bfd2478ba6822b34ccd6db4d2fab59100) 	1410 commit a8e22985d7866fb0528d85d9710a5bc0f482d91a automatically show ime when showing the fingerprint delete/rename dialog.<br> also a bit of code clean up.<br> change-id: i541a9c9ec031b7075f2812ef938adb9e591757c5 (cherry picked from commit 86ccad0bfd2478ba6822b34ccd6db4d2fab59100)	1	-1	 1410[0] commit[0] a8e22985d7866fb0528d85d9710a5bc0f482d91a[0] automatically[0] show[0] ime[0] when[0] showing[0] the[0] fingerprint[0] delete/rename[0] dialog[0] [[Sentence=-1,1=word max, 1-5]] also[0] a[0] bit[0] of[0] code[0] clean[0] up[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i541a9c9ec031b7075f2812ef938adb9e591757c5[0] cherry[0] picked[0] from[0] commit[0] 86ccad0bfd2478ba6822b34ccd6db4d2fab59100[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2024 commit 2c228d8d7a0180f4756e018bc90dabfad60e6caa merge: 324bd76 3af2e4c merge "eliminate duplicated code in settings for category headers" 	2024 commit 2c228d8d7a0180f4756e018bc90dabfad60e6ca merge: 324bd76 3af2e4c merge "eliminate duplicated code in settings for category headers"	1	-1	 2024[0] commit[0] 2c228d8d7a0180f4756e018bc90dabfad60e6caa/2c228d8d7a0180f4756e018bc90dabfad60e6ca[0] merge[0] 324bd76[0] 3af2e4c[0] merge[0] eliminate[0] duplicated[0] code[0] in[0] settings[0] for[0] category[0] headers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2203 commit 3af2e4c35c898d61b6268f22123135b403b3fa3b eliminate duplicated code in settings for category headers change-id: i5bdba2ad4f9e1987f9e818af9d5aa96a9d558f6b 	2203 commit 3af2e4c35c898d61b6268f22123135b403b3fa3b eliminate duplicated code in settings for category headers change-id: i5bdba2ad4f9e1987f9e818af9d5a96a9d558f6b	1	-1	 2203[0] commit[0] 3af2e4c35c898d61b6268f22123135b403b3fa3b[0] eliminate[0] duplicated[0] code[0] in[0] settings[0] for[0] category[0] headers[0] change[0] id[0] i5bdba2ad4f9e1987f9e818af9d5aa96a9d558f6b/i5bdba2ad4f9e1987f9e818af9d5a96a9d558f6b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7247 commit 6776c67ac12161b3e5e25c8848b46656ea91be1d [wifisetup] use setup navigation bar use the setup navigation bar in wifi setup activity. 1. include frameworks/opt/setupwizard/navigationbar/common.mk in the make file. 2. make wifisetupactivity implement navigationbarlistener 3. added the fragment in setup_preference.xml, wrapping the whole screen in a linearlayout 4. moved skip and next screen logic to wifisetupactivity, refactored the skip dialogs into a fragment change-id: ia973c0a61faa3ead201bd10d5aa8de4bc6e091c1 	7247 commit 6776c67ac12161b3e5e25c8848b46656ea91be1d [wifisetup] use setup navigation bar use the setup navigation bar in wifi setup activity.<br> 1.<br> include frameworks/opt/setupwizard/navigationbar/common.<br>mk in the make file.<br> 2.<br> make wifisetupactivity implement navigationbarlistener 3.<br> added the fragment in setup_preference.<br>xml, wrapping the whole screen in a linearlayout 4.<br> moved skip and next screen logic to wifisetupactivity, refactored the skip dialogs into a fragment change-id: ia973c0a61fa3ead201bd10d5a8de4bc6e091c1	2	-1	 7247[0] commit[0] 6776c67ac12161b3e5e25c8848b46656ea91be1d[0] [wifisetup][0] use[0] setup[0] navigation[0] bar[0] use[0] the[0] setup[0] navigation[0] bar[0] in[0] wifi[0] setup[0] activity[0] [[Sentence=-1,1=word max, 1-5]] 1[0] [[Sentence=-1,1=word max, 1-5]] include[0] frameworks/opt/setupwizard/navigationbar/common[0] [[Sentence=-1,1=word max, 1-5]] mk[0] in[0] the[0] make[0] file[0] [[Sentence=-1,1=word max, 1-5]] 2[0] [[Sentence=-1,1=word max, 1-5]] make[0] wifisetupactivity[0] implement[0] navigationbarlistener[0] 3[0] [[Sentence=-1,1=word max, 1-5]] added[0] the[0] fragment[0] in[0] setup_preference[0] [[Sentence=-1,1=word max, 1-5]] xml[0] wrapping[0] the[0] whole[0] screen[0] in[0] a[0] linearlayout[0] 4[0] [[Sentence=-1,1=word max, 1-5]] moved[0] skip[0] and[0] next[0] screen[0] logic[0] to[0] wifisetupactivity[0] refactored[0] the[0] skip[0] dialogs[0] into[0] a[0] fragment[0] change[0] id[0] ia973c0a61faa3ead201bd10d5aa8de4bc6e091c1/ia973c0a61fa3ead201bd10d5a8de4bc6e091c1[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
8221 commit 51bfee595c3ce587e2e26565fd9e8f4ae02c3482 add dynamic preferences indexing (part 2) - change the index sql model. add a new "enabled" column. - use that column for issuing a more restrictive search query - change the searchindexprovider api to pass the "enable" state - apply it to bluetooth settings - refactor the list of indexable resources (searchindexableresources) change-id: ic900fb27cb12a285a80d953aa1aa88f0070cd986 	8221 commit 51bfee595c3ce587e2e26565fd9e8f4ae02c3482 add dynamic preferences indexing (part 2) - change the index sql model.<br> add a new "enabled" column.<br> - use that column for issuing a more restrictive search query - change the searchindexprovider api to pass the "enable" state - apply it to bluetooth settings - refactor the list of indexable resources (searchindexableresources) change-id: ic900fb27cb12a285a80d953a1a88f0070cd986	2	-1	 8221[0] commit[0] 51bfee595c3ce587e2e26565fd9e8f4ae02c3482[0] add[0] dynamic[0] preferences[0] indexing[0] part[0] 2[0] change[0] the[0] index[0] sql[0] model[0] [[Sentence=-1,1=word max, 1-5]] add[0] a[0] new[0] enabled[0] column[0] [[Sentence=-1,1=word max, 1-5]] use[0] that[0] column[0] for[0] issuing[0] a[0] more[0] restrictive[0] search[0] query[0] change[0] the[0] searchindexprovider[0] api[0] to[0] pass[0] the[0] enable[0] state[0] apply[0] it[0] to[0] bluetooth[0] settings[0] refactor[0] the[0] list[0] of[0] indexable[0] resources[0] searchindexableresources[0] change[0] id[0] ic900fb27cb12a285a80d953aa1aa88f0070cd986/ic900fb27cb12a285a80d953a1a88f0070cd986[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
10307 commit 4e464247619fb9c37c45f427ca0f301760244afc merge: 1ccd78c 993f6ec merge "refactor ime settings" 	10307 commit 4e464247619fb9c37c45f427ca0f301760244afc merge: 1ccd78c 993f6ec merge "refactor ime settings"	1	-1	 10307[0] commit[0] 4e464247619fb9c37c45f427ca0f301760244afc[0] merge[0] 1ccd78c[0] 993f6ec[0] merge[0] refactor[0] ime[0] settings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
10308 commit 993f6ecf4065501433271b5fd5daf21a6f3ae586 refactor ime settings bug: 8364845 change-id: ie8db248314f2014278e1006b4b37aa64ce76f893 	10308 commit 993f6ecf4065501433271b5fd5daf21a6f3ae586 refactor ime settings bug: 8364845 change-id: ie8db248314f2014278e1006b4b37a64ce76f893	1	-1	 10308[0] commit[0] 993f6ecf4065501433271b5fd5daf21a6f3ae586[0] refactor[0] ime[0] settings[0] bug[0] 8364845[0] change[0] id[0] ie8db248314f2014278e1006b4b37aa64ce76f893/ie8db248314f2014278e1006b4b37a64ce76f893[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
17010 commit 2c12ed9e4b6625019f0101b02737dbe4a31be224 merge: f52f509 2c88a87 merge "refactoring in settings/applications" 	17010 commit 2c12ed9e4b6625019f0101b02737dbe4a31be224 merge: f52f509 2c88a87 merge "refactoring in settings/applications"	1	-1	 17010[0] commit[0] 2c12ed9e4b6625019f0101b02737dbe4a31be224[0] merge[0] f52f509[0] 2c88a87[0] merge[0] refactoring[0] in[0] settings/applications[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
17020 commit 2c88a877f88b142fa8fd36c1773ab484b5fd7338 refactoring in settings/applications battery, development moved to main menu. unknown sources moved to security. main menu links directly to manageapplications. applicationsettings was kept in case an other app referenced it. change-id: i0271d4222cfc192f9235f21e06bf3b56f77db1a4 	17020 commit 2c88a877f88b142fa8fd36c1773ab484b5fd7338 refactoring in settings/applications battery, development moved to main menu.<br> unknown sources moved to security.<br> main menu links directly to manageapplications.<br> applicationsettings was kept in case an other ap referenced it.<br> change-id: i0271d422cfc192f9235f21e06bf3b56f77db1a4	1	-2	 17020[0] commit[0] 2c88a877f88b142fa8fd36c1773ab484b5fd7338[0] refactoring[0] in[0] settings/applications[0] battery[0] development[0] moved[0] to[0] main[0] menu[0] [[Sentence=-1,1=word max, 1-5]] unknown[0] sources[-1] moved[0] to[0] security[0] [[Sentence=-2,1=word max, 1-5]] main[0] menu[0] links[0] directly[0] to[0] manageapplications[0] [[Sentence=-1,1=word max, 1-5]] applicationsettings[0] was[0] kept[0] in[0] case[0] an[0] other[0] app/ap[0] referenced[0] it[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i0271d4222cfc192f9235f21e06bf3b56f77db1a4/i0271d422cfc192f9235f21e06bf3b56f77db1a4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
17028 commit e78c1879058571c00879f0d3e756951302adf513 settings refactoring wifi and bluetooth pane refactored, main toggles moved to left pane. change-id: i42ea4cf3bdf24158f3c67e0dea311258206cd78a 	17028 commit e78c1879058571c00879f0d3e756951302adf513 settings refactoring wifi and bluetooth pane refactored, main toggles moved to left pane.<br> change-id: i42ea4cf3bdf24158f3c67e0dea311258206cd78a	1	-1	 17028[0] commit[0] e78c1879058571c00879f0d3e756951302adf513[0] settings[0] refactoring[0] wifi[0] and[0] bluetooth[0] pane[0] refactored[0] main[0] toggles[0] moved[0] to[0] left[0] pane[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i42ea4cf3bdf24158f3c67e0dea311258206cd78a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
