Extract Method	Translation	Positive	Negative	EmotionRationale
267 commit 536c754edf40917423d9ef940846a6fec4386fc3 run dashboard queries in parallel if the secondary index is enabled and is using a remote cluster (for example solr or the system behind gerrit-review) running the user's dashboard queries in parallel can reduce overall latency. this refactoring slightly simplifies the code by pushing the logic to check "is:visible" back into andsource, which already supports batch loading change objects for changedata. an alternative implementation to run dashboard queries in parallel is to have the browser send one rest api request for each query. this is a mixed bag. the browser is limited to sending 2-4 requests at once to the same source server. on a browser with a limit of 2 pending requests 3 queries will incur significant latency. the browser may still be loading /#/ and needing to pull in additional assets like images and css. stealing request slots for rest apis contributes to overall page load latency. however, it is simple to load balance at the server side, as each query uses its own thread. change-id: i7bf5e2be8b6cb5e8487a19ecf69c4c184c7ed1ac 	267 commit 536c754edf40917423d9ef940846a6fec4386fc3 run dashboard queries in parallel if the secondary index is enabled and is using a remote cluster (for example solr or the system behind gerrit-review) running the user's dashboard queries in parallel can reduce overall latency.<br> this refactoring slightly simplifies the code by pushing the logic to check "is:visible" back into andsource, which already supports batch loading change objects for changedata.<br> an alternative implementation to run dashboard queries in parallel is to have the browser send one rest api request for each query.<br> this is a mixed bag.<br> the browser is limited to sending 2-4 requests at once to the same source server.<br> on a browser with a limit of 2 pending requests 3 queries will incur significant latency.<br> the browser may still be loading /#/ and needing to pull in additional assets like images and css.<br> stealing request slots for rest apis contributes to overall page load latency.<br> however, it is simple to load balance at the server side, as each query uses its own thread.<br> change-id: i7bf5e2be8b6cb5e8487a19ecf69c4c184c7ed1ac	2	-3	 267[0] commit[0] 536c754edf40917423d9ef940846a6fec4386fc3[0] run[0] dashboard[0] queries[0] in[0] parallel[0] if[0] the[0] secondary[0] index[0] is[0] enabled[0] and[0] is[0] using[0] a[0] remote[0] cluster[0] for[0] example[0] solr[0] or[0] the[0] system[0] behind[0] gerrit[0] review[0] running[0] the[0] user's[0] dashboard[0] queries[0] in[0] parallel[0] can[0] reduce[0] overall[0] latency[0] [[Sentence=-1,1=word max, 1-5]] this[0] refactoring[0] slightly[0] simplifies[0] the[0] code[0] by[0] pushing[0] the[0] logic[0] to[0] check[0] is[0] visible[0] back[0] into[0] andsource[0] which[0] already[0] supports[1] batch[0] loading[0] change[0] objects[0] for[0] changedata[0] [[Sentence=-1,2=word max, 1-5]] an[0] alternative[0] implementation[0] to[0] run[0] dashboard[0] queries[0] in[0] parallel[0] is[0] to[0] have[0] the[0] browser[0] send[0] one[0] rest[0] api[0] request[0] for[0] each[0] query[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] a[0] mixed[0] bag[0] [[Sentence=-1,1=word max, 1-5]] the[0] browser[0] is[0] limited[0] to[0] sending[0] 2[0] -4[0] requests[0] at[0] once[0] to[0] the[0] same[0] source[-1] server[0] [[Sentence=-2,1=word max, 1-5]] on[0] a[0] browser[0] with[0] a[0] limit[0] of[0] 2[0] pending[0] requests[0] 3[0] queries[0] will[0] incur[0] significant[0] latency[0] [[Sentence=-1,1=word max, 1-5]] the[0] browser[0] may[0] still[0] be[0] loading[0] /#/[0] and[0] needing[0] to[0] pull[0] in[0] additional[0] assets[0] like[0] images[0] and[0] css[0] [[Sentence=-1,1=word max, 1-5]] stealing[-2] request[0] slots[0] for[0] rest[0] apis[0] contributes[0] to[0] overall[0] page[0] load[0] latency[0] [[Sentence=-3,1=word max, 1-5]] however[0] it[0] is[0] simple[0] to[0] load[0] balance[0] at[0] the[0] server[0] side[0] as[0] each[0] query[0] uses[0] its[0] own[0] thread[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i7bf5e2be8b6cb5e8487a19ecf69c4c184c7ed1ac[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
917 commit 097b95791517008607f2332e6f4c2be621d6bf3e redesign change screen on new rest api the new screen exists at #/c2/ id  as it is missing a large number of features. the proposal is to include the screen as-is and iterate in tree, similar to the codemirror work. this allows power users to start trying the screen out by editing the url. missing features: - add reviewer(s) - remove reviewer(s) - edit commit message - diff files in two patch sets - dependencies and dependents - download links by url and action (cherry-pick, checkout, etc.) change-id: ie957fb85c873d044c947000f0f0207a66f87c784 	917 commit 097b95791517008607f2332e6f4c2be621d6bf3e redesign change screen on new rest api the new screen exists at #/c2/ id  as it is missing a large number of features.<br> the proposal is to include the screen as-is and iterate in tree, similar to the codemirror work.<br> this allows power users to start trying the screen out by editing the url.<br> missing features: - add reviewer(s) - remove reviewer(s) - edit commit message - diff files in two patch sets - dependencies and dependents - download links by url and action (cherry-pick, checkout, etc.<br> change-id: ie957fb85c873d044c94700f0f0207a66f87c784	1	-1	 917[0] commit[0] 097b95791517008607f2332e6f4c2be621d6bf3e[0] redesign[0] change[0] screen[0] on[0] new[0] rest[0] api[0] the[0] new[0] screen[0] exists[0] at[0] #/c2/[0] id[0] as[0] it[0] is[0] missing[0] a[0] large[0] number[0] of[0] features[0] [[Sentence=-1,1=word max, 1-5]] the[0] proposal[0] is[0] to[0] include[0] the[0] screen[0] as[0] is[0] and[0] iterate[0] in[0] tree[0] similar[0] to[0] the[0] codemirror[0] work[0] [[Sentence=-1,1=word max, 1-5]] this[0] allows[0] power[0] users[0] to[0] start[0] trying[0] the[0] screen[0] out[0] by[0] editing[0] the[0] url[0] [[Sentence=-1,1=word max, 1-5]] missing[0] features[0] add[0] reviewer[0] s[0] remove[0] reviewer[0] s[0] edit[0] commit[0] message[0] diff[0] files[0] in[0] two[0] patch[0] sets[0] dependencies[0] and[0] dependents[0] download[0] links[0] by[0] url[0] and[0] action[0] cherry[0] pick[0] checkout[0] etc[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ie957fb85c873d044c947000f0f0207a66f87c784/ie957fb85c873d044c94700f0f0207a66f87c784[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1019 commit 611bdde44fafe299e121161a7e28a283c68cf16c merge: 04cfa92 0dd0c32 merge "refactor plugin doc index page generation to remove duplicate code" 	1019 commit 611bdde44fafe299e121161a7e28a283c68cf16c merge: 04cfa92 0dd0c32 merge "refactor plugin doc index page generation to remove duplicate code"	1	-1	 1019[0] commit[0] 611bdde44fafe299e121161a7e28a283c68cf16c[0] merge[0] 04cfa92[0] 0dd0c32[0] merge[0] refactor[0] plugin[0] doc[0] index[0] page[0] generation[0] to[0] remove[0] duplicate[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1021 commit 0dd0c3273bf25a92d37ddbabc7e858698d490eea refactor plugin doc index page generation to remove duplicate code the code to generate the documentation and command lists on plugins' documentation page is duplicated in 2 blocks. refactor it into a method that is reusable to generate both lists. change-id: ibd86e73fc813d80c7267efc6d9a04261800bc11a 	1021 commit 0dd0c3273bf25a92d37ddbabc7e858698d490eea refactor plugin doc index page generation to remove duplicate code the code to generate the documentation and command lists on plugins' documentation page is duplicated in 2 blocks.<br> refactor it into a method that is reusable to generate both lists.<br> change-id: ibd86e73fc813d80c7267efc6d9a04261800bc11a	1	-1	 1021[0] commit[0] 0dd0c3273bf25a92d37ddbabc7e858698d490eea[0] refactor[0] plugin[0] doc[0] index[0] page[0] generation[0] to[0] remove[0] duplicate[0] code[0] the[0] code[0] to[0] generate[0] the[0] documentation[0] and[0] command[0] lists[0] on[0] plugins'[0] documentation[0] page[0] is[0] duplicated[0] in[0] 2[0] blocks[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] it[0] into[0] a[0] method[0] that[0] is[0] reusable[0] to[0] generate[0] both[0] lists[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ibd86e73fc813d80c7267efc6d9a04261800bc11a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1461 commit f8a37ca05ee24f8e27280a310d2181bb2dd17874 implementing replace. previously replace wasn't implemented. also refactored the code to reduce duplication. change-id: iaf33293116a30b30d4d9ee1b22333eaee4da8332 	1461 commit f8a37ca05ee24f8e27280a310d2181bb2dd17874 implementing replace.<br> previously replace wasn't implemented.<br> also refactored the code to reduce duplication.<br> change-id: iaf33293116a30b30d4d9ee1b2233eaee4da8332	1	-1	 1461[0] commit[0] f8a37ca05ee24f8e27280a310d2181bb2dd17874[0] implementing[0] replace[0] [[Sentence=-1,1=word max, 1-5]] previously[0] replace[0] wasn't[0] implemented[0] [[Sentence=-1,1=word max, 1-5]] also[0] refactored[0] the[0] code[0] to[0] reduce[0] duplication[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] iaf33293116a30b30d4d9ee1b22333eaee4da8332/iaf33293116a30b30d4d9ee1b2233eaee4da8332[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1981 commit 8d256d77161426dbe25396467aa928dc28cf0e04 merge: 0437d69 4c13fe4 merge "refactor type dependent unified diff displaying into separate functions" 	1981 commit 8d256d77161426dbe25396467a928dc28cf0e04 merge: 0437d69 4c13fe4 merge "refactor type dependent unified diff displaying into separate functions"	1	-2	 1981[0] commit[0] 8d256d77161426dbe25396467aa928dc28cf0e04/8d256d77161426dbe25396467a928dc28cf0e04[0] merge[0] 0437d69[0] 4c13fe4[0] merge[0] refactor[0] type[0] dependent[-1] unified[0] diff[0] displaying[0] into[0] separate[0] functions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1985 commit 4c13fe4fbf6f40a2819599a2bc474576f85cb2cb refactor type dependent unified diff displaying into separate functions thereby we can better see the overall flow of control. change-id: i7c49da641cca2b5ec1fd85026f7e9df5a87ba32d 	1985 commit 4c13fe4fbf6f40a2819599a2bc474576f85cb2cb refactor type dependent unified diff displaying into separate functions thereby we can better see the overall flow of control.<br> change-id: i7c49da641cca2b5ec1fd85026f7e9df5a87ba32d	1	-2	 1985[0] commit[0] 4c13fe4fbf6f40a2819599a2bc474576f85cb2cb[0] refactor[0] type[0] dependent[-1] unified[0] diff[0] displaying[0] into[0] separate[0] functions[0] thereby[0] we[0] can[0] better[0] see[0] the[0] overall[0] flow[0] of[0] control[0] [[Sentence=-2,1=word max, 1-5]] change[0] id[0] i7c49da641cca2b5ec1fd85026f7e9df5a87ba32d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3313 commit c13a2fd057459c8a240d3c477e17298c6c019df1 fix: cannot apply review labels when restoring a change over ssh when abandoning a change over ssh, it is possible to apply review labels to the change at the same time: gerrit review --abandon --code-review -1 sha1 however it is not possible to do the same when restoring a change: gerrit review --restore --code-review  2 sha1 the change will be restored, but the given review labels will not be applied. this is because the ssh command implementation applies the review labels before the abandon/restore operation. when restoring a change this does not work because it is not allowed to apply a review label to an abandoned change. refactor the command so that it applies the review labels before the abandon operation, but after the restore operation, thus making it possible to restore a change and apply review labels at the same time. change-id: ief5ca4e329fba6d686fb431f895df08e1a07e884 	3313 commit c13a2fd057459c8a240d3c477e17298c6c019df1 fix: cannot apply review labels when restoring a change over ssh when abandoning a change over ssh, it is possible to apply review labels to the change at the same time: gerrit review -abandon -code-review -1 sha1 however it is not possible to do the same when restoring a change: gerrit review -restore -code-review  2 sha1 the change will be restored, but the given review labels will not be applied.<br> this is because the ssh command implementation applies the review labels before the abandon/restore operation.<br> when restoring a change this does not work because it is not allowed to apply a review label to an abandoned change.<br> refactor the command so that it applies the review labels before the abandon operation, but after the restore operation, thus making it possible to restore a change and apply review labels at the same time.<br> change-id: ief5ca4e329fba6d686fb431f895df08e1a07e884	1	-2	 3313[0] commit[0] c13a2fd057459c8a240d3c477e17298c6c019df1[0] fix[0] cannot[0] apply[0] review[0] labels[0] when[0] restoring[0] a[0] change[0] over[0] ssh[0] when[0] abandoning[-1] a[0] change[0] over[0] ssh[0] it[0] is[0] possible[0] to[0] apply[0] review[0] labels[0] to[0] the[0] change[0] at[0] the[0] same[0] time[0] gerrit[0] review[0] abandon[-1] code[0] review[0] -1[0] sha1[0] however[0] it[0] is[0] not[0] possible[0] to[0] do[0] the[0] same[0] when[0] restoring[0] a[0] change[0] gerrit[0] review[0] restore[0] code[0] review[0] 2[0] sha1[0] the[0] change[0] will[0] be[0] restored[0] but[0] the[0] given[0] review[0] labels[0] will[0] not[0] be[0] applied[0] [[Sentence=-2,1=word max, 1-5]] this[0] is[0] because[0] the[0] ssh[0] command[0] implementation[0] applies[0] the[0] review[0] labels[0] before[0] the[0] abandon/restore[-1] operation[0] [[Sentence=-2,1=word max, 1-5]] when[0] restoring[0] a[0] change[0] this[0] does[0] not[0] work[0] because[0] it[0] is[0] not[0] allowed[0] to[0] apply[0] a[0] review[0] label[0] to[0] an[0] abandoned[-1] change[0] [[Sentence=-2,1=word max, 1-5]] refactor[0] the[0] command[0] so[0] that[0] it[0] applies[0] the[0] review[0] labels[0] before[0] the[0] abandon[-1] operation[0] but[0] after[0] the[0] restore[0] operation[0] thus[0] making[0] it[0] possible[0] to[0] restore[0] a[0] change[0] and[0] apply[0] review[0] labels[0] at[0] the[0] same[0] time[0] [[Sentence=-2,1=word max, 1-5]] change[0] id[0] ief5ca4e329fba6d686fb431f895df08e1a07e884[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3703 commit dcebf29c9ed47157b6a16d2312e567e5e20da66d merge: 4d034ff f538b34 merge "refactor the table header in diff view." 	3703 commit dcebf29c9ed47157b6a16d2312e567e5e20da66d merge: 4d034ff f538b34 merge "refactor the table header in diff view.	1	-1	 3703[0] commit[0] dcebf29c9ed47157b6a16d2312e567e5e20da66d[0] merge[0] 4d034ff[0] f538b34[0] merge[0] refactor[0] the[0] table[0] header[0] in[0] diff[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3711 commit f538b34fbdc6e64ac33b8ad603a9367196b45ba0 refactor the table header in diff view. refactor the table header in sidebyside view and unified view. this commit is made to prepare for the file comment feature which need each cell in table header accept click event. e.g. in sidybysidy diff view currently the table header is displayed by 'patchtableheader' which in fact is not a table and not in the 'patchcontenttable', in the 'patchtableheader' there are 2 'patchsetselectbox's and their css style is controlled by 'patchtableheadersidebyside.ui.xml'. this refactoring does not use 'patchtableheader' anymore, it just allocate the 'patchsetselectbox' directly in the cells of 'patchcontenttable' header thus in later features of this topic it will be easy to -- prepare seats for icons in line number column header. -- enable the header of 'a' side or 'b' side clickable. -- control the css, now the components are in the cells of table header row after refactoring, the header columns will stand align with the content columns together. for the case of unified view, the header have 2 rows, each row need be clickable and we need a boundary line between these 2 rows to make user be clear which side s/he is clicking on, and once user add file comments on 'a' side we need add a new row between these 2 rows to disply the comment, with this refactor these function will be easy to roll out. change-id: i7502615a64c270321a3be9b6e4853d97b3dc54b3 	3711 commit f538b34fbdc6e64ac33b8ad603a9367196b45ba0 refactor the table header in diff view.<br> refactor the table header in sidebyside view and unified view.<br> this commit is made to prepare for the file comment feature which need each cell in table header accept click event.<br> e.<br>grin�.<br> in sidybysidy diff view currently the table header is displayed by 'patchtableheader' which in fact is not a table and not in the 'patchcontenttable', in the 'patchtableheader' there are 2 'patchsetselectbox's and their css style is controlled by 'patchtableheadersidebyside.<br>ui.<br>xml'.<br> this refactoring does not use 'patchtableheader' anymore, it just allocate the 'patchsetselectbox' directly in the cells of 'patchcontenttable' header thus in later features of this topic it will be easy to - prepare seats for icons in line number column header.<br> - enable the header of 'a' side or 'b' side clickable.<br> - control the css, now the components are in the cells of table header row after refactoring, the header columns will stand align with the content columns together.<br> for the case of unified view, the header have 2 rows, each row need be clickable and we need a boundary line between these 2 rows to make user be clear which side s/he is clicking on, and once user add file comments on 'a' side we need add a new row between these 2 rows to disply the comment, with this refactor these function will be easy to roll out.<br> change-id: i7502615a64c270321a3be9b6e4853d97b3dc54b3	1	-1	 3711[0] commit[0] f538b34fbdc6e64ac33b8ad603a9367196b45ba0[0] refactor[0] the[0] table[0] header[0] in[0] diff[0] view[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] table[0] header[0] in[0] sidebyside[0] view[0] and[0] unified[0] view[0] [[Sentence=-1,1=word max, 1-5]] this[0] commit[0] is[0] made[0] to[0] prepare[0] for[0] the[0] file[0] comment[0] feature[0] which[0] need[0] each[0] cell[0] in[0] table[0] header[0] accept[0] click[0] event[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] in[0] sidybysidy[0] diff[0] view[0] currently[0] the[0] table[0] header[0] is[0] displayed[0] by[0] 'patchtableheader'[0] which[0] in[0] fact[0] is[0] not[0] a[0] table[0] and[0] not[0] in[0] the[0] 'patchcontenttable'[0] in[0] the[0] 'patchtableheader'[0] there[0] are[0] 2[0] 'patchsetselectbox's[0] and[0] their[0] css[0] style[0] is[0] controlled[0] by[0] 'patchtableheadersidebyside[0] [[Sentence=-1,1=word max, 1-5]] ui[0] [[Sentence=-1,1=word max, 1-5]] xml'[0] [[Sentence=-1,1=word max, 1-5]] this[0] refactoring[0] does[0] not[0] use[0] 'patchtableheader'[0] anymore[0] it[0] just[0] allocate[0] the[0] 'patchsetselectbox'[0] directly[0] in[0] the[0] cells[0] of[0] 'patchcontenttable'[0] header[0] thus[0] in[0] later[0] features[0] of[0] this[0] topic[0] it[0] will[0] be[0] easy[0] to[0] prepare[0] seats[0] for[0] icons[0] in[0] line[0] number[0] column[0] header[0] [[Sentence=-1,1=word max, 1-5]] enable[0] the[0] header[0] of[0] 'a'[0] side[0] or[0] 'b'[0] side[0] clickable[0] [[Sentence=-1,1=word max, 1-5]] control[0] the[0] css[0] now[0] the[0] components[0] are[0] in[0] the[0] cells[0] of[0] table[0] header[0] row[0] after[0] refactoring[0] the[0] header[0] columns[0] will[0] stand[0] align[0] with[0] the[0] content[0] columns[0] together[0] [[Sentence=-1,1=word max, 1-5]] for[0] the[0] case[0] of[0] unified[0] view[0] the[0] header[0] have[0] 2[0] rows[0] each[0] row[0] need[0] be[0] clickable[0] and[0] we[0] need[0] a[0] boundary[0] line[0] between[0] these[0] 2[0] rows[0] to[0] make[0] user[0] be[0] clear[0] which[0] side[0] s/he[0] is[0] clicking[0] on[0] and[0] once[0] user[0] add[0] file[0] comments[0] on[0] 'a'[0] side[0] we[0] need[0] add[0] a[0] new[0] row[0] between[0] these[0] 2[0] rows[0] to[0] disply[0] the[0] comment[0] with[0] this[0] refactor[0] these[0] function[0] will[0] be[0] easy[0] to[0] roll[0] out[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i7502615a64c270321a3be9b6e4853d97b3dc54b3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
