Move Class	Translation	Positive	Negative	EmotionRationale
612 commit c97d2aca67e41e94ab325a2dce2a78cac8cd8a46 [374583] - refactoring: abstractparser split to estructuralfeature- and eattribute- parts to reuse the former in ereference-parsers 	612 commit c97d2aca67e41e94ab325a2dce2a78cac8cd8a46 [374583] - refactoring: abstractparser split to estructuralfeature- and eattribute- parts to reuse the former in ereference-parsers	1	-1	 612[0] commit[0] c97d2aca67e41e94ab325a2dce2a78cac8cd8a46[0] [374583][0] refactoring[0] abstractparser[0] split[0] to[0] estructuralfeature[0] and[0] eattribute[0] parts[0] to[0] reuse[0] the[0] former[0] in[0] ereference[0] parsers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1687 commit b1ef4144854071aefcf138201632ce74e2a3e70e [230418] towards restoring annotateddefinitionvalidator - refactoring to cache expressions not on per-provider and per-body, but for context class; simplify and restructure code. 	1687 commit b1ef4144854071aefcf138201632ce74e2a3e70e [230418] towards restoring annotateddefinitionvalidator - refactoring to cache expressions not on per-provider and per-body, but for context class; simplify and restructure code.	1	-1	 1687[0] commit[0] b1ef4144854071aefcf138201632ce74e2a3e70e[0] [230418][0] towards[0] restoring[0] annotateddefinitionvalidator[0] refactoring[0] to[0] cache[0] expressions[0] not[0] on[0] per[0] provider[0] and[0] per[0] body[0] but[0] for[0] context[0] class[0] simplify[0] and[0] restructure[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4362 commit 4ad8ef9ff40f67d08292b450e054e48706148641 refactoring fixed 	4362 commit 4ad8ef9ff40f67d08292b450e054e48706148641 refactoring fixed	1	-1	 4362[0] commit[0] 4ad8ef9ff40f67d08292b450e054e48706148641[0] refactoring[0] fixed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5714 commit e02f6466572d7c6efbd624e3840cedf5394d5330 refactoring to use as much common code as possible for diagram editors and viewers (for #163214); manifest.mf specifies j2se1.5 as required execution environment. 	5714 commit e02f6466572d7c6efbd624e3840cedf5394d5330 refactoring to use as much common code as possible for diagram editors and viewers (for #163214) manifest.<br>mf specifies j2se1.5 as required execution environment.	1	-1	 5714[0] commit[0] e02f6466572d7c6efbd624e3840cedf5394d5330[0] refactoring[0] to[0] use[0] as[0] much[0] common[0] code[0] as[0] possible[0] for[0] diagram[0] editors[0] and[0] viewers[0] for[0] #163214[0] manifest[0] [[Sentence=-1,1=word max, 1-5]] mf[0] specifies[0] j2se1[0] .5[0] as[0] required[0] execution[0] environment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6542 commit 625a13b78f474baf36caa6da55718e0e6e00528f refactor def page 	6542 commit 625a13b78f474baf36ca6da55718e0e6e00528f refactor def page	1	-1	 6542[0] commit[0] 625a13b78f474baf36caa6da55718e0e6e00528f/625a13b78f474baf36ca6da55718e0e6e00528f[0] refactor[0] def[0] page[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6874 commit 84334f4ce186342282cb5820893a3b233ced9e92 emitter became top-level entity (textemitter), oddness of jetadapter and emitter api were cleared. generatorbase lost knowledge about jet. parts of gmf.common made internal to avoid possible api issues. importassistant refactored to know name of compilation unit to avoid problems like #134506. figuregenerator's reuse of importassistant removed. [mgolubev] tests for #134506 and 142553 	6874 commit 84334f4ce186342282cb5820893a3b233ced9e92 emitter became top-level entity (textemitter) oddness of jetadapter and emitter api were cleared.<br> generatorbase lost knowledge about jet.<br> parts of gmf.<br>common made internal to avoid possible api issues.<br> importassistant refactored to know name of compilation unit to avoid problems like #134506.<br> figuregenerator's reuse of importassistant removed.<br> [mgolubev] tests for #134506 and 142553	1	-2	 6874[0] commit[0] 84334f4ce186342282cb5820893a3b233ced9e92[0] emitter[0] became[0] top[0] level[0] entity[0] textemitter[0] oddness[0] of[0] jetadapter[0] and[0] emitter[0] api[0] were[0] cleared[0] [[Sentence=-1,1=word max, 1-5]] generatorbase[0] lost[0] knowledge[0] about[0] jet[0] [[Sentence=-1,1=word max, 1-5]] parts[0] of[0] gmf[0] [[Sentence=-1,1=word max, 1-5]] common[0] made[0] internal[0] to[0] avoid[-1] possible[0] api[0] issues[0] [[Sentence=-2,1=word max, 1-5]] importassistant[0] refactored[0] to[0] know[0] name[0] of[0] compilation[0] unit[0] to[0] avoid[-1] problems[-1] like[0] #134506[0] [[Sentence=-2,1=word max, 1-5]] figuregenerator's[0] reuse[0] of[0] importassistant[0] removed[0] [[Sentence=-1,1=word max, 1-5]] [mgolubev][0] tests[0] for[0] #134506[0] and[0] 142553[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
7361 commit f7785d38dbd02b79548af6642d853a0a250b8603 refactor latest fix for #128779 - standalonegalleryconverter moved to gmfgraph.codegen, dependencies of oeg.tests and oeg.graphdef.codegen.ui updated. 	7361 commit f7785d38dbd02b79548af6642d853a0a250b8603 refactor latest fix for #128779 - standalonegalleryconverter moved to gmfgraph.<br>codegen, dependencies of oeg.<br>tests and oeg.<br>graphdef.<br>codegen.<br>ui updated.	1	-1	 7361[0] commit[0] f7785d38dbd02b79548af6642d853a0a250b8603[0] refactor[0] latest[0] fix[0] for[0] #128779[0] standalonegalleryconverter[0] moved[0] to[0] gmfgraph[0] [[Sentence=-1,1=word max, 1-5]] codegen[0] dependencies[0] of[0] oeg[0] [[Sentence=-1,1=word max, 1-5]] tests[0] and[0] oeg[0] [[Sentence=-1,1=word max, 1-5]] graphdef[0] [[Sentence=-1,1=word max, 1-5]] codegen[0] [[Sentence=-1,1=word max, 1-5]] ui[0] updated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7699 commit 5e0327abd4c5478eb9e877bf3f1fe7d8bfe39192 introduced separate plugin for tooling ui, moved mapping wizard of #114186 to this plugin. wizard got some nls, respect selection, open-created-model-in-editor improvements as well as aligned with recent gmfmap changes. plus, some refactorings to address user-prioritized strategies to select nodes/links doubled number of classes we had. 	7699 commit 5e0327abd4c5478eb9e877bf3f1fe7d8bfe39192 introduced separate plugin for tooling ui, moved mapping wizard of #114186 to this plugin.<br> wizard got some nls, respect selection, open-created-model-in-editor improvements as well as aligned with recent gmfmap changes.<br> plus, some refactorings to address user-prioritized strategies to select nodes/links doubled number of classes we had.	3	-1	 7699[0] commit[0] 5e0327abd4c5478eb9e877bf3f1fe7d8bfe39192[0] introduced[0] separate[0] plugin[0] for[0] tooling[0] ui[0] moved[0] mapping[0] wizard[0] of[0] #114186[0] to[0] this[0] plugin[0] [[Sentence=-1,1=word max, 1-5]] wizard[0] got[0] some[0] nls[0] respect[2] selection[0] open[0] created[0] model[0] in[0] editor[0] improvements[1] as[0] well[0] as[0] aligned[0] with[0] recent[0] gmfmap[0] changes[0] [[Sentence=-1,3=word max, 1-5]] plus[0] some[0] refactorings[0] to[0] address[0] user[0] prioritized[0] strategies[0] to[0] select[0] nodes/links[0] doubled[0] number[0] of[0] classes[0] we[0] had[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
7869 commit 192b15753755a5c87fa73705ab2b4269aa77662d refactor - moved emitterfactory/dispatcher infrastructure to gmf.common to enable its use in oeg.codegen 	7869 commit 192b15753755a5c87fa73705ab2b4269a77662d refactor - moved emitterfactory/dispatcher infrastructure to gmf.<br>common to enable its use in oeg.<br>codegen	1	-1	 7869[0] commit[0] 192b15753755a5c87fa73705ab2b4269aa77662d/192b15753755a5c87fa73705ab2b4269a77662d[0] refactor[0] moved[0] emitterfactory/dispatcher[0] infrastructure[0] to[0] gmf[0] [[Sentence=-1,1=word max, 1-5]] common[0] to[0] enable[0] its[0] use[0] in[0] oeg[0] [[Sentence=-1,1=word max, 1-5]] codegen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8031 commit 473532e24eaa766cdd077301c51d9da5eb46f0fe refactor dashboard figure (separate controller from view) 	8031 commit 473532e24ea766cdd077301c51d9da5eb46f0fe refactor dashboard figure (separate controller from view)	1	-1	 8031[0] commit[0] 473532e24eaa766cdd077301c51d9da5eb46f0fe/473532e24ea766cdd077301c51d9da5eb46f0fe[0] refactor[0] dashboard[0] figure[0] separate[0] controller[0] from[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8213 commit b34440e875d229b31660255c8344a08a329e7123 major xxsource infrastructure refactoring to cover wider set of test cases 	8213 commit b3440e875d229b31660255c8344a08a329e7123 major xsource infrastructure refactoring to cover wider set of test cases	1	-1	 8213[0] commit[0] b34440e875d229b31660255c8344a08a329e7123/b3440e875d229b31660255c8344a08a329e7123[0] major[0] xxsource/xsource[0] infrastructure[0] refactoring[0] to[0] cover[0] wider[0] set[0] of[0] test[0] cases[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
