Rename Method	Translation	Positive	Negative	EmotionRationale
1842 commit 7072b0706a63c3d1f15c784f937a635289f9c0cd merge: e3cde43 5bdb797 am 5bdb797e: merge "refactoring in preparation for nio2 changes." * commit '5bdb797e4f545c6b16f44523cdab2500460f290d': refactoring in preparation for nio2 changes. 	1842 commit 7072b0706a63c3d1f15c784f937a635289f9c0cd merge: e3cde43 5bdb797 am 5bdb797e: merge "refactoring in preparation for nio2 changes.<br> * commit '5bdb797e4f545c6b16f44523cdab2500460f290d': refactoring in preparation for nio2 changes.	1	-1	 1842[0] commit[0] 7072b0706a63c3d1f15c784f937a635289f9c0cd[0] merge[0] e3cde43[0] 5bdb797[0] am[0] 5bdb797e[0] merge[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]] commit[0] '5bdb797e4f545c6b16f44523cdab2500460f290d'[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2193 commit 2d96b3f6884966d6f0f920bb305dcbdad107d9a1 merge: a5a51da 4370dc0 am 4370dc02: am 5bdb797e: merge "refactoring in preparation for nio2 changes." * commit '4370dc026c3c9f679f858ee6bbe7b7f56c290ca7': refactoring in preparation for nio2 changes. 	2193 commit 2d96b3f6884966d6f0f920bb305dcbdad107d9a1 merge: a5a51da 4370dc0 am 4370dc02: am 5bdb797e: merge "refactoring in preparation for nio2 changes.<br> * commit '4370dc026c3c9f679f858ee6bbe7b7f56c290ca7': refactoring in preparation for nio2 changes.	1	-1	 2193[0] commit[0] 2d96b3f6884966d6f0f920bb305dcbdad107d9a1[0] merge[0] a5a51da[0] 4370dc0[0] am[0] 4370dc02[0] am[0] 5bdb797e[0] merge[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]] commit[0] '4370dc026c3c9f679f858ee6bbe7b7f56c290ca7'[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2197 commit 4370dc026c3c9f679f858ee6bbe7b7f56c290ca7 merge: ba94d0c 5bdb797 am 5bdb797e: merge "refactoring in preparation for nio2 changes." * commit '5bdb797e4f545c6b16f44523cdab2500460f290d': refactoring in preparation for nio2 changes. 	2197 commit 4370dc026c3c9f679f858ee6bbe7b7f56c290ca7 merge: ba94d0c 5bdb797 am 5bdb797e: merge "refactoring in preparation for nio2 changes.<br> * commit '5bdb797e4f545c6b16f44523cdab2500460f290d': refactoring in preparation for nio2 changes.	1	-1	 2197[0] commit[0] 4370dc026c3c9f679f858ee6bbe7b7f56c290ca7[0] merge[0] ba94d0c[0] 5bdb797[0] am[0] 5bdb797e[0] merge[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]] commit[0] '5bdb797e4f545c6b16f44523cdab2500460f290d'[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2201 commit 5bdb797e4f545c6b16f44523cdab2500460f290d merge: e528b49 933fbbf merge "refactoring in preparation for nio2 changes." 	2201 commit 5bdb797e4f545c6b16f44523cdab2500460f290d merge: e528b49 933fbbf merge "refactoring in preparation for nio2 changes.	1	-1	 2201[0] commit[0] 5bdb797e4f545c6b16f44523cdab2500460f290d[0] merge[0] e528b49[0] 933fbbf[0] merge[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2204 commit 933fbbf606268eec9fc430632b8bca7002a833b3 refactoring in preparation for nio2 changes. making the various socket/channel classes more consistent with each other for synchronizing state between the channel, socket and the os. this is in preparation for networkchannel.bind(). synchronizing state revealed a test that relied upon a socket from a channel not reporting isconnected() properly after a connect(). tests have been updated. reading the local address back from the os revealed that android is using ipv6 and reports the string equivalent of ipv4's 0.0.0.0 as "::". updated a test that was relying on the string form. calling connect() twice on a datagramsocket appears inconsistent with itself and channel and other sockets. a pure datagramsocket switches over to the new remote address. i have changed the channel-backed datagramsocket to throw an illegalstateexception exception, and have created a bug to discuss making the calls more consistent. socket has been modified to avoid using the address field to store the local address after a bind(). this field is documented as holding the remote address, not the local. changed implementation of socketchannelimpl.socket().getinputstream() and socketchannelimpl.socket().getoutputstream() to use the one that is implemented by socket and not a custom nio-based implementation. the use of nio provided two parallel implementations for the same thing. this change alters behavior when attempting to read zero bytes and when a channel is in non-blocking mode: now it throws illegalblockingmodeexception rather than arrayindexoutofboundsexception. the tests have been updated. various tidying up changes to introduce @override, remove unnecessarily initialized local variables, fields, semi-colons, javadocs and imports. added close() calls for objects during tests that were cluttering the logs. modified iobridge.connect() to be void. adjusted socketchannelimpl accordingly and tidied up impossible cases. modified socketchannel.connect() so that it always returns false in non-blocking mode. this looks like an existing bug: it would previously have returned true, even though the connection was potentially still pending. tests have been added. also tidied up socketchannelimpl.finishconnect() - it was potentially resetting the isbound state. change-id: ic7943615b4b763f77e74397e0e91a62edc7d7017 bug: 12464155 	2204 commit 933fbbf606268eec9fc430632b8bca7002a833b3 refactoring in preparation for nio2 changes.<br> making the various socket/channel classes more consistent with each other for synchronizing state between the channel, socket and the os.<br> this is in preparation for networkchannel.<br>bind(<br> synchronizing state revealed a test that relied upon a socket from a channel not reporting isconnected( properly after a connect(<br> tests have been updated.<br> reading the local address back from the os revealed that android is using ipv6 and reports the string equivalent of ipv4's 0.0.0.0 as "<br> updated a test that was relying on the string form.<br> calling connect( twice on a datagramsocket appears inconsistent with itself and channel and other sockets.<br> a pure datagramsocket switches over to the new remote address.<br> i have changed the channel-backed datagramsocket to throw an illegalstateexception exception, and have created a bug to discuss making the calls more consistent.<br> socket has been modified to avoid using the address field to store the local address after a bind(<br> this field is documented as holding the remote address, not the local.<br> changed implementation of socketchannelimpl.<br>socket(<br>getinputstream( and socketchannelimpl.<br>socket(<br>getoutputstream( to use the one that is implemented by socket and not a custom nio-based implementation.<br> the use of nio provided two parallel implementations for the same thing.<br> this change alters behavior when attempting to read zero bytes and when a channel is in non-blocking mode: now it throws illegalblockingmodeexception rather than arrayindexoutofboundsexception.<br> the tests have been updated.<br> various tidying up changes to introduce @override, remove unnecessarily initialized local variables, fields, semi-colons, javadocs and imports.<br> added close( calls for objects during tests that were cluttering the logs.<br> modified iobridge.<br>connect( to be void.<br> adjusted socketchannelimpl accordingly and tidied up impossible cases.<br> modified socketchannel.<br>connect( so that it always returns false in non-blocking mode.<br> this looks like an existing bug: it would previously have returned true, even though the connection was potentially still pending.<br> tests have been added.<br> also tidied up socketchannelimpl.<br>finishconnect( - it was potentially resetting the isbound state.<br> change-id: ic7943615b4b763f77e74397e0e91a62edc7d7017 bug: 12464155	2	-2	 2204[0] commit[0] 933fbbf606268eec9fc430632b8bca7002a833b3[0] refactoring[0] in[0] preparation[0] for[0] nio2[0] changes[0] [[Sentence=-1,1=word max, 1-5]] making[0] the[0] various[0] socket/channel[0] classes[0] more[0] consistent[0] with[0] each[0] other[0] for[0] synchronizing[0] state[0] between[0] the[0] channel[0] socket[0] and[0] the[0] os[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] in[0] preparation[0] for[0] networkchannel[0] [[Sentence=-1,1=word max, 1-5]] bind[0] [[Sentence=-1,1=word max, 1-5]] synchronizing[0] state[0] revealed[0] a[0] test[0] that[0] relied[0] upon[0] a[0] socket[0] from[0] a[0] channel[0] not[0] reporting[0] isconnected[0] properly[0] after[0] a[0] connect[0] [[Sentence=-1,1=word max, 1-5]] tests[0] have[0] been[0] updated[0] [[Sentence=-1,1=word max, 1-5]] reading[0] the[0] local[0] address[0] back[0] from[0] the[0] os[0] revealed[0] that[0] android[0] is[0] using[0] ipv6[0] and[0] reports[0] the[0] string[0] equivalent[0] of[0] ipv4's[0] 0[0] .0[0] .0[0] .0[0] as[0] [[Sentence=-1,1=word max, 1-5]] updated[0] a[0] test[0] that[0] was[0] relying[0] on[0] the[0] string[0] form[0] [[Sentence=-1,1=word max, 1-5]] calling[0] connect[0] twice[0] on[0] a[0] datagramsocket[0] appears[0] inconsistent[0] with[0] itself[0] and[0] channel[0] and[0] other[0] sockets[0] [[Sentence=-1,1=word max, 1-5]] a[0] pure[0] datagramsocket[0] switches[0] over[0] to[0] the[0] new[0] remote[0] address[0] [[Sentence=-1,1=word max, 1-5]] i[0] have[0] changed[0] the[0] channel[0] backed[0] datagramsocket[0] to[0] throw[0] an[0] illegalstateexception[0] exception[0] and[0] have[0] created[0] a[0] bug[0] to[0] discuss[0] making[0] the[0] calls[0] more[0] consistent[0] [[Sentence=-1,1=word max, 1-5]] socket[0] has[0] been[0] modified[0] to[0] avoid[-1] using[0] the[0] address[0] field[0] to[0] store[0] the[0] local[0] address[0] after[0] a[0] bind[0] [[Sentence=-2,1=word max, 1-5]] this[0] field[0] is[0] documented[0] as[0] holding[0] the[0] remote[0] address[0] not[0] the[0] local[0] [[Sentence=-1,1=word max, 1-5]] changed[0] implementation[0] of[0] socketchannelimpl[0] [[Sentence=-1,1=word max, 1-5]] socket[0] [[Sentence=-1,1=word max, 1-5]] getinputstream[0] and[0] socketchannelimpl[0] [[Sentence=-1,1=word max, 1-5]] socket[0] [[Sentence=-1,1=word max, 1-5]] getoutputstream[0] to[0] use[0] the[0] one[0] that[0] is[0] implemented[0] by[0] socket[0] and[0] not[0] a[0] custom[0] nio[0] based[0] implementation[0] [[Sentence=-1,1=word max, 1-5]] the[0] use[0] of[0] nio[0] provided[0] two[0] parallel[0] implementations[0] for[0] the[0] same[0] thing[0] [[Sentence=-1,1=word max, 1-5]] this[0] change[0] alters[0] behavior[0] when[0] attempting[0] to[0] read[0] zero[0] bytes[0] and[0] when[0] a[0] channel[0] is[0] in[0] non[0] blocking[0] mode[0] now[0] it[0] throws[0] illegalblockingmodeexception[0] rather[0] than[0] arrayindexoutofboundsexception[0] [[Sentence=-1,1=word max, 1-5]] the[0] tests[0] have[0] been[0] updated[0] [[Sentence=-1,1=word max, 1-5]] various[0] tidying[0] up[0] changes[0] to[0] introduce[0] @override[0] remove[0] unnecessarily[-1] initialized[0] local[0] variables[0] fields[0] semi[0] colons[0] javadocs[0] and[0] imports[0] [[Sentence=-2,1=word max, 1-5]] added[0] close[0] calls[0] for[0] objects[0] during[0] tests[0] that[0] were[0] cluttering[-1] the[0] logs[0] [[Sentence=-2,1=word max, 1-5]] modified[0] iobridge[0] [[Sentence=-1,1=word max, 1-5]] connect[0] to[0] be[0] void[0] [[Sentence=-1,1=word max, 1-5]] adjusted[0] socketchannelimpl[0] accordingly[0] and[0] tidied[0] up[0] impossible[0] cases[0] [[Sentence=-1,1=word max, 1-5]] modified[0] socketchannel[0] [[Sentence=-1,1=word max, 1-5]] connect[0] so[0] that[0] it[0] always[0] returns[0] false[0] in[0] non[0] blocking[0] mode[0] [[Sentence=-1,1=word max, 1-5]] this[0] looks[0] like[0] an[0] existing[0] bug[0] it[0] would[0] previously[0] have[0] returned[0] true[1] even[0] though[0] the[0] connection[0] was[0] potentially[0] still[0] pending[0] [[Sentence=-1,2=word max, 1-5]] tests[0] have[0] been[0] added[0] [[Sentence=-1,1=word max, 1-5]] also[0] tidied[0] up[0] socketchannelimpl[0] [[Sentence=-1,1=word max, 1-5]] finishconnect[0] it[0] was[0] potentially[0] resetting[0] the[0] isbound[0] state[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ic7943615b4b763f77e74397e0e91a62edc7d7017[0] bug[0] 12464155[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
8542 commit ce1150d9897bd5baf66de4a8db132afce18be15a merge: 1c039d7 953df61 merge "refactor httpurlconnection implementation." into dalvik-dev 	8542 commit ce1150d9897bd5baf66de4a8db132afce18be15a merge: 1c039d7 953df61 merge "refactor httpurlconnection implementation.<br> into dalvik-dev	1	-1	 8542[0] commit[0] ce1150d9897bd5baf66de4a8db132afce18be15a[0] merge[0] 1c039d7[0] 953df61[0] merge[0] refactor[0] httpurlconnection[0] implementation[0] [[Sentence=-1,1=word max, 1-5]] into[0] dalvik[0] dev[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8543 commit 953df613522e12a418cb7cb73248594d6c9f53d4 refactor httpurlconnection implementation. break httpurlconnectionimpl into two parts: the part that implements the java api (that follows redirects etc.) and the part that speaks http. the http part is called httpengine, and it can only be used for a single http request. this makes it easier to set request properties that only apply to a single socket request. tests for 'vary', 'content-location' and warnings. for simplicity of implementation i've chosen not to support 'vary' at this time. the 'content-location' header doesn't require any work from the cache. warnings are ugly but allow the caller to identify when the cache results may be problematic. also breaking httpresponsecache's dependency on httpurlconnectionimpl so it can be tested on the ri. change-id: idbabb51251f479c2cdea4e0fceb029bfd07182be http://b/3180373 	8543 commit 953df613522e12a418cb7cb73248594d6c9f53d4 refactor httpurlconnection implementation.<br> break httpurlconnectionimpl into two parts: the part that implements the java api (that follows redirects etc.<br> and the part that speaks http.<br> the http part is called httpengine, and it can only be used for a single http request.<br> this makes it easier to set request properties that only apply to a single socket request.<br> tests for 'vary', 'content-location' and warnings.<br> for simplicity of implementation i've chosen not to support 'vary' at this time.<br> the 'content-location' header doesn't require any work from the cache.<br> warnings are ugly but allow the caller to identify when the cache results may be problematic.<br> also breaking httpresponsecache's dependency on httpurlconnectionimpl so it can be tested on the ri.<br> change-id: idbabb51251f479c2cdea4e0fceb029bfd07182be http://b/3180373	1	-3	 8543[0] commit[0] 953df613522e12a418cb7cb73248594d6c9f53d4[0] refactor[0] httpurlconnection[0] implementation[0] [[Sentence=-1,1=word max, 1-5]] break[0] httpurlconnectionimpl[0] into[0] two[0] parts[0] the[0] part[0] that[0] implements[0] the[0] java[0] api[0] that[0] follows[0] redirects[0] etc[0] [[Sentence=-1,1=word max, 1-5]] and[0] the[0] part[0] that[0] speaks[0] http[0] [[Sentence=-1,1=word max, 1-5]] the[0] http[0] part[0] is[0] called[0] httpengine[0] and[0] it[0] can[0] only[0] be[0] used[0] for[0] a[0] single[0] http[0] request[0] [[Sentence=-1,1=word max, 1-5]] this[0] makes[0] it[0] easier[0] to[0] set[0] request[0] properties[0] that[0] only[0] apply[0] to[0] a[0] single[0] socket[0] request[0] [[Sentence=-1,1=word max, 1-5]] tests[0] for[0] 'vary'[0] 'content[0] location'[0] and[0] warnings[0] [[Sentence=-1,1=word max, 1-5]] for[0] simplicity[0] of[0] implementation[0] i've[0] chosen[0] not[0] to[0] support[0] 'vary'[0] at[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]] the[0] 'content[0] location'[0] header[0] doesn't[0] require[0] any[0] work[0] from[0] the[0] cache[0] [[Sentence=-1,1=word max, 1-5]] warnings[0] are[0] ugly[-2] but[0] allow[0] the[0] caller[0] to[0] identify[0] when[0] the[0] cache[0] results[0] may[0] be[0] problematic[-1] [[Sentence=-3,1=word max, 1-5]] also[0] breaking[0] httpresponsecache's[0] dependency[0] on[0] httpurlconnectionimpl[0] so[0] it[0] can[0] be[0] tested[0] on[0] the[0] ri[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] idbabb51251f479c2cdea4e0fceb029bfd07182be[0] http[0] ://b/3180373[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
8650 commit 64ce5d1c72204de8e58da45ddf1a57ba8b70cec6 merge: d72e8da 50ddd34 merge "reduce chance of naming collision for thread @hide methods." into dalvik-dev 	8650 commit 64ce5d1c72204de8e58da45ddf1a57ba8b70cec6 merge: d72e8da 50dd34 merge "reduce chance of naming collision for thread @hide methods.<br> into dalvik-dev	1	-2	 8650[0] commit[0] 64ce5d1c72204de8e58da45ddf1a57ba8b70cec6[0] merge[0] d72e8da[0] 50ddd34/50dd34[0] merge[0] reduce[0] chance[0] of[0] naming[0] collision[-1] for[0] thread[0] @hide[0] methods[0] [[Sentence=-2,1=word max, 1-5]] into[0] dalvik[0] dev[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
8656 commit 50ddd34d1e1228c37ac45b43934cc114376f3667 reduce chance of naming collision for thread @hide methods. change-id: i80bdf4ede72b112eb1cae89c6e53f6fcf65b2acb http://code.google.com/p/android/issues/detail?id 15388 	8656 commit 50dd34d1e1228c37ac45b43934cc114376f3667 reduce chance of naming collision for thread @hide methods.<br> change-id: i80bdf4ede72b112eb1cae89c6e53f6fcf65b2acb http://code.<br>google.<br>com/p/android/issues/detail?<br>id 15388	1	-2	 8656[0] commit[0] 50ddd34d1e1228c37ac45b43934cc114376f3667/50dd34d1e1228c37ac45b43934cc114376f3667[0] reduce[0] chance[0] of[0] naming[0] collision[-1] for[0] thread[0] @hide[0] methods[0] [[Sentence=-2,1=word max, 1-5]] change[0] id[0] i80bdf4ede72b112eb1cae89c6e53f6fcf65b2acb[0] http[0] ://code[0] [[Sentence=-1,1=word max, 1-5]] google[0] [[Sentence=-1,1=word max, 1-5]] com/p/android/issues/detail[0] [[Sentence=-1,1=word max, 1-5]] id[0] 15388[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
9606 commit d7fd1b88b89ca762afe5609d84a8eedfb611cbe1 adding binary hprof support to samplingprofiler samplingprofiler refactored: - hprofdata is now a separate class, the common data structure - samplingprofiler uses hprofdata as its runtime format - asciihprofwriter refactored from profiler, takes an hprofdata - new binaryhprofwriter to output hprofdata in binary format - new binaryhprofreader can recreate hprofdata from binary file - new hprofbinarytoascii command line tool to convert formats dalvik/src/main/java/dalvik/system/samplingprofiler.java samplingprofilertest expanded to cover new hprofdata class directly. includes testing of conversion from various hand constructed hprofdata to ascii and binary formats as well as from binary back to hprofdata with out loss of data. dalvik/src/test/java/dalvik/system/samplingprofilertest.java change-id: i6fe06f5dbdbf2f0bf2de228d9761f84d75290ba7 	9606 commit d7fd1b88b89ca762afe5609d84a8eedfb611cbe1 adding binary hprof support to samplingprofiler samplingprofiler refactored: - hprofdata is now a separate class, the common data structure - samplingprofiler uses hprofdata as its runtime format - ascihprofwriter refactored from profiler, takes an hprofdata - new binaryhprofwriter to output hprofdata in binary format - new binaryhprofreader can recreate hprofdata from binary file - new hprofbinarytoasci command line tool to convert formats dalvik/src/main/java/dalvik/system/samplingprofiler.<br>java samplingprofilertest expanded to cover new hprofdata class directly.<br> includes testing of conversion from various hand constructed hprofdata to asci and binary formats as well as from binary back to hprofdata with out loss of data.<br> dalvik/src/test/java/dalvik/system/samplingprofilertest.<br>java change-id: i6fe06f5dbdbf2f0bf2de228d9761f84d75290ba7	1	-3	 9606[0] commit[0] d7fd1b88b89ca762afe5609d84a8eedfb611cbe1[0] adding[0] binary[0] hprof[0] support[0] to[0] samplingprofiler[0] samplingprofiler[0] refactored[0] hprofdata[0] is[0] now[0] a[0] separate[0] class[0] the[0] common[0] data[0] structure[0] samplingprofiler[0] uses[0] hprofdata[0] as[0] its[0] runtime[0] format[0] asciihprofwriter/ascihprofwriter[0] refactored[0] from[0] profiler[0] takes[0] an[0] hprofdata[0] new[0] binaryhprofwriter[0] to[0] output[0] hprofdata[0] in[0] binary[0] format[0] new[0] binaryhprofreader[0] can[0] recreate[0] hprofdata[0] from[0] binary[0] file[0] new[0] hprofbinarytoascii/hprofbinarytoasci[0] command[0] line[0] tool[0] to[0] convert[0] formats[0] dalvik/src/main/java/dalvik/system/samplingprofiler[0] [[Sentence=-1,1=word max, 1-5]] java[0] samplingprofilertest[0] expanded[0] to[0] cover[0] new[0] hprofdata[0] class[0] directly[0] [[Sentence=-1,1=word max, 1-5]] includes[0] testing[0] of[0] conversion[0] from[0] various[0] hand[0] constructed[0] hprofdata[0] to[0] ascii/asci[0] and[0] binary[0] formats[0] as[0] well[0] as[0] from[0] binary[0] back[0] to[0] hprofdata[0] with[0] out[0] loss[-2] of[0] data[0] [[Sentence=-3,1=word max, 1-5]] dalvik/src/test/java/dalvik/system/samplingprofilertest[0] [[Sentence=-1,1=word max, 1-5]] java[0] change[0] id[0] i6fe06f5dbdbf2f0bf2de228d9761f84d75290ba7[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
