Rename Class	Translation	Positive	Negative	EmotionRationale
585 commit bd524bf21c8c14ab66255bd28e53df2734584d73 (refactoring) calconstants -  caldiagnostic also remove public modifier on constants because all variables in an interface already are 	585 commit bd524bf21c8c14ab66255bd28e53df2734584d73 (refactoring) calconstants -  caldiagnostic also remove public modifier on constants because all variables in an interface already are	1	-1	 585[0] commit[0] bd524bf21c8c14ab66255bd28e53df2734584d73[0] refactoring[0] calconstants[0] caldiagnostic[0] also[0] remove[0] public[0] modifier[0] on[0] constants[0] because[0] all[0] variables[0] in[0] an[0] interface[0] already[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1078 commit 791f7f210b93f89f41ef51dd0d515a2c3e499134 (refactoring) change calxxxparticipant names, to replace them 	1078 commit 791f7f210b93f89f41ef51dd0d515a2c3e499134 (refactoring) change calxparticipant names, to replace them	1	-1	 1078[0] commit[0] 791f7f210b93f89f41ef51dd0d515a2c3e499134[0] refactoring[0] change[0] calxxxparticipant/calxparticipant[0] names[0] to[0] replace[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1173 commit cc7b321cec6db76076ead17cdbe84e4c9c8c934b merge: 538ca19 bde1d8d merge branch 'properties_refactoring' 	1173 commit cc7b321cec6db76076ead17cdbe84e4c9c8c934b merge: 538ca19 bde1d8d merge branch 'properties_refactoring'	1	-1	 1173[0] commit[0] cc7b321cec6db76076ead17cdbe84e4c9c8c934b[0] merge[0] 538ca19[0] bde1d8d[0] merge[0] branch[0] 'properties_refactoring'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1184 commit 0e81cd7dd0879a086eb98188b1903f8efef08d27 (gui) refactoring grouptoinstancefeature -  groupinstancesfeature 	1184 commit 0e81cd7dd0879a086eb98188b1903f8efef08d27 (gui) refactoring grouptoinstancefeature -  groupinstancesfeature	1	-1	 1184[0] commit[0] 0e81cd7dd0879a086eb98188b1903f8efef08d27[0] gui[0] refactoring[0] grouptoinstancefeature[0] groupinstancesfeature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1374 commit 120e61db00b61124b0b9f377535b9804cb7031d3 refactoring instance parameters become instance arguments. this is coherent with call procedure (which defines parameters) and the call of this procedure (which uses arguments) 	1374 commit 120e61db00b61124b0b9f377535b9804cb7031d3 refactoring instance parameters become instance arguments.<br> this is coherent with call procedure (which defines parameters) and the call of this procedure (which uses arguments)	1	-2	 1374[0] commit[0] 120e61db00b61124b0b9f377535b9804cb7031d3[0] refactoring[0] instance[0] parameters[0] become[0] instance[0] arguments[-1] [[Sentence=-2,1=word max, 1-5]] this[0] is[0] coherent[0] with[0] call[0] procedure[0] which[0] defines[0] parameters[0] and[0] the[0] call[0] of[0] this[0] procedure[0] which[0] uses[0] arguments[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2162 commit 850f3c47cbac4f0bf5a554f14de022db0efae43e (merger) code cleaning. 	2162 commit 850f3c47cbac4f0bf5a554f14de022db0efae43e (merger) code cleaning.	1	-1	 2162[0] commit[0] 850f3c47cbac4f0bf5a554f14de022db0efae43e[0] merger[0] code[0] cleaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3199 commit 4f7c2b93f704a9c0d1c9b021fdbd7167b1d2f56a (core) refactore the static normalizer to make easier its use with the qsdf normalizer. 	3199 commit 4f7c2b93f704a9c0d1c9b021fdbd7167b1d2f56a (core) refactore the static normalizer to make easier its use with the qsdf normalizer.	1	-1	 3199[0] commit[0] 4f7c2b93f704a9c0d1c9b021fdbd7167b1d2f56a[0] core[0] refactore[0] the[0] static[0] normalizer[0] to[0] make[0] easier[0] its[0] use[0] with[0] the[0] qsdf[0] normalizer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3521 commit 8ed075e8b455adfed289c664138f844496e6a339 (tta) refactoring. 	3521 commit 8ed075e8b455adfed289c664138f84496e6a339 (tta) refactoring.	1	-1	 3521[0] commit[0] 8ed075e8b455adfed289c664138f844496e6a339/8ed075e8b455adfed289c664138f84496e6a339[0] tta[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3575 commit 73108d48da30c48550c15b58e1cc82f4dfb04a0e (tta) big refactoring to enable the mapping of several actors on the same processor. first, the whole design is build from the network and the mapping. then, the hardware code is generated from the design. 	3575 commit 73108d48da30c48550c15b58e1cc82f4dfb04a0e (tta) big refactoring to enable the mapping of several actors on the same processor.<br> first, the whole design is build from the network and the mapping.<br> then, the hardware code is generated from the design.	1	-1	 3575[0] commit[0] 73108d48da30c48550c15b58e1cc82f4dfb04a0e[0] tta[0] big[0] refactoring[0] to[0] enable[0] the[0] mapping[0] of[0] several[0] actors[0] on[0] the[0] same[0] processor[0] [[Sentence=-1,1=word max, 1-5]] first[0] the[0] whole[0] design[0] is[0] build[0] from[0] the[0] network[0] and[0] the[0] mapping[0] [[Sentence=-1,1=word max, 1-5]] then[0] the[0] hardware[0] code[0] is[0] generated[0] from[0] the[0] design[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4215 commit 00aa83a54a0f5cc13717235b0411bb0ae99e426a (refactoring) unifying network and actor visitors 	4215 commit 00a83a54a0f5cc13717235b0411bb0ae99e426a (refactoring) unifying network and actor visitors	1	-1	 4215[0] commit[0] 00aa83a54a0f5cc13717235b0411bb0ae99e426a/00a83a54a0f5cc13717235b0411bb0ae99e426a[0] refactoring[0] unifying[0] network[0] and[0] actor[0] visitors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4299 commit 1476e2f50cce0372214ce077f89053dc20416c60 refactore ssa/3ac transformations. 	4299 commit 1476e2f50cce0372214ce077f89053dc20416c60 refactore ssa/3ac transformations.	1	-1	 4299[0] commit[0] 1476e2f50cce0372214ce077f89053dc20416c60[0] refactore[0] ssa/3ac[0] transformations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4388 commit 913c7e35fb630b50f30fd993eac0ffacbc6838d2 (front-end) refactoring in asttransformer: now exprtransformer and stmttransformer are created when necessary 	4388 commit 913c7e35fb630b50f30fd993eac0ffacbc6838d2 (front-end) refactoring in asttransformer: now exprtransformer and stmttransformer are created when necessary	1	-1	 4388[0] commit[0] 913c7e35fb630b50f30fd993eac0ffacbc6838d2[0] front[0] end[0] refactoring[0] in[0] asttransformer[0] now[0] exprtransformer[0] and[0] stmttransformer[0] are[0] created[0] when[0] necessary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4493 commit 1e84f4a0a27453f5974747e19d0b5b72db4b9236 (back-ends) refactoring printer classes 	4493 commit 1e84f4a0a27453f5974747e19d0b5b72db4b9236 (back-ends) refactoring printer classes	1	-1	 4493[0] commit[0] 1e84f4a0a27453f5974747e19d0b5b72db4b9236[0] back[0] ends[0] refactoring[0] printer[0] classes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
