Rename Method	Translation	Positive	Negative	EmotionRationale
167 commit 802de810020fba3f86282cd1d66597a2a41698e3 preview support in the templates this changeset adds a preview page to the end of the template wizards which shows the changes to be applied to the project - first the files which were edited (merged), such as the manifest file in the case of a new activity, and second the text files to be created, and third the binary files to be created. in addition, the user can now uncheck any of these changes, if for example the manifest file edit isn't wanted. furthermore, the now that the changes are computed up front, the phase of applying the changes is run in the background with a progress bar in the new-wizard. there's also some consolidation of the various template wizards to handle things like the upgrade-page and the dependency-page in one place. infrastructure wise this changes the template instantiation from being based on file manipulation to using the refactoring infrastructure's change support, which should be more reliable. it also fixes a bug where projects were marked as library projects which should not have be. change-id: i496761f01c7ec28bf9170e4d1041211e3ebe285b 	167 commit 802de810020fba3f86282cd1d66597a2a41698e3 preview support in the templates this changeset adds a preview page to the end of the template wizards which shows the changes to be applied to the project - first the files which were edited (merged) such as the manifest file in the case of a new activity, and second the text files to be created, and third the binary files to be created.<br> in addition, the user can now uncheck any of these changes, if for example the manifest file edit isn't wanted.<br> furthermore, the now that the changes are computed up front, the phase of applying the changes is run in the background with a progress bar in the new-wizard.<br> there's also some consolidation of the various template wizards to handle things like the upgrade-page and the dependency-page in one place.<br> infrastructure wise this changes the template instantiation from being based on file manipulation to using the refactoring infrastructure's change support, which should be more reliable.<br> it also fixes a bug where projects were marked as library projects which should not have be.<br> change-id: i496761f01c7ec28bf9170e4d1041211e3ebe285b	1	-2	 167[0] commit[0] 802de810020fba3f86282cd1d66597a2a41698e3[0] preview[0] support[0] in[0] the[0] templates[0] this[0] changeset[0] adds[0] a[0] preview[0] page[0] to[0] the[0] end[0] of[0] the[0] template[0] wizards[0] which[0] shows[0] the[0] changes[0] to[0] be[0] applied[0] to[0] the[0] project[0] first[0] the[0] files[0] which[0] were[0] edited[0] merged[0] such[0] as[0] the[0] manifest[0] file[0] in[0] the[0] case[0] of[0] a[0] new[0] activity[0] and[0] second[0] the[0] text[0] files[0] to[0] be[0] created[0] and[0] third[0] the[0] binary[0] files[0] to[0] be[0] created[0] [[Sentence=-1,1=word max, 1-5]] in[0] addition[0] the[0] user[0] can[0] now[0] uncheck[0] any[0] of[0] these[0] changes[0] if[0] for[0] example[0] the[0] manifest[0] file[0] edit[0] isn't[0] wanted[0] [[Sentence=-1,1=word max, 1-5]] furthermore[0] the[0] now[0] that[0] the[0] changes[0] are[0] computed[0] up[0] front[0] the[0] phase[0] of[0] applying[0] the[0] changes[0] is[0] run[0] in[0] the[0] background[0] with[0] a[0] progress[0] bar[0] in[0] the[0] new[0] wizard[0] [[Sentence=-1,1=word max, 1-5]] there's[0] also[0] some[0] consolidation[0] of[0] the[0] various[0] template[0] wizards[0] to[0] handle[0] things[0] like[0] the[0] upgrade[0] page[0] and[0] the[0] dependency[0] page[0] in[0] one[0] place[0] [[Sentence=-1,1=word max, 1-5]] infrastructure[0] wise[0] this[0] changes[0] the[0] template[0] instantiation[0] from[0] being[0] based[0] on[0] file[0] manipulation[-1] to[0] using[0] the[0] refactoring[0] infrastructure's[0] change[0] support[0] which[0] should[0] be[0] more[0] reliable[0] [[Sentence=-2,1=word max, 1-5]] it[0] also[0] fixes[0] a[0] bug[0] where[0] projects[0] were[0] marked[0] as[0] library[0] projects[0] which[0] should[0] not[0] have[0] be[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i496761f01c7ec28bf9170e4d1041211e3ebe285b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
840 commit 6462650a787c96cbb371d6aca201af3d613aad24 sdk manager dialog to enable 3rd party addons. - change addonuser dialog: transform current dialog in 2 pages. one is for user to add custom addon site urls (like the dialog was doing before, unchanged.) - other tab is to select which official addon sites should be enabled. - support enable/disable state for each source. - display disabled sources as such in the tree when in "per-repository" view. - persist the enable bit state via local pref file. - refactor a few inner classes out of packagespage. change-id: icc8e392d90550e53f1c76dd7aefb31669219973b 	840 commit 6462650a787c96cbb371d6aca201af3d613ad24 sdk manager dialog to enable 3rd party addons.<br> - change addonuser dialog: transform current dialog in 2 pages.<br> one is for user to add custom addon site urls (like the dialog was doing before, unchanged.<br> - other tab is to select which official addon sites should be enabled.<br> - support enable/disable state for each source.<br> - display disabled sources as such in the tree when in "per-repository" view.<br> - persist the enable bit state via local pref file.<br> - refactor a few inner classes out of packagespage.<br> change-id: icc8e392d90550e53f1c76dd7aefb31669219973b	1	-2	 840[0] commit[0] 6462650a787c96cbb371d6aca201af3d613aad24/6462650a787c96cbb371d6aca201af3d613ad24[0] sdk[0] manager[0] dialog[0] to[0] enable[0] 3rd[0] party[0] addons[0] [[Sentence=-1,1=word max, 1-5]] change[0] addonuser[0] dialog[0] transform[0] current[0] dialog[0] in[0] 2[0] pages[0] [[Sentence=-1,1=word max, 1-5]] one[0] is[0] for[0] user[0] to[0] add[0] custom[0] addon[0] site[0] urls[0] like[0] the[0] dialog[0] was[0] doing[0] before[0] unchanged[0] [[Sentence=-1,1=word max, 1-5]] other[0] tab[0] is[0] to[0] select[0] which[0] official[0] addon[0] sites[0] should[0] be[0] enabled[0] [[Sentence=-1,1=word max, 1-5]] support[0] enable/disable[0] state[0] for[0] each[0] source[-1] [[Sentence=-2,1=word max, 1-5]] display[0] disabled[0] sources[-1] as[0] such[0] in[0] the[0] tree[0] when[0] in[0] per[0] repository[0] view[0] [[Sentence=-2,1=word max, 1-5]] persist[0] the[0] enable[0] bit[0] state[0] via[0] local[0] pref[0] file[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] a[0] few[0] inner[0] classes[0] out[0] of[0] packagespage[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] icc8e392d90550e53f1c76dd7aefb31669219973b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
952 commit f7900cb4967f007c9d2034d442dbc63445e9200a sdkcontroller: multitouch handler activity. also refactor some common code from the sensoractivity into the basebindingactivity. also rework the handler-to-ui update mechanism. change-id: i0a38b16ae2b2b4adb802298793cefa51b1a73104 	952 commit f7900cb4967f007c9d2034d442dbc63445e9200a sdkcontroller: multitouch handler activity.<br> also refactor some common code from the sensoractivity into the basebindingactivity.<br> also rework the handler-to-ui update mechanism.<br> change-id: i0a38b16ae2b2b4adb802298793cefa51b1a73104	1	-1	 952[0] commit[0] f7900cb4967f007c9d2034d442dbc63445e9200a[0] sdkcontroller[0] multitouch[0] handler[0] activity[0] [[Sentence=-1,1=word max, 1-5]] also[0] refactor[0] some[0] common[0] code[0] from[0] the[0] sensoractivity[0] into[0] the[0] basebindingactivity[0] [[Sentence=-1,1=word max, 1-5]] also[0] rework[0] the[0] handler[0] to[0] ui[0] update[0] mechanism[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i0a38b16ae2b2b4adb802298793cefa51b1a73104[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1713 commit 3ce45b249f898697ae82e8c6dd045966227f3438 lint infrastructure improvements this changeset fixes a bunch of issues in the infrastructure: (1) it cleans up the context class quite a bit. it had some hardcoded xml stuff in it, which is now in a separate xmlcontext class (and there will be a javacontext class in the java support cl). it also hides a bunch of public fields, cleans up some unused stuff, and introduces a couple of wrapper methods to make detector code cleaner; in particular, rather than calling context.client.report(context, ... you can now just call context.report(... and similarly there are wrappers for logging and checking for disabled issues. (2) the iparser interface is renamed to idomparser since in the next cl there will also be an ijavaparser. some other related cleanup. (3) there is now a "location.handle" interface. this allows detectors to create light-weight location holders, and later on call handle.resolve() to create a full-fledged location. this is useful when detectors don't yet know whether they'll need a location for a node, but want to store it for later in case they do. as an example, the unused resource detector creates location handles for declaration and only resolves full locations for those that are found to be unused. locations can now carry custom messages. for example, for a duplicate id error, the secondary location now contains a "original declaration here" message. and the cli and html reports now include alternate locations in the output. some other location cleanup too; using factory methods to make the code cleaner, some default implementations that can be shared, etc. (4) there's a new sdk info class intended to provide sdk information from a tool client (such as resource resolution). it currently just contains parent-view information, used for the obsoletelayoutparams detector and an upcoming cl for a viewtypedetector. (5) the detector class now provides dummy implementations for the inner-interfaces, so we no longer need the adapter classes. this makes it easy to implement the xmlscanner or javascanner interfaces without needing to also stub out a bunch of methods. change-id: i4b3aaabe51febb25b000f9086703653bea6cf7c9 	1713 commit 3ce45b249f898697ae82e8c6dd045966227f3438 lint infrastructure improvements this changeset fixes a bunch of issues in the infrastructure: (1) it cleans up the context class quite a bit.<br> it had some hardcoded xml stuff in it, which is now in a separate xmlcontext class (and there will be a javacontext class in the java support cl)<br> it also hides a bunch of public fields, cleans up some unused stuff, and introduces a couple of wrapper methods to make detector code cleaner; in particular, rather than calling context.<br>client.<br>report(context, .<br> you can now just call context.<br>report(<br> and similarly there are wrappers for logging and checking for disabled issues.<br> (2) the iparser interface is renamed to idomparser since in the next cl there will also be an ijavaparser.<br> some other related cleanup.<br> (3) there is now a "location.<br>handle" interface.<br> this allows detectors to create light-weight location holders, and later on call handle.<br>resolve( to create a full-fledged location.<br> this is useful when detectors don't yet know whether they'll need a location for a node, but want to store it for later in case they do.<br> as an example, the unused resource detector creates location handles for declaration and only resolves full locations for those that are found to be unused.<br> locations can now carry custom messages.<br> for example, for a duplicate id error, the secondary location now contains a "original declaration here" message.<br> and the cli and html reports now include alternate locations in the output.<br> some other location cleanup too; using factory methods to make the code cleaner, some default implementations that can be shared, etc.<br> (4) there's a new sdk info class intended to provide sdk information from a tool client (such as resource resolution)<br> it currently just contains parent-view information, used for the obsoletelayoutparams detector and an upcoming cl for a viewtypedetector.<br> (5) the detector class now provides dummy implementations for the inner-interfaces, so we no longer need the adapter classes.<br> this makes it easy to implement the xmlscanner or javascanner interfaces without needing to also stub out a bunch of methods.<br> change-id: i4b3abe51febb25b00f9086703653bea6cf7c9	2	-1	 1713[0] commit[0] 3ce45b249f898697ae82e8c6dd045966227f3438[0] lint[0] infrastructure[0] improvements[1] this[0] changeset[0] fixes[0] a[0] bunch[0] of[0] issues[0] in[0] the[0] infrastructure[0] (1[0] it[0] cleans[0] up[0] the[0] context[0] class[0] quite[0] a[0] bit[0] [[Sentence=-1,2=word max, 1-5]] it[0] had[0] some[0] hardcoded[0] xml[0] stuff[0] in[0] it[0] which[0] is[0] now[0] in[0] a[0] separate[0] xmlcontext[0] class[0] and[0] there[0] will[0] be[0] a[0] javacontext[0] class[0] in[0] the[0] java[0] support[0] cl[0] [[Sentence=-1,1=word max, 1-5]] it[0] also[0] hides[0] a[0] bunch[0] of[0] public[0] fields[0] cleans[0] up[0] some[0] unused[0] stuff[0] and[0] introduces[0] a[0] couple[0] of[0] wrapper[0] methods[0] to[0] make[0] detector[0] code[0] cleaner[0] in[0] particular[0] rather[0] than[0] calling[0] context[0] [[Sentence=-1,1=word max, 1-5]] client[0] [[Sentence=-1,1=word max, 1-5]] report[0] context[0] [[Sentence=-1,1=word max, 1-5]] you[0] can[0] now[0] just[0] call[0] context[0] [[Sentence=-1,1=word max, 1-5]] report[0] [[Sentence=-1,1=word max, 1-5]] and[0] similarly[0] there[0] are[0] wrappers[0] for[0] logging[0] and[0] checking[0] for[0] disabled[0] issues[0] [[Sentence=-1,1=word max, 1-5]] (2[0] the[0] iparser[0] interface[0] is[0] renamed[0] to[0] idomparser[0] since[0] in[0] the[0] next[0] cl[0] there[0] will[0] also[0] be[0] an[0] ijavaparser[0] [[Sentence=-1,1=word max, 1-5]] some[0] other[0] related[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]] (3[0] there[0] is[0] now[0] a[0] location[0] [[Sentence=-1,1=word max, 1-5]] handle[0] interface[0] [[Sentence=-1,1=word max, 1-5]] this[0] allows[0] detectors[0] to[0] create[0] light[0] weight[0] location[0] holders[0] and[0] later[0] on[0] call[0] handle[0] [[Sentence=-1,1=word max, 1-5]] resolve[0] to[0] create[0] a[0] full[0] fledged[0] location[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] useful[1] when[0] detectors[0] don't[0] yet[0] know[0] whether[0] they'll[0] need[0] a[0] location[0] for[0] a[0] node[0] but[0] want[0] to[0] store[0] it[0] for[0] later[0] in[0] case[0] they[0] do[0] [[Sentence=-1,2=word max, 1-5]] as[0] an[0] example[0] the[0] unused[0] resource[0] detector[0] creates[0] location[0] handles[0] for[0] declaration[0] and[0] only[0] resolves[1] full[0] locations[0] for[0] those[0] that[0] are[0] found[0] to[0] be[0] unused[0] [[Sentence=-1,2=word max, 1-5]] locations[0] can[0] now[0] carry[0] custom[0] messages[0] [[Sentence=-1,1=word max, 1-5]] for[0] example[0] for[0] a[0] duplicate[0] id[0] error[0] the[0] secondary[0] location[0] now[0] contains[0] a[0] original[0] declaration[0] here[0] message[0] [[Sentence=-1,1=word max, 1-5]] and[0] the[0] cli[0] and[0] html[0] reports[0] now[0] include[0] alternate[0] locations[0] in[0] the[0] output[0] [[Sentence=-1,1=word max, 1-5]] some[0] other[0] location[0] cleanup[0] too[0] using[0] factory[0] methods[0] to[0] make[0] the[0] code[0] cleaner[0] some[0] default[-1][--1 LastWordBoosterStrength] implementations[0] that[0] can[0] be[0] shared[0] etc[0] [[Sentence=-1,1=word max, 1-5]] (4[0] there's[0] a[0] new[0] sdk[0] info[0] class[0] intended[0] to[0] provide[0] sdk[0] information[0] from[0] a[0] tool[0] client[0] such[0] as[0] resource[0] resolution[0] [[Sentence=-1,1=word max, 1-5]] it[0] currently[0] just[0] contains[0] parent[0] view[0] information[0] used[0] for[0] the[0] obsoletelayoutparams[0] detector[0] and[0] an[0] upcoming[0] cl[0] for[0] a[0] viewtypedetector[0] [[Sentence=-1,1=word max, 1-5]] (5[0] the[0] detector[0] class[0] now[0] provides[0] dummy[0] implementations[0] for[0] the[0] inner[0] interfaces[0] so[0] we[0] no[0] longer[0] need[0] the[0] adapter[0] classes[0] [[Sentence=-1,1=word max, 1-5]] this[0] makes[0] it[0] easy[0] to[0] implement[0] the[0] xmlscanner[0] or[0] javascanner[0] interfaces[0] without[0] needing[0] to[0] also[0] stub[0] out[0] a[0] bunch[0] of[0] methods[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i4b3aaabe51febb25b000f9086703653bea6cf7c9/i4b3abe51febb25b00f9086703653bea6cf7c9[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2653 commit 78d3947aeebf2d8c0d17fe35d0fd94e53013b60e add/remove wrap_content when converting gridlayouts in gridlayout, the layout_width and layout_height attributes use wrap_content by default. we already avoid setting these on the elements themselves when dragging into the layout, but this changeset makes the change layout refactoring remove wrap_content attributes when converting to gridlayout, and adding them when converting from a gridlayout. when changing layouts, any layout params that are supported on the old parent layout, but not the new layout, are removed. however, this was not done for the non-layout attributes on the parent layout. this changeset also fixes that bug, so for example after converting a horizontal linearlayout to a relativelayout, the "orientation" attribute is removed. change-id: id25b80b567578bd5882c527bbe23115577ff7d61 	2653 commit 78d3947aeebf2d8c0d17fe35d0fd94e53013b60e add/remove wrap_content when converting gridlayouts in gridlayout, the layout_width and layout_height attributes use wrap_content by default.<br> we already avoid setting these on the elements themselves when dragging into the layout, but this changeset makes the change layout refactoring remove wrap_content attributes when converting to gridlayout, and adding them when converting from a gridlayout.<br> when changing layouts, any layout params that are supported on the old parent layout, but not the new layout, are removed.<br> however, this was not done for the non-layout attributes on the parent layout.<br> this changeset also fixes that bug, so for example after converting a horizontal linearlayout to a relativelayout, the "orientation" attribute is removed.<br> change-id: id25b80b567578bd5882c527bbe23115577ff7d61	2	-2	 2653[0] commit[0] 78d3947aeebf2d8c0d17fe35d0fd94e53013b60e[0] add/remove[0] wrap_content[0] when[0] converting[0] gridlayouts[0] in[0] gridlayout[0] the[0] layout_width[0] and[0] layout_height[0] attributes[0] use[0] wrap_content[0] by[0] default[-1] [[Sentence=-2,1=word max, 1-5]] we[0] already[0] avoid[-1] setting[0] these[0] on[0] the[0] elements[0] themselves[0] when[0] dragging[0] into[0] the[0] layout[0] but[0] this[0] changeset[0] makes[0] the[0] change[0] layout[0] refactoring[0] remove[0] wrap_content[0] attributes[0] when[0] converting[0] to[0] gridlayout[0] and[0] adding[0] them[0] when[0] converting[0] from[0] a[0] gridlayout[0] [[Sentence=-2,1=word max, 1-5]] when[0] changing[0] layouts[0] any[0] layout[0] params[0] that[0] are[0] supported[1] on[0] the[0] old[0] parent[0] layout[0] but[0] not[0] the[0] new[0] layout[0] are[0] removed[0] [[Sentence=-1,2=word max, 1-5]] however[0] this[0] was[0] not[0] done[0] for[0] the[0] non[0] layout[0] attributes[0] on[0] the[0] parent[0] layout[0] [[Sentence=-1,1=word max, 1-5]] this[0] changeset[0] also[0] fixes[0] that[0] bug[0] so[0] for[0] example[0] after[0] converting[0] a[0] horizontal[0] linearlayout[0] to[0] a[0] relativelayout[0] the[0] orientation[0] attribute[0] is[0] removed[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] id25b80b567578bd5882c527bbe23115577ff7d61[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
3235 commit 122ed4977a42719239e501fc522592994267bd9d sdkmanager: fix issue with double-packages on reload. rewrote the merge in place   sort of packages by api. did some refactoring   added some unit tests. change-id: i168b306853185866606ed76c324a8db6051b15bb 	3235 commit 122ed4977a42719239e501fc522592994267bd9d sdkmanager: fix issue with double-packages on reload.<br> rewrote the merge in place   sort of packages by api.<br> did some refactoring   added some unit tests.<br> change-id: i168b30685318586606ed76c324a8db6051b15bb	1	-1	 3235[0] commit[0] 122ed4977a42719239e501fc522592994267bd9d[0] sdkmanager[0] fix[0] issue[0] with[0] double[0] packages[0] on[0] reload[0] [[Sentence=-1,1=word max, 1-5]] rewrote[0] the[0] merge[0] in[0] place[0] sort[0] of[0] packages[0] by[0] api[0] [[Sentence=-1,1=word max, 1-5]] did[0] some[0] refactoring[0] added[0] some[0] unit[0] tests[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i168b306853185866606ed76c324a8db6051b15bb/i168b30685318586606ed76c324a8db6051b15bb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3761 commit eacf5a536e29b366e6e2dcf6a80d86ad5241734c make extract include search in all files this changeset makes the "extract include" refactoring search not just the configuration-variations of the layout it was invoked on, but it will look for semantically identical xml fragments in all layouts in the same project, and will offer to replace each one of them with the new include. change-id: i03abf9e285d416e91b45eec7e01f518ea8d017d9 	3761 commit eacf5a536e29b366e6e2dcf6a80d86ad5241734c make extract include search in all files this changeset makes the "extract include" refactoring search not just the configuration-variations of the layout it was invoked on, but it will look for semantically identical xml fragments in all layouts in the same project, and will offer to replace each one of them with the new include.<br> change-id: i03abf9e285d416e91b45eec7e01f518ea8d017d9	1	-1	 3761[0] commit[0] eacf5a536e29b366e6e2dcf6a80d86ad5241734c[0] make[0] extract[0] include[0] search[0] in[0] all[0] files[0] this[0] changeset[0] makes[0] the[0] extract[0] include[0] refactoring[0] search[0] not[0] just[0] the[0] configuration[0] variations[0] of[0] the[0] layout[0] it[0] was[0] invoked[0] on[0] but[0] it[0] will[0] look[0] for[0] semantically[0] identical[0] xml[0] fragments[0] in[0] all[0] layouts[0] in[0] the[0] same[0] project[0] and[0] will[0] offer[0] to[0] replace[0] each[0] one[0] of[0] them[0] with[0] the[0] new[0] include[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i03abf9e285d416e91b45eec7e01f518ea8d017d9[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3809 commit 9a802fd306aa12da7a5c770868ec16fb4c5621a5 merge: d7c4ca2 52188bb merge "sdk manager 2: refactor window implementation." 	3809 commit 9a802fd306a12da7a5c770868ec16fb4c5621a5 merge: d7c4ca2 52188bb merge "sdk manager 2: refactor window implementation.	1	-1	 3809[0] commit[0] 9a802fd306aa12da7a5c770868ec16fb4c5621a5/9a802fd306a12da7a5c770868ec16fb4c5621a5[0] merge[0] d7c4ca2[0] 52188bb[0] merge[0] sdk[0] manager[0] 2[0] refactor[0] window[0] implementation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3826 commit 52188bba8b3c61e9aafd5b0da4c173209a480d4e sdk manager 2: refactor window implementation. the previous patch based the implementation of the new window on top of the old updaterwindowimpl. although that works since there are many things in common, in practice the goal is to get rid of the old one eventually so it's easier to not add a dependency that needs to be removed later. change-id: ic1eac19dcc7e91d6750b7462eb2d28b447acad3a 	3826 commit 52188bba8b3c61e9afd5b0da4c173209a480d4e sdk manager 2: refactor window implementation.<br> the previous patch based the implementation of the new window on top of the old updaterwindowimpl.<br> although that works since there are many things in common, in practice the goal is to get rid of the old one eventually so it's easier to not add a dependency that needs to be removed later.<br> change-id: ic1eac19dcc7e91d6750b7462eb2d28b447acad3a	1	-2	 3826[0] commit[0] 52188bba8b3c61e9aafd5b0da4c173209a480d4e/52188bba8b3c61e9afd5b0da4c173209a480d4e[0] sdk[0] manager[0] 2[0] refactor[0] window[0] implementation[0] [[Sentence=-1,1=word max, 1-5]] the[0] previous[0] patch[0] based[0] the[0] implementation[0] of[0] the[0] new[0] window[0] on[0] top[0] of[0] the[0] old[0] updaterwindowimpl[0] [[Sentence=-1,1=word max, 1-5]] although[0] that[0] works[0] since[0] there[0] are[0] many[0] things[0] in[0] common[0] in[0] practice[0] the[0] goal[0] is[0] to[0] get[0] rid[-1] of[0] the[0] old[0] one[0] eventually[0] so[0] it's[0] easier[0] to[0] not[0] add[0] a[0] dependency[0] that[0] needs[0] to[0] be[0] removed[0] later[0] [[Sentence=-2,1=word max, 1-5]] change[0] id[0] ic1eac19dcc7e91d6750b7462eb2d28b447acad3a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3973 commit 9e6db060854d0e890190919a27a1846f50f69d1a extract as include support for configuration variations first, add support for the "extract as include" refactoring to update all identical code fragments in configuration variations of the same file. for example, if you have a particular subtree of xml elements in a file that you have then duplicated into say a landscape mode, then applying the extract as include refactoring will locate the same code fragment in both files, and replace *both* code fragments with an include (and this is optional with a checkbox in the wizard dialog). this only happens when the extracted code fragment is "identical" in both files. the code fragments can vary in terms of xml formatting and attribute order (and namespace prefix choice), but the element hierarchy order, names, attributes defined and attribute values must be identical. second, make fixes to the change layout and change widget type refactorings such that when the id of the converted element is changed, then references to that id are updated as well. third, ensure that the refactorings are enabled even when there is no text selection; in that case the refactoring will apply to the element containing the caret. some test infrastructure improvements. change-id: idb4ba40f4217dba2b13881b3d06e269c80ba4b97 	3973 commit 9e6db060854d0e890190919a27a1846f50f69d1a extract as include support for configuration variations first, add support for the "extract as include" refactoring to update all identical code fragments in configuration variations of the same file.<br> for example, if you have a particular subtree of xml elements in a file that you have then duplicated into say a landscape mode, then applying the extract as include refactoring will locate the same code fragment in both files, and replace *both* code fragments with an include (and this is optional with a checkbox in the wizard dialog)<br> this only happens when the extracted code fragment is "identical" in both files.<br> the code fragments can vary in terms of xml formatting and attribute order (and namespace prefix choice) but the element hierarchy order, names, attributes defined and attribute values must be identical.<br> second, make fixes to the change layout and change widget type refactorings such that when the id of the converted element is changed, then references to that id are updated as well.<br> third, ensure that the refactorings are enabled even when there is no text selection; in that case the refactoring will apply to the element containing the caret.<br> some test infrastructure improvements.<br> change-id: idb4ba40f4217dba2b13881b3d06e269c80ba4b97	2	-1	 3973[0] commit[0] 9e6db060854d0e890190919a27a1846f50f69d1a[0] extract[0] as[0] include[0] support[0] for[0] configuration[0] variations[0] first[0] add[0] support[0] for[0] the[0] extract[0] as[0] include[0] refactoring[0] to[0] update[0] all[0] identical[0] code[0] fragments[0] in[0] configuration[0] variations[0] of[0] the[0] same[0] file[0] [[Sentence=-1,1=word max, 1-5]] for[0] example[0] if[0] you[0] have[0] a[0] particular[0] subtree[0] of[0] xml[0] elements[0] in[0] a[0] file[0] that[0] you[0] have[0] then[0] duplicated[0] into[0] say[0] a[0] landscape[0] mode[0] then[0] applying[0] the[0] extract[0] as[0] include[0] refactoring[0] will[0] locate[0] the[0] same[0] code[0] fragment[0] in[0] both[0] files[0] and[0] replace[0] both[0] code[0] fragments[0] with[0] an[0] include[0] and[0] this[0] is[0] optional[0] with[0] a[0] checkbox[0] in[0] the[0] wizard[0] dialog[0] [[Sentence=-1,1=word max, 1-5]] this[0] only[0] happens[0] when[0] the[0] extracted[0] code[0] fragment[0] is[0] identical[0] in[0] both[0] files[0] [[Sentence=-1,1=word max, 1-5]] the[0] code[0] fragments[0] can[0] vary[0] in[0] terms[0] of[0] xml[0] formatting[0] and[0] attribute[0] order[0] and[0] namespace[0] prefix[0] choice[0] but[0] the[0] element[0] hierarchy[0] order[0] names[0] attributes[0] defined[0] and[0] attribute[0] values[1] must[0] be[0] identical[0] [[Sentence=-1,2=word max, 1-5]] second[0] make[0] fixes[0] to[0] the[0] change[0] layout[0] and[0] change[0] widget[0] type[0] refactorings[0] such[0] that[0] when[0] the[0] id[0] of[0] the[0] converted[0] element[0] is[0] changed[0] then[0] references[0] to[0] that[0] id[0] are[0] updated[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]] third[0] ensure[0] that[0] the[0] refactorings[0] are[0] enabled[0] even[0] when[0] there[0] is[0] no[0] text[0] selection[0] in[0] that[0] case[0] the[0] refactoring[0] will[0] apply[0] to[0] the[0] element[0] containing[0] the[0] caret[0] [[Sentence=-1,1=word max, 1-5]] some[0] test[0] infrastructure[0] improvements[1] [[Sentence=-1,2=word max, 1-5]] change[0] id[0] idb4ba40f4217dba2b13881b3d06e269c80ba4b97[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
