Extract Method	Translation	Positive	Negative	EmotionRationale
775 commit d5ae4a4be7d3d67401fa9502de482732e638b742 jbide-10621 redesign hyperlinkdetector so that partitioning and hyperlinks not do twice the same job. hyperlinks and hyperlink partitioners are redesigned due to exclude duplication work on regions calculation. 	775 commit d5ae4a4be7d3d67401fa9502de482732e638b742 jbide-10621 redesign hyperlinkdetector so that partitioning and hyperlinks not do twice the same job.<br> hyperlinks and hyperlink partitioners are redesigned due to exclude duplication work on regions calculation.	1	-2	 775[0] commit[0] d5ae4a4be7d3d67401fa9502de482732e638b742[0] jbide[0] -10621[0] redesign[0] hyperlinkdetector[0] so[0] that[0] partitioning[-1] and[0] hyperlinks[0] not[0] do[0] twice[0] the[0] same[0] job[0] [[Sentence=-2,1=word max, 1-5]] hyperlinks[0] and[0] hyperlink[0] partitioners[-1] are[0] redesigned[0] due[0] to[0] exclude[-1] duplication[0] work[0] on[0] regions[0] calculation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1119 commit 3324528c839ee2a32931c80cf6502306b239f47d beanxml validation test completed   refactoring   new beanvalidation helper class 	119 commit 3324528c839ee2a32931c80cf6502306b239f47d beanxml validation test completed   refactoring   new beanvalidation helper class	1	-1	 1119/119[0] commit[0] 3324528c839ee2a32931c80cf6502306b239f47d[0] beanxml[0] validation[0] test[0] completed[0] refactoring[0] new[0] beanvalidation[0] helper[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2684 commit 0671959662bd14f39ff77a569dacdba60d79c286 https://issues.jboss.org/browse/jbide-7003 refactoring of bundle map 	2684 commit 0671959662bd14f39ff77a569dacdba60d79c286 https://issues.<br>jboss.<br>org/browse/jbide-7003 refactoring of bundle map	1	-1	 2684[0] commit[0] 0671959662bd14f39ff77a569dacdba60d79c286[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -7003[0] refactoring[0] of[0] bundle[0] map[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2685 commit 9467dbb68575d49c773ae3b52cd27495dc30c45e https://issues.jboss.org/browse/jbide-7003 bundle map has been refactored, work under validator still in progress 	2685 commit 9467dbb68575d49c773ae3b52cd27495dc30c45e https://issues.<br>jboss.<br>org/browse/jbide-7003 bundle map has been refactored, work under validator still in progress	1	-1	 2685[0] commit[0] 9467dbb68575d49c773ae3b52cd27495dc30c45e[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -7003[0] bundle[0] map[0] has[0] been[0] refactored[0] work[0] under[0] validator[0] still[0] in[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3610 commit 42e84f7e9746622a68c8db3cabcc53e1e08a3e3a https://jira.jboss.org/jira/browse/jbide-6276 - preview for jsf 2 refactoring was created. swtbot tests were added. 	3610 commit 42e84f7e9746622a68c8db3cabcc53e1e08a3e3a https://jira.<br>jboss.<br>org/jira/browse/jbide-6276 - preview for jsf 2 refactoring was created.<br> swtbot tests were added.	1	-1	 3610[0] commit[0] 42e84f7e9746622a68c8db3cabcc53e1e08a3e3a[0] https[0] ://jira[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/jira/browse/jbide[0] -6276[0] preview[0] for[0] jsf[0] 2[0] refactoring[0] was[0] created[0] [[Sentence=-1,1=word max, 1-5]] swtbot[0] tests[0] were[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5011 commit 7d15ddfd91d0919d7402668ba467380c992830bd seam context variable refactoring https://jira.jboss.org/jira/browse/jbide-1077 	5011 commit 7d15ddfd91d0919d7402668ba467380c992830bd seam context variable refactoring https://jira.<br>jboss.<br>org/jira/browse/jbide-1077	1	-1	 5011[0] commit[0] 7d15ddfd91d0919d7402668ba467380c992830bd[0] seam[0] context[0] variable[0] refactoring[0] https[0] ://jira[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/jira/browse/jbide[0] -1077[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6248 commit 57efc68d7b7658a2faa69818c86bba5f0b596db4 jbide-1497. refactoring 	6248 commit 57efc68d7b7658a2fa69818c86bba5f0b596db4 jbide-1497.<br> refactoring	1	-1	 6248[0] commit[0] 57efc68d7b7658a2faa69818c86bba5f0b596db4/57efc68d7b7658a2fa69818c86bba5f0b596db4[0] jbide[0] -1497[0] [[Sentence=-1,1=word max, 1-5]] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6257 commit 8342d1f2201ed56b8d0741bafab26708fc37c6f6 jbide-1497. refactoring for usage of eloperandtoken 	6257 commit 8342d1f2201ed56b8d0741bafab26708fc37c6f6 jbide-1497.<br> refactoring for usage of eloperandtoken	1	-1	 6257[0] commit[0] 8342d1f2201ed56b8d0741bafab26708fc37c6f6[0] jbide[0] -1497[0] [[Sentence=-1,1=word max, 1-5]] refactoring[0] for[0] usage[0] of[0] eloperandtoken[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6265 commit 558c0d532814dfe3f04e1a97f13b9c711c4fed71 jbide-1497. methods in seamelcompletionengine refactored. 	6265 commit 558c0d532814dfe3f04e1a97f13b9c711c4fed71 jbide-1497.<br> methods in seamelcompletionengine refactored.	1	-1	 6265[0] commit[0] 558c0d532814dfe3f04e1a97f13b9c711c4fed71[0] jbide[0] -1497[0] [[Sentence=-1,1=word max, 1-5]] methods[0] in[0] seamelcompletionengine[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7171 commit 90b224c7b592bd3f8862efb9f8bebf3a22012164 http://jira.jboss.com/jira/browse/jbide-1919 added package name refactoring. 	7171 commit 90b224c7b592bd3f8862efb9f8bebf3a22012164 http://jira.<br>jboss.<br>com/jira/browse/jbide-1919 added package name refactoring.	1	-1	 7171[0] commit[0] 90b224c7b592bd3f8862efb9f8bebf3a22012164[0] http[0] ://jira[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] com/jira/browse/jbide[0] -1919[0] added[0] package[0] name[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
