Rename Class	Translation	Positive	Negative	EmotionRationale
890 commit e347255e88c00724524f4c03da64445a1a661ba6 huge refactoring of all cdi quickfix-like test   moving resources for quickfix tests into one folder 	890 commit e347255e88c00724524f4c03da6445a1a661ba6 huge refactoring of all cdi quickfix-like test   moving resources for quickfix tests into one folder	1	-1	 890[0] commit[0] e347255e88c00724524f4c03da64445a1a661ba6/e347255e88c00724524f4c03da6445a1a661ba6[0] huge[0] refactoring[0] of[0] all[0] cdi[0] quickfix[0] like[0] test[0] moving[0] resources[0] for[0] quickfix[0] tests[0] into[0] one[0] folder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1066 commit d42ded8ddb42fafc874e7d4d7639998dc30f2e51 cdi el refactoring and searchers don't look for els in dependent project https://issues.jboss.org/browse/jbide-10331 	1066 commit d42ded8ddb42fafc874e7d4d763998dc30f2e51 cdi el refactoring and searchers don't look for els in dependent project https://issues.<br>jboss.<br>org/browse/jbide-10331	1	-2	 1066[0] commit[0] d42ded8ddb42fafc874e7d4d7639998dc30f2e51/d42ded8ddb42fafc874e7d4d763998dc30f2e51[0] cdi[0] el[0] refactoring[0] and[0] searchers[0] don't[0] look[0] for[0] els[0] in[0] dependent[-1] project[0] https[0] ://issues[0] [[Sentence=-2,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -10331[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
1116 commit 8fd5e41f36a290429e1ea76d0dc6e03d5488aa47 resources   other needed classes for new cdi test for el refactoring added 	116 commit 8fd5e41f36a290429e1ea76d0dc6e03d5488a47 resources   other needed classes for new cdi test for el refactoring added	1	-1	 1116/116[0] commit[0] 8fd5e41f36a290429e1ea76d0dc6e03d5488aa47/8fd5e41f36a290429e1ea76d0dc6e03d5488a47[0] resources[0] other[0] needed[0] classes[0] for[0] new[0] cdi[0] test[0] for[0] el[0] refactoring[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1122 commit b664616fbd6bcffb4bb30388cce8f7515aea4a94 beansxmlvalidationtest   openon test on assignable beans   huge refactoring of all tests 	1122 commit b664616fbd6bcffb4bb30388cce8f7515aea4a94 beansxmlvalidationtest   openon test on assignable beans   huge refactoring of all tests	1	-1	 1122[0] commit[0] b664616fbd6bcffb4bb30388cce8f7515aea4a94[0] beansxmlvalidationtest[0] openon[0] test[0] on[0] assignable[0] beans[0] huge[0] refactoring[0] of[0] all[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1152 commit df083240aff84c12a93f22e60e26dfb85fe4fdca cdifindobserverforeventtest   cdifacettest   huge refactoring   resources, needed for tests, added 	1152 commit df083240aff84c12a93f22e60e26dfb85fe4fdca cdifindobserverforeventtest   cdifacettest   huge refactoring   resources, needed for tests, added	1	-1	 1152[0] commit[0] df083240aff84c12a93f22e60e26dfb85fe4fdca[0] cdifindobserverforeventtest[0] cdifacettest[0] huge[0] refactoring[0] resources[0] needed[0] for[0] tests[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1244 commit 070351c9be5086ba4fe7fe379cc9d12137bbfbaf cdiperspectivetest added   huge refactoring all cdi bot tests 	1244 commit 070351c9be5086ba4fe7fe379cc9d12137bbfbaf cdiperspectivetest added   huge refactoring all cdi bot tests	1	-1	 1244[0] commit[0] 070351c9be5086ba4fe7fe379cc9d12137bbfbaf[0] cdiperspectivetest[0] added[0] huge[0] refactoring[0] all[0] cdi[0] bot[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1380 commit a7b155815c14754a2cdc5738591473ab2fd23dd9 updated namedbeanrefactoringtest https://issues.jboss.org/browse/jbide-9791 	1380 commit a7b155815c14754a2cdc5738591473ab2fd23dd9 updated namedbeanrefactoringtest https://issues.<br>jboss.<br>org/browse/jbide-9791	1	-1	 1380[0] commit[0] a7b155815c14754a2cdc5738591473ab2fd23dd9[0] updated[0] namedbeanrefactoringtest[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -9791[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2668 commit 1a7c61fe6a7766c7ea02bb260586e57770942374 https://issues.jboss.org/browse/jbide-7005, refactoring our jsf 2 validators. 	2668 commit 1a7c61fe6a7766c7ea02bb260586e5770942374 https://issues.<br>jboss.<br>org/browse/jbide-7005, refactoring our jsf 2 validators.	1	-1	 2668[0] commit[0] 1a7c61fe6a7766c7ea02bb260586e57770942374/1a7c61fe6a7766c7ea02bb260586e5770942374[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -7005[0] refactoring[0] our[0] jsf[0] 2[0] validators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7171 commit 90b224c7b592bd3f8862efb9f8bebf3a22012164 http://jira.jboss.com/jira/browse/jbide-1919 added package name refactoring. 	7171 commit 90b224c7b592bd3f8862efb9f8bebf3a22012164 http://jira.<br>jboss.<br>com/jira/browse/jbide-1919 added package name refactoring.	1	-1	 7171[0] commit[0] 90b224c7b592bd3f8862efb9f8bebf3a22012164[0] http[0] ://jira[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] com/jira/browse/jbide[0] -1919[0] added[0] package[0] name[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8233 commit af7f82dd8e0a4293272b814ba3ed10b33b94c744 http://jira.jboss.org/jira/browse/jbide-1141 not copy utils check for copying file to itself. some cleanup and refactoring has been done for i18n. 	8233 commit af7f82dd8e0a4293272b814ba3ed10b33b94c744 http://jira.<br>jboss.<br>org/jira/browse/jbide-1141 not copy utils check for copying file to itself.<br> some cleanup and refactoring has been done for i18n.	1	-1	 8233[0] commit[0] af7f82dd8e0a4293272b814ba3ed10b33b94c744[0] http[0] ://jira[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/jira/browse/jbide[0] -1141[0] not[0] copy[0] utils[0] check[0] for[0] copying[0] file[0] to[0] itself[0] [[Sentence=-1,1=word max, 1-5]] some[0] cleanup[0] and[0] refactoring[0] has[0] been[0] done[0] for[0] i18n[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
