Move Class	Translation	Positive	Negative	EmotionRationale
1018 commit e66e2cf2f747917f787f341eb34ae96cedb68638 o refactored code 	1018 commit e66e2cf2f747917f787f341eb34ae96cedb68638 o refactored code	1	-1	 1018[0] commit[0] e66e2cf2f747917f787f341eb34ae96cedb68638[0] o[0] refactored[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1052 commit 326e14b85393b7a2ae020c9b80d07458422f9ceb o refactored profile activators to use problem collector 	1052 commit 326e14b85393b7a2ae020c9b80d07458422f9ceb o refactored profile activators to use problem collector	1	-2	 1052[0] commit[0] 326e14b85393b7a2ae020c9b80d07458422f9ceb[0] o[0] refactored[0] profile[0] activators[0] to[0] use[0] problem[-1] collector[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2301 commit c327c9444383214a04a8d863fde89b1d494bd813 refactored out more uses of modello and moved classes from maven-project to maven-project-builder. doing this so that maven-mercury will not have direct dependency on modello or maven model. 	2301 commit c327c944383214a04a8d863fde89b1d494bd813 refactored out more uses of modello and moved classes from maven-project to maven-project-builder.<br> doing this so that maven-mercury will not have direct dependency on modello or maven model.	1	-1	 2301[0] commit[0] c327c9444383214a04a8d863fde89b1d494bd813/c327c944383214a04a8d863fde89b1d494bd813[0] refactored[0] out[0] more[0] uses[0] of[0] modello[0] and[0] moved[0] classes[0] from[0] maven[0] project[0] to[0] maven[0] project[0] builder[0] [[Sentence=-1,1=word max, 1-5]] doing[0] this[0] so[0] that[0] maven[0] mercury[0] will[0] not[0] have[0] direct[0] dependency[0] on[0] modello[0] or[0] maven[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2303 commit 73c0f41e3b025701bd9962422fc281a7ac0678d0 collapased transformers into one. extracted out some rules. removed some references to maven model in domainmodels to generalize. removed plugin mixins, which are no longer needed. extension loading appears to be broken from refactoring. need to fix this. 	2303 commit 73c0f41e3b025701bd9962422fc281a7ac0678d0 collapased transformers into one.<br> extracted out some rules.<br> removed some references to maven model in domainmodels to generalize.<br> removed plugin mixins, which are no longer needed.<br> extension loading appears to be broken from refactoring.<br> need to fix this.	1	-2	 2303[0] commit[0] 73c0f41e3b025701bd9962422fc281a7ac0678d0[0] collapased[0] transformers[0] into[0] one[0] [[Sentence=-1,1=word max, 1-5]] extracted[0] out[0] some[0] rules[0] [[Sentence=-1,1=word max, 1-5]] removed[0] some[0] references[0] to[0] maven[0] model[0] in[0] domainmodels[0] to[0] generalize[0] [[Sentence=-1,1=word max, 1-5]] removed[0] plugin[0] mixins[0] which[0] are[0] no[0] longer[0] needed[0] [[Sentence=-1,1=word max, 1-5]] extension[0] loading[0] appears[0] to[0] be[0] broken[-1] from[0] refactoring[0] [[Sentence=-2,1=word max, 1-5]] need[0] to[0] fix[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3091 commit f838337b7a8be8466818346561afb7295ac60d12 refactor the artifact-scanning logic from the realm manager and the plugin-artifact resolution logic in the plugin manager into two separate classes, one a component and one a static class, to allow the new pluginprefixloader to reuse some of both and create a lighter-weight approach to grabbing the plugindescriptor for build-planning purposes...also avoids some needless error messages during build planning. 	3091 commit f838337b7a8be8466818346561afb7295ac60d12 refactor the artifact-scanning logic from the realm manager and the plugin-artifact resolution logic in the plugin manager into two separate classes, one a component and one a static class, to allow the new pluginprefixloader to reuse some of both and create a lighter-weight approach to grabbing the plugindescriptor for build-planning purposes.<br>also avoids some needless error messages during build planning.	1	-2	 3091[0] commit[0] f838337b7a8be8466818346561afb7295ac60d12[0] refactor[0] the[0] artifact[0] scanning[0] logic[0] from[0] the[0] realm[0] manager[0] and[0] the[0] plugin[0] artifact[0] resolution[0] logic[0] in[0] the[0] plugin[0] manager[0] into[0] two[0] separate[0] classes[0] one[0] a[0] component[0] and[0] one[0] a[0] static[0] class[0] to[0] allow[0] the[0] new[0] pluginprefixloader[0] to[0] reuse[0] some[0] of[0] both[0] and[0] create[0] a[0] lighter[0] weight[0] approach[0] to[0] grabbing[-1] the[0] plugindescriptor[0] for[0] build[0] planning[0] purposes[0] [[Sentence=-2,1=word max, 1-5]] also[0] avoids[-1] some[0] needless[0] error[0] messages[0] during[0] build[0] planning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3138 commit ca169d0262b9ac8afdc11ceea6790fa04ee64ae3 refactor management of activated, deactivated, and default-activated profile ids, so the context tracks all of that stuff. 	3138 commit ca169d0262b9ac8afdc11ceea6790fa04ee64ae3 refactor management of activated, deactivated, and default-activated profile ids, so the context tracks all of that stuff.	1	-2	 3138[0] commit[0] ca169d0262b9ac8afdc11ceea6790fa04ee64ae3[0] refactor[0] management[0] of[0] activated[0] deactivated[0] and[0] default[-1] activated[0] profile[0] ids[0] so[0] the[0] context[0] tracks[0] all[0] of[0] that[0] stuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3947 commit 62cef305aaff47438e7785dae519721c81e1c452 o bunch of fixes to its caused by trying to refactor in idea most things are working and i'm now waiting for apache infra to come back up so i can deploy the new it plugins. 	3947 commit 62cef305aff47438e7785dae519721c81e1c452 o bunch of fixes to its caused by trying to refactor in idea most things are working and i'm now waiting for apache infra to come back up so i can deploy the new it plugins.	1	-1	 3947[0] commit[0] 62cef305aaff47438e7785dae519721c81e1c452/62cef305aff47438e7785dae519721c81e1c452[0] o[0] bunch[0] of[0] fixes[0] to[0] its[0] caused[0] by[0] trying[0] to[0] refactor[0] in[0] idea[0] most[0] things[0] are[0] working[0] and[0] i'm[0] now[0] waiting[0] for[0] apache[0] infra[0] to[0] come[0] back[0] up[0] so[0] i[0] can[0] deploy[0] the[0] new[0] it[0] plugins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4706 commit 94e440000d30ce640abcaa1e2505f7ce4c382cc5 o merge of the maven-embedder-refactor branch into the trunk 	4706 commit 94e4400d30ce640abca1e2505f7ce4c382cc5 o merge of the maven-embedder-refactor branch into the trunk	2	-1	 4706[0] commit[0] 94e440000d30ce640abcaa1e2505f7ce4c382cc5/94e4400d30ce640abca1e2505f7ce4c382cc5[0][+0.6 MultipleLetters] o[0] merge[0] of[0] the[0] maven[0] embedder[0] refactor[0] branch[0] into[0] the[0] trunk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
6759 commit 8f4b0deaaf3d9a4abdace5500d3a317402a4815b working on: mng-662 o moved release.properties management to a helper class o created a helper class for caching/prompting for project-versions o created a helper class for managing scm info updates during the release:prepare process o moved as many of the shared fields out of abstractreleasemojo as possible, given the refactor to reactorized processing o refactored the preparereleasemojo to process a list of projects, and resolve inter-dependencies during transforms, etc. o refactored the performreleasemojo to adjust to the new helper classes. o removed the old transformers, since mavenproject.writeoriginalmodel() can be used instead, using the modello writer o bumped the maven-scm versions up to 1.0-alpha-2-snapshot, and added maven-scm-manager-plexus. 	6759 commit 8f4b0deaf3d9a4abdace5500d3a317402a4815b working on: mng-662 o moved release.<br>properties management to a helper class o created a helper class for caching/prompting for project-versions o created a helper class for managing scm info updates during the release:prepare process o moved as many of the shared fields out of abstractreleasemojo as possible, given the refactor to reactorized processing o refactored the preparereleasemojo to process a list of projects, and resolve inter-dependencies during transforms, etc.<br> o refactored the performreleasemojo to adjust to the new helper classes.<br> o removed the old transformers, since mavenproject.<br>writeoriginalmodel( can be used instead, using the modello writer o bumped the maven-scm versions up to 1.0-alpha-2-snapshot, and added maven-scm-manager-plexus.	1	-1	 6759[0] commit[0] 8f4b0deaaf3d9a4abdace5500d3a317402a4815b/8f4b0deaf3d9a4abdace5500d3a317402a4815b[0] working[0] on[0] mng[0] -662[0] o[0] moved[0] release[0] [[Sentence=-1,1=word max, 1-5]] properties[0] management[0] to[0] a[0] helper[0] class[0] o[0] created[0] a[0] helper[0] class[0] for[0] caching/prompting[0] for[0] project[0] versions[0] o[0] created[0] a[0] helper[0] class[0] for[0] managing[0] scm[0] info[0] updates[0] during[0] the[0] release[0] prepare[0] process[0] o[0] moved[0] as[0] many[0] of[0] the[0] shared[0] fields[0] out[0] of[0] abstractreleasemojo[0] as[0] possible[0] given[0] the[0] refactor[0] to[0] reactorized[0] processing[0] o[0] refactored[0] the[0] preparereleasemojo[0] to[0] process[0] a[0] list[0] of[0] projects[0] and[0] resolve[0] inter[0] dependencies[0] during[0] transforms[0] etc[0] [[Sentence=-1,1=word max, 1-5]] o[0] refactored[0] the[0] performreleasemojo[0] to[0] adjust[0] to[0] the[0] new[0] helper[0] classes[0] [[Sentence=-1,1=word max, 1-5]] o[0] removed[0] the[0] old[0] transformers[0] since[0] mavenproject[0] [[Sentence=-1,1=word max, 1-5]] writeoriginalmodel[0] can[0] be[0] used[0] instead[0] using[0] the[0] modello[0] writer[0] o[0] bumped[0] the[0] maven[0] scm[0] versions[0] up[0] to[0] 1[0] .0[0] alpha[0] -2[0] snapshot[0] and[0] added[0] maven[0] scm[0] manager[0] plexus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8079 commit f5270e45f771b3ed497b4e1f6d0cf02aeb1be97a refactor mboot - model reading separated - define mboot dependencies in its own pom 	8079 commit f5270e45f771b3ed497b4e1f6d0cf02aeb1be97a refactor mboot - model reading separated - define mboot dependencies in its own pom	1	-1	 8079[0] commit[0] f5270e45f771b3ed497b4e1f6d0cf02aeb1be97a[0] refactor[0] mboot[0] model[0] reading[0] separated[0] define[0] mboot[0] dependencies[0] in[0] its[0] own[0] pom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
