Move Class	Translation	Positive	Negative	EmotionRationale
715 commit b76dc51cdb6594a3be423271915a917b34aa855b restructure test source directories and packages #7385 svn changeset:21440 branch:6.7 	715 commit b76dc51cdb6594a3be423271915a917b34a855b restructure test source directories and packages #7385 svn changeset:21440 branch:6.7	1	-2	 715[0] commit[0] b76dc51cdb6594a3be423271915a917b34aa855b/b76dc51cdb6594a3be423271915a917b34a855b[0] restructure[0] test[0] source[-1] directories[0] and[0] packages[0] #7385[0] svn[0] changeset[0] :21440[0] branch[0] :6[0] .7[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1946 commit 2e205b82fb60f43c3e6ee53362c00a11edb9b728 #3752 - refactor textfields made passwordfield, textarea extend abstracttextfield instead of textfield moved commonalities "columns", "input prompt", "text change event" and "cursor position" to abstracttextfield svn changeset:16354 branch:6.5 	1946 commit 2e205b82fb60f43c3e6ee53362c00a11edb9b728 #3752 - refactor textfields made passwordfield, textarea extend abstracttextfield instead of textfield moved commonalities "columns" "input prompt" "text change event" and "cursor position" to abstracttextfield svn changeset:16354 branch:6.5	1	-1	 1946[0] commit[0] 2e205b82fb60f43c3e6ee53362c00a11edb9b728[0] #3752[0] refactor[0] textfields[0] made[0] passwordfield[0] textarea[0] extend[0] abstracttextfield[0] instead[0] of[0] textfield[0] moved[0] commonalities[0] columns[0] input[0] prompt[0] text[0] change[0] event[0] and[0] cursor[0] position[0] to[0] abstracttextfield[0] svn[0] changeset[0] :16354[0] branch[0] :6[0] .5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2054 commit 7a526a21e41b6b1a87155ff87649eaad21c2bcc9 #6020 - split splitpanel into horizontalsplitpanel and verticalsplitpanel refactored splitpanels to extend an abstractsplitpanel super class. deprecated the old splitpanel class. svn changeset:16113 branch:6.5 	2054 commit 7a526a21e41b6b1a87155ff87649ead21c2bcc9 #6020 - split splitpanel into horizontalsplitpanel and verticalsplitpanel refactored splitpanels to extend an abstractsplitpanel super class.<br> deprecated the old splitpanel class.<br> svn changeset:16113 branch:6.5	1	-1	 2054[0] commit[0] 7a526a21e41b6b1a87155ff87649eaad21c2bcc9/7a526a21e41b6b1a87155ff87649ead21c2bcc9[0] #6020[0] split[0] splitpanel[0] into[0] horizontalsplitpanel[0] and[0] verticalsplitpanel[0] refactored[0] splitpanels[0] to[0] extend[0] an[0] abstractsplitpanel[0] super[0] class[0] [[Sentence=-1,1=word max, 1-5]] deprecated[0] the[0] old[0] splitpanel[0] class[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :16113[0] branch[0] :6[0] .5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2301 commit b7fe401236a5d139027056b2e83119096d47c955 refactored handling of receiver's lots of other upload related improvements. fixes #5743 (removed dependency to commons fileupload), #5742 (drag and drop file uploads in webkits), #5741 (receiver is upload specific), #4271 (uploads in gatein). also improves api for receiving files with drag and drop (rejection, canceling, tracking of the actual streaming) and transfers files in serial in ddw. svn changeset:15461 branch:6.5 	2301 commit b7fe401236a5d139027056b2e83119096d47c955 refactored handling of receiver's lots of other upload related improvements.<br> fixes #5743 (removed dependency to commons fileupload) #5742 (drag and drop file uploads in webkits) #5741 (receiver is upload specific) #4271 (uploads in gatein)<br> also improves api for receiving files with drag and drop (rejection, canceling, tracking of the actual streaming) and transfers files in serial in ddw.<br> svn changeset:15461 branch:6.5	2	-2	 2301[0] commit[0] b7fe401236a5d139027056b2e83119096d47c955[0] refactored[0] handling[0] of[0] receiver's[0] lots[0] of[0] other[0] upload[0] related[0] improvements[1] [[Sentence=-1,2=word max, 1-5]] fixes[0] #5743[0] removed[0] dependency[0] to[0] commons[0] fileupload[0] #5742[0] drag[0] and[0] drop[-1] file[0] uploads[0] in[0] webkits[0] #5741[0] receiver[0] is[0] upload[0] specific[0] #4271[0] uploads[0] in[0] gatein[0] [[Sentence=-2,1=word max, 1-5]] also[0] improves[1] api[0] for[0] receiving[0] files[0] with[0] drag[0] and[0] drop[-1] rejection[-1] canceling[-1] tracking[0] of[0] the[0] actual[0] streaming[0] and[0] transfers[0] files[0] in[0] serial[0] in[0] ddw[0] [[Sentence=-2,2=word max, 1-5]] svn[0] changeset[0] :15461[0] branch[0] :6[0] .5[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
3964 commit 7fba126e661ddcbddc6b2ba1b635072208ef17eb minor refactoring: split out common nested class restrictedrenderresponse from portletapplicationcontext* svn changeset:10022 branch:6.2 	3964 commit 7fba126e661ddcbddc6b2ba1b635072208ef17eb minor refactoring: split out common nested class restrictedrenderresponse from portletapplicationcontext* svn changeset:10022 branch:6.2	1	-1	 3964[0] commit[0] 7fba126e661ddcbddc6b2ba1b635072208ef17eb[0] minor[0] refactoring[0] split[0] out[0] common[0] nested[0] class[0] restrictedrenderresponse[0] from[0] portletapplicationcontext[0] svn[0] changeset[0] :10022[0] branch[0] :6[0] .2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4076 commit 1adc2b22100828247aa90ad9ab33f2b4a384f1dc communicationmanager is no longer dependent on the portlet api. the refactored api seems to work using portlets, i have no idea whether it works using servlets. svn changeset:9601 branch:portlet_2.0 	4076 commit 1adc2b22100828247a90ad9ab33f2b4a384f1dc communicationmanager is no longer dependent on the portlet api.<br> the refactored api seems to work using portlets, i have no idea whether it works using servlets.<br> svn changeset:9601 branch:portlet_2.0	1	-2	 4076[0] commit[0] 1adc2b22100828247aa90ad9ab33f2b4a384f1dc/1adc2b22100828247a90ad9ab33f2b4a384f1dc[0] communicationmanager[0] is[0] no[0] longer[0] dependent[-1] on[0] the[0] portlet[0] api[0] [[Sentence=-2,1=word max, 1-5]] the[0] refactored[0] api[0] seems[0] to[0] work[0] using[0] portlets[0] i[0] have[0] no[0] idea[0] whether[0] it[0] works[0] using[0] servlets[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :9601[0] branch[0] portlet_2[0] .0[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
4254 commit 2ef5438a9558693f632b328f8393424ec3a362a3 vaadin widget jars now detected by details in manifest file, simple widgetsetbuilder tool   some refactoring svn changeset:8990 branch:2009-09-widget-packaging_3332 	4254 commit 2ef5438a9558693f632b328f8393424ec3a362a3 vadin widget jars now detected by details in manifest file, simple widgetsetbuilder tool   some refactoring svn changeset:8990 branch:2009-09-widget-packaging_332	1	-1	 4254[0] commit[0] 2ef5438a9558693f632b328f8393424ec3a362a3[0] vaadin/vadin[0] widget[0] jars[0] now[0] detected[0] by[0] details[0] in[0] manifest[0] file[0] simple[0] widgetsetbuilder[0] tool[0] some[0] refactoring[0] svn[0] changeset[0] :8990[0] branch[0] :2009[0] -09[0] widget[0] packaging_3332/packaging_332[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6782 commit acf2c4759837c041ba662e4dbbd529cf3343c659 refactored. created portletconfigurationgenerator that generates portlet.xml and liferay xml:s from web.xml. svn changeset:4189 branch:trunk 	6782 commit acf2c4759837c041ba662e4dbbd529cf3343c659 refactored.<br> created portletconfigurationgenerator that generates portlet.<br>xml and liferay xmlxml from web.<br>xml.<br> svn changeset:4189 branch:trunk	1	-2	 6782[0] commit[0] acf2c4759837c041ba662e4dbbd529cf3343c659[0] refactored[0] [[Sentence=-1,1=word max, 1-5]] created[0] portletconfigurationgenerator[0] that[0] generates[0] portlet[0] [[Sentence=-1,1=word max, 1-5]] xml[0] and[0] liferay[0] xml[0][-1 Emoticon] from[0] web[0] [[Sentence=-2,1=word max, 1-5]] xml[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :4189[0] branch[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
7301 commit 8006fa22b428262b7b04cd319e940f7be7b59af9 refactoring; applicationdemo moved svn changeset:3034 branch:trunk 	7301 commit 8006fa22b428262b7b04cd319e940f7be7b59af9 refactoring; applicationdemo moved svn changeset:3034 branch:trunk	1	-1	 7301[0] commit[0] 8006fa22b428262b7b04cd319e940f7be7b59af9[0] refactoring[0] applicationdemo[0] moved[0] svn[0] changeset[0] :3034[0] branch[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7579 commit 89260534a72466c42b673edda765eb0af7db970a fixing / refactoring launch files. removed unneccessary launch file (desktop) svn changeset:2709 branch:trunk 	7579 commit 89260534a72466c42b673edda765eb0af7db970a fixing / refactoring launch files.<br> removed unnecessary launch file (desktop) svn changeset:2709 branch:trunk	1	-2	 7579[0] commit[0] 89260534a72466c42b673edda765eb0af7db970a[0] fixing[0] /[0] refactoring[0] launch[0] files[0] [[Sentence=-1,1=word max, 1-5]] removed[0] unneccessary/unnecessary[-1] launch[0] file[0] desktop[0] svn[0] changeset[0] :2709[0] branch[0] trunk[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
