Extract Method	Translation	Positive	Negative	EmotionRationale
599 commit f73ad1c2e27d2418e428eb80d5047c5bf2b2770d bugfix/rewrite: algorithm to determine adaptor boundaries the algorithm wasn't accounting for the case where the read is the reverse strand and the insert size is negative. * fixed and rewrote for more clarity (with ryan, mark and eric). * restructured the code to handle gatksamrecords only * cleaned up the other structures and functions around it to minimize clutter and potential for error. * added unit tests for all 4 cases of adaptor boundaries. 	599 commit f73ad1c2e27d2418e428eb80d5047c5bf2b2770d bugfix/rewrite: algorithm to determine adaptor boundaries the algorithm wasn't accounting for the case where the read is the reverse strand and the insert size is negative.<br> * fixed and rewrote for more clarity (with ryan, mark and eric)<br> * restructured the code to handle gatksamrecords only * cleaned up the other structures and functions around it to minimize clutter and potential for error.<br> * added unit tests for all 4 cases of adaptor boundaries.	1	-2	 599[0] commit[0] f73ad1c2e27d2418e428eb80d5047c5bf2b2770d[0] bugfix/rewrite[0] algorithm[0] to[0] determine[0] adaptor[0] boundaries[0] the[0] algorithm[0] wasn't[0] accounting[0] for[0] the[0] case[0] where[0] the[0] read[0] is[0] the[0] reverse[0] strand[0] and[0] the[0] insert[0] size[0] is[0] negative[-1] [[Sentence=-2,1=word max, 1-5]] fixed[0] and[0] rewrote[0] for[0] more[0] clarity[0] with[0] ryan[0] mark[0] and[0] eric[0] [[Sentence=-1,1=word max, 1-5]] restructured[0] the[0] code[0] to[0] handle[0] gatksamrecords[0] only[0] cleaned[0] up[0] the[0] other[0] structures[0] and[0] functions[0] around[0] it[0] to[0] minimize[0] clutter[-1] and[0] potential[0] for[0] error[0] [[Sentence=-2,1=word max, 1-5]] added[0] unit[0] tests[0] for[0] all[0] 4[0] cases[0] of[0] adaptor[0] boundaries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
848 commit 7d09c0064b29ae0b502fbc4b76f505e0f5a3c4a3 bug fixes and code cleanup throughout -- chromosomecounts now takes builder as well, cleaning up a lot of code throughout the codebase. 	848 commit 7d09c0064b29ae0b502fbc4b76f505e0f5a3c4a3 bug fixes and code cleanup throughout - chromosomecounts now takes builder as well, cleaning up a lot of code throughout the codebase.	1	-1	 848[0] commit[0] 7d09c0064b29ae0b502fbc4b76f505e0f5a3c4a3[0] bug[0] fixes[0] and[0] code[0] cleanup[0] throughout[0] chromosomecounts[0] now[0] takes[0] builder[0] as[0] well[0] cleaning[0] up[0] a[0] lot[0] of[0] code[0] throughout[0] the[0] codebase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
851 commit b7b57ef39a313ca2c743a96f92d5951b8e2b390a updating md5 to reflect canonical ordering of calculation -- we should no longer have md5s changing because of hashmaps changing their sort order on us -- added genotypelikelihoodsunittests -- refactored exactafcaclculation to put the pl -  qual calculation in the genotypelikelihoods class to avoid the code copy. 	851 commit b7b57ef39a313ca2c743a96f92d5951b8e2b390a updating md5 to reflect canonical ordering of calculation - we should no longer have md5s changing because of hashmaps changing their sort order on us - added genotypelikelihoodsunittests - refactored exactafcaclculation to put the pl -  qual calculation in the genotypelikelihoods class to avoid the code copy.	1	-2	 851[0] commit[0] b7b57ef39a313ca2c743a96f92d5951b8e2b390a[0] updating[0] md5[0] to[0] reflect[0] canonical[0] ordering[0] of[0] calculation[0] we[0] should[0] no[0] longer[0] have[0] md5s[0] changing[0] because[0] of[0] hashmaps[0] changing[0] their[0] sort[0] order[0] on[0] us[0] added[0] genotypelikelihoodsunittests[0] refactored[0] exactafcaclculation[0] to[0] put[0] the[0] pl[0] qual[0] calculation[0] in[0] the[0] genotypelikelihoods[0] class[0] to[0] avoid[-1] the[0] code[0] copy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1093 commit 389380a590e7ec98c8736be99d4135f5b5e50c32 reducereads ref bases are now output as ' ' to save space restructured the sliding window framework to manipulate a wrapped version of the samrecord that contains information about the reference. 	1093 commit 389380a590e7ec98c8736be99d4135f5b5e50c32 reducereads ref bases are now output as ' ' to save space restructured the sliding window framework to manipulate a wrapped version of the samrecord that contains information about the reference.	2	-2	 1093[0] commit[0] 389380a590e7ec98c8736be99d4135f5b5e50c32[0] reducereads[0] ref[0] bases[0] are[0] now[0] output[0] as[0] '[0] '[0] to[0] save[1] space[0] restructured[0] the[0] sliding[0] window[0] framework[0] to[0] manipulate[-1] a[0] wrapped[0] version[0] of[0] the[0] samrecord[0] that[0] contains[0] information[0] about[0] the[0] reference[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
1452 commit fa0efbc4ca9b304e6e67326912e65263a996c56a refactoring of pairhmm to support reduced reads 	1452 commit fa0efbc4ca9b304e6e67326912e65263a996c56a refactoring of pairhm to support reduced reads	1	-1	 1452[0] commit[0] fa0efbc4ca9b304e6e67326912e65263a996c56a[0] refactoring[0] of[0] pairhmm/pairhm[0] to[0] support[0] reduced[0] reads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1459 commit 9afccd11b1b52bbf37c639e7944f7d1b12ba0a20 minor refactoring: add ability to mathutils.normalizefromlog10 to not go to linear domain but just substract max value from log values and return. use this function in snp and indel gl computation. 	1459 commit 9afccd11b1b52bbf37c639e7944f7d1b12ba0a20 minor refactoring: add ability to mathutils.<br>normalizefromlog10 to not go to linear domain but just substract max value from log values and return.<br> use this function in snp and indel gl computation.	2	-1	 1459[0] commit[0] 9afccd11b1b52bbf37c639e7944f7d1b12ba0a20[0] minor[0] refactoring[0] add[0] ability[0] to[0] mathutils[0] [[Sentence=-1,1=word max, 1-5]] normalizefromlog10[0] to[0] not[0] go[0] to[0] linear[0] domain[0] but[0] just[0] substract[0] max[0] value[0] from[0] log[0] values[1] and[0] return[0] [[Sentence=-1,2=word max, 1-5]] use[0] this[0] function[0] in[0] snp[0] and[0] indel[0] gl[0] computation[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
2206 commit e36994e36bd9028601f75dff4939809fe8747c76 refactored a featuremanager class from rmdtrackbuilder new class handles (vastly more cleanly) the db of tribble codecs, features, and names for use throughout the gatk. added selfscopingfeaturecodec interface that allows a featurecodec to examine a file and determine if the file can be parsed. this is the first step towards allowing the gatk to dynamically determine the type of a rodbinding. 	2206 commit e36994e36bd9028601f75dff4939809fe8747c76 refactored a featuremanager class from rmdtrackbuilder new class handles (vastly more cleanly) the db of tribble codecs, features, and names for use throughout the gatk.<br> added selfscopingfeaturecodec interface that allows a featurecodec to examine a file and determine if the file can be parsed.<br> this is the first step towards allowing the gatk to dynamically determine the type of a rodbinding.	1	-1	 2206[0] commit[0] e36994e36bd9028601f75dff4939809fe8747c76[0] refactored[0] a[0] featuremanager[0] class[0] from[0] rmdtrackbuilder[0] new[0] class[0] handles[0] vastly[0] more[0] cleanly[0] the[0] db[0] of[0] tribble[0] codecs[0] features[0] and[0] names[0] for[0] use[0] throughout[0] the[0] gatk[0] [[Sentence=-1,1=word max, 1-5]] added[0] selfscopingfeaturecodec[0] interface[0] that[0] allows[0] a[0] featurecodec[0] to[0] examine[0] a[0] file[0] and[0] determine[0] if[0] the[0] file[0] can[0] be[0] parsed[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] the[0] first[0] step[0] towards[0] allowing[0] the[0] gatk[0] to[0] dynamically[0] determine[0] the[0] type[0] of[0] a[0] rodbinding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2432 commit 7420ed098e722610dbf9dcac00320a30ca1ba073 semi-working version of extradocs tag in annotation to refer to one capability being accessible in another required a significant refactoring of the gatkdoclet, which now has a unified place where the classdoc, class, annotation, and handler are all stored together. 	2432 commit 7420ed098e722610dbf9dcac00320a30ca1ba073 semi-working version of extradocs tag in annotation to refer to one capability being accessible in another required a significant refactoring of the gatkdoclet, which now has a unified place where the classdoc, class, annotation, and handler are all stored together.	1	-1	 2432[0] commit[0] 7420ed098e722610dbf9dcac00320a30ca1ba073[0] semi[0] working[0] version[0] of[0] extradocs[0] tag[0] in[0] annotation[0] to[0] refer[0] to[0] one[0] capability[0] being[0] accessible[0] in[0] another[0] required[0] a[0] significant[0] refactoring[0] of[0] the[0] gatkdoclet[0] which[0] now[0] has[0] a[0] unified[0] place[0] where[0] the[0] classdoc[0] class[0] annotation[0] and[0] handler[0] are[0] all[0] stored[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3645 commit 8ca3390ee06c33febbf2e641fb6bf6f73f32e5a3 low level plumbing work required to have a context dependent error model with the new indel probabilistic alignment model. this just adds an extra input argument and does some refactoring so that when an actual model is ready it will be easy to plug in. 	3645 commit 8ca3390ee06c33febbf2e641fb6bf6f73f32e5a3 low level plumbing work required to have a context dependent error model with the new indel probabilistic alignment model.<br> this just adds an extra input argument and does some refactoring so that when an actual model is ready it will be easy to plug in.	1	-2	 3645[0] commit[0] 8ca3390ee06c33febbf2e641fb6bf6f73f32e5a3[0] low[-1] level[0] plumbing[0] work[0] required[0] to[0] have[0] a[0] context[0] dependent[-1] error[0] model[0] with[0] the[0] new[0] indel[0] probabilistic[0] alignment[0] model[0] [[Sentence=-2,1=word max, 1-5]] this[0] just[0] adds[0] an[0] extra[0] input[0] argument[-1] and[0] does[0] some[0] refactoring[0] so[0] that[0] when[0] an[0] actual[0] model[0] is[0] ready[0] it[0] will[0] be[0] easy[0] to[0] plug[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
4268 commit 16e1bbd380de4b82859016d311c31d10c4b686a5 hidden command line option to control baq gap open penalty for testing by me and eric. validatebaqwalker has misc. useful improvements. printreads now adds baq tags on output, if requested. baq has generally useful improvements. refactor code to make it easier for baqunittest to run. minbasequality enforced on output, as well as input now. added baqunittest that checks that the baq calculation is performing as expected. still needs to be expanded significantly. 	4268 commit 16e1bbd380de4b82859016d311c31d10c4b686a5 hidden command line option to control baq gap open penalty for testing by me and eric.<br> validatebaqwalker has misc.<br> useful improvements.<br> printreads now adds baq tags on output, if requested.<br> baq has generally useful improvements.<br> refactor code to make it easier for baqunittest to run.<br> minbasequality enforced on output, as well as input now.<br> added baqunittest that checks that the baq calculation is performing as expected.<br> still needs to be expanded significantly.	2	-2	 4268[0] commit[0] 16e1bbd380de4b82859016d311c31d10c4b686a5[0] hidden[0] command[0] line[0] option[0] to[0] control[0] baq[0] gap[0] open[0] penalty[0] for[0] testing[0] by[0] me[0] and[0] eric[0] [[Sentence=-1,1=word max, 1-5]] validatebaqwalker[0] has[0] misc[0] [[Sentence=-1,1=word max, 1-5]] useful[1] improvements[1] [[Sentence=-1,2=word max, 1-5]] printreads[0] now[0] adds[0] baq[0] tags[0] on[0] output[0] if[0] requested[0] [[Sentence=-1,1=word max, 1-5]] baq[0] has[0] generally[0] useful[1] improvements[1] [[Sentence=-1,2=word max, 1-5]] refactor[0] code[0] to[0] make[0] it[0] easier[0] for[0] baqunittest[0] to[0] run[0] [[Sentence=-1,1=word max, 1-5]] minbasequality[0] enforced[-1] on[0] output[0] as[0] well[0] as[0] input[0] now[0] [[Sentence=-2,1=word max, 1-5]] added[0] baqunittest[0] that[0] checks[0] that[0] the[0] baq[0] calculation[0] is[0] performing[0] as[0] expected[0] [[Sentence=-1,1=word max, 1-5]] still[0] needs[0] to[0] be[0] expanded[0] significantly[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
4328 commit 102c8b1f596bb4266f1f5557423e832c1361d597 large refactoring of the ugv2 engine so that it is now truly separated into 2 distict phases: gl calculation and af calculation, where each can be done independently. this is not yet enabled in ugv2 itself though because i need to work out one last issue or two. tested on 1mb of 1000g aug allpops low-pass and results are identical as before. also, making bq capping by mq mandatory. 	4328 commit 102c8b1f596bb4266f1f557423e832c1361d597 large refactoring of the ugv2 engine so that it is now truly separated into 2 distict phases: gl calculation and af calculation, where each can be done independently.<br> this is not yet enabled in ugv2 itself though because i need to work out one last issue or two.<br> tested on 1mb of 100g aug allpops low-pass and results are identical as before.<br> also, making bq capping by mq mandatory.	2	-2	 4328[0] commit[0] 102c8b1f596bb4266f1f5557423e832c1361d597/102c8b1f596bb4266f1f557423e832c1361d597[0] large[0] refactoring[0] of[0] the[0] ugv2[0] engine[0] so[0] that[0] it[0] is[0] now[0] truly[1] separated[0] into[0] 2[0] distict[0] phases[0] gl[0] calculation[0] and[0] af[0] calculation[0] where[0] each[0] can[0] be[0] done[0] independently[0] [[Sentence=-1,2=word max, 1-5]] this[0] is[0] not[0] yet[0] enabled[0] in[0] ugv2[0] itself[0] though[0] because[0] i[0] need[0] to[0] work[0] out[0] one[0] last[0] issue[0] or[0] two[0] [[Sentence=-1,1=word max, 1-5]] tested[0] on[0] 1mb[0] of[0] 1000g/100g[0] aug[0] allpops[0] low[-1] pass[0] and[0] results[0] are[0] identical[0] as[0] before[0] [[Sentence=-2,1=word max, 1-5]] also[0] making[0] bq[0] capping[0] by[0] mq[0] mandatory[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
