Rename Method	Translation	Positive	Negative	EmotionRationale
2195 commit f8a56bc64be83f1a9ff12102282672adc42c01d6 merge: f8ad91b f0ee789 merge branch 'master' into rodrefactor 	2195 commit f8a56bc64be83f1a9ff12102282672adc42c01d6 merge: f8ad91b f0ee789 merge branch 'master' into rodrefactor	1	-1	 2195[0] commit[0] f8a56bc64be83f1a9ff12102282672adc42c01d6[0] merge[0] f8ad91b[0] f0ee789[0] merge[0] branch[0] 'master'[0] into[0] rodrefactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2218 commit e5fde0d16bbbbbeca9802d5828a077c8036676fa merge: 526b524 88061ed merge branch 'master' into rodrefactor 	2218 commit e5fde0d16bbeca9802d5828a077c8036676fa merge: 526b524 88061ed merge branch 'master' into rodrefactor	2	-1	 2218[0] commit[0] e5fde0d16bbbbbeca9802d5828a077c8036676fa/e5fde0d16bbeca9802d5828a077c8036676fa[0][+0.6 MultipleLetters] merge[0] 526b524[0] 88061ed[0] merge[0] branch[0] 'master'[0] into[0] rodrefactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2432 commit 7420ed098e722610dbf9dcac00320a30ca1ba073 semi-working version of extradocs tag in annotation to refer to one capability being accessible in another required a significant refactoring of the gatkdoclet, which now has a unified place where the classdoc, class, annotation, and handler are all stored together. 	2432 commit 7420ed098e722610dbf9dcac00320a30ca1ba073 semi-working version of extradocs tag in annotation to refer to one capability being accessible in another required a significant refactoring of the gatkdoclet, which now has a unified place where the classdoc, class, annotation, and handler are all stored together.	1	-1	 2432[0] commit[0] 7420ed098e722610dbf9dcac00320a30ca1ba073[0] semi[0] working[0] version[0] of[0] extradocs[0] tag[0] in[0] annotation[0] to[0] refer[0] to[0] one[0] capability[0] being[0] accessible[0] in[0] another[0] required[0] a[0] significant[0] refactoring[0] of[0] the[0] gatkdoclet[0] which[0] now[0] has[0] a[0] unified[0] place[0] where[0] the[0] classdoc[0] class[0] annotation[0] and[0] handler[0] are[0] all[0] stored[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3245 commit e16bc2cbd9ff13bdb96e90c2d083908099aa82e8 contracts for java now write for genomeloc and genomelocparser. the semantics of genomeloc are now much clearer. it is no longer allowed to create invalid genomelocs -- you can only create them with well formed start, end, and contigs, with respect to the mater dictionary. where one previously created an invalid genomeloc, and asked is this valid, you must now provide the raw arguments to helper functions to assess this. providing bad arguments to genomeloc generates userexceptions now. added utilty functions contigisindictionary and indexisindictionary to help with this. refactored several interval utilties from genomelocparser to intervalutils, as one might expect they go removed genomeloc.clone() method, as this was not correctly implemented, and actually unnecessary, as genomelocs are immutable. several iterator classes have changed to remove their use of clone() removed misc. unnecessary imports disabled, temporarily, the validating pileup integration test, as it uses reads mapped to an different reference sequence for ecoli, and this now does not satisfy the contracts for genomeloc 	3245 commit e16bc2cbd9ff13bdb96e90c2d083908099a82e8 contracts for java now write for genomeloc and genomelocparser.<br> the semantics of genomeloc are now much clearer.<br> it is no longer allowed to create invalid genomelocs - you can only create them with well formed start, end, and contigs, with respect to the mater dictionary.<br> where one previously created an invalid genomeloc, and asked is this valid, you must now provide the raw arguments to helper functions to assess this.<br> providing bad arguments to genomeloc generates userexceptions now.<br> added utilty functions contigisindictionary and indexisindictionary to help with this.<br> refactored several interval utilties from genomelocparser to intervalutils, as one might expect they go removed genomeloc.<br>clone( method, as this was not correctly implemented, and actually unnecessary, as genomelocs are immutable.<br> several iterator classes have changed to remove their use of clone( removed misc.<br> unnecessary imports disabled, temporarily, the validating pileup integration test, as it uses reads mapped to an different reference sequence for ecoli, and this now does not satisfy the contracts for genomeloc	3	-2	 3245[0] commit[0] e16bc2cbd9ff13bdb96e90c2d083908099aa82e8/e16bc2cbd9ff13bdb96e90c2d083908099a82e8[0] contracts[0] for[0] java[0] now[0] write[0] for[0] genomeloc[0] and[0] genomelocparser[0] [[Sentence=-1,1=word max, 1-5]] the[0] semantics[0] of[0] genomeloc[0] are[0] now[0] much[0] clearer[0] [[Sentence=-1,1=word max, 1-5]] it[0] is[0] no[0] longer[0] allowed[0] to[0] create[0] invalid[-1] genomelocs[0] you[0] can[0] only[0] create[0] them[0] with[0] well[0] formed[0] start[0] end[0] and[0] contigs[0] with[0] respect[2] to[0] the[0] mater[0] dictionary[0] [[Sentence=-2,3=word max, 1-5]] where[0] one[0] previously[0] created[0] an[0] invalid[-1] genomeloc[0] and[0] asked[0] is[0] this[0] valid[0] you[0] must[0] now[0] provide[0] the[0] raw[0] arguments[-1] to[0] helper[0] functions[0] to[0] assess[0] this[0] [[Sentence=-2,1=word max, 1-5]] providing[0] bad[-1] arguments[-1] to[0] genomeloc[0] generates[0] userexceptions[0] now[0] [[Sentence=-2,1=word max, 1-5]] added[0] utilty[0] functions[0] contigisindictionary[0] and[0] indexisindictionary[0] to[0] help[0] with[0] this[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] several[0] interval[0] utilties[0] from[0] genomelocparser[0] to[0] intervalutils[0] as[0] one[0] might[0] expect[0] they[0] go[0] removed[0] genomeloc[0] [[Sentence=-1,1=word max, 1-5]] clone[0] method[0] as[0] this[0] was[0] not[0] correctly[0] implemented[0] and[0] actually[0] unnecessary[-1] as[0] genomelocs[0] are[0] immutable[0] [[Sentence=-2,1=word max, 1-5]] several[0] iterator[0] classes[0] have[0] changed[0] to[0] remove[0] their[0] use[0] of[0] clone[0] removed[0] misc[0] [[Sentence=-1,1=word max, 1-5]] unnecessary[-1] imports[0] disabled[0] temporarily[-1] the[0] validating[0] pileup[0] integration[0] test[0] as[0] it[0] uses[0] reads[0] mapped[0] to[0] an[0] different[0] reference[0] sequence[0] for[0] ecoli[0] and[0] this[0] now[0] does[0] not[0] satisfy[1][NegatedDueToPreviousWord] the[0] contracts[0] for[0] genomeloc[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
3385 commit f619dd3ca7f1a616f62389aa36d9597a7d92598a refactored intervalutils used to parse and scatter intervals for queue. scattering non-contig interval lists by number of loci in the intervals instead of just number of intervals. queue caches the list of locs and how to split them up instead of reloading them from disk repeatedly. todo: general purpose function to divide data evenly. skip over comments when parsing picard analysis files. 	3385 commit f619dd3ca7f1a616f62389a36d9597a7d92598a refactored intervalutils used to parse and scatter intervals for queue.<br> scattering non-contig interval lists by number of loci in the intervals instead of just number of intervals.<br> queue caches the list of locs and how to split them up instead of reloading them from disk repeatedly.<br> todo: general purpose function to divide data evenly.<br> skip over comments when parsing picard analysis files.	1	-1	 3385[0] commit[0] f619dd3ca7f1a616f62389aa36d9597a7d92598a/f619dd3ca7f1a616f62389a36d9597a7d92598a[0] refactored[0] intervalutils[0] used[0] to[0] parse[0] and[0] scatter[0] intervals[0] for[0] queue[0] [[Sentence=-1,1=word max, 1-5]] scattering[0] non[0] contig[0] interval[0] lists[0] by[0] number[0] of[0] loci[0] in[0] the[0] intervals[0] instead[0] of[0] just[0] number[0] of[0] intervals[0] [[Sentence=-1,1=word max, 1-5]] queue[0] caches[0] the[0] list[0] of[0] locs[0] and[0] how[0] to[0] split[0] them[0] up[0] instead[0] of[0] reloading[0] them[0] from[0] disk[0] repeatedly[0] [[Sentence=-1,1=word max, 1-5]] todo[0] general[0] purpose[0] function[0] to[0] divide[0] data[0] evenly[0] [[Sentence=-1,1=word max, 1-5]] skip[0] over[0] comments[0] when[0] parsing[0] picard[0] analysis[0] files[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4157 commit cba18116e4dbb56c6ce91f8c6b5de70959d9842e a significant refactoring of the rod system, done largely to simplify the process of streaming/piping vcfs into the gatk. notable changes: - public interface to rmdtrackbuilder is greatly simplified; users can use it only to build rmdtracks and lookup codecs. - roddatasource and rmdtrack are no longer functionally at the same level; roddatasources now manage rmdtracks on behalf of the gatk, and the only direct consumers of the rmdtrack class are the walkers that feel the need to access the rod system directly. (we need to stamp out this access pattern. a few minor warts were introduced as part of this process, labeled with todos. these'll be fixed as part of the vcf streaming project. 	4157 commit cba18116e4dbb56c6ce91f8c6b5de70959d9842e a significant refactoring of the rod system, done largely to simplify the process of streaming/piping vcfs into the gatk.<br> notable changes: - public interface to rmdtrackbuilder is greatly simplified; users can use it only to build rmdtracks and lookup codecs.<br> - roddatasource and rmdtrack are no longer functionally at the same level; roddatasources now manage rmdtracks on behalf of the gatk, and the only direct consumers of the rmdtrack class are the walkers that feel the need to access the rod system directly.<br> (we need to stamp out this access pattern.<br> a few minor warts were introduced as part of this process, labeled with todos.<br> these'll be fixed as part of the vcf streaming project.	3	-1	 4157[0] commit[0] cba18116e4dbb56c6ce91f8c6b5de70959d9842e[0] a[0] significant[0] refactoring[0] of[0] the[0] rod[0] system[0] done[0] largely[0] to[0] simplify[0] the[0] process[0] of[0] streaming/piping[0] vcfs[0] into[0] the[0] gatk[0] [[Sentence=-1,1=word max, 1-5]] notable[0] changes[0] public[0] interface[0] to[0] rmdtrackbuilder[0] is[0] greatly[2] simplified[0] users[0] can[0] use[0] it[0] only[0] to[0] build[0] rmdtracks[0] and[0] lookup[0] codecs[0] [[Sentence=-1,3=word max, 1-5]] roddatasource[0] and[0] rmdtrack[0] are[0] no[0] longer[0] functionally[0] at[0] the[0] same[0] level[0] roddatasources[0] now[0] manage[0] rmdtracks[0] on[0] behalf[0] of[0] the[0] gatk[0] and[0] the[0] only[0] direct[0] consumers[0] of[0] the[0] rmdtrack[0] class[0] are[0] the[0] walkers[0] that[0] feel[0] the[0] need[0] to[0] access[0] the[0] rod[0] system[0] directly[0] [[Sentence=-1,1=word max, 1-5]] we[0] need[0] to[0] stamp[0] out[0] this[0] access[0] pattern[0] [[Sentence=-1,1=word max, 1-5]] a[0] few[0] minor[0] warts[0] were[0] introduced[0] as[0] part[0] of[0] this[0] process[0] labeled[0] with[0] todos[0] [[Sentence=-1,1=word max, 1-5]] these'll[0] be[0] fixed[0] as[0] part[0] of[0] the[0] vcf[0] streaming[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
4328 commit 102c8b1f596bb4266f1f5557423e832c1361d597 large refactoring of the ugv2 engine so that it is now truly separated into 2 distict phases: gl calculation and af calculation, where each can be done independently. this is not yet enabled in ugv2 itself though because i need to work out one last issue or two. tested on 1mb of 1000g aug allpops low-pass and results are identical as before. also, making bq capping by mq mandatory. 	4328 commit 102c8b1f596bb4266f1f557423e832c1361d597 large refactoring of the ugv2 engine so that it is now truly separated into 2 distict phases: gl calculation and af calculation, where each can be done independently.<br> this is not yet enabled in ugv2 itself though because i need to work out one last issue or two.<br> tested on 1mb of 100g aug allpops low-pass and results are identical as before.<br> also, making bq capping by mq mandatory.	2	-2	 4328[0] commit[0] 102c8b1f596bb4266f1f5557423e832c1361d597/102c8b1f596bb4266f1f557423e832c1361d597[0] large[0] refactoring[0] of[0] the[0] ugv2[0] engine[0] so[0] that[0] it[0] is[0] now[0] truly[1] separated[0] into[0] 2[0] distict[0] phases[0] gl[0] calculation[0] and[0] af[0] calculation[0] where[0] each[0] can[0] be[0] done[0] independently[0] [[Sentence=-1,2=word max, 1-5]] this[0] is[0] not[0] yet[0] enabled[0] in[0] ugv2[0] itself[0] though[0] because[0] i[0] need[0] to[0] work[0] out[0] one[0] last[0] issue[0] or[0] two[0] [[Sentence=-1,1=word max, 1-5]] tested[0] on[0] 1mb[0] of[0] 1000g/100g[0] aug[0] allpops[0] low[-1] pass[0] and[0] results[0] are[0] identical[0] as[0] before[0] [[Sentence=-2,1=word max, 1-5]] also[0] making[0] bq[0] capping[0] by[0] mq[0] mandatory[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
4388 commit ef2f6d90d20e8d261e88f7a78f204a185232619f vqsr now operates on lod scores in the info field directly, and doesn't adjust the qual field. new format for tranches file uses lod score. old file format no longer supported. log10sumlog10() function, a very useful utility in mathutils. no more extendedpileupelement! robust math calculations in gmm so that no infinities are generated! haplotypescore refactored to enable use of filtered context. not yet enabled... inferredcontext getdouble and getinteger arguments now parse values from strings if necessary 	4388 commit ef2f6d90d20e8d261e88f7a78f204a185232619f vqsr now operates on lod scores in the info field directly, and doesn't adjust the qual field.<br> new format for tranches file uses lod score.<br> old file format no longer supported.<br> log10sumlog10( function, a very useful utility in mathutils.<br> no more extendedpileupelement!<br> robust math calculations in gm so that no infinities are generated!<br> haplotypescore refactored to enable use of filtered context.<br> not yet enabled.<br> inferredcontext getdouble and getinteger arguments now parse values from strings if necessary	3	-2	 4388[0] commit[0] ef2f6d90d20e8d261e88f7a78f204a185232619f[0] vqsr[0] now[0] operates[0] on[0] lod[0] scores[0] in[0] the[0] info[0] field[0] directly[0] and[0] doesn't[0] adjust[0] the[0] qual[0] field[0] [[Sentence=-1,1=word max, 1-5]] new[0] format[0] for[0] tranches[0] file[0] uses[0] lod[0] score[0] [[Sentence=-1,1=word max, 1-5]] old[0] file[0] format[0] no[0] longer[0] supported[1] [[Sentence=-1,2=word max, 1-5]] log10sumlog10[0] function[0] a[0] very[0] useful[1][1 LastWordBoosterStrength] utility[0] in[0] mathutils[0] [[Sentence=-1,3=word max, 1-5]] no[0] more[0] extendedpileupelement[0] [[Sentence=-1,1=word max, 1-5]] robust[0] math[0] calculations[0] in[0] gmm/gm[0] so[0] that[0] no[0] infinities[0] are[0] generated[0] [[Sentence=-1,1=word max, 1-5]] haplotypescore[0] refactored[0] to[0] enable[0] use[0] of[0] filtered[0] context[0] [[Sentence=-1,1=word max, 1-5]] not[0] yet[0] enabled[0] [[Sentence=-1,1=word max, 1-5]] inferredcontext[0] getdouble[0] and[0] getinteger[0] arguments[-1] now[0] parse[0] values[1] from[0] strings[0] if[0] necessary[0] [[Sentence=-2,2=word max, 1-5]][[[3,-2 max of sentences]]]
5364 commit 178cf64a0c817b7d6c75e47ad18432e18e4ae0ec refactored argumentdefinition to absorb functionality from argumentdefinition and argumenttypedescriptor. 	5364 commit 178cf64a0c817b7d6c75e47ad18432e18e4ae0ec refactored argumentdefinition to absorb functionality from argumentdefinition and argumenttypedescriptor.	1	-2	 5364[0] commit[0] 178cf64a0c817b7d6c75e47ad18432e18e4ae0ec[0] refactored[0] argumentdefinition[-1] to[0] absorb[0] functionality[0] from[0] argumentdefinition[-1] and[0] argumenttypedescriptor[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
5511 commit 7b7d3341f00fe9ed47314a58c232b91ba1f56309 trivial refactoring: isfile renamed to isintervalfile and made public 	5511 commit 7b7d3341f00fe9ed47314a58c232b91ba1f56309 trivial refactoring: isfile renamed to isintervalfile and made public	1	-2	 5511[0] commit[0] 7b7d3341f00fe9ed47314a58c232b91ba1f56309[0] trivial[-1] refactoring[0] isfile[0] renamed[0] to[0] isintervalfile[0] and[0] made[0] public[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
