Extract Method	Translation	Positive	Negative	EmotionRationale
354 commit 395d3b9dfb899d56e7bce840a63e526397d1efe7 using maven settings to get username and password for jira instead of system properties refactor some parts update release notes template to use variables 	354 commit 395d3b9dfb899d56e7bce840a63e526397d1efe7 using maven settings to get username and password for jira instead of system properties refactor some parts update release notes template to use variables	1	-1	 354[0] commit[0] 395d3b9dfb899d56e7bce840a63e526397d1efe7[0] using[0] maven[0] settings[0] to[0] get[0] username[0] and[0] password[0] for[0] jira[0] instead[0] of[0] system[0] properties[0] refactor[0] some[0] parts[0] update[0] release[0] notes[0] template[0] to[0] use[0] variables[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
761 commit 9dce090690717084a83b9eddad713a4b059d4e6e slight refactoring of @webxx handling - no need of threadlocal normally   more generic handling of web-inf/classes (advanced webapp config, not default) 	761 commit 9dce090690717084a83b9eddad713a4b059d4e6e slight refactoring of @webx handling - no need of threadlocal normally   more generic handling of web-inf/classes (advanced webap config, not default)	2	-1	 761[0] commit[0] 9dce090690717084a83b9eddad713a4b059d4e6e[0] slight[0] refactoring[0] of[0] @webxx/@webx[0] handling[0] no[0] need[0] of[0] threadlocal[0] normally[0] more[0] generic[0] handling[0] of[0] web[0] inf/classes[0] advanced[0] webapp/webap[0] config[0] not[0] default[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1257 commit 894c4f95efad1343fe412eb2efbd2d62f8ab931e tomee-336 small refactoring of datasourcefactory   ability to skip dbcp pool for datasource definition for datasource already pooled 	1257 commit 894c4f95efad1343fe412eb2efbd2d62f8ab931e tome-336 small refactoring of datasourcefactory   ability to skip dbcp pool for datasource definition for datasource already pooled	1	-1	 1257[0] commit[0] 894c4f95efad1343fe412eb2efbd2d62f8ab931e[0] tomee/tome[0] -336[0] small[0] refactoring[0] of[0] datasourcefactory[0] ability[0] to[0] skip[0] dbcp[0] pool[0] for[0] datasource[0] definition[0] for[0] datasource[0] already[0] pooled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1272 commit 0c4a3d52cab3331d366aee701e86ab41e68aaea1 tomee-334 small refactoring for lisibility 	1272 commit 0c4a3d52cab331d366aee701e86ab41e68aea1 tome-334 small refactoring for lisibility	2	-1	 1272[0] commit[0] 0c4a3d52cab3331d366aee701e86ab41e68aaea1/0c4a3d52cab331d366aee701e86ab41e68aea1[0][+0.6 MultipleLetters] tomee/tome[0] -334[0] small[0] refactoring[0] for[0] lisibility[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2675 commit 7911381599d88296227f5fb7ccb0cfd8b97a45ce openejb-748 openejb-1739 openejb-1740 refactoring logs to use jul and its default conf. a custom logger means a custom config so everything should be ok. 	2675 commit 7911381599d88296227f5fb7ccb0cfd8b97a45ce openejb-748 openejb-1739 openejb-1740 refactoring logs to use jul and its default conf.<br> a custom logger means a custom config so everything should be ok.	1	-2	 2675[0] commit[0] 7911381599d88296227f5fb7ccb0cfd8b97a45ce[0] openejb[0] -748[0] openejb[0] -1739[0] openejb[0] -1740[0] refactoring[0] logs[0] to[0] use[0] jul[0] and[0] its[0] default[-1] conf[0] [[Sentence=-2,1=word max, 1-5]] a[0] custom[0] logger[0] means[0] a[0] custom[0] config[0] so[0] everything[0] should[0] be[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
4036 commit 1e748f00bc7fc5669754212c310c629cdac70f22 reworked: openejb-1578 ejb constructor injection via cdi openejb-1601 ejb interceptor constructor injection openejb-1584 @inject instance java.security.principal  built-in bean openejb-1589 @applicationscoped session bean dependencies openejb-1205 expose stateful remove method from proxy for scope management openejb-1581 injectiontarget replacement for ejbs openejb-1587 @remote disabled for @stateful beans in a non @dependent scope openejb-1588 @interceptors invoked before @interceptorbinding interceptors openejb-1590 @postconstruct called after @inject openejb-1591 @inject called after @resource, @ejb, @persistencecontext and @persistenceunit openejb-1592 @inject support for @webservice beans 	4036 commit 1e748f00bc7fc5669754212c310c629cdac70f22 reworked: openejb-1578 ejb constructor injection via cdi openejb-1601 ejb interceptor constructor injection openejb-1584 @inject instance java.<br>security.<br>principal  built-in bean openejb-1589 @applicationscoped session bean dependencies openejb-1205 expose stateful remove method from proxy for scope management openejb-1581 injectiontarget replacement for ejbs openejb-1587 @remote disabled for @stateful beans in a non @dependent scope openejb-1588 @interceptors invoked before @interceptorbinding interceptors openejb-1590 @postconstruct called after @inject openejb-1591 @inject called after @resource, @ejb, @persistencecontext and @persistenceunit openejb-1592 @inject support for @webservice beans	1	-2	 4036[0] commit[0] 1e748f00bc7fc5669754212c310c629cdac70f22[0] reworked[0] openejb[0] -1578[0] ejb[0] constructor[0] injection[0] via[0] cdi[0] openejb[0] -1601[0] ejb[0] interceptor[0] constructor[0] injection[0] openejb[0] -1584[0] @inject[0] instance[0] java[0] [[Sentence=-1,1=word max, 1-5]] security[0] [[Sentence=-1,1=word max, 1-5]] principal[0] built[0] in[0] bean[0] openejb[0] -1589[0] @applicationscoped[0] session[0] bean[0] dependencies[0] openejb[0] -1205[0] expose[-1] stateful[0] remove[0] method[0] from[0] proxy[0] for[0] scope[0] management[0] openejb[0] -1581[0] injectiontarget[0] replacement[0] for[0] ejbs[0] openejb[0] -1587[0] @remote[0] disabled[0] for[0] @stateful[0] beans[0] in[0] a[0] non[0] @dependent[0] scope[0] openejb[0] -1588[0] @interceptors[0] invoked[0] before[0] @interceptorbinding[0] interceptors[0] openejb[0] -1590[0] @postconstruct[0] called[0] after[0] @inject[0] openejb[0] -1591[0] @inject[0] called[0] after[0] @resource[0] @ejb[0] @persistencecontext[0] and[0] @persistenceunit[0] openejb[0] -1592[0] @inject[0] support[0] for[0] @webservice[0] beans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
4058 commit 094bc351f2a2beaaacfd5d138768bd40658ff7c6 refactoring generate index source to manage templates (with velocity) to be able to maintain views more easily 	4058 commit 094bc351f2a2beacfd5d138768bd40658ff7c6 refactoring generate index source to manage templates (with velocity) to be able to maintain views more easily	2	-2	 4058[0] commit[0] 094bc351f2a2beaaacfd5d138768bd40658ff7c6/094bc351f2a2beacfd5d138768bd40658ff7c6[0][+0.6 MultipleLetters] refactoring[0] generate[0] index[0] source[-1] to[0] manage[0] templates[0] with[0] velocity[0] to[0] be[0] able[0] to[0] maintain[0] views[0] more[0] easily[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
4745 commit f02d7a7198ab843726bd5ea73c0c09679ce8617d split invocation stats and pool stats into different test cases. stubbed out more test methods. refactored the "testadvanced" test into the overdraft test. 	4745 commit f02d7a7198ab843726bd5ea73c0c09679ce8617d split invocation stats and pool stats into different test cases.<br> stubbed out more test methods.<br> refactored the "testadvanced" test into the overdraft test.	1	-1	 4745[0] commit[0] f02d7a7198ab843726bd5ea73c0c09679ce8617d[0] split[0] invocation[0] stats[0] and[0] pool[0] stats[0] into[0] different[0] test[0] cases[0] [[Sentence=-1,1=word max, 1-5]] stubbed[0] out[0] more[0] test[0] methods[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] the[0] testadvanced[0] test[0] into[0] the[0] overdraft[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4994 commit 9daa94f7f412026163e547c782a576d4d7114cc4 refactored the excludes to another method -- cosmetic change only 	4994 commit 9da94f7f412026163e547c782a576d4d7114cc4 refactored the excludes to another method - cosmetic change only	1	-1	 4994[0] commit[0] 9daa94f7f412026163e547c782a576d4d7114cc4/9da94f7f412026163e547c782a576d4d7114cc4[0] refactored[0] the[0] excludes[0] to[0] another[0] method[0] cosmetic[0] change[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5070 commit f5db72fd40f07e842042640247df655716a97176 refactor deploy logic into its own private method and create a boilerplate for undeploy logic with its undeploy method. volunteers step forward 	5070 commit f5db72fd40f07e842042640247df655716a97176 refactor deploy logic into its own private method and create a boilerplate for undeploy logic with its undeploy method.<br> volunteers step forward	1	-1	 5070[0] commit[0] f5db72fd40f07e842042640247df655716a97176[0] refactor[0] deploy[0] logic[0] into[0] its[0] own[0] private[0] method[0] and[0] create[0] a[0] boilerplate[0] for[0] undeploy[0] logic[0] with[0] its[0] undeploy[0] method[0] [[Sentence=-1,1=word max, 1-5]] volunteers[0] step[0] forward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5522 commit 43eb693b8f64a4b462594f1c6119e6be57613329 added support for auto export of ejbs to spring context redesigned bootstrap and configuratio of openejb in spring 	5522 commit 43eb693b8f64a4b462594f1c6119e6be57613329 added support for auto export of ejbs to spring context redesigned bootstrap and configuratio of openejb in spring	1	-1	 5522[0] commit[0] 43eb693b8f64a4b462594f1c6119e6be57613329[0] added[0] support[0] for[0] auto[0] export[0] of[0] ejbs[0] to[0] spring[0] context[0] redesigned[0] bootstrap[0] and[0] configuratio[0] of[0] openejb[0] in[0] spring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5652 commit b54129ae2d814ecbda9d999443d809f1cade35ec larger refactor of the cmp2jpa conversion code. allows a user supplied openejb-cmp-jpa.xml file to be supplied with mappings. if a mapping for a cmp is supplied it needs to be correct, though some relationship data will be added if missing. 	5652 commit b54129ae2d814ecbda9d99443d809f1cade35ec larger refactor of the cmp2jpa conversion code.<br> allows a user supplied openejb-cmp-jpa.<br>xml file to be supplied with mappings.<br> if a mapping for a cmp is supplied it needs to be correct, though some relationship data will be added if missing.	1	-1	 5652[0] commit[0] b54129ae2d814ecbda9d999443d809f1cade35ec/b54129ae2d814ecbda9d99443d809f1cade35ec[0] larger[0] refactor[0] of[0] the[0] cmp2jpa[0] conversion[0] code[0] [[Sentence=-1,1=word max, 1-5]] allows[0] a[0] user[0] supplied[0] openejb[0] cmp[0] jpa[0] [[Sentence=-1,1=word max, 1-5]] xml[0] file[0] to[0] be[0] supplied[0] with[0] mappings[0] [[Sentence=-1,1=word max, 1-5]] if[0] a[0] mapping[0] for[0] a[0] cmp[0] is[0] supplied[0] it[0] needs[0] to[0] be[0] correct[0] though[0] some[0] relationship[0] data[0] will[0] be[0] added[0] if[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5660 commit d8e8e96b718abb37e341c6deacc8d9aa45147abf small refactor, major hacking to come 	5660 commit d8e8e96b718abb37e341c6deacc8d9a45147abf small refactor, major hacking to come	1	-1	 5660[0] commit[0] d8e8e96b718abb37e341c6deacc8d9aa45147abf/d8e8e96b718abb37e341c6deacc8d9a45147abf[0] small[0] refactor[0] major[0] hacking[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5661 commit e0d3c655eb3b9fd9c823db1e71355a9269fbfd9d small refactor of the cmpjpaconversion. uses updated jaxb objects with keyedcollections 	5661 commit e0d3c655eb3b9fd9c823db1e71355a9269fbfd9d small refactor of the cmpjpaconversion.<br> uses updated jaxb objects with keyedcollections	1	-1	 5661[0] commit[0] e0d3c655eb3b9fd9c823db1e71355a9269fbfd9d[0] small[0] refactor[0] of[0] the[0] cmpjpaconversion[0] [[Sentence=-1,1=word max, 1-5]] uses[0] updated[0] jaxb[0] objects[0] with[0] keyedcollections[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5855 commit 92d3e6aab198424fbbc0b8c15c720951a990787d no functionality changed, just severely refactored for organization and maintainability 	5855 commit 92d3e6ab198424fbbc0b8c15c720951a990787d no functionality changed, just severely refactored for organization and maintainability	1	-1	 5855[0] commit[0] 92d3e6aab198424fbbc0b8c15c720951a990787d/92d3e6ab198424fbbc0b8c15c720951a990787d[0] no[0] functionality[0] changed[0] just[0] severely[-1][--1 LastWordBoosterStrength] refactored[0] for[0] organization[0] and[0] maintainability[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5896 commit 809efd54cd520051678b338de897e07f29dd8cc4 * refactor statefulinstancemanager and statefulcontainer to provide necessary hooks to plug-in clustering logic for sfsb. the main refactoring are done to statefulinstancemanager where activation and passivation methods have been extracted so that cluster aware sub-classes can invoke activation and passivation logic at the appropriate time. * improve the protocol between ejb clients and ejb servers: jndi and ejb requests carry a non collision free integer resulting from the servermetadata locations attached to ejb clients. server-side, if the request is served by a clusteredrpccontainer container, then this integer is campared with the integer resulting from the locations attached to the clusteredrpccontainer container. if these integers differ, then the crpcc locations are attached to the jndi or ejb responses. locations propagated back to the ejb client override the ejb client locations definition. * support new substitution group element openejb-clustering-wadi which has been added to geronimo-openejb-2.0.xsd schema. 	5896 commit 809efd54cd520051678b338de897e07f29dd8cc4 * refactor statefulinstancemanager and statefulcontainer to provide necessary hooks to plug-in clustering logic for sfsb.<br> the main refactoring are done to statefulinstancemanager where activation and passivation methods have been extracted so that cluster aware sub-classes can invoke activation and passivation logic at the appropriate time.<br> * improve the protocol between ejb clients and ejb servers: jndi and ejb requests carry a non collision free integer resulting from the servermetadata locations attached to ejb clients.<br> server-side, if the request is served by a clusteredrpccontainer container, then this integer is campared with the integer resulting from the locations attached to the clusteredrpccontainer container.<br> if these integers differ, then the crpc locations are attached to the jndi or ejb responses.<br> locations propagated back to the ejb client override the ejb client locations definition.<br> * support new substitution group element openejb-clustering-wadi which has been added to geronimo-openejb-2.0.<br>xsd schema.	2	-2	 5896[0] commit[0] 809efd54cd520051678b338de897e07f29dd8cc4[0] refactor[0] statefulinstancemanager[0] and[0] statefulcontainer[0] to[0] provide[0] necessary[0] hooks[0] to[0] plug[0] in[0] clustering[0] logic[0] for[0] sfsb[0] [[Sentence=-1,1=word max, 1-5]] the[0] main[0] refactoring[0] are[0] done[0] to[0] statefulinstancemanager[0] where[0] activation[0] and[0] passivation[0] methods[0] have[0] been[0] extracted[0] so[0] that[0] cluster[0] aware[0] sub[0] classes[0] can[0] invoke[0] activation[0] and[0] passivation[0] logic[0] at[0] the[0] appropriate[0] time[0] [[Sentence=-1,1=word max, 1-5]] improve[1] the[0] protocol[0] between[0] ejb[0] clients[0] and[0] ejb[0] servers[0] jndi[0] and[0] ejb[0] requests[0] carry[0] a[0] non[0] collision[-1] free[0] integer[0] resulting[0] from[0] the[0] servermetadata[0] locations[0] attached[0] to[0] ejb[0] clients[0] [[Sentence=-2,2=word max, 1-5]] server[0] side[0] if[0] the[0] request[0] is[0] served[0] by[0] a[0] clusteredrpccontainer[0] container[0] then[0] this[0] integer[0] is[0] campared[0] with[0] the[0] integer[0] resulting[0] from[0] the[0] locations[0] attached[0] to[0] the[0] clusteredrpccontainer[0] container[0] [[Sentence=-1,1=word max, 1-5]] if[0] these[0] integers[0] differ[-1] then[0] the[0] crpcc/crpc[0] locations[0] are[0] attached[0] to[0] the[0] jndi[0] or[0] ejb[0] responses[0] [[Sentence=-2,1=word max, 1-5]] locations[0] propagated[0] back[0] to[0] the[0] ejb[0] client[0] override[0] the[0] ejb[0] client[0] locations[0] definition[0] [[Sentence=-1,1=word max, 1-5]] support[0] new[0] substitution[0] group[0] element[0] openejb[0] clustering[0] wadi[0] which[0] has[0] been[0] added[0] to[0] geronimo[0] openejb[0] -2[0] .0[0] [[Sentence=-1,1=word max, 1-5]] xsd[0] schema[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
