Move Class	Translation	Positive	Negative	EmotionRationale
657 commit f80068a31a416bea7a85ca6861115b6bbf6c6e3f removed unused stuff, refactoring of the rest 	657 commit f80068a31a416bea7a85ca686115b6bbf6c6e3f removed unused stuff, refactoring of the rest	1	-1	 657[0] commit[0] f80068a31a416bea7a85ca6861115b6bbf6c6e3f/f80068a31a416bea7a85ca686115b6bbf6c6e3f[0] removed[0] unused[0] stuff[0] refactoring[0] of[0] the[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1344 commit 217b4b46a0eb9a262abf183be4b20699af135c36 review of netcdf open speedup supporting magic test in compressed files (netcdf) rename simplenetcdffile to netcdffileopener and other refactorings 	1344 commit 217b4b46a0eb9a262abf183be4b20699af135c36 review of netcdf open speedup supporting magic test in compressed files (netcdf) rename simplenetcdffile to netcdffileopener and other refactorings	2	-1	 1344[0] commit[0] 217b4b46a0eb9a262abf183be4b20699af135c36[0] review[0] of[0] netcdf[0] open[0] speedup[0] supporting[1] magic[0] test[0] in[0] compressed[0] files[0] netcdf[0] rename[0] simplenetcdffile[0] to[0] netcdffileopener[0] and[0] other[0] refactorings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1352 commit 5f0f54bacabd99ed0f4035f38c79f6e31b4e05ea ongoing gpf refactoring - operatorspi now returns new operatordescriptor (so that we later can have registered graph and python operators). 	1352 commit 5f0f54bacabd99ed0f4035f38c79f6e31b4e05ea ongoing gpf refactoring - operatorspi now returns new operatordescriptor (so that we later can have registered graph and python operators)	1	-1	 1352[0] commit[0] 5f0f54bacabd99ed0f4035f38c79f6e31b4e05ea[0] ongoing[0] gpf[0] refactoring[0] operatorspi[0] now[0] returns[0] new[0] operatordescriptor[0] so[0] that[0] we[0] later[0] can[0] have[0] registered[0] graph[0] and[0] python[0] operators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1736 commit f6fb8acfcc64ca6b1d85d1901aa316f1d8a223a8 extracted cacheentry class, refactorings, added tests 	1736 commit f6fb8acfcc64ca6b1d85d1901a316f1d8a223a8 extracted cacheentry class, refactorings, added tests	1	-1	 1736[0] commit[0] f6fb8acfcc64ca6b1d85d1901aa316f1d8a223a8/f6fb8acfcc64ca6b1d85d1901a316f1d8a223a8[0] extracted[0] cacheentry[0] class[0] refactorings[0] added[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3723 commit d663062013e5df449f85730c4e6eb89863cce7e6 some restructuring and refactoring of csv dataio in order to allow for use in visat 	3723 commit d663062013e5df449f85730c4e6eb89863cce7e6 some restructuring and refactoring of csv dataio in order to allow for use in visat	1	-1	 3723[0] commit[0] d663062013e5df449f85730c4e6eb89863cce7e6[0] some[0] restructuring[0] and[0] refactoring[0] of[0] csv[0] dataio[0] in[0] order[0] to[0] allow[0] for[0] use[0] in[0] visat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4362 commit 4c22d97b622b3486222de14823c64a3394eba62f minor refactorings to orthorectification tests 	4362 commit 4c22d97b622b348622de14823c64a3394eba62f minor refactorings to orthorectification tests	1	-1	 4362[0] commit[0] 4c22d97b622b3486222de14823c64a3394eba62f/4c22d97b622b348622de14823c64a3394eba62f[0] minor[0] refactorings[0] to[0] orthorectification[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4447 commit fcb83e65c1247bc11bb9c879b2e69bc05319d925 pixex refactoring extract factories and strategies 	447 commit fcb83e65c1247bc11bb9c879b2e69bc05319d925 pixex refactoring extract factories and strategies	1	-1	 4447/447[0] commit[0] fcb83e65c1247bc11bb9c879b2e69bc05319d925[0] pixex[0] refactoring[0] extract[0] factories[0] and[0] strategies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5106 commit 41c9c8834b56e09acd950d1f6874a1e4c899a60d code cleanup 	5106 commit 41c9c8834b56e09acd950d1f6874a1e4c899a60d code cleanup	1	-1	 5106[0] commit[0] 41c9c8834b56e09acd950d1f6874a1e4c899a60d[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5152 commit af8fe5dfd344d0fcd044163c3d738a9d585ceb6b major refactorings 	5152 commit af8fe5dfd344d0fcd044163c3d738a9d585ceb6b major refactorings	1	-1	 5152[0] commit[0] af8fe5dfd344d0fcd044163c3d738a9d585ceb6b[0] major[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5155 commit f50101b5364a5ebffec7760dfaa3c5e7e7e61b51 big refactoring with thomass and marcoz! 	5155 commit f50101b5364a5ebffec7760dfa3c5e7e7e61b51 big refactoring with thomas and marcoz!	1	-1	 5155[0] commit[0] f50101b5364a5ebffec7760dfaa3c5e7e7e61b51/f50101b5364a5ebffec7760dfa3c5e7e7e61b51[0] big[0] refactoring[0] with[0] thomass/thomas[0] and[0] marcoz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6070 commit 58c8e2d574c553e354f142696f040524d060dc90 pin refactoring 	6070 commit 58c8e2d574c553e354f142696f040524d060dc90 pin refactoring	1	-1	 6070[0] commit[0] 58c8e2d574c553e354f142696f040524d060dc90[0] pin[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6732 commit 3015995eb9cd815e3e0e6e2736b8f5bba8940c2d - auto utm - refactorings 	6732 commit 3015995eb9cd815e3e0e6e2736b8f5bba8940c2d - auto utm - refactorings	1	-1	 6732[0] commit[0] 3015995eb9cd815e3e0e6e2736b8f5bba8940c2d[0] auto[0] utm[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7662 commit 088510a2536e5980c175621f97ed226d28b48344 more crs refactorings 	7662 commit 088510a2536e5980c175621f97ed226d28b48344 more crs refactorings	1	-1	 7662[0] commit[0] 088510a2536e5980c175621f97ed226d28b48344[0] more[0] crs[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8091 commit 3a66e8705d6acc09410c249c66dad218eabd4ea6 (1) navigation canvas redesign (2) layer canvas extensions 	8091 commit 3a66e8705d6acc09410c249c66dad218eabd4ea6 (1) navigation canvas redesign (2) layer canvas extensions	1	-1	 8091[0] commit[0] 3a66e8705d6acc09410c249c66dad218eabd4ea6[0] (1[0] navigation[0] canvas[0] redesign[0] (2[0] layer[0] canvas[0] extensions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8454 commit 2591c4231c683464f4f2c11b549c204acd7afbd1 imaging 4.5: reviewed and refactored api 	8454 commit 2591c4231c683464f4f2c11b549c204acd7afbd1 imaging 4.5: reviewed and refactored api	1	-1	 8454[0] commit[0] 2591c4231c683464f4f2c11b549c204acd7afbd1[0] imaging[0] 4[0] .5[0] reviewed[0] and[0] refactored[0] api[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8855 commit a02a78208b13b77a62bf33addefc22a446e39cfa implemented getproductcomponents for prism - refactorings 	8855 commit a02a78208b13b77a62bf33addefc22a446e39cfa implemented getproductcomponents for prism - refactorings	1	-1	 8855[0] commit[0] a02a78208b13b77a62bf33addefc22a446e39cfa[0] implemented[0] getproductcomponents[0] for[0] prism[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8945 commit 3cda16055cd8ee380e40f8edada06bc4dbc420ec -rename appdata to applicationdata - rename appid to id - move applicationdata class to internal package 	8945 commit 3cda16055cd8ee380e40f8edada06bc4dbc420ec -rename appdata to applicationdata - rename appid to id - move applicationdata class to internal package	1	-1	 8945[0] commit[0] 3cda16055cd8ee380e40f8edada06bc4dbc420ec[0] rename[0] appdata[0] to[0] applicationdata[0] rename[0] appid[0] to[0] id[0] move[0] applicationdata[0] class[0] to[0] internal[0] package[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9493 commit 5f43fad626b1e1d2521ab1a12e1a390f17f57267 layer api refactorings 	9493 commit 5f43fad626b1e1d2521ab1a12e1a390f17f57267 layer api refactorings	1	-1	 9493[0] commit[0] 5f43fad626b1e1d2521ab1a12e1a390f17f57267[0] layer[0] api[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
