Rename Method	Translation	Positive	Negative	EmotionRationale
411 commit 572510587defa1ed4453ecf255b3e205b0305291 refactory serialization removing deconstrctors completely and replacing with  references (),  get () and  set () methods. 	411 commit 572510587defa1ed4453ecf255b3e205b0305291 refactory serialization removing deconstrctors completely and replacing with  references (  get ( and  set ( methods.	1	-1	 411[0] commit[0] 572510587defa1ed4453ecf255b3e205b0305291[0] refactory[0] serialization[0] removing[0] deconstrctors[0] completely[0] and[0] replacing[0] with[0] references[0] get[0] and[0] set[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
678 commit abfd2cea8f3fb9fcd6ffc7de639ef9effb010a98 issue #2130: more refactoring 	678 commit abfd2cea8f3fb9fcd6ffc7de639ef9effb010a98 issue #2130: more refactoring	1	-1	 678[0] commit[0] abfd2cea8f3fb9fcd6ffc7de639ef9effb010a98[0] issue[0] #2130[0] more[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1544 commit 6d3a9bb871abbd3c8106a1d6e1030d968b994a9a issue #1941: rename method for clarity. 	1544 commit 6d3a9bb871abbd3c8106a1d6e1030d968b994a9a issue #1941: rename method for clarity.	1	-1	 1544[0] commit[0] 6d3a9bb871abbd3c8106a1d6e1030d968b994a9a[0] issue[0] #1941[0] rename[0] method[0] for[0] clarity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4300 commit 1256696ff6a9e4f63c2ab75cea69c72035710400 issues #1247, #1254: refactor how we build the model, to support sequenceenumerations, and maybe tuples, and also refactor how we build the annotations for the dpms. 	4300 commit 1256696ff6a9e4f63c2ab75cea69c72035710400 issues #1247, #1254: refactor how we build the model, to support sequenceenumerations, and maybe tuples, and also refactor how we build the annotations for the dpms.	1	-1	 4300[0] commit[0] 1256696ff6a9e4f63c2ab75cea69c72035710400[0] issues[0] #1247[0] #1254[0] refactor[0] how[0] we[0] build[0] the[0] model[0] to[0] support[0] sequenceenumerations[0] and[0] maybe[0] tuples[0] and[0] also[0] refactor[0] how[0] we[0] build[0] the[0] annotations[0] for[0] the[0] dpms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4972 commit dc217ae93f7ae8fe4a57b0ce66a315f0aba40b6f refactorings in the metamodel #1126 	4972 commit dc217ae93f7ae8fe4a57b0ce66a315f0aba40b6f refactorings in the metamodel #1126	1	-1	 4972[0] commit[0] dc217ae93f7ae8fe4a57b0ce66a315f0aba40b6f[0] refactorings[0] in[0] the[0] metamodel[0] #1126[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5047 commit 8fa71f64f8983a2472723543630a2e7c7e415815 annotations: rename methoddefinitionbuilder.ignoreannotations() -  ignoremodelannotations() 	5047 commit 8fa71f64f8983a2472723543630a2e7c7e415815 annotations: rename methoddefinitionbuilder.<br>ignoreannotations( -  ignoremodelannotations(	1	-1	 5047[0] commit[0] 8fa71f64f8983a2472723543630a2e7c7e415815[0] annotations[0] rename[0] methoddefinitionbuilder[0] [[Sentence=-1,1=word max, 1-5]] ignoreannotations[0] ignoremodelannotations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5754 commit 2a48feaac555fc0d7e80e5e080380fd4038a8d51 issue #971: refactor callbuilder so we can add arbitrary statements to the let generated by callbuilder.build(). this is to allow us generate a let so that we only evaluate the primary of a spread argument f(*prim.args) once 	5754 commit 2a48feac55fc0d7e80e5e080380fd4038a8d51 issue #971: refactor callbuilder so we can add arbitrary statements to the let generated by callbuilder.<br>build(<br> this is to allow us generate a let so that we only evaluate the primary of a spread argument f(prim.<br>args) once	2	-2	 5754[0] commit[0] 2a48feaac555fc0d7e80e5e080380fd4038a8d51/2a48feac55fc0d7e80e5e080380fd4038a8d51[0][+0.6 MultipleLetters] issue[0] #971[0] refactor[0] callbuilder[0] so[0] we[0] can[0] add[0] arbitrary[0] statements[0] to[0] the[0] let[0] generated[0] by[0] callbuilder[0] [[Sentence=-1,2=word max, 1-5]] build[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] to[0] allow[0] us[0] generate[0] a[0] let[0] so[0] that[0] we[0] only[0] evaluate[0] the[0] primary[0] of[0] a[0] spread[0] argument[-1] f[0] prim[0] [[Sentence=-2,1=word max, 1-5]] args[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
6766 commit 8aca608f33c7eb65c37dc4532bb6befddd5f7a4f conditions: refactoring in progress 	6766 commit 8aca608f33c7eb65c37dc4532bb6befdd5f7a4f conditions: refactoring in progress	1	-1	 6766[0] commit[0] 8aca608f33c7eb65c37dc4532bb6befddd5f7a4f/8aca608f33c7eb65c37dc4532bb6befdd5f7a4f[0] conditions[0] refactoring[0] in[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7043 commit 02b99d61f5a2613a311918ad18f2448672c38c5d rename method so it sticks to the convention of public transformation methods being called simply 'transform()' 	7043 commit 02b99d61f5a2613a311918ad18f2448672c38c5d rename method so it sticks to the convention of public transformation methods being called simply 'transform('	1	-1	 7043[0] commit[0] 02b99d61f5a2613a311918ad18f2448672c38c5d[0] rename[0] method[0] so[0] it[0] sticks[0] to[0] the[0] convention[0] of[0] public[0] transformation[0] methods[0] being[0] called[0] simply[0] 'transform[0] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7285 commit 4418b424b86b2e1c2332e02c5084240dddd95273 issue #501: refactor ceylondoctool -  doctool, leaving a deprecated ceylondoctool for now 	7285 commit 4418b424b86b2e1c2332e02c5084240dd95273 issue #501: refactor ceylondoctool -  doctool, leaving a deprecated ceylondoctool for now	2	-1	 7285[0] commit[0] 4418b424b86b2e1c2332e02c5084240dddd95273/4418b424b86b2e1c2332e02c5084240dd95273[0][+0.6 MultipleLetters] issue[0] #501[0] refactor[0] ceylondoctool[0] doctool[0] leaving[0] a[0] deprecated[0] ceylondoctool[0] for[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
