Rename Method	Translation	Positive	Negative	EmotionRationale
52 commit a285654d5a1ffe928df2c05be666c51e29ef27dc geot-3639 - finished- the cql temporal predicates were refactored taking advantages of temporal filters 	52 commit a285654d5a1ffe928df2c05be66c51e29ef27dc geot-3639 - finished- the cql temporal predicates were refactored taking advantages of temporal filters	1	-1	 52[0] commit[0] a285654d5a1ffe928df2c05be666c51e29ef27dc/a285654d5a1ffe928df2c05be66c51e29ef27dc[0] geot[0] -3639[0] finished[0] the[0] cql[0] temporal[0] predicates[0] were[0] refactored[0] taking[0] advantages[0] of[0] temporal[0] filters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
203 commit 64a5127a12844fdec3b0c5d556447b2c4e599fa1 refactoring app-schema with web service backend support to allow functions as linkedfield in feature chaining. 	203 commit 64a5127a12844fdec3b0c5d556447b2c4e599fa1 refactoring ap-schema with web service backend support to allow functions as linkedfield in feature chaining.	1	-1	 203[0] commit[0] 64a5127a12844fdec3b0c5d556447b2c4e599fa1[0] refactoring[0] app/ap[0] schema[0] with[0] web[0] service[0] backend[0] support[0] to[0] allow[0] functions[0] as[0] linkedfield[0] in[0] feature[0] chaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
214 commit dfe87a99e0a3e9be9378ef152bcd52f474750772 fixed bug in efeatureidfactoryimpl, restructured some packages, added tests for all eattributeis* and egeometry* filters, tests are now almost complete. 	214 commit dfe87a99e0a3e9be9378ef152bcd52f474750772 fixed bug in efeatureidfactoryimpl, restructured some packages, added tests for all eattributeis* and egeometry* filters, tests are now almost complete.	1	-1	 214[0] commit[0] dfe87a99e0a3e9be9378ef152bcd52f474750772[0] fixed[0] bug[0] in[0] efeatureidfactoryimpl[0] restructured[0] some[0] packages[0] added[0] tests[0] for[0] all[0] eattributeis[0] and[0] egeometry[0] filters[0] tests[0] are[0] now[0] almost[0] complete[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1898 commit c31fbd98717c1bce9305d15321bb655640e0d25a - caters for polymorphism filters. - caters for feature chaining mapping with mappingname. - refactors feature chaining filters. 	1898 commit c31fbd98717c1bce9305d15321bb655640e0d25a - caters for polymorphism filters.<br> - caters for feature chaining mapping with mappingname.<br> - refactors feature chaining filters.	1	-1	 1898[0] commit[0] c31fbd98717c1bce9305d15321bb655640e0d25a[0] caters[0] for[0] polymorphism[0] filters[0] [[Sentence=-1,1=word max, 1-5]] caters[0] for[0] feature[0] chaining[0] mapping[0] with[0] mappingname[0] [[Sentence=-1,1=word max, 1-5]] refactors[0] feature[0] chaining[0] filters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2756 commit 951ba391fb007de614ac45cbab2db3e701c2cc23 port of imagemosaic refactor 	2756 commit 951ba391fb007de614ac45cbab2db3e701c2cc23 port of imagemosaic refactor	1	-1	 2756[0] commit[0] 951ba391fb007de614ac45cbab2db3e701c2cc23[0] port[0] of[0] imagemosaic[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2971 commit 674b6ff73a188353f9c385609e01f039a256f2cb attempt to make app-schema tests run faster: - refactor tests that create data accesses multiple times to only do it once - change schemauri locations in test mapping files to point to a url, instead of local schema files 	2971 commit 674b6ff73a188353f9c385609e01f039a256f2cb attempt to make ap-schema tests run faster: - refactor tests that create data accesses multiple times to only do it once - change schemauri locations in test mapping files to point to a url, instead of local schema files	1	-1	 2971[0] commit[0] 674b6ff73a188353f9c385609e01f039a256f2cb[0] attempt[0] to[0] make[0] app/ap[0] schema[0] tests[0] run[0] faster[0] refactor[0] tests[0] that[0] create[0] data[0] accesses[0] multiple[0] times[0] to[0] only[0] do[0] it[0] once[0] change[0] schemauri[0] locations[0] in[0] test[0] mapping[0] files[0] to[0] point[0] to[0] a[0] url[0] instead[0] of[0] local[0] schema[0] files[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2991 commit a4b4e7a0bc1b9ae06a48193c079fd4fa73b168a6 geot-2549, updated arcsdejndidatastorefactorytest 	2991 commit a4b4e7a0bc1b9ae06a48193c079fd4fa73b168a6 geot-2549, updated arcsdejndidatastorefactorytest	1	-1	 2991[0] commit[0] a4b4e7a0bc1b9ae06a48193c079fd4fa73b168a6[0] geot[0] -2549[0] updated[0] arcsdejndidatastorefactorytest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2992 commit dcfb6008c9504782eebd71c6121ea2e56fa6f219 minor test query factory method name refactoring 	2992 commit dcfb6008c9504782eebd71c6121ea2e56fa6f219 minor test query factory method name refactoring	1	-1	 2992[0] commit[0] dcfb6008c9504782eebd71c6121ea2e56fa6f219[0] minor[0] test[0] query[0] factory[0] method[0] name[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3087 commit 62b61226d8d03cbacb05795c1ff50dea1fa97477 refactoring coverage-api 	3087 commit 62b61226d8d03cbacb05795c1ff50dea1fa97477 refactoring coverage-api	1	-1	 3087[0] commit[0] 62b61226d8d03cbacb05795c1ff50dea1fa97477[0] refactoring[0] coverage[0] api[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4244 commit 9c82510cc7231969e13f9ee691dfcd76807d39c0 refactored primary key structure, support for mult column primary keys 	4244 commit 9c82510cc7231969e13f9ee691dfcd76807d39c0 refactored primary key structure, support for mult column primary keys	1	-1	 4244[0] commit[0] 9c82510cc7231969e13f9ee691dfcd76807d39c0[0] refactored[0] primary[0] key[0] structure[0] support[0] for[0] mult[0] column[0] primary[0] keys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4419 commit 0b12bd9af2801045fdd1c4355f333111442f4d9a added a "wrapper" class for dynamic processfactory and processes that can be built from a wps describeprocess response and used to easily pass around objects representing processes on the client side. refactored the tests to match both the manual request building way and the new object way. 	4419 commit 0b12bd9af2801045fdd1c4355f3311442f4d9a added a "wrapper" class for dynamic processfactory and processes that can be built from a wps describeprocess response and used to easily pass around objects representing processes on the client side.<br> refactored the tests to match both the manual request building way and the new object way.	2	-1	 4419[0] commit[0] 0b12bd9af2801045fdd1c4355f333111442f4d9a/0b12bd9af2801045fdd1c4355f3311442f4d9a[0][+0.6 MultipleLetters] added[0] a[0] wrapper[0] class[0] for[0] dynamic[0] processfactory[0] and[0] processes[0] that[0] can[0] be[0] built[0] from[0] a[0] wps[0] describeprocess[0] response[0] and[0] used[0] to[0] easily[0] pass[0] around[0] objects[0] representing[0] processes[0] on[0] the[0] client[0] side[0] [[Sentence=-1,2=word max, 1-5]] refactored[0] the[0] tests[0] to[0] match[0] both[0] the[0] manual[0] request[0] building[0] way[0] and[0] the[0] new[0] object[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
