Inline Method	Translation	Positive	Negative	EmotionRationale
37 commit b749af0dc64105a5900eb144c1dc6ff671a57bae merge: 30db429 98bbbb8 merge changes i08050dc3,iebc74f60 * changes: changescreen2: display reviewers as "chips" refactor linkage from changescreen2 and its reviewers widget 	37 commit b749af0dc64105a5900eb144c1dc6ff671a57bae merge: 30db429 98bb8 merge changes i08050dc3,iebc74f60 * changes: changescreen2: display reviewers as "chips" refactor linkage from changescreen2 and its reviewers widget	2	-1	 37[0] commit[0] b749af0dc64105a5900eb144c1dc6ff671a57bae[0] merge[0] 30db429[0] 98bbbb8/98bb8[0][+0.6 MultipleLetters] merge[0] changes[0] i08050dc3[0] iebc74f60[0] changes[0] changescreen2[0] display[0] reviewers[0] as[0] chips[0] refactor[0] linkage[0] from[0] changescreen2[0] and[0] its[0] reviewers[0] widget[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
60 commit 9d2e5658df86e42255309243b90f4ca82cad013e refactor linkage from changescreen2 and its reviewers widget move the loop that splits the reviewer and cc list into the reviewers widget, eliminating a duplicated block of code. link the widget with its sibling reviewerstext in the init() method rather than set(), matching the pattern used in labels widget. change-id: iebc74f60781140d7a3b8643aed9f2dbb74e4e889 	60 commit 9d2e5658df86e42255309243b90f4ca82cad013e refactor linkage from changescreen2 and its reviewers widget move the loop that splits the reviewer and c list into the reviewers widget, eliminating a duplicated block of code.<br> link the widget with its sibling reviewerstext in the init( method rather than set( matching the pattern used in labels widget.<br> change-id: iebc74f60781140d7a3b8643aed9f2dbb74e4e889	1	-1	 60[0] commit[0] 9d2e5658df86e42255309243b90f4ca82cad013e[0] refactor[0] linkage[0] from[0] changescreen2[0] and[0] its[0] reviewers[0] widget[0] move[0] the[0] loop[0] that[0] splits[0] the[0] reviewer[0] and[0] cc/c[0] list[0] into[0] the[0] reviewers[0] widget[0] eliminating[0] a[0] duplicated[0] block[0] of[0] code[0] [[Sentence=-1,1=word max, 1-5]] link[0] the[0] widget[0] with[0] its[0] sibling[0] reviewerstext[0] in[0] the[0] init[0] method[0] rather[0] than[0] set[0] matching[0] the[0] pattern[0] used[0] in[0] labels[0] widget[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] iebc74f60781140d7a3b8643aed9f2dbb74e4e889[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3038 commit 0adf6f7f43ab23e8afef31fde0648239c680fa8a merge: daaa007 0026dfe merge "refactor listgroups: move code to format output into command class" 	3038 commit 0adf6f7f43ab23e8afef31fde0648239c680fa8a merge: da007 0026dfe merge "refactor listgroups: move code to format output into command class"	2	-1	 3038[0] commit[0] 0adf6f7f43ab23e8afef31fde0648239c680fa8a[0] merge[0] daaa007/da007[0][+0.6 MultipleLetters] 0026dfe[0] merge[0] refactor[0] listgroups[0] move[0] code[0] to[0] format[0] output[0] into[0] command[0] class[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3041 commit 0026dfe142f77e41e32e9c1add1944678295e5c7 refactor listgroups: move code to format output into command class move the code to format the output for the ssh command into the ssh command class. this makes the listgroups class which is also used to serve rest calls much cleaner. change-id: i876eb4f9d472dff2c44649c75a37535c67e90760 signed-off-by: edwin kempin  edwin.kempin@sap.com  	3041 commit 0026dfe142f77e41e32e9c1add1944678295e5c7 refactor listgroups: move code to format output into command class move the code to format the output for the ssh command into the ssh command class.<br> this makes the listgroups class which is also used to serve rest calls much cleaner.<br> change-id: i876eb4f9d472dff2c44649c75a37535c67e90760 signed-off-by: edwin kempin  edwin.<br>kempin@sap.<br>com 	1	-1	 3041[0] commit[0] 0026dfe142f77e41e32e9c1add1944678295e5c7[0] refactor[0] listgroups[0] move[0] code[0] to[0] format[0] output[0] into[0] command[0] class[0] move[0] the[0] code[0] to[0] format[0] the[0] output[0] for[0] the[0] ssh[0] command[0] into[0] the[0] ssh[0] command[0] class[0] [[Sentence=-1,1=word max, 1-5]] this[0] makes[0] the[0] listgroups[0] class[0] which[0] is[0] also[0] used[0] to[0] serve[0] rest[0] calls[0] much[0] cleaner[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i876eb4f9d472dff2c44649c75a37535c67e90760[0] signed[0] off[0] by[0] edwin[0] kempin[0] edwin[0] [[Sentence=-1,1=word max, 1-5]] kempin@sap[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4044 commit 633d59b6436b866a24cd3e629f185f453ea5beb0 merge: 659a6b8 680a5f8 merge feature 'control submit type from prolog' * control submit type from prolog: support controlling the submit type for changes from prolog remove unnecessary prolog-to-java conversion from submit filters use locate_helper to replace locate_* predicates changecontrol: extract prolog submit rule evaluation to its own method display submit type in the change info block support changes with different submit types in mergeop make submit strategies re-executeable refactor mergeop: reduce number of member variables, make names consistent refactor mergeop: implement each submit strategy in an own class refactor mergeop: extract utility methods into mergeutil class change-id: i71d4f5757ab96b5eb8456972398a7bb9fa2a7d4c signed-off-by: edwin kempin  edwin.kempin@sap.com  	4044 commit 633d59b6436b866a24cd3e629f185f453ea5beb0 merge: 659a6b8 680a5f8 merge feature 'control submit type from prolog' * control submit type from prolog: support controlling the submit type for changes from prolog remove unnecessary prolog-to-java conversion from submit filters use locate_helper to replace locate_* predicates changecontrol: extract prolog submit rule evaluation to its own method display submit type in the change info block support changes with different submit types in mergeop make submit strategies re-executeable refactor mergeop: reduce number of member variables, make names consistent refactor mergeop: implement each submit strategy in an own class refactor mergeop: extract utility methods into mergeutil class change-id: i71d4f5757ab96b5eb8456972398a7bb9fa2a7d4c signed-off-by: edwin kempin  edwin.<br>kempin@sap.<br>com 	1	-2	 4044[0] commit[0] 633d59b6436b866a24cd3e629f185f453ea5beb0[0] merge[0] 659a6b8[0] 680a5f8[0] merge[0] feature[0] 'control[0] submit[0] type[0] from[0] prolog'[0] control[0] submit[0] type[0] from[0] prolog[0] support[0] controlling[0] the[0] submit[0] type[0] for[0] changes[0] from[0] prolog[0] remove[0] unnecessary[-1] prolog[0] to[0] java[0] conversion[0] from[0] submit[0] filters[0] use[0] locate_helper[0] to[0] replace[0] locate_[0] predicates[0] changecontrol[0] extract[0] prolog[0] submit[0] rule[0] evaluation[0] to[0] its[0] own[0] method[0] display[0] submit[0] type[0] in[0] the[0] change[0] info[0] block[0] support[0] changes[0] with[0] different[0] submit[0] types[0] in[0] mergeop[0] make[0] submit[0] strategies[0] re[0] executeable[0] refactor[0] mergeop[0] reduce[0] number[0] of[0] member[0] variables[0] make[0] names[0] consistent[0] refactor[0] mergeop[0] implement[0] each[0] submit[0] strategy[0] in[0] an[0] own[0] class[0] refactor[0] mergeop[0] extract[0] utility[0] methods[0] into[0] mergeutil[0] [[Sentence=-2,1=word max, 1-5]] kempin@sap[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
4925 commit 4b6f8c1ef2a4ee120d5769cf9252cdb13fa37aa3 merge: cb64a4b 1bc7762 merge changes ic8052b4d,i41829d35,ia2d112eb,ieb95a0ed,i38b15303 * changes: refactor ls-projects code to gerrit-server support parsing command line options from a map allow command line parsing to happen on a different object refactor display of --help/-h to be common move parsing of --help/-h to cmdlineparser 	4925 commit 4b6f8c1ef2a4ee120d5769cf9252cdb13fa37a3 merge: cb64a4b 1bc7762 merge changes ic8052b4d,i41829d35,ia2d112eb,ieb95a0ed,i38b15303 * changes: refactor ls-projects code to gerrit-server support parsing command line options from a map allow command line parsing to happen on a different object refactor display of -help/-h to be common move parsing of -help/-h to cmdlineparser	1	-1	 4925[0] commit[0] 4b6f8c1ef2a4ee120d5769cf9252cdb13fa37aa3/4b6f8c1ef2a4ee120d5769cf9252cdb13fa37a3[0] merge[0] cb64a4b[0] 1bc7762[0] merge[0] changes[0] ic8052b4d[0] i41829d35[0] ia2d112eb[0] ieb95a0ed[0] i38b15303[0] changes[0] refactor[0] ls[0] projects[0] code[0] to[0] gerrit[0] server[0] support[0] parsing[0] command[0] line[0] options[0] from[0] a[0] map[0] allow[0] command[0] line[0] parsing[0] to[0] happen[0] on[0] a[0] different[0] object[0] refactor[0] display[0] of[0] help/[0] h[0] to[0] be[0] common[0] move[0] parsing[0] of[0] help/[0] h[0] to[0] cmdlineparser[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5604 commit 2b63c6cf09663d96b7a661b89d856d4cce809b6f merge: 827c735 0c1abdb merge changes ied06561c,idff421e1,iaf12bab5,i2b744f5a * changes: add permission_sort cache to remember sort orderings reuse cached refcontrol data in functionstate refactor how permissions are matched by projectcontrol, refcontrol cache effective capabilities to improve lookup performance 	5604 commit 2b63c6cf09663d96b7a661b89d856d4cce809b6f merge: 827c735 0c1abdb merge changes ied06561c,idff421e1,iaf12bab5,i2b744f5a * changes: add permission_sort cache to remember sort orderings reuse cached refcontrol data in functionstate refactor how permissions are matched by projectcontrol, refcontrol cache effective capabilities to improve lookup performance	2	-1	 5604[0] commit[0] 2b63c6cf09663d96b7a661b89d856d4cce809b6f[0] merge[0] 827c735[0] 0c1abdb[0] merge[0] changes[0] ied06561c[0] idff421e1[0] iaf12bab5[0] i2b744f5a[0] changes[0] add[0] permission_sort[0] cache[0] to[0] remember[0] sort[0] orderings[0] reuse[0] cached[0] refcontrol[0] data[0] in[0] functionstate[0] refactor[0] how[0] permissions[0] are[0] matched[0] by[0] projectcontrol[0] refcontrol[0] cache[0] effective[0] capabilities[0] to[0] improve[1] lookup[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
6727 commit 4039675ad5f802b8327eb7f9acb452acce62103c refactor the ssh session state we want to split the session state apart from the actual connection so we can implement a "set uid" feature later, where the user running a command may not match the original authentication. change-id: i0c9d31b4f5f04849e1c4a171243f0f376056c2c8 signed-off-by: shawn o. pearce  sop@google.com  	6727 commit 4039675ad5f802b8327eb7f9acb452acce62103c refactor the ssh session state we want to split the session state apart from the actual connection so we can implement a "set uid" feature later, where the user running a command may not match the original authentication.<br> change-id: i0c9d31b4f5f04849e1c4a171243f0f376056c2c8 signed-off-by: shawn o.<br> pearce  sop@google.<br>com 	1	-1	 6727[0] commit[0] 4039675ad5f802b8327eb7f9acb452acce62103c[0] refactor[0] the[0] ssh[0] session[0] state[0] we[0] want[0] to[0] split[0] the[0] session[0] state[0] apart[0] from[0] the[0] actual[0] connection[0] so[0] we[0] can[0] implement[0] a[0] set[0] uid[0] feature[0] later[0] where[0] the[0] user[0] running[0] a[0] command[0] may[0] not[0] match[0] the[0] original[0] authentication[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i0c9d31b4f5f04849e1c4a171243f0f376056c2c8[0] signed[0] off[0] by[0] shawn[0] o[0] [[Sentence=-1,1=word max, 1-5]] pearce[0] sop@google[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6866 commit bbf1aaccde2cd0c9d9becff1f7a784466726abda init: refactor init to be small parts created through guice i was nuts when i wrote init. making it all one giant program in a single class was simply insane. instead we break it down into many smaller classes and use guice to manage the creation, dependency injection, and control flow. since init knew about most of the files under the  site_path we put them all into a single immutable class called sitepaths and replace all references to these throughout the code base to use sitepaths and these well defined constants. init can now also import gerritserver.properties into the newer style gerrit.config and secure.config. this ensure the database settings are setup with the current defaults change-id: i4f5d8256497c1a97df35754dbe6193c78edde9e1 signed-off-by: shawn o. pearce  sop@google.com  	6866 commit bbf1accde2cd0c9d9becff1f7a784466726abda init: refactor init to be small parts created through guice i was nuts when i wrote init.<br> making it all one giant program in a single class was simply insane.<br> instead we break it down into many smaller classes and use guice to manage the creation, dependency injection, and control flow.<br> since init knew about most of the files under the  site_path we put them all into a single immutable class called sitepaths and replace all references to these throughout the code base to use sitepaths and these well defined constants.<br> init can now also import gerritserver.<br>properties into the newer style gerrit.<br>config and secure.<br>config.<br> this ensure the database settings are setup with the current defaults change-id: i4f5d8256497c1a97df35754dbe6193c78edde9e1 signed-off-by: shawn o.<br> pearce  sop@google.<br>com 	2	-2	 6866[0] commit[0] bbf1aaccde2cd0c9d9becff1f7a784466726abda/bbf1accde2cd0c9d9becff1f7a784466726abda[0] init[0] refactor[0] init[0] to[0] be[0] small[0] parts[0] created[0] through[0] guice[0] i[0] was[0] nuts[0] when[0] i[0] wrote[0] init[0] [[Sentence=-1,1=word max, 1-5]] making[0] it[0] all[0] one[0] giant[0] program[0] in[0] a[0] single[0] class[0] was[0] simply[0] insane[-1] [[Sentence=-2,1=word max, 1-5]] instead[0] we[0] break[0] it[0] down[0] into[0] many[0] smaller[0] classes[0] and[0] use[0] guice[0] to[0] manage[0] the[0] creation[0] dependency[0] injection[0] and[0] control[0] flow[0] [[Sentence=-1,1=word max, 1-5]] since[0] init[0] knew[0] about[0] most[0] of[0] the[0] files[0] under[0] the[0] site_path[0] we[0] put[0] them[0] all[0] into[0] a[0] single[0] immutable[0] class[0] called[0] sitepaths[0] and[0] replace[0] all[0] references[0] to[0] these[0] throughout[0] the[0] code[0] base[0] to[0] use[0] sitepaths[0] and[0] these[0] well[0] defined[0] constants[0] [[Sentence=-1,1=word max, 1-5]] init[0] can[0] now[0] also[0] import[0] gerritserver[0] [[Sentence=-1,1=word max, 1-5]] properties[0] into[0] the[0] newer[0] style[0] gerrit[0] [[Sentence=-1,1=word max, 1-5]] config[0] and[0] secure[1] [[Sentence=-1,2=word max, 1-5]] config[0] [[Sentence=-1,1=word max, 1-5]] this[0] ensure[0] the[0] database[0] settings[0] are[0] setup[0] with[0] the[0] current[0] defaults[0] change[0] id[0] i4f5d8256497c1a97df35754dbe6193c78edde9e1[0] signed[0] off[0] by[0] shawn[0] o[0] [[Sentence=-1,1=word max, 1-5]] pearce[0] sop@google[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
7451 commit b17bb24cccacd896642f563763967baf3f4ae029 move authentication bits out of gerritserver instead they are in authconfig, which helps to isolate all of the auth related bits away from other things like caches and database. also, we use gerritcall more often for setting up the cookie or clearing it, rather than using accountcookie's duplicated code. signed-off-by: shawn o. pearce  sop@google.com  	7451 commit b17bb24ccacd896642f563763967baf3f4ae029 move authentication bits out of gerritserver instead they are in authconfig, which helps to isolate all of the auth related bits away from other things like caches and database.<br> also, we use gerritcall more often for setting up the cookie or clearing it, rather than using accountcookie's duplicated code.<br> signed-off-by: shawn o.<br> pearce  sop@google.<br>com 	1	-2	 7451[0] commit[0] b17bb24cccacd896642f563763967baf3f4ae029/b17bb24ccacd896642f563763967baf3f4ae029[0] move[0] authentication[0] bits[0] out[0] of[0] gerritserver[0] instead[0] they[0] are[0] in[0] authconfig[0] which[0] helps[0] to[0] isolate[-1] all[0] of[0] the[0] auth[0] related[0] bits[0] away[0] from[0] other[0] things[0] like[0] caches[0] and[0] database[0] [[Sentence=-2,1=word max, 1-5]] also[0] we[0] use[0] gerritcall[0] more[0] often[0] for[0] setting[0] up[0] the[0] cookie[0] or[0] clearing[0] it[0] rather[0] than[0] using[0] accountcookie's[0] duplicated[0] code[0] [[Sentence=-1,1=word max, 1-5]] signed[0] off[0] by[0] shawn[0] o[0] [[Sentence=-1,1=word max, 1-5]] pearce[0] sop@google[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
