Move Class	Translation	Positive	Negative	EmotionRationale
124 commit cc00e0056991355b8780bebd221acf3baf1f55e7 refactor refcontroltest refactor refcontroltest for extracting out reusable code for the following up commit id12dbec23a7. change-id: i4b9ea23b83de648910a07a162ae1c30820d0136b 	124 commit cc00e0056991355b8780bebd221acf3baf1f55e7 refactor refcontroltest refactor refcontroltest for extracting out reusable code for the following up commit id12dbec23a7.<br> change-id: i4b9ea23b83de648910a07a162ae1c30820d0136b	1	-1	 124[0] commit[0] cc00e0056991355b8780bebd221acf3baf1f55e7[0] refactor[0] refcontroltest[0] refactor[0] refcontroltest[0] for[0] extracting[0] out[0] reusable[0] code[0] for[0] the[0] following[0] up[0] commit[0] id12dbec23a7[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i4b9ea23b83de648910a07a162ae1c30820d0136b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
335 commit bf48b20e9ac9751d0c8aeba8f391c47f3f126718 merge: eb47db1 fff6f19 merge changes i3bbfc470,i628c4c99 * changes: prevent injecting identifieduser for project rest endpoints refactor uiaction specific code out of change specific code 	335 commit bf48b20e9ac9751d0c8aeba8f391c47f3f126718 merge: eb47db1 ff6f19 merge changes i3bbfc470,i628c4c99 * changes: prevent injecting identifieduser for project rest endpoints refactor uiaction specific code out of change specific code	1	-1	 335[0] commit[0] bf48b20e9ac9751d0c8aeba8f391c47f3f126718[0] merge[0] eb47db1[0] fff6f19/ff6f19[0] merge[0] changes[0] i3bbfc470[0] i628c4c99[0] changes[0] prevent[0] injecting[0] identifieduser[0] for[0] project[0] rest[0] endpoints[0] refactor[0] uiaction[0] specific[0] code[0] out[0] of[0] change[0] specific[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
348 commit 513659c490bdb2431b168382eff537d23a86b478 refactor uiaction specific code out of change specific code to support uiactions on more screens, i. e. project info screen, refactor the code from the change specific code to its own actions package. change-id: i628c4c99c1a1e1ccaba0a11f27ed5acdabc6e37c 	348 commit 513659c490bdb2431b168382eff537d23a86b478 refactor uiaction specific code out of change specific code to support uiactions on more screens, i.<br> e.<br> project info screen, refactor the code from the change specific code to its own actions package.<br> change-id: i628c4c99c1a1e1ccaba0a11f27ed5acdabc6e37c	1	-1	 348[0] commit[0] 513659c490bdb2431b168382eff537d23a86b478[0] refactor[0] uiaction[0] specific[0] code[0] out[0] of[0] change[0] specific[0] code[0] to[0] support[0] uiactions[0] on[0] more[0] screens[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] project[0] info[0] screen[0] refactor[0] the[0] code[0] from[0] the[0] change[0] specific[0] code[0] to[0] its[0] own[0] actions[0] package[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i628c4c99c1a1e1ccaba0a11f27ed5acdabc6e37c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
421 commit 738b72e4275a64a9da4afed71a084f83438aeb6e merge: 1df8a6e 99c3d2b merge "minor refactor of diff code to prepare for unified view" 	421 commit 738b72e4275a64a9da4afed71a084f83438aeb6e merge: 1df8a6e 99c3d2b merge "minor refactor of diff code to prepare for unified view"	1	-1	 421[0] commit[0] 738b72e4275a64a9da4afed71a084f83438aeb6e[0] merge[0] 1df8a6e[0] 99c3d2b[0] merge[0] minor[0] refactor[0] of[0] diff[0] code[0] to[0] prepare[0] for[0] unified[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
457 commit 99c3d2b87a3bd897f3fa37a3c28a9d17aa38d619 minor refactor of diff code to prepare for unified view pulled some classes out of sidebyside2. there will be a lot of common code between the upcoming unified2 and sidebyside2. fixed a minor bug in skip line rendering. it was still relying on side.parent. changed to use displayside.a. deleted deprecated patchselectbox2. change-id: i87d608d7e6a4330096d65b0fc1b99c1c5160d119 	457 commit 99c3d2b87a3bd897f3fa37a3c28a9d17a38d619 minor refactor of diff code to prepare for unified view pulled some classes out of sidebyside2.<br> there will be a lot of common code between the upcoming unified2 and sidebyside2.<br> fixed a minor bug in skip line rendering.<br> it was still relying on side.<br>parent.<br> changed to use displayside.<br>a.<br> deleted deprecated patchselectbox2.<br> change-id: i87d608d7e6a4330096d65b0fc1b99c1c5160d119	1	-1	 457[0] commit[0] 99c3d2b87a3bd897f3fa37a3c28a9d17aa38d619/99c3d2b87a3bd897f3fa37a3c28a9d17a38d619[0] minor[0] refactor[0] of[0] diff[0] code[0] to[0] prepare[0] for[0] unified[0] view[0] pulled[0] some[0] classes[0] out[0] of[0] sidebyside2[0] [[Sentence=-1,1=word max, 1-5]] there[0] will[0] be[0] a[0] lot[0] of[0] common[0] code[0] between[0] the[0] upcoming[0] unified2[0] and[0] sidebyside2[0] [[Sentence=-1,1=word max, 1-5]] fixed[0] a[0] minor[0] bug[0] in[0] skip[0] line[0] rendering[0] [[Sentence=-1,1=word max, 1-5]] it[0] was[0] still[0] relying[0] on[0] side[0] [[Sentence=-1,1=word max, 1-5]] parent[0] [[Sentence=-1,1=word max, 1-5]] changed[0] to[0] use[0] displayside[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] deleted[0] deprecated[0] patchselectbox2[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i87d608d7e6a4330096d65b0fc1b99c1c5160d119[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1001 commit 44739b11679d59e55f69b9f4fd82260d3414d9cc refactor padding for comment boxes added paddingmanager that takes care of calculating and adjusting paddings introduced by commentboxes. change-id: iff58822edeeb724f649a347197ec0beec15c5a82 	1001 commit 44739b11679d59e55f69b9f4fd82260d3414d9c refactor padding for comment boxes added paddingmanager that takes care of calculating and adjusting paddings introduced by commentboxes.<br> change-id: iff58822edeeb724f649a347197ec0beec15c5a82	2	-1	 1001[0] commit[0] 44739b11679d59e55f69b9f4fd82260d3414d9cc/44739b11679d59e55f69b9f4fd82260d3414d9c[0] refactor[0] padding[0] for[0] comment[0] boxes[0] added[0] paddingmanager[0] that[0] takes[0] care[1] of[0] calculating[0] and[0] adjusting[0] paddings[0] introduced[0] by[0] commentboxes[0] [[Sentence=-1,2=word max, 1-5]] change[0] id[0] iff58822edeeb724f649a347197ec0beec15c5a82[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
2706 commit 5797d87d6b2f0be3c27647f85cd59c36ed1769cc break intralinediff threads into their own module this small refactoring allows me to manually bind the intralineworkerpool within the gerrit-review server build, offering better control over how the threads are managed by this pool. change-id: i26c56ef3c57a86189e1c6a1b668b464e4f079995 	2706 commit 5797d87d6b2f0be3c27647f85cd59c36ed1769c break intralinediff threads into their own module this small refactoring allows me to manually bind the intralineworkerpool within the gerrit-review server build, offering better control over how the threads are managed by this pool.<br> change-id: i26c56ef3c57a86189e1c6a1b668b464e4f07995	1	-1	 2706[0] commit[0] 5797d87d6b2f0be3c27647f85cd59c36ed1769cc/5797d87d6b2f0be3c27647f85cd59c36ed1769c[0] break[0] intralinediff[0] threads[0] into[0] their[0] own[0] module[0] this[0] small[0] refactoring[0] allows[0] me[0] to[0] manually[0] bind[0] the[0] intralineworkerpool[0] within[0] the[0] gerrit[0] review[0] server[0] build[0] offering[0] better[0] control[0] over[0] how[0] the[0] threads[0] are[0] managed[0] by[0] this[0] pool[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i26c56ef3c57a86189e1c6a1b668b464e4f079995/i26c56ef3c57a86189e1c6a1b668b464e4f07995[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3543 commit c3f649a2207c949705c444ccd9eeba268919e002 merge: 6e114ee 2dfc684 merge "refactor downloadurllink creation out of changes" 	3543 commit c3f649a2207c949705c44ccd9eeba268919e002 merge: 6e114ee 2dfc684 merge "refactor downloadurllink creation out of changes"	1	-1	 3543[0] commit[0] c3f649a2207c949705c444ccd9eeba268919e002/c3f649a2207c949705c44ccd9eeba268919e002[0] merge[0] 6e114ee[0] 2dfc684[0] merge[0] refactor[0] downloadurllink[0] creation[0] out[0] of[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3549 commit 2dfc6843671fcba8a4c3f13a4c461452cedf12c5 refactor downloadurllink creation out of changes the downloadurllinks may be used for other type of downloads in the future, for example for project cloning. refactor all the download classes into their own directory since they are not change specific. create a series of urllinks types for each download type that was used in the change screen so that they can be easily reused. move some functions which were only used to create these types into the downloadurllink class. add a factory function which creates all the configured types. change-id: i5d136333d1d2dd887dd66db92d6154890677ebfc 	3549 commit 2dfc6843671fcba8a4c3f13a4c461452cedf12c5 refactor downloadurllink creation out of changes the downloadurllinks may be used for other type of downloads in the future, for example for project cloning.<br> refactor all the download classes into their own directory since they are not change specific.<br> create a series of urllinks types for each download type that was used in the change screen so that they can be easily reused.<br> move some functions which were only used to create these types into the downloadurllink class.<br> add a factory function which creates all the configured types.<br> change-id: i5d13633d1d2dd887dd66db92d6154890677ebfc	1	-1	 3549[0] commit[0] 2dfc6843671fcba8a4c3f13a4c461452cedf12c5[0] refactor[0] downloadurllink[0] creation[0] out[0] of[0] changes[0] the[0] downloadurllinks[0] may[0] be[0] used[0] for[0] other[0] type[0] of[0] downloads[0] in[0] the[0] future[0] for[0] example[0] for[0] project[0] cloning[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] all[0] the[0] download[0] classes[0] into[0] their[0] own[0] directory[0] since[0] they[0] are[0] not[0] change[0] specific[0] [[Sentence=-1,1=word max, 1-5]] create[0] a[0] series[0] of[0] urllinks[0] types[0] for[0] each[0] download[0] type[0] that[0] was[0] used[0] in[0] the[0] change[0] screen[0] so[0] that[0] they[0] can[0] be[0] easily[0] reused[0] [[Sentence=-1,1=word max, 1-5]] move[0] some[0] functions[0] which[0] were[0] only[0] used[0] to[0] create[0] these[0] types[0] into[0] the[0] downloadurllink[0] class[0] [[Sentence=-1,1=word max, 1-5]] add[0] a[0] factory[0] function[0] which[0] creates[0] all[0] the[0] configured[0] types[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i5d136333d1d2dd887dd66db92d6154890677ebfc/i5d13633d1d2dd887dd66db92d6154890677ebfc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3982 commit c009c816ed1825fc8aff82585f542850433f3376 merge: 0b5d3ef a549846 merge "refactor code for rebasing changes to make it reusable" 	3982 commit c009c816ed1825fc8aff82585f542850433f3376 merge: 0b5d3ef a549846 merge "refactor code for rebasing changes to make it reusable"	1	-1	 3982[0] commit[0] c009c816ed1825fc8aff82585f542850433f3376[0] merge[0] 0b5d3ef[0] a549846[0] merge[0] refactor[0] code[0] for[0] rebasing[0] changes[0] to[0] make[0] it[0] reusable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
