Extract Method	Translation	Positive	Negative	EmotionRationale
1647 commit 4452df90ac8a7f937bbe62d7325af0676e8cb0ce refactoring - old (deprecated) naming mediator removed 	1647 commit 4452df90ac8a7f937bbe62d7325af0676e8cb0ce refactoring - old (deprecated) naming mediator removed	1	-1	 1647[0] commit[0] 4452df90ac8a7f937bbe62d7325af0676e8cb0ce[0] refactoring[0] old[0] deprecated[0] naming[0] mediator[0] removed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1682 commit 6bec578ba97efc5b961b618424a9616a67ff5458 [230418] - non-containment contexts for constraints; refactoring 	1682 commit 6bec578ba97efc5b961b618424a9616a67ff5458 [230418] - non-containment contexts for constraints; refactoring	1	-1	 1682[0] commit[0] 6bec578ba97efc5b961b618424a9616a67ff5458[0] [230418][0] non[0] containment[0] contexts[0] for[0] constraints[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1683 commit 99eb84e32f8210282e8e1b9ea2a6d749a374738b [230418] - non-containment contexts for constraints; refactoring 	1683 commit 99eb84e32f8210282e8e1b9ea2a6d749a374738b [230418] - non-containment contexts for constraints; refactoring	1	-1	 1683[0] commit[0] 99eb84e32f8210282e8e1b9ea2a6d749a374738b[0] [230418][0] non[0] containment[0] contexts[0] for[0] constraints[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1846 commit 24cba0d077523d2df8a108eba8a85b4cd0c59932 compilation tests refactored, gmfgen mutator concept exposed, general test (import conflicts) moved to fullrt 	1846 commit 24cba0d077523d2df8a108eba8a85b4cd0c59932 compilation tests refactored, gmfgen mutator concept exposed, general test (import conflicts) moved to fullrt	1	-2	 1846[0] commit[0] 24cba0d077523d2df8a108eba8a85b4cd0c59932[0] compilation[0] tests[0] refactored[0] gmfgen[0] mutator[0] concept[0] exposed[-1] general[0] test[0] import[0] conflicts[0] moved[0] to[0] fullrt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3508 commit 6c8744b9951f2de673db549a39d59057bd0aa0b3 [187811] akarjakina - migrating gmf 1.0 models to 2.0, refactoring, tests 	3508 commit 6c8744b9951f2de673db549a39d59057bd0a0b3 [187811] akarjakina - migrating gmf 1.0 models to 2.0, refactoring, tests	1	-1	 3508[0] commit[0] 6c8744b9951f2de673db549a39d59057bd0aa0b3/6c8744b9951f2de673db549a39d59057bd0a0b3[0] [187811][0] akarjakina[0] migrating[0] gmf[0] 1[0] .0[0] models[0] to[0] 2[0] .0[0] refactoring[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3934 commit 3c911d673d7c73293c9bad5f60a4ca18b22ac8bb refactor message format parser; introduce editor pattern 	3934 commit 3c911d673d7c73293c9bad5f60a4ca18b22ac8bb refactor message format parser; introduce editor pattern	1	-1	 3934[0] commit[0] 3c911d673d7c73293c9bad5f60a4ca18b22ac8bb[0] refactor[0] message[0] format[0] parser[0] introduce[0] editor[0] pattern[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4076 commit 9e63b90ce82bb87a002bcb222b54e99449d7b0ef fix manifest.mf for emf generated projects to make them installable using newly introduced hack refactor instanceclassname generation to collect names first and to act only when there are few 	4076 commit 9e63b90ce82bb87a002bcb22b54e99449d7b0ef fix manifest.<br>mf for emf generated projects to make them installable using newly introduced hack refactor instanceclassname generation to collect names first and to act only when there are few	1	-2	 4076[0] commit[0] 9e63b90ce82bb87a002bcb222b54e99449d7b0ef/9e63b90ce82bb87a002bcb22b54e99449d7b0ef[0] fix[0] manifest[0] [[Sentence=-1,1=word max, 1-5]] mf[0] for[0] emf[0] generated[0] projects[0] to[0] make[0] them[0] installable[0] using[0] newly[0] introduced[0] hack[-1] refactor[0] instanceclassname[0] generation[0] to[0] collect[0] names[0] first[0] and[0] to[0] act[0] only[0] when[0] there[0] are[0] few[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
4172 commit 39e76b8a46914b2d801bf3987d92cc3fd902bb2c [181896] afedorov - allow transformation wizard to complete if there are errors in the resulting gmfgen model refactored not to define extra strings for page names, titles and descriptions moved to owning pages. 	4172 commit 39e76b8a46914b2d801bf3987d92cc3fd902bb2c [181896] afedorov - allow transformation wizard to complete if there are errors in the resulting gmfgen model refactored not to define extra strings for page names, titles and descriptions moved to owning pages.	1	-1	 4172[0] commit[0] 39e76b8a46914b2d801bf3987d92cc3fd902bb2c[0] [181896][0] afedorov[0] allow[0] transformation[0] wizard[0] to[0] complete[0] if[0] there[0] are[0] errors[0] in[0] the[0] resulting[0] gmfgen[0] model[0] refactored[0] not[0] to[0] define[0] extra[0] strings[0] for[0] page[0] names[0] titles[0] and[0] descriptions[0] moved[0] to[0] owning[0] pages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5714 commit e02f6466572d7c6efbd624e3840cedf5394d5330 refactoring to use as much common code as possible for diagram editors and viewers (for #163214); manifest.mf specifies j2se1.5 as required execution environment. 	5714 commit e02f6466572d7c6efbd624e3840cedf5394d5330 refactoring to use as much common code as possible for diagram editors and viewers (for #163214) manifest.<br>mf specifies j2se1.5 as required execution environment.	1	-1	 5714[0] commit[0] e02f6466572d7c6efbd624e3840cedf5394d5330[0] refactoring[0] to[0] use[0] as[0] much[0] common[0] code[0] as[0] possible[0] for[0] diagram[0] editors[0] and[0] viewers[0] for[0] #163214[0] manifest[0] [[Sentence=-1,1=word max, 1-5]] mf[0] specifies[0] j2se1[0] .5[0] as[0] required[0] execution[0] environment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6210 commit 96d90f5a1b7afaded52455501eec88538dd89ab7 refactor create genmodel action, added support for automated .genmodel creation and alternative to launch emf wizard to do the same 	6210 commit 96d90f5a1b7afaded5245501eec88538dd89ab7 refactor create genmodel action, added support for automated .<br>genmodel creation and alternative to launch emf wizard to do the same	1	-1	 6210[0] commit[0] 96d90f5a1b7afaded52455501eec88538dd89ab7/96d90f5a1b7afaded5245501eec88538dd89ab7[0] refactor[0] create[0] genmodel[0] action[0] added[0] support[0] for[0] automated[0] [[Sentence=-1,1=word max, 1-5]] genmodel[0] creation[0] and[0] alternative[0] to[0] launch[0] emf[0] wizard[0] to[0] do[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
