Extract Method	Translation	Positive	Negative	EmotionRationale
378 commit 4f262f61409d33e1f008dd1fdd6d7010dc92302e addressbook: use new namingservice api methods in action handling - refactor hosttxtentry to consolidate properties writing - more hosttxtentry tests - start of 'remove' entry handling blockfile: cleanup unused code - add iterable interface to skiplist 	378 commit 4f262f61409d33e1f008dd1fdd6d7010dc92302e addressbook: use new namingservice api methods in action handling - refactor hosttxtentry to consolidate properties writing - more hosttxtentry tests - start of 'remove' entry handling blockfile: cleanup unused code - add iterable interface to skiplist	1	-1	 378[0] commit[0] 4f262f61409d33e1f008dd1fdd6d7010dc92302e[0] addressbook[0] use[0] new[0] namingservice[0] api[0] methods[0] in[0] action[0] handling[0] refactor[0] hosttxtentry[0] to[0] consolidate[0] properties[0] writing[0] more[0] hosttxtentry[0] tests[0] start[0] of[0] 'remove'[0] entry[0] handling[0] blockfile[0] cleanup[0] unused[0] code[0] add[0] iterable[0] interface[0] to[0] skiplist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1490 commit 59348f8dbdffc45573d0930b873477fe619b6b95 reseed: - add form to manually reseed from zip or su3 url (result status not yet working) - add form to manually reseed from local zip or su3 file (not yet working, needs multipart/form-date moved from susimail) - add form to create reseed zip file to share (working) - backend support and refactoring in reseed code 	1490 commit 59348f8dbdffc45573d0930b873477fe619b6b95 reseed: - add form to manually reseed from zip or su3 url (result status not yet working) - add form to manually reseed from local zip or su3 file (not yet working, needs multipart/form-date moved from susimail) - add form to create reseed zip file to share (working) - backend support and refactoring in reseed code	1	-1	 1490[0] commit[0] 59348f8dbdffc45573d0930b873477fe619b6b95[0] reseed[0] add[0] form[0] to[0] manually[0] reseed[0] from[0] zip[0] or[0] su3[0] url[0] result[0] status[0] not[0] yet[0] working[0] add[0] form[0] to[0] manually[0] reseed[0] from[0] local[0] zip[0] or[0] su3[0] file[0] not[0] yet[0] working[0] needs[0] multipart/form[0] date[0] moved[0] from[0] susimail[0] add[0] form[0] to[0] create[0] reseed[0] zip[0] file[0] to[0] share[0] working[0] backend[0] support[0] and[0] refactoring[0] in[0] reseed[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2604 commit efff25a87c5b746f33970fd6cedeebff92192579 netdb: - just before midnight, flood to new location too so lookups don't fail after keyspace rotation (ticket #510) - refactor routingkeygenerator and updateroutingkeymodifierjob in support of the above - display next key on ls debug page 	2604 commit eff25a87c5b746f33970fd6cedeebff92192579 netdb: - just before midnight, flood to new location too so lookups don't fail after keyspace rotation (ticket #510) - refactor routingkeygenerator and updateroutingkeymodifierjob in support of the above - display next key on ls debug page	1	-1	 2604[0] commit[0] efff25a87c5b746f33970fd6cedeebff92192579/eff25a87c5b746f33970fd6cedeebff92192579[0] netdb[0] just[0] before[0] midnight[0] flood[0] to[0] new[0] location[0] too[0] so[0] lookups[0] don't[0] fail[0] after[0] keyspace[0] rotation[0] ticket[0] #510[0] refactor[0] routingkeygenerator[0] and[0] updateroutingkeymodifierjob[0] in[0] support[0] of[0] the[0] above[0] display[0] next[0] key[0] on[0] ls[0] debug[0] page[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2941 commit f47ec65b8fb85c67d251d9e0945138d46aee3f8c update: preliminary work for su3 router updates: - new router_signed_su3 updatetype - add support for torrent and http - refactor updaterunners to return actual updatetype - deal with signed/su3 conflicts - unpack/verify stubbed only 	2941 commit f47ec65b8fb85c67d251d9e0945138d46aee3f8c update: preliminary work for su3 router updates: - new router_signed_su3 updatetype - add support for torrent and http - refactor updaterunners to return actual updatetype - deal with signed/su3 conflicts - unpack/verify stubbed only	1	-1	 2941[0] commit[0] f47ec65b8fb85c67d251d9e0945138d46aee3f8c[0] update[0] preliminary[0] work[0] for[0] su3[0] router[0] updates[0] new[0] router_signed_su3[0] updatetype[0] add[0] support[0] for[0] torrent[0] and[0] http[0] refactor[0] updaterunners[0] to[0] return[0] actual[0] updatetype[0] deal[0] with[0] signed/su3[0] conflicts[0] unpack/verify[0] stubbed[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3782 commit 70a2e330efb653a39503bedbc96ee62a808026a6 * i2psnark: - more dht limits - announce to backup trackers if dht is empty - use pex and dht info in torrent peer count - don't use temp files for announces - trackerclient refactoring - cleanups 	3782 commit 70a2e330efb653a39503bedbc96ee62a808026a6 * i2psnark: - more dht limits - announce to backup trackers if dht is empty - use pex and dht info in torrent peer count - don't use temp files for announces - trackerclient refactoring - cleanups	1	-1	 3782[0] commit[0] 70a2e330efb653a39503bedbc96ee62a808026a6[0] i2psnark[0] more[0] dht[0] limits[0] announce[0] to[0] backup[0] trackers[0] if[0] dht[0] is[0] empty[0] use[0] pex[0] and[0] dht[0] info[0] in[0] torrent[0] peer[0] count[0] don't[0] use[0] temp[0] files[0] for[0] announces[0] trackerclient[0] refactoring[0] cleanups[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4554 commit 0f321f1597f68ef14cc13c20289fcabc1a4cede6 - refactor tracker map 	4554 commit 0f321f1597f68ef14cc13c20289fcabc1a4cede6 - refactor tracker map	1	-1	 4554[0] commit[0] 0f321f1597f68ef14cc13c20289fcabc1a4cede6[0] refactor[0] tracker[0] map[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5724 commit 7fbb3b12d1f3ea0c5b3c027da3ecc3b9fd335a7b * fileutil: add a rename method and a new copy method 	5724 commit 7fbb3b12d1f3ea0c5b3c027da3ecc3b9fd335a7b * fileutil: add a rename method and a new copy method	1	-1	 5724[0] commit[0] 7fbb3b12d1f3ea0c5b3c027da3ecc3b9fd335a7b[0] fileutil[0] add[0] a[0] rename[0] method[0] and[0] a[0] new[0] copy[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6041 commit 2c3be290165ea8ffdf6ba5c6389adbbcb230d982 * jbigi: - refactor to handle 64 bit libs and a list of fallback libs - logging tweaks - only check for one file name in library path 	6041 commit 2c3be290165ea8ffdf6ba5c6389adbbcb230d982 * jbigi: - refactor to handle 64 bit libs and a list of fallback libs - logging tweaks - only check for one file name in library path	1	-1	 6041[0] commit[0] 2c3be290165ea8ffdf6ba5c6389adbbcb230d982[0] jbigi[0] refactor[0] to[0] handle[0] 64[0] bit[0] libs[0] and[0] a[0] list[0] of[0] fallback[0] libs[0] logging[0] tweaks[0] only[0] check[0] for[0] one[0] file[0] name[0] in[0] library[0] path[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6070 commit d201a29d03aba9867ed9d2aadb79ab3b1fefc5b3 * http proxy: address helper refactoring, address book add form 	6070 commit d201a29d03aba9867ed9d2adb79ab3b1fefc5b3 * http proxy: address helper refactoring, address book add form	1	-1	 6070[0] commit[0] d201a29d03aba9867ed9d2aadb79ab3b1fefc5b3/d201a29d03aba9867ed9d2adb79ab3b1fefc5b3[0] http[0] proxy[0] address[0] helper[0] refactoring[0] address[0] book[0] add[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6289 commit 40fd4ccd15d3331ae13edf51f7ed1d1d91038ce8 stats: - refactor handling of required stats - shorten description of required stats - improve save messages on configstats.jsp - change bw.sendbps and bw.receivebps stats to bytes, not kbytes - expires directive for graphs 	6289 commit 40fd4ccd15d331ae13edf51f7ed1d1d91038ce8 stats: - refactor handling of required stats - shorten description of required stats - improve save messages on configstats.<br>jsp - change bw.<br>sendbps and bw.<br>receivebps stats to bytes, not kbytes - expires directive for graphs	2	-1	 6289[0] commit[0] 40fd4ccd15d3331ae13edf51f7ed1d1d91038ce8/40fd4ccd15d331ae13edf51f7ed1d1d91038ce8[0] stats[0] refactor[0] handling[0] of[0] required[0] stats[0] shorten[0] description[0] of[0] required[0] stats[0] improve[1] save[1] messages[0] on[0] configstats[0] [[Sentence=-1,2=word max, 1-5]] jsp[0] change[0] bw[0] [[Sentence=-1,1=word max, 1-5]] sendbps[0] and[0] bw[0] [[Sentence=-1,1=word max, 1-5]] receivebps[0] stats[0] to[0] bytes[0] not[0] kbytes[0] expires[0] directive[0] for[0] graphs[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
