Rename Method	Translation	Positive	Negative	EmotionRationale
3026 commit c5a778611b7ba9d9f3424389d3c3c90c978222da df#qcadoomes-1980,qcadoomes-1983 refactored production per shift and some other fixes. 	3026 commit c5a778611b7ba9d9f3424389d3c3c90c97822da df#qcadoomes-1980,qcadoomes-1983 refactored production per shift and some other fixes.	1	-1	 3026[0] commit[0] c5a778611b7ba9d9f3424389d3c3c90c978222da/c5a778611b7ba9d9f3424389d3c3c90c97822da[0] df#qcadoomes[0] -1980[0] qcadoomes[0] -1983[0] refactored[0] production[0] per[0] shift[0] and[0] some[0] other[0] fixes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3053 commit 0c76a1362044645953200a56e192065d75e09a52 df#qcadoomes-1963,qcadoomes-1902 refactored operational tasks and operational tasks for orders plugin, fixed npe and problem with missing operation name. 	3053 commit 0c76a1362044645953200a56e192065d75e09a52 df#qcadoomes-1963,qcadoomes-1902 refactored operational tasks and operational tasks for orders plugin, fixed npe and problem with missing operation name.	1	-2	 3053[0] commit[0] 0c76a1362044645953200a56e192065d75e09a52[0] df#qcadoomes[0] -1963[0] qcadoomes[0] -1902[0] refactored[0] operational[0] tasks[0] and[0] operational[0] tasks[0] for[0] orders[0] plugin[0] fixed[0] npe[0] and[0] problem[-1] with[0] missing[0] operation[0] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3055 commit b8cb72cc62921f4f6a4f0f0277023d319c678ef4 df#qcadoomes-1968 refactored cost calculation plugin. 	3055 commit b8cb72cc62921f4f6a4f0f0277023d319c678ef4 df#qcadoomes-1968 refactored cost calculation plugin.	1	-1	 3055[0] commit[0] b8cb72cc62921f4f6a4f0f0277023d319c678ef4[0] df#qcadoomes[0] -1968[0] refactored[0] cost[0] calculation[0] plugin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3468 commit 8b2f758b9a2c1556d4da1ff58c20b09c5785181f sc#qcadoomes-1621 refactored work plans. 	3468 commit 8b2f758b9a2c1556d4da1ff58c20b09c5785181f sc#qcadoomes-1621 refactored work plans.	1	-1	 3468[0] commit[0] 8b2f758b9a2c1556d4da1ff58c20b09c5785181f[0] sc#qcadoomes[0] -1621[0] refactored[0] work[0] plans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3553 commit f49c990b936c82959cd9363c60d960d214d43b1b sc#qcadoomes-1739 refactor operational tasks 	3553 commit f49c990b936c82959cd9363c60d960d214d43b1b sc#qcadoomes-1739 refactor operational tasks	1	-1	 3553[0] commit[0] f49c990b936c82959cd9363c60d960d214d43b1b[0] sc#qcadoomes[0] -1739[0] refactor[0] operational[0] tasks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3572 commit 8bff92019013976be9d160d8494eb7df3c0e82a7 sc#qcadoomes-1622 refactor pps 	3572 commit 8bff92019013976be9d160d8494eb7df3c0e82a7 sc#qcadoomes-1622 refactor pps	1	-1	 3572[0] commit[0] 8bff92019013976be9d160d8494eb7df3c0e82a7[0] sc#qcadoomes[0] -1622[0] refactor[0] pps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3644 commit 31227f6d941a351bca8ebbe405d077ca25e7805d df#qcadoomes-756 refactored production counting names. 	3644 commit 31227f6d941a351bca8ebbe405d077ca25e7805d df#qcadoomes-756 refactored production counting names.	1	-1	 3644[0] commit[0] 31227f6d941a351bca8ebbe405d077ca25e7805d[0] df#qcadoomes[0] -756[0] refactored[0] production[0] counting[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4200 commit aad1f7da30c37f6b5d96b58710d73ba44b2fc315 df#qcadoomes-1450 refactored disabling grids and disabled buffer field when company is owner. 	4200 commit ad1f7da30c37f6b5d96b58710d73ba44b2fc315 df#qcadoomes-1450 refactored disabling grids and disabled buffer field when company is owner.	1	-1	 4200[0] commit[0] aad1f7da30c37f6b5d96b58710d73ba44b2fc315/ad1f7da30c37f6b5d96b58710d73ba44b2fc315[0] df#qcadoomes[0] -1450[0] refactored[0] disabling[0] grids[0] and[0] disabled[0] buffer[0] field[0] when[0] company[0] is[0] owner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4454 commit 7814fa084b644ddda32279922cdb51677347037f df refactored column fillers. 	4454 commit 7814fa084b644dda32279922cdb51677347037f df refactored column fillers.	1	-1	 4454[0] commit[0] 7814fa084b644ddda32279922cdb51677347037f/7814fa084b644dda32279922cdb51677347037f[0] df[0] refactored[0] column[0] fillers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4498 commit 0f47c632ba13e191b9e3919f1d2b2f907505a474 df refactored hooks and fixed tests. 	4498 commit 0f47c632ba13e191b9e3919f1d2b2f907505a474 df refactored hooks and fixed tests.	1	-1	 4498[0] commit[0] 0f47c632ba13e191b9e3919f1d2b2f907505a474[0] df[0] refactored[0] hooks[0] and[0] fixed[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
