Move Class	Translation	Positive	Negative	EmotionRationale
698 commit 908753734919c32cc5d4b538fea68f45c1eaf31f reorganize sdklib.repository packages. this splits the sdklib repository in 3 sub-packages for archives, packages and sources. there are a lot of files moved around but its just a move refactoring and the only thing changes are imports and a few methods made public. change-id: i6ce0e872ac7afea2a6a4eb70ee7bbad0c04b6678 	698 commit 908753734919c32cc5d4b538fea68f45c1eaf31f reorganize sdklib.<br>repository packages.<br> this splits the sdklib repository in 3 sub-packages for archives, packages and sources.<br> there are a lot of files moved around but its just a move refactoring and the only thing changes are imports and a few methods made public.<br> change-id: i6ce0e872ac7afea2a6a4eb70ee7bbad0c04b6678	1	-2	 698[0] commit[0] 908753734919c32cc5d4b538fea68f45c1eaf31f[0] reorganize[0] sdklib[0] [[Sentence=-1,1=word max, 1-5]] repository[0] packages[0] [[Sentence=-1,1=word max, 1-5]] this[0] splits[0] the[0] sdklib[0] repository[0] in[0] 3[0] sub[0] packages[0] for[0] archives[0] packages[0] and[0] sources[-1] [[Sentence=-2,1=word max, 1-5]] there[0] are[0] a[0] lot[0] of[0] files[0] moved[0] around[0] but[0] its[0] just[0] a[0] move[0] refactoring[0] and[0] the[0] only[0] thing[0] changes[0] are[0] imports[0] and[0] a[0] few[0] methods[0] made[0] public[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i6ce0e872ac7afea2a6a4eb70ee7bbad0c04b6678[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
1063 commit 35803ee3b4362248489db1dd1fc6d483f3c3ee65 more fixes to the test projects. - add eclipse files for a bunch of them - package name refactoring to match the folder structure somehow (more need this) - updated the javaproject to have an extra java project and to have code that access java resources to test packaging too. change-id: ie13842c1b891e495e04d8a157a12cac9db13f30e 	1063 commit 35803ee3b4362248489db1dd1fc6d483f3c3ee65 more fixes to the test projects.<br> - add eclipse files for a bunch of them - package name refactoring to match the folder structure somehow (more need this) - updated the javaproject to have an extra java project and to have code that access java resources to test packaging too.<br> change-id: ie13842c1b891e495e04d8a157a12cac9db13f30e	1	-1	 1063[0] commit[0] 35803ee3b4362248489db1dd1fc6d483f3c3ee65[0] more[0] fixes[0] to[0] the[0] test[0] projects[0] [[Sentence=-1,1=word max, 1-5]] add[0] eclipse[0] files[0] for[0] a[0] bunch[0] of[0] them[0] package[0] name[0] refactoring[0] to[0] match[0] the[0] folder[0] structure[0] somehow[0] more[0] need[0] this[0] updated[0] the[0] javaproject[0] to[0] have[0] an[0] extra[0] java[0] project[0] and[0] to[0] have[0] code[0] that[0] access[0] java[0] resources[0] to[0] test[0] packaging[0] too[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ie13842c1b891e495e04d8a157a12cac9db13f30e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1335 commit d6124a176326169bc87cb29823ca2dc906689680 a few simple name changes this changeset contains no semantic changes, just a couple of simple refactorings: (1) rename the "lint" class to "lintdriver". "lint" is a bit generic (there's already lintclient for example), and this object was already referred to as a driver from various other api's, such as context.getdriver(). (2) rename lintrunner in eclipse to eclipselintrunner, similar to the other eclipselintclient in the same package - and to avoid confusion with lintdriver. (3) move all the lint fix inner classes inside the lintfix class out as top level classes. the class was getting really large and there's really no good reason to keep all the individual fixes as inner classes; there's already a separate lint package for them. change-id: ifc0004bfb38f8e11e33e9ddc477b6cf07ca319f2 	1335 commit d6124a176326169bc87cb29823ca2dc906689680 a few simple name changes this changeset contains no semantic changes, just a couple of simple refactorings: (1) rename the "lint" class to "lintdriver"<br> "lint" is a bit generic (there's already lintclient for example) and this object was already referred to as a driver from various other api's, such as context.<br>getdriver(<br> (2) rename lintrunner in eclipse to eclipselintrunner, similar to the other eclipselintclient in the same package - and to avoid confusion with lintdriver.<br> (3) move all the lint fix inner classes inside the lintfix class out as top level classes.<br> the class was getting really large and there's really no good reason to keep all the individual fixes as inner classes; there's already a separate lint package for them.<br> change-id: ifc004bfb38f8e11e33e9ddc477b6cf07ca319f2	2	-2	 1335[0] commit[0] d6124a176326169bc87cb29823ca2dc906689680[0] a[0] few[0] simple[0] name[0] changes[0] this[0] changeset[0] contains[0] no[0] semantic[0] changes[0] just[0] a[0] couple[0] of[0] simple[0] refactorings[0] (1[0] rename[0] the[0] lint[0] class[0] to[0] lintdriver[0] [[Sentence=-1,1=word max, 1-5]] lint[0] is[0] a[0] bit[0] generic[0] there's[0] already[0] lintclient[0] for[0] example[0] and[0] this[0] object[0] was[0] already[0] referred[0] to[0] as[0] a[0] driver[0] from[0] various[0] other[0] api's[0] such[0] as[0] context[0] [[Sentence=-1,1=word max, 1-5]] getdriver[0] [[Sentence=-1,1=word max, 1-5]] (2[0] rename[0] lintrunner[0] in[0] eclipse[0] to[0] eclipselintrunner[0] similar[0] to[0] the[0] other[0] eclipselintclient[0] in[0] the[0] same[0] package[0] and[0] to[0] avoid[-1] confusion[-1] with[0] lintdriver[0] [[Sentence=-2,1=word max, 1-5]] (3[0] move[0] all[0] the[0] lint[0] fix[0] inner[0] classes[0] inside[0] the[0] lintfix[0] class[0] out[0] as[0] top[0] level[0] classes[0] [[Sentence=-1,1=word max, 1-5]] the[0] class[0] was[0] getting[0] really[0] large[0] and[0] there's[0] really[0] no[0] good[1] reason[0] to[0] keep[0] all[0] the[0] individual[0] fixes[0] as[0] inner[0] classes[0] there's[0] already[0] a[0] separate[0] lint[0] package[0] for[0] them[0] [[Sentence=-1,2=word max, 1-5]] change[0] id[0] ifc0004bfb38f8e11e33e9ddc477b6cf07ca319f2/ifc004bfb38f8e11e33e9ddc477b6cf07ca319f2[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
1475 commit 822f9455a9443da388572be16b48bc02f10b5047 merge: 942e457 734d947 merge "adt: refactor commonxmleditor in its own package." 	1475 commit 822f9455a9443da388572be16b48bc02f10b5047 merge: 942e457 734d947 merge "adt: refactor commonxmleditor in its own package.	1	-1	 1475[0] commit[0] 822f9455a9443da388572be16b48bc02f10b5047[0] merge[0] 942e457[0] 734d947[0] merge[0] adt[0] refactor[0] commonxmleditor[0] in[0] its[0] own[0] package[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1476 commit 942e45774dac5f3ca8735c979d5627117e28cfea merge: 1864a92 bc08339 merge "adt: refactor editors.xml and editors.resources." 	1476 commit 942e45774dac5f3ca8735c979d5627117e28cfea merge: 1864a92 bc08339 merge "adt: refactor editors.<br>xml and editors.<br>resources.	1	-1	 1476[0] commit[0] 942e45774dac5f3ca8735c979d5627117e28cfea[0] merge[0] 1864a92[0] bc08339[0] merge[0] adt[0] refactor[0] editors[0] [[Sentence=-1,1=word max, 1-5]] xml[0] and[0] editors[0] [[Sentence=-1,1=word max, 1-5]] resources[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1482 commit 734d947687f3f3a761f404dbb0bf3dfe8f3f5843 adt: refactor commonxmleditor in its own package. change-id: i0ee61ade9ea15335268fa313b74d9a949ecb189f 	1482 commit 734d947687f3f3a761f404dbb0bf3dfe8f3f5843 adt: refactor commonxmleditor in its own package.<br> change-id: i0ee61ade9ea15335268fa313b74d9a949ecb189f	1	-1	 1482[0] commit[0] 734d947687f3f3a761f404dbb0bf3dfe8f3f5843[0] adt[0] refactor[0] commonxmleditor[0] in[0] its[0] own[0] package[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i0ee61ade9ea15335268fa313b74d9a949ecb189f[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1483 commit bc083393e77f8139a436683644065e396646d671 adt: refactor editors.xml and editors.resources. this renames: - xml.xmleditor to otherxml.otherxmleditor, - resources.resourceseditor to values.valueseditor the change to rename resources to values matches the folder name being /res/values. that's just a trivial refactoring with no logic change. change-id: i68bfa760f254fbbd3f2d5e3801a5092308e92f7f 	1483 commit bc083393e77f8139a436683644065e396646d671 adt: refactor editors.<br>xml and editors.<br>resources.<br> this renames: - xml.<br>xmleditor to otherxml.<br>otherxmleditor, - resources.<br>resourceseditor to values.<br>valueseditor the change to rename resources to values matches the folder name being /res/values.<br> that's just a trivial refactoring with no logic change.<br> change-id: i68bfa760f254fbbd3f2d5e3801a5092308e92f7f	2	-2	 1483[0] commit[0] bc083393e77f8139a436683644065e396646d671[0] adt[0] refactor[0] editors[0] [[Sentence=-1,1=word max, 1-5]] xml[0] and[0] editors[0] [[Sentence=-1,1=word max, 1-5]] resources[0] [[Sentence=-1,1=word max, 1-5]] this[0] renames[0] xml[0] [[Sentence=-1,1=word max, 1-5]] xmleditor[0] to[0] otherxml[0] [[Sentence=-1,1=word max, 1-5]] otherxmleditor[0] resources[0] [[Sentence=-1,1=word max, 1-5]] resourceseditor[0] to[0] values[1] [[Sentence=-1,2=word max, 1-5]] valueseditor[0] the[0] change[0] to[0] rename[0] resources[0] to[0] values[1] matches[0] the[0] folder[0] name[0] being[0] /res/values[0] [[Sentence=-1,2=word max, 1-5]] that's[0] just[0] a[0] trivial[-1] refactoring[0] with[0] no[0] logic[0] change[0] [[Sentence=-2,1=word max, 1-5]] change[0] id[0] i68bfa760f254fbbd3f2d5e3801a5092308e92f7f[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
1581 commit 581ca2e75fd638f6e95570ac54ff9e6b7b7cde84 extract positional xml parser into common and fix encoding issues the xml dom parser used by the lint cli driver (which tracks positions) is needed outside of lint, so pull it out of the lint/cli project, and refactor it such that it does not directly reference the lint position apis (but can utilize them when subclassed in lint). in addition, handle non-utf-8 file encodings. xml files can be encoded in other character sets, and can specify this via the encoding attribute in the xml prologue. until now, the cli lint runner would just read the xml file contents in using the default encoding and parse this. now there's a new utility method which takes a byte[] and infers the desired encoding and uses that to convert the byte[] into a string using the correct encoding. (we can't just pass an inputstream and let the sax parser handle this on its own because the xml parser needs to access the character stream in order to assign correct node offsets.) this code now also handles the byte order mark more cleanly. there are some new unit tests too to check the new encoding, bom and offset handling. change-id: ib0badbbe72172e3408c6d5af2413be51280a7724 	1581 commit 581ca2e75fd638f6e95570ac54ff9e6b7b7cde84 extract positional xml parser into common and fix encoding issues the xml dom parser used by the lint cli driver (which tracks positions) is needed outside of lint, so pull it out of the lint/cli project, and refactor it such that it does not directly reference the lint position apis (but can utilize them when subclassed in lint)<br> in addition, handle non-utf-8 file encodings.<br> xml files can be encoded in other character sets, and can specify this via the encoding attribute in the xml prologue.<br> until now, the cli lint runner would just read the xml file contents in using the default encoding and parse this.<br> now there's a new utility method which takes a byte[] and infers the desired encoding and uses that to convert the byte[] into a string using the correct encoding.<br> (we can't just pass an inputstream and let the sax parser handle this on its own because the xml parser needs to access the character stream in order to assign correct node offsets.<br> this code now also handles the byte order mark more cleanly.<br> there are some new unit tests too to check the new encoding, bom and offset handling.<br> change-id: ib0badbbe72172e3408c6d5af2413be51280a7724	1	-2	 1581[0] commit[0] 581ca2e75fd638f6e95570ac54ff9e6b7b7cde84[0] extract[0] positional[0] xml[0] parser[0] into[0] common[0] and[0] fix[0] encoding[0] issues[0] the[0] xml[0] dom[0] parser[0] used[0] by[0] the[0] lint[0] cli[0] driver[0] which[0] tracks[0] positions[0] is[0] needed[0] outside[0] of[0] lint[0] so[0] pull[0] it[0] out[0] of[0] the[0] lint/cli[0] project[0] and[0] refactor[0] it[0] such[0] that[0] it[0] does[0] not[0] directly[0] reference[0] the[0] lint[0] position[0] apis[0] but[0] can[0] utilize[0] them[0] when[0] subclassed[0] in[0] lint[0] [[Sentence=-1,1=word max, 1-5]] in[0] addition[0] handle[0] non[0] utf[0] -8[0] file[0] encodings[0] [[Sentence=-1,1=word max, 1-5]] xml[0] files[0] can[0] be[0] encoded[0] in[0] other[0] character[0] sets[0] and[0] can[0] specify[0] this[0] via[0] the[0] encoding[0] attribute[0] in[0] the[0] xml[0] prologue[0] [[Sentence=-1,1=word max, 1-5]] until[0] now[0] the[0] cli[0] lint[0] runner[0] would[0] just[0] read[0] the[0] xml[0] file[0] contents[0] in[0] using[0] the[0] default[-1] encoding[0] and[0] parse[0] this[0] [[Sentence=-2,1=word max, 1-5]] now[0] there's[0] a[0] new[0] utility[0] method[0] which[0] takes[0] a[0] byte[][0] and[0] infers[0] the[0] desired[0] encoding[0] and[0] uses[0] that[0] to[0] convert[0] the[0] byte[][0] into[0] a[0] string[0] using[0] the[0] correct[0] encoding[0] [[Sentence=-1,1=word max, 1-5]] we[0] can't[0] just[0] pass[0] an[0] inputstream[0] and[0] let[0] the[0] sax[0] parser[0] handle[0] this[0] on[0] its[0] own[0] because[0] the[0] xml[0] parser[0] needs[0] to[0] access[0] the[0] character[0] stream[0] in[0] order[0] to[0] assign[0] correct[0] node[0] offsets[0] [[Sentence=-1,1=word max, 1-5]] this[0] code[0] now[0] also[0] handles[0] the[0] byte[0] order[0] mark[0] more[0] cleanly[0] [[Sentence=-1,1=word max, 1-5]] there[0] are[0] some[0] new[0] unit[0] tests[0] too[0] to[0] check[0] the[0] new[0] encoding[0] bom[0] and[0] offset[0] handling[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ib0badbbe72172e3408c6d5af2413be51280a7724[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3081 commit a1fbe916c2642ccc71762f9dd9b77e1e12a87900 merge: 3d411c5 e8793fd merge "sdk manager: refactor classes for manager 1 versus 2." 	3081 commit a1fbe916c2642cc71762f9dd9b77e1e12a87900 merge: 3d411c5 e8793fd merge "sdk manager: refactor classes for manager 1 versus 2.	1	-1	 3081[0] commit[0] a1fbe916c2642ccc71762f9dd9b77e1e12a87900/a1fbe916c2642cc71762f9dd9b77e1e12a87900[0] merge[0] 3d411c5[0] e8793fd[0] merge[0] sdk[0] manager[0] refactor[0] classes[0] for[0] manager[0] 1[0] versus[0] 2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3087 commit 52b554f195bbd9e6ee82b4a5c1cc3c7f4347523b split packagespage and packageloader inner classes. packagespage and packageloader have quite a number of inner classes. this splits them in separate package-protected classes, making the page source a tad shorter. this is a pure refactoring move/rename. no logic is modified. change-id: i88885aed40e34bd28de4b1ea4e1de66ea2ed89b8 	3087 commit 52b554f195bbd9e6ee82b4a5c1cc3c7f4347523b split packagespage and packageloader inner classes.<br> packagespage and packageloader have quite a number of inner classes.<br> this splits them in separate package-protected classes, making the page source a tad shorter.<br> this is a pure refactoring move/rename.<br> no logic is modified.<br> change-id: i885aed40e34bd28de4b1ea4e1de66ea2ed89b8	2	-2	 3087[0] commit[0] 52b554f195bbd9e6ee82b4a5c1cc3c7f4347523b[0] split[0] packagespage[0] and[0] packageloader[0] inner[0] classes[0] [[Sentence=-1,1=word max, 1-5]] packagespage[0] and[0] packageloader[0] have[0] quite[0] a[0] number[0] of[0] inner[0] classes[0] [[Sentence=-1,1=word max, 1-5]] this[0] splits[0] them[0] in[0] separate[0] package[0] protected[0] classes[0] making[0] the[0] page[0] source[-1] a[0] tad[0] shorter[0] [[Sentence=-2,1=word max, 1-5]] this[0] is[0] a[0] pure[0] refactoring[0] move/rename[0] [[Sentence=-1,1=word max, 1-5]] no[0] logic[0] is[0] modified[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i88885aed40e34bd28de4b1ea4e1de66ea2ed89b8/i885aed40e34bd28de4b1ea4e1de66ea2ed89b8[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
