Rename Class	Translation	Positive	Negative	EmotionRationale
50 commit b8397698e2834ed8af03c1bff7d570aff0e2f5bb adt: rename addcompatibilityjaraction. it's time we rename this to addsupportjaraction. this is just a rename refactoring of that class name as well as the one of compatibilitylibraryhelper. no logic is being changed. change-id: ibafe516d5c8ce30d1e4834a47d4224f0c6fd487a 	50 commit b8397698e2834ed8af03c1bff7d570aff0e2f5bb adt: rename addcompatibilityjaraction.<br> it's time we rename this to addsupportjaraction.<br> this is just a rename refactoring of that class name as well as the one of compatibilitylibraryhelper.<br> no logic is being changed.<br> change-id: ibafe516d5c8ce30d1e4834a47d4224f0c6fd487a	1	-1	 50[0] commit[0] b8397698e2834ed8af03c1bff7d570aff0e2f5bb[0] adt[0] rename[0] addcompatibilityjaraction[0] [[Sentence=-1,1=word max, 1-5]] it's[0] time[0] we[0] rename[0] this[0] to[0] addsupportjaraction[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] just[0] a[0] rename[0] refactoring[0] of[0] that[0] class[0] name[0] as[0] well[0] as[0] the[0] one[0] of[0] compatibilitylibraryhelper[0] [[Sentence=-1,1=word max, 1-5]] no[0] logic[0] is[0] being[0] changed[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ibafe516d5c8ce30d1e4834a47d4224f0c6fd487a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
586 commit 87107c5cb1fb5fdafdaa94460fb6797af60fcde9 rework sdk manager support for major.minor.micro revisions. 2 things in this cl: - there's a bit of refactoring: - previewversion becomes fullversion (which is a full major.minor.micro.preview) - and i introduce a majorrevision (which is just a major number) - package.getrevision() returns one of these revision objects instead of an integer which leads to a multide of small boring changes. - changed the packagedifflogic and its test to adequately use the new revision; "tools preview" packages are placed in their own category and releases can update previews but not the reverse. change-id: ia80fd9a3791919e827ce0d183c0f297f0d27f2e6 	586 commit 87107c5cb1fb5fdafda94460fb6797af60fcde9 rework sdk manager support for major.<br>minor.<br>micro revisions.<br> 2 things in this cl: - there's a bit of refactoring: - previewversion becomes fullversion (which is a full major.<br>minor.<br>micro.<br>preview) - and i introduce a majorrevision (which is just a major number) - package.<br>getrevision( returns one of these revision objects instead of an integer which leads to a multide of small boring changes.<br> - changed the packagedifflogic and its test to adequately use the new revision; "tools preview" packages are placed in their own category and releases can update previews but not the reverse.<br> change-id: ia80fd9a3791919e827ce0d183c0f297f0d27f2e6	1	-2	 586[0] commit[0] 87107c5cb1fb5fdafdaa94460fb6797af60fcde9/87107c5cb1fb5fdafda94460fb6797af60fcde9[0] rework[0] sdk[0] manager[0] support[0] for[0] major[0] [[Sentence=-1,1=word max, 1-5]] minor[0] [[Sentence=-1,1=word max, 1-5]] micro[0] revisions[0] [[Sentence=-1,1=word max, 1-5]] 2[0] things[0] in[0] this[0] cl[0] there's[0] a[0] bit[0] of[0] refactoring[0] previewversion[0] becomes[0] fullversion[0] which[0] is[0] a[0] full[0] major[0] [[Sentence=-1,1=word max, 1-5]] minor[0] [[Sentence=-1,1=word max, 1-5]] micro[0] [[Sentence=-1,1=word max, 1-5]] preview[0] and[0] i[0] introduce[0] a[0] majorrevision[0] which[0] is[0] just[0] a[0] major[0] number[0] package[0] [[Sentence=-1,1=word max, 1-5]] getrevision[0] returns[0] one[0] of[0] these[0] revision[0] objects[0] instead[0] of[0] an[0] integer[0] which[0] leads[0] to[0] a[0] multide[0] of[0] small[0] boring[-1] changes[0] [[Sentence=-2,1=word max, 1-5]] changed[0] the[0] packagedifflogic[0] and[0] its[0] test[0] to[0] adequately[0] use[0] the[0] new[0] revision[0] tools[0] preview[0] packages[0] are[0] placed[0] in[0] their[0] own[0] category[0] and[0] releases[0] can[0] update[0] previews[0] but[0] not[0] the[0] reverse[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] ia80fd9a3791919e827ce0d183c0f297f0d27f2e6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
977 commit 88124bee305697810ee441a98f5a04dad1610750 merge: d93207c c87a0a0 merge "sdkcontroller: refactor emulator   listener names" 	977 commit 88124bee305697810ee441a98f5a04dad1610750 merge: d93207c c87a0a0 merge "sdkcontroller: refactor emulator   listener names"	1	-1	 977[0] commit[0] 88124bee305697810ee441a98f5a04dad1610750[0] merge[0] d93207c[0] c87a0a0[0] merge[0] sdkcontroller[0] refactor[0] emulator[0] listener[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
984 commit c87a0a0ac401d121ddd282ca1dd03d505f7ab5af sdkcontroller: refactor emulator   listener names simple rename refactoring in the lib: - emulator    emulatorconnection - onemulatorlistener    emulatorlistener change-id: i0827b564dd7edec065c634d0860014cb0e15af35 	984 commit c87a0a0ac401d121dd282ca1dd03d505f7ab5af sdkcontroller: refactor emulator   listener names simple rename refactoring in the lib: - emulator    emulatorconnection - onemulatorlistener    emulatorlistener change-id: i0827b564dd7edec065c634d0860014cb0e15af35	1	-1	 984[0] commit[0] c87a0a0ac401d121ddd282ca1dd03d505f7ab5af/c87a0a0ac401d121dd282ca1dd03d505f7ab5af[0] sdkcontroller[0] refactor[0] emulator[0] listener[0] names[0] simple[0] rename[0] refactoring[0] in[0] the[0] lib[0] emulator[0] emulatorconnection[0] onemulatorlistener[0] emulatorlistener[0] change[0] id[0] i0827b564dd7edec065c634d0860014cb0e15af35[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1335 commit d6124a176326169bc87cb29823ca2dc906689680 a few simple name changes this changeset contains no semantic changes, just a couple of simple refactorings: (1) rename the "lint" class to "lintdriver". "lint" is a bit generic (there's already lintclient for example), and this object was already referred to as a driver from various other api's, such as context.getdriver(). (2) rename lintrunner in eclipse to eclipselintrunner, similar to the other eclipselintclient in the same package - and to avoid confusion with lintdriver. (3) move all the lint fix inner classes inside the lintfix class out as top level classes. the class was getting really large and there's really no good reason to keep all the individual fixes as inner classes; there's already a separate lint package for them. change-id: ifc0004bfb38f8e11e33e9ddc477b6cf07ca319f2 	1335 commit d6124a176326169bc87cb29823ca2dc906689680 a few simple name changes this changeset contains no semantic changes, just a couple of simple refactorings: (1) rename the "lint" class to "lintdriver"<br> "lint" is a bit generic (there's already lintclient for example) and this object was already referred to as a driver from various other api's, such as context.<br>getdriver(<br> (2) rename lintrunner in eclipse to eclipselintrunner, similar to the other eclipselintclient in the same package - and to avoid confusion with lintdriver.<br> (3) move all the lint fix inner classes inside the lintfix class out as top level classes.<br> the class was getting really large and there's really no good reason to keep all the individual fixes as inner classes; there's already a separate lint package for them.<br> change-id: ifc004bfb38f8e11e33e9ddc477b6cf07ca319f2	2	-2	 1335[0] commit[0] d6124a176326169bc87cb29823ca2dc906689680[0] a[0] few[0] simple[0] name[0] changes[0] this[0] changeset[0] contains[0] no[0] semantic[0] changes[0] just[0] a[0] couple[0] of[0] simple[0] refactorings[0] (1[0] rename[0] the[0] lint[0] class[0] to[0] lintdriver[0] [[Sentence=-1,1=word max, 1-5]] lint[0] is[0] a[0] bit[0] generic[0] there's[0] already[0] lintclient[0] for[0] example[0] and[0] this[0] object[0] was[0] already[0] referred[0] to[0] as[0] a[0] driver[0] from[0] various[0] other[0] api's[0] such[0] as[0] context[0] [[Sentence=-1,1=word max, 1-5]] getdriver[0] [[Sentence=-1,1=word max, 1-5]] (2[0] rename[0] lintrunner[0] in[0] eclipse[0] to[0] eclipselintrunner[0] similar[0] to[0] the[0] other[0] eclipselintclient[0] in[0] the[0] same[0] package[0] and[0] to[0] avoid[-1] confusion[-1] with[0] lintdriver[0] [[Sentence=-2,1=word max, 1-5]] (3[0] move[0] all[0] the[0] lint[0] fix[0] inner[0] classes[0] inside[0] the[0] lintfix[0] class[0] out[0] as[0] top[0] level[0] classes[0] [[Sentence=-1,1=word max, 1-5]] the[0] class[0] was[0] getting[0] really[0] large[0] and[0] there's[0] really[0] no[0] good[1] reason[0] to[0] keep[0] all[0] the[0] individual[0] fixes[0] as[0] inner[0] classes[0] there's[0] already[0] a[0] separate[0] lint[0] package[0] for[0] them[0] [[Sentence=-1,2=word max, 1-5]] change[0] id[0] ifc0004bfb38f8e11e33e9ddc477b6cf07ca319f2/ifc004bfb38f8e11e33e9ddc477b6cf07ca319f2[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
1475 commit 822f9455a9443da388572be16b48bc02f10b5047 merge: 942e457 734d947 merge "adt: refactor commonxmleditor in its own package." 	1475 commit 822f9455a9443da388572be16b48bc02f10b5047 merge: 942e457 734d947 merge "adt: refactor commonxmleditor in its own package.	1	-1	 1475[0] commit[0] 822f9455a9443da388572be16b48bc02f10b5047[0] merge[0] 942e457[0] 734d947[0] merge[0] adt[0] refactor[0] commonxmleditor[0] in[0] its[0] own[0] package[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1476 commit 942e45774dac5f3ca8735c979d5627117e28cfea merge: 1864a92 bc08339 merge "adt: refactor editors.xml and editors.resources." 	1476 commit 942e45774dac5f3ca8735c979d5627117e28cfea merge: 1864a92 bc08339 merge "adt: refactor editors.<br>xml and editors.<br>resources.	1	-1	 1476[0] commit[0] 942e45774dac5f3ca8735c979d5627117e28cfea[0] merge[0] 1864a92[0] bc08339[0] merge[0] adt[0] refactor[0] editors[0] [[Sentence=-1,1=word max, 1-5]] xml[0] and[0] editors[0] [[Sentence=-1,1=word max, 1-5]] resources[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1482 commit 734d947687f3f3a761f404dbb0bf3dfe8f3f5843 adt: refactor commonxmleditor in its own package. change-id: i0ee61ade9ea15335268fa313b74d9a949ecb189f 	1482 commit 734d947687f3f3a761f404dbb0bf3dfe8f3f5843 adt: refactor commonxmleditor in its own package.<br> change-id: i0ee61ade9ea15335268fa313b74d9a949ecb189f	1	-1	 1482[0] commit[0] 734d947687f3f3a761f404dbb0bf3dfe8f3f5843[0] adt[0] refactor[0] commonxmleditor[0] in[0] its[0] own[0] package[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i0ee61ade9ea15335268fa313b74d9a949ecb189f[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1483 commit bc083393e77f8139a436683644065e396646d671 adt: refactor editors.xml and editors.resources. this renames: - xml.xmleditor to otherxml.otherxmleditor, - resources.resourceseditor to values.valueseditor the change to rename resources to values matches the folder name being /res/values. that's just a trivial refactoring with no logic change. change-id: i68bfa760f254fbbd3f2d5e3801a5092308e92f7f 	1483 commit bc083393e77f8139a436683644065e396646d671 adt: refactor editors.<br>xml and editors.<br>resources.<br> this renames: - xml.<br>xmleditor to otherxml.<br>otherxmleditor, - resources.<br>resourceseditor to values.<br>valueseditor the change to rename resources to values matches the folder name being /res/values.<br> that's just a trivial refactoring with no logic change.<br> change-id: i68bfa760f254fbbd3f2d5e3801a5092308e92f7f	2	-2	 1483[0] commit[0] bc083393e77f8139a436683644065e396646d671[0] adt[0] refactor[0] editors[0] [[Sentence=-1,1=word max, 1-5]] xml[0] and[0] editors[0] [[Sentence=-1,1=word max, 1-5]] resources[0] [[Sentence=-1,1=word max, 1-5]] this[0] renames[0] xml[0] [[Sentence=-1,1=word max, 1-5]] xmleditor[0] to[0] otherxml[0] [[Sentence=-1,1=word max, 1-5]] otherxmleditor[0] resources[0] [[Sentence=-1,1=word max, 1-5]] resourceseditor[0] to[0] values[1] [[Sentence=-1,2=word max, 1-5]] valueseditor[0] the[0] change[0] to[0] rename[0] resources[0] to[0] values[1] matches[0] the[0] folder[0] name[0] being[0] /res/values[0] [[Sentence=-1,2=word max, 1-5]] that's[0] just[0] a[0] trivial[-1] refactoring[0] with[0] no[0] logic[0] change[0] [[Sentence=-2,1=word max, 1-5]] change[0] id[0] i68bfa760f254fbbd3f2d5e3801a5092308e92f7f[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
1490 commit 6b1474d906d34115fb1fdfc406a1de237be3f89c merge: 6f3b2b2 7d7b8fb merge "adt: refactor common parts of the editordelegates." 	1490 commit 6b1474d906d34115fb1fdfc406a1de237be3f89c merge: 6f3b2b2 7d7b8fb merge "adt: refactor common parts of the editordelegates.	1	-1	 1490[0] commit[0] 6b1474d906d34115fb1fdfc406a1de237be3f89c[0] merge[0] 6f3b2b2[0] 7d7b8fb[0] merge[0] adt[0] refactor[0] common[0] parts[0] of[0] the[0] editordelegates[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
