Move Class	Translation	Positive	Negative	EmotionRationale
286 commit db679c3e22c63f344261f69dc801ee9d4483f295 refactoring (classes xml, urlparamname and filename moved from various projects to single location in api). added http delete to da rest. 	286 commit db679c3e22c63f344261f69dc801ee9d4483f295 refactoring (classes xml, urlparamname and filename moved from various projects to single location in api)<br> added http delete to da rest.	1	-1	 286[0] commit[0] db679c3e22c63f344261f69dc801ee9d4483f295[0] refactoring[0] classes[0] xml[0] urlparamname[0] and[0] filename[0] moved[0] from[0] various[0] projects[0] to[0] single[0] location[0] in[0] api[0] [[Sentence=-1,1=word max, 1-5]] added[0] http[0] delete[0] to[0] da[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
339 commit 08db2b0ee0e7168f2185aad78b5d7044cc002a77 refactor 	339 commit 08db2b0ee0e7168f2185ad78b5d7044cc002a77 refactor	1	-1	 339[0] commit[0] 08db2b0ee0e7168f2185aad78b5d7044cc002a77/08db2b0ee0e7168f2185ad78b5d7044cc002a77[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
479 commit 47a7a5b78cfa749a3bb8501739b0fc153873474f a bit of refactoring - just to keep the user feedback stuff together 	479 commit 47a7a5b78cfa749a3bb8501739b0fc153873474f a bit of refactoring - just to keep the user feedback stuff together	1	-1	 479[0] commit[0] 47a7a5b78cfa749a3bb8501739b0fc153873474f[0] a[0] bit[0] of[0] refactoring[0] just[0] to[0] keep[0] the[0] user[0] feedback[0] stuff[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
604 commit 1de4b35d2fcbbcee4a8d7cf30f45eef127879540 refactor privprefutil, ppn webapp 	604 commit 1de4b35d2fcbbcee4a8d7cf30f45eef127879540 refactor privprefutil, ppn webap	1	-1	 604[0] commit[0] 1de4b35d2fcbbcee4a8d7cf30f45eef127879540[0] refactor[0] privprefutil[0] ppn[0] webapp/webap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1130 commit 463332a53ab8a8335dcd43270ab8b447492ed79b sauashed commit to push the interface refactoring: icpa.java moved from internal to extenal api. commit dfbfd116fbd05d062d99acd304292f7d2cd0fdc7 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: fri may 10 00:35:33 2013  0200 fixed fixed refactoring bug commit 16e976489d0ab644b37d2800d0517077a759560c author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu may 9 23:28:32 2013  0200 refactored cpa interface to external, added copyright, also added some work on comparators commit c86e8ba39b99c79f826c11274263d97c29b58a98 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: fri may 3 14:26:51 2013  0200 working on a new test 	1130 commit 46332a53ab8a8335dcd43270ab8b447492ed79b sauashed commit to push the interface refactoring: icpa.<br>java moved from internal to extenal api.<br> commit dfbfd116fbd05d062d99acd304292f7d2cd0fdc7 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: fri may 10 00:35:33 2013  0200 fixed fixed refactoring bug commit 16e976489d0ab644b37d2800d0517077a759560c author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu may 9 23:28:32 2013  0200 refactored cpa interface to external, added copyright, also added some work on comparators commit c86e8ba39b99c79f826c11274263d97c29b58a98 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: fri may 3 14:26:51 2013  0200 working on a new test	1	-1	 1130[0] commit[0] 463332a53ab8a8335dcd43270ab8b447492ed79b/46332a53ab8a8335dcd43270ab8b447492ed79b[0] sauashed[0] commit[0] to[0] push[0] the[0] interface[0] refactoring[0] icpa[0] [[Sentence=-1,1=word max, 1-5]] java[0] moved[0] from[0] internal[0] to[0] extenal[0] api[0] [[Sentence=-1,1=word max, 1-5]] commit[0] dfbfd116fbd05d062d99acd304292f7d2cd0fdc7[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] fri[0] may[0] 10[0] 00[0] :35[0] :33[0] 2013[0] 0200[0] fixed[0] fixed[0] refactoring[0] bug[0] commit[0] 16e976489d0ab644b37d2800d0517077a759560c[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] may[0] 9[0] 23[0] :28[0] :32[0] 2013[0] 0200[0] refactored[0] cpa[0] interface[0] to[0] external[0] added[0] copyright[0] also[0] added[0] some[0] work[0] on[0] comparators[0] commit[0] c86e8ba39b99c79f826c11274263d97c29b58a98[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] fri[0] may[0] 3[0] 14[0] :26[0] :51[0] 2013[0] 0200[0] working[0] on[0] a[0] new[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1231 commit 7ceddcb60b490f9e7f2c4d6163d4446834108b5d ctx similarity api refactored 	1231 commit 7ceddcb60b490f9e7f2c4d6163d446834108b5d ctx similarity api refactored	1	-1	 1231[0] commit[0] 7ceddcb60b490f9e7f2c4d6163d4446834108b5d/7ceddcb60b490f9e7f2c4d6163d446834108b5d[0] ctx[0] similarity[0] api[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1240 commit cc23448433e0533fdba86d8b27f11713bb772c47 context similarity evaluation api and implementation refactoring, integration test for ctx similarity eval added 	1240 commit cc23448433e0533fdba86d8b27f11713bb772c47 context similarity evaluation api and implementation refactoring, integration test for ctx similarity eval added	1	-1	 1240[0] commit[0] cc23448433e0533fdba86d8b27f11713bb772c47[0] context[0] similarity[0] evaluation[0] api[0] and[0] implementation[0] refactoring[0] integration[0] test[0] for[0] ctx[0] similarity[0] eval[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1251 commit 50313788ac2e87f072b33975844c2659123423e5 refactor local trust eventing bit (#1962) 	1251 commit 50313788ac2e87f072b33975844c2659123423e5 refactor local trust eventing bit (#1962)	2	-1	 1251[0] commit[0] 50313788ac2e87f072b33975844c2659123423e5[0] refactor[0] local[0] trust[1] eventing[0] bit[0] (#1962[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1418 commit be98770879941d048ec8668481e7442259f7339c refactored notification code into its own controller, added a notification bubble and popup 	1418 commit be98770879941d048ec8668481e7442259f7339c refactored notification code into its own controller, added a notification bubble and popup	1	-1	 1418[0] commit[0] be98770879941d048ec8668481e7442259f7339c[0] refactored[0] notification[0] code[0] into[0] its[0] own[0] controller[0] added[0] a[0] notification[0] bubble[0] and[0] popup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2081 commit 02ba6a87909b634b0b023a0a0ff093564989bfa2 implemented and tested activityfeed as a service, tested with integration tests and unit tests. webapp also seems to work. squashed commit of the following: commit acee33a21f3137d0dbdc760c1bc3a40d2b8015bd author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: fri feb 15 12:19:30 2013  0100 added persistance mapping commit f62931898a1626a4859fc04522339f7eba703d26 author: tcarlyle  tcarlyle@gmail.com  date: fri feb 15 10:50:20 2013  0100 adding the criteria result to the arraylist to be sure that the feed list is modifiable commit 71b5d587438b803ebb5bf805aaf035e4b16c59a2 author: tcarlyle  tcarlyle@gmail.com  date: fri feb 15 09:42:16 2013  0100 reference fixed, now we can start the platform commit 1f3fc483dd5363ed8ef39d5816305f9b0bbf13cf author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu feb 14 23:48:59 2013  0100 it builds now commit a12b55ef85d656515d78f82bbcba89eae2954c5a author: tcarlyle  tcarlyle@gmail.com  date: thu feb 14 18:21:11 2013  0100 cis and cis tests already build with new activity feed, but i cant yet start the platform commit 9e6437db6731cf2fb02499959f8f97d1bf29db58 author: tcarlyle  tcarlyle@gmail.com  date: thu feb 14 14:58:33 2013  0100 a few changes, but not touching on the activityfeed client yet commit cdeab12ee64bc35c96c9074c65268dcc07c68ffb author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu feb 14 11:06:50 2013  0100 fixed tests commit f0d12afc4ad1579d6e5dc9bcf1a0fdeecf35ece5 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu feb 14 02:00:32 2013  0100 refactored cismanager, integration tests is todo. commit ddf706221ebc80e0bb10dc41b7f34d0f16a8bd42 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: wed feb 13 21:06:12 2013  0100 checkpoint: afmanager unit tests runs with persistance commit 7bc778f0da1cc0a10f73573ce3ea093ec33aa734 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: wed feb 13 13:44:27 2013  0100 test logic seems close to finished, going to merge activityfeed and persistentactivityfeed. commit a785e9f59fdd0c349c383a07d2766dc4491c623d author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: wed feb 13 03:11:42 2013  0100 started work on tests for the new activityfeedservice commit 3de90db091e3359ef229f0b846b271c6c8e69b80 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 23:35:56 2013  0100 checkpoint commit 8cd3c3c59c2f505e0b5087ab610d07cb3e88d977 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 21:41:38 2013  0100 checkpoint commit e6c435fcf51a8cfc09962f5c47a162a8b6ea83b7 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 09:51:25 2013  0100 reverted changes to cis manager, also reverted changes to activityfeed library, keeping the service as a separate project commit 5b70d2d4657f90f88f51d954b34cd0be30d9c419 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 09:40:32 2013  0100 checkpoint commit f668c49e8fdecda4d984dc63764535b08a6f9d18 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: mon feb 11 23:30:19 2013  0100 checkpoint commit 8652fb5768fa23bc271a68691fcf6f0e03492bf4 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: mon feb 11 20:43:58 2013  0100 checkpoint commit 13a5d90e917ce45200e6f75665ea3c24e6c72756 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: mon feb 11 00:15:05 2013  0100 checkpoint commit 2e69211bc13d8b0b683783efc786e6091480f7f2 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: sun feb 10 16:19:58 2013  0100 starting to convert activityfeed to service.. 	2081 commit 02ba6a87909b634b0b023a0a0ff093564989bfa2 implemented and tested activityfeed as a service, tested with integration tests and unit tests.<br> webap also seems to work.<br> squashed commit of the following: commit acee33a21f3137d0dbdc760c1bc3a40d2b8015bd author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: fri feb 15 12:19:30 2013  0100 added persistance mapping commit f62931898a1626a4859fc04522339f7eba703d26 author: tcarlyle  tcarlyle@gmail.<br>com  date: fri feb 15 10:50:20 2013  0100 adding the criteria result to the arraylist to be sure that the feed list is modifiable commit 71b5d587438b803ebb5bf805af035e4b16c59a2 author: tcarlyle  tcarlyle@gmail.<br>com  date: fri feb 15 09:42:16 2013  0100 reference fixed, now we can start the platform commit 1f3fc483dd5363ed8ef39d5816305f9b0bbf13cf author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu feb 14 23:48:59 2013  0100 it builds now commit a12b55ef85d656515d78f82bbcba89eae2954c5a author: tcarlyle  tcarlyle@gmail.<br>com  date: thu feb 14 18:21:11 2013  0100 cis and cis tests already build with new activity feed, but i cant yet start the platform commit 9e6437db6731cf2fb0249959f8f97d1bf29db58 author: tcarlyle  tcarlyle@gmail.<br>com  date: thu feb 14 14:58:33 2013  0100 a few changes, but not touching on the activityfeed client yet commit cdeab12ee64bc35c96c9074c65268dcc07c68ffb author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu feb 14 11:06:50 2013  0100 fixed tests commit f0d12afc4ad1579d6e5dc9bcf1a0fdeecf35ece5 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu feb 14 02:00:32 2013  0100 refactored cismanager, integration tests is todo.<br> commit ddf706221ebc80e0bb10dc41b7f34d0f16a8bd42 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: wed feb 13 21:06:12 2013  0100 checkpoint: afmanager unit tests runs with persistance commit 7bc778f0da1cc0a10f73573ce3ea093ec33a734 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: wed feb 13 13:44:27 2013  0100 test logic seems close to finished, going to merge activityfeed and persistentactivityfeed.<br> commit a785e9f59fdd0c349c383a07d2766dc4491c623d author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: wed feb 13 03:11:42 2013  0100 started work on tests for the new activityfeedservice commit 3de90db091e3359ef229f0b846b271c6c8e69b80 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 23:35:56 2013  0100 checkpoint commit 8cd3c3c59c2f505e0b5087ab610d07cb3e88d977 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 21:41:38 2013  0100 checkpoint commit e6c435fcf51a8cfc09962f5c47a162a8b6ea83b7 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 09:51:25 2013  0100 reverted changes to cis manager, also reverted changes to activityfeed library, keeping the service as a separate project commit 5b70d2d4657f90f88f51d954b34cd0be30d9c419 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 09:40:32 2013  0100 checkpoint commit f668c49e8fdecda4d984dc63764535b08a6f9d18 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: mon feb 11 23:30:19 2013  0100 checkpoint commit 8652fb5768fa23bc271a68691fcf6f0e03492bf4 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: mon feb 11 20:43:58 2013  0100 checkpoint commit 13a5d90e917ce45200e6f75665ea3c24e6c72756 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: mon feb 11 00:15:05 2013  0100 checkpoint commit 2e69211bc13d8b0b683783efc786e6091480f7f2 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: sun feb 10 16:19:58 2013  0100 starting to convert activityfeed to service.	1	-1	 2081[0] commit[0] 02ba6a87909b634b0b023a0a0ff093564989bfa2[0] implemented[0] and[0] tested[0] activityfeed[0] as[0] a[0] service[0] tested[0] with[0] integration[0] tests[0] and[0] unit[0] tests[0] [[Sentence=-1,1=word max, 1-5]] webapp/webap[0] also[0] seems[0] to[0] work[0] [[Sentence=-1,1=word max, 1-5]] squashed[0] commit[0] of[0] the[0] following[0] commit[0] acee33a21f3137d0dbdc760c1bc3a40d2b8015bd[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] fri[0] feb[0] 15[0] 12[0] :19[0] :30[0] 2013[0] 0100[0] added[0] persistance[0] mapping[0] commit[0] f62931898a1626a4859fc04522339f7eba703d26[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] fri[0] feb[0] 15[0] 10[0] :50[0] :20[0] 2013[0] 0100[0] adding[0] the[0] criteria[0] result[0] to[0] the[0] arraylist[0] to[0] be[0] sure[0] that[0] the[0] feed[0] list[0] is[0] modifiable[0] commit[0] 71b5d587438b803ebb5bf805aaf035e4b16c59a2/71b5d587438b803ebb5bf805af035e4b16c59a2[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] fri[0] feb[0] 15[0] 09[0] :42[0] :16[0] 2013[0] 0100[0] reference[0] fixed[0] now[0] we[0] can[0] start[0] the[0] platform[0] commit[0] 1f3fc483dd5363ed8ef39d5816305f9b0bbf13cf[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] feb[0] 14[0] 23[0] :48[0] :59[0] 2013[0] 0100[0] it[0] builds[0] now[0] commit[0] a12b55ef85d656515d78f82bbcba89eae2954c5a[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] thu[0] feb[0] 14[0] 18[0] :21[0] :11[0] 2013[0] 0100[0] cis[0] and[0] cis[0] tests[0] already[0] build[0] with[0] new[0] activity[0] feed[0] but[0] i[0] cant[0] yet[0] start[0] the[0] platform[0] commit[0] 9e6437db6731cf2fb02499959f8f97d1bf29db58/9e6437db6731cf2fb0249959f8f97d1bf29db58[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] thu[0] feb[0] 14[0] 14[0] :58[0] :33[0] 2013[0] 0100[0] a[0] few[0] changes[0] but[0] not[0] touching[0] on[0] the[0] activityfeed[0] client[0] yet[0] commit[0] cdeab12ee64bc35c96c9074c65268dcc07c68ffb[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] feb[0] 14[0] 11[0] :06[0] :50[0] 2013[0] 0100[0] fixed[0] tests[0] commit[0] f0d12afc4ad1579d6e5dc9bcf1a0fdeecf35ece5[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] feb[0] 14[0] 02[0] :00[0] :32[0] 2013[0] 0100[0] refactored[0] cismanager[0] integration[0] tests[0] is[0] todo[0] [[Sentence=-1,1=word max, 1-5]] commit[0] ddf706221ebc80e0bb10dc41b7f34d0f16a8bd42[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] wed[0] feb[0] 13[0] 21[0] :06[0] :12[0] 2013[0] 0100[0] checkpoint[0] afmanager[0] unit[0] tests[0] runs[0] with[0] persistance[0] commit[0] 7bc778f0da1cc0a10f73573ce3ea093ec33aa734/7bc778f0da1cc0a10f73573ce3ea093ec33a734[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] wed[0] feb[0] 13[0] 13[0] :44[0] :27[0] 2013[0] 0100[0] test[0] logic[0] seems[0] close[0] to[0] finished[0] going[0] to[0] merge[0] activityfeed[0] and[0] persistentactivityfeed[0] [[Sentence=-1,1=word max, 1-5]] commit[0] a785e9f59fdd0c349c383a07d2766dc4491c623d[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] wed[0] feb[0] 13[0] 03[0] :11[0] :42[0] 2013[0] 0100[0] started[0] work[0] on[0] tests[0] for[0] the[0] new[0] activityfeedservice[0] commit[0] 3de90db091e3359ef229f0b846b271c6c8e69b80[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 23[0] :35[0] :56[0] 2013[0] 0100[0] checkpoint[0] commit[0] 8cd3c3c59c2f505e0b5087ab610d07cb3e88d977[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 21[0] :41[0] :38[0] 2013[0] 0100[0] checkpoint[0] commit[0] e6c435fcf51a8cfc09962f5c47a162a8b6ea83b7[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 09[0] :51[0] :25[0] 2013[0] 0100[0] reverted[0] changes[0] to[0] cis[0] manager[0] also[0] reverted[0] changes[0] to[0] activityfeed[0] library[0] keeping[0] the[0] service[0] as[0] a[0] separate[0] project[0] commit[0] 5b70d2d4657f90f88f51d954b34cd0be30d9c419[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 09[0] :40[0] :32[0] 2013[0] 0100[0] checkpoint[0] commit[0] f668c49e8fdecda4d984dc63764535b08a6f9d18[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] mon[0] feb[0] 11[0] 23[0] :30[0] :19[0] 2013[0] 0100[0] checkpoint[0] commit[0] 8652fb5768fa23bc271a68691fcf6f0e03492bf4[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] mon[0] feb[0] 11[0] 20[0] :43[0] :58[0] 2013[0] 0100[0] checkpoint[0] commit[0] 13a5d90e917ce45200e6f75665ea3c24e6c72756[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] mon[0] feb[0] 11[0] 00[0] :15[0] :05[0] 2013[0] 0100[0] checkpoint[0] commit[0] 2e69211bc13d8b0b683783efc786e6091480f7f2[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] sun[0] feb[0] 10[0] 16[0] :19[0] :58[0] 2013[0] 0100[0] starting[0] to[0] convert[0] activityfeed[0] to[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
