Move Class Folder	Translation	Positive	Negative	EmotionRationale
3571 commit 2524aa8387fc983c2f3aa4cf9601aba53ba931f0 documentation refactor. 	3571 commit 2524a8387fc983c2f3a4cf9601aba53ba931f0 documentation refactor.	2	-1	 3571[0] commit[0] 2524aa8387fc983c2f3aa4cf9601aba53ba931f0/2524a8387fc983c2f3a4cf9601aba53ba931f0[0][+0.6 MultipleLetters] documentation[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4665 commit 10b63cfb33e8184b950c1fa30ac9f04e5914c471 partial servlet 15/16 refactor 	4665 commit 10b63cfb33e8184b950c1fa30ac9f04e5914c471 partial servlet 15/16 refactor	1	-1	 4665[0] commit[0] 10b63cfb33e8184b950c1fa30ac9f04e5914c471[0] partial[0] servlet[0] 15/16[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4966 commit e803df0e4f458aafec49dd49cbb429ba643d6911 bam refactor 	4966 commit e803df0e4f458afec49dd49cbb429ba643d6911 bam refactor	1	-1	 4966[0] commit[0] e803df0e4f458aafec49dd49cbb429ba643d6911/e803df0e4f458afec49dd49cbb429ba643d6911[0] bam[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5292 commit 71564c7bf4448f83b7582dd9d3914cdc102bc162 refactor: kernel compiles 	5292 commit 71564c7bf448f83b7582dd9d3914cdc102bc162 refactor: kernel compiles	1	-1	 5292[0] commit[0] 71564c7bf4448f83b7582dd9d3914cdc102bc162/71564c7bf448f83b7582dd9d3914cdc102bc162[0] refactor[0] kernel[0] compiles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5293 commit 49f8bd0fd9eca78f59156dcefb2029d594048f2a partial refactor 	5293 commit 49f8bd0fd9eca78f59156dcefb2029d594048f2a partial refactor	1	-1	 5293[0] commit[0] 49f8bd0fd9eca78f59156dcefb2029d594048f2a[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5294 commit 360bf4f4045d82a1af184e8cc0e6a99cfe2378a1 partial refactor 	5294 commit 360bf4f4045d82a1af184e8cc0e6a99cfe2378a1 partial refactor	1	-1	 5294[0] commit[0] 360bf4f4045d82a1af184e8cc0e6a99cfe2378a1[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5295 commit f8922d064d780e1ee704d6c2d169003a1db7eeab refactor work 	5295 commit f8922d064d780e1ee704d6c2d169003a1db7eeab refactor work	1	-1	 5295[0] commit[0] f8922d064d780e1ee704d6c2d169003a1db7eeab[0] refactor[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5296 commit b83c99093b76f16bcd4bf56f4968da127ea15752 partial kernel refactor 	5296 commit b83c99093b76f16bcd4bf56f4968da127ea15752 partial kernel refactor	1	-1	 5296[0] commit[0] b83c99093b76f16bcd4bf56f4968da127ea15752[0] partial[0] kernel[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5297 commit ac89067600a95a39626bb7c9ed124497938fbb64 kernel partial refactor 	5297 commit ac89067600a95a39626bb7c9ed124497938fbb64 kernel partial refactor	1	-1	 5297[0] commit[0] ac89067600a95a39626bb7c9ed124497938fbb64[0] kernel[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5298 commit cf7a5638e9dcfa67fdf169a7147c0e0f2f79caa7 partial refactor 	5298 commit cf7a5638e9dcfa67fdf169a7147c0e0f2f79ca7 partial refactor	1	-1	 5298[0] commit[0] cf7a5638e9dcfa67fdf169a7147c0e0f2f79caa7/cf7a5638e9dcfa67fdf169a7147c0e0f2f79ca7[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6104 commit da84e38ee6fa04e4154335d8d63904bfad144f96 amber refactor build 	6104 commit da84e38ee6fa04e4154335d8d63904bfad144f96 amber refactor build	1	-1	 6104[0] commit[0] da84e38ee6fa04e4154335d8d63904bfad144f96[0] amber[0] refactor[0] build[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6604 commit 653e58c74a7f5cdc52c629a5752e3ff92fa2197b hessian refactor 	6604 commit 653e58c74a7f5cdc52c629a5752e3ff92fa2197b hessian refactor	1	-1	 6604[0] commit[0] 653e58c74a7f5cdc52c629a5752e3ff92fa2197b[0] hessian[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6605 commit b537bf3d2e8a315defff0eb96e0d4f96488eaed8 hessian partial refactor 	6605 commit b537bf3d2e8a315deff0eb96e0d4f96488eaed8 hessian partial refactor	1	-1	 6605[0] commit[0] b537bf3d2e8a315defff0eb96e0d4f96488eaed8/b537bf3d2e8a315deff0eb96e0d4f96488eaed8[0] hessian[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6606 commit 775e02e5e8ef5c9178f83213a73f01a5cae7adad hessian partial refactor 	6606 commit 775e02e5e8ef5c9178f83213a73f01a5cae7adad hessian partial refactor	1	-1	 6606[0] commit[0] 775e02e5e8ef5c9178f83213a73f01a5cae7adad[0] hessian[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8164 commit 643f6807424f0c915eac04fb51fd059a3f1a6f2f util/vfs refactor 	8164 commit 643f6807424f0c915eac04fb51fd059a3f1a6f2f util/vfs refactor	1	-1	 8164[0] commit[0] 643f6807424f0c915eac04fb51fd059a3f1a6f2f[0] util/vfs[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9135 commit f3427804a2f7ec98ce87b9e971abaa196761c017 persistence refactoring 	9135 commit f3427804a2f7ec98ce87b9e971aba196761c017 persistence refactoring	1	-1	 9135[0] commit[0] f3427804a2f7ec98ce87b9e971abaa196761c017/f3427804a2f7ec98ce87b9e971aba196761c017[0] persistence[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
