Move Class	Translation	Positive	Negative	EmotionRationale
619 commit ef94e6a362babf01c4fc1e0e45fd2eabfc86b2a7 actorqueue builder refactor 	619 commit ef94e6a362babf01c4fc1e0e45fd2eabfc86b2a7 actorqueue builder refactor	1	-1	 619[0] commit[0] ef94e6a362babf01c4fc1e0e45fd2eabfc86b2a7[0] actorqueue[0] builder[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor 	1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor	1	-1	 1189[0] commit[0] 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1288 commit 4e9cd026a947e9f77b8e07b7ab0f3dd3baa7d418 amp refactor, bam partial proxy 	1288 commit 4e9cd026a947e9f77b8e07b7ab0f3dd3ba7d418 amp refactor, bam partial proxy	1	-1	 1288[0] commit[0] 4e9cd026a947e9f77b8e07b7ab0f3dd3baa7d418/4e9cd026a947e9f77b8e07b7ab0f3dd3ba7d418[0] amp[0] refactor[0] bam[0] partial[0] proxy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring 	1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring	1	-1	 1328[0] commit[0] 28d752deec92d70933535568aedd18cd79dcece7[0] amqp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1467 commit b3697c4024dd3f4612f4f2b50f889871739a5753 proxy cache refactor 	1467 commit b3697c4024dd3f4612f4f2b50f889871739a5753 proxy cache refactor	1	-1	 1467[0] commit[0] b3697c4024dd3f4612f4f2b50f889871739a5753[0] proxy[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1828 commit 8949a5f42d636d9962e07ee3d435bf9197ae827a cache refactor 	1828 commit 8949a5f42d636d9962e07ee3d435bf9197ae827a cache refactor	1	-1	 1828[0] commit[0] 8949a5f42d636d9962e07ee3d435bf9197ae827a[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1829 commit 2c8d84ec7101e0db62905e3c3d03a8af90ed2227 cache partial refactor 	1829 commit 2c8d84ec7101e0db62905e3c3d03a8af90ed227 cache partial refactor	1	-1	 1829[0] commit[0] 2c8d84ec7101e0db62905e3c3d03a8af90ed2227/2c8d84ec7101e0db62905e3c3d03a8af90ed227[0] cache[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2499 commit c0761346cfde4ae066bdfb0d1fb0e5204e0dc380 bam/actor refactor 	2499 commit c0761346cfde4ae066bdfb0d1fb0e5204e0dc380 bam/actor refactor	1	-1	 2499[0] commit[0] c0761346cfde4ae066bdfb0d1fb0e5204e0dc380[0] bam/actor[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2521 commit 610049e87b5ec54763c8e701a127884c040066e5 bam/htmp refactor 	2521 commit 610049e87b5ec54763c8e701a127884c040066e5 bam/htmp refactor	1	-1	 2521[0] commit[0] 610049e87b5ec54763c8e701a127884c040066e5[0] bam/htmp[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2638 commit 1aa455abc938d88ea8ba70842cc4e8c6baa21b04 xa/pool refactoring 	2638 commit 1a455abc938d88ea8ba70842cc4e8c6ba21b04 xa/pool refactoring	2	-1	 2638[0] commit[0] 1aa455abc938d88ea8ba70842cc4e8c6baa21b04/1a455abc938d88ea8ba70842cc4e8c6ba21b04[0][+0.6 MultipleLetters] xa/pool[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
