Rename Class	Translation	Positive	Negative	EmotionRationale
226 commit 0adf20b66a41fa5d9f4b8642899f2a3510dc5566 quercus initial refactor of private methods/fields 	226 commit 0adf20b66a41fa5d9f4b8642899f2a3510dc5566 quercus initial refactor of private methods/fields	1	-1	 226[0] commit[0] 0adf20b66a41fa5d9f4b8642899f2a3510dc5566[0] quercus[0] initial[0] refactor[0] of[0] private[0] methods/fields[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
619 commit ef94e6a362babf01c4fc1e0e45fd2eabfc86b2a7 actorqueue builder refactor 	619 commit ef94e6a362babf01c4fc1e0e45fd2eabfc86b2a7 actorqueue builder refactor	1	-1	 619[0] commit[0] ef94e6a362babf01c4fc1e0e45fd2eabfc86b2a7[0] actorqueue[0] builder[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1212 commit 31f72ccd9a2ea050843e5db6162ab46b161c1e81 cache refactor 	1212 commit 31f72ccd9a2ea050843e5db6162ab46b161c1e81 cache refactor	1	-1	 1212[0] commit[0] 31f72ccd9a2ea050843e5db6162ab46b161c1e81[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1288 commit 4e9cd026a947e9f77b8e07b7ab0f3dd3baa7d418 amp refactor, bam partial proxy 	1288 commit 4e9cd026a947e9f77b8e07b7ab0f3dd3ba7d418 amp refactor, bam partial proxy	1	-1	 1288[0] commit[0] 4e9cd026a947e9f77b8e07b7ab0f3dd3baa7d418/4e9cd026a947e9f77b8e07b7ab0f3dd3ba7d418[0] amp[0] refactor[0] bam[0] partial[0] proxy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring 	1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring	1	-1	 1328[0] commit[0] 28d752deec92d70933535568aedd18cd79dcece7[0] amqp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1467 commit b3697c4024dd3f4612f4f2b50f889871739a5753 proxy cache refactor 	1467 commit b3697c4024dd3f4612f4f2b50f889871739a5753 proxy cache refactor	1	-1	 1467[0] commit[0] b3697c4024dd3f4612f4f2b50f889871739a5753[0] proxy[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1471 commit 450423a8157b1ee20dd6c7427c313b1376b4ae6d rest/json refactor 	1471 commit 450423a8157b1ee20dd6c7427c313b1376b4ae6d rest/json refactor	1	-1	 1471[0] commit[0] 450423a8157b1ee20dd6c7427c313b1376b4ae6d[0] rest/json[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1475 commit 2efd22565fa83c727287033e651dfdd300b5c79e amqp broker refactor 	1475 commit 2efd22565fa83c727287033e651dfdd300b5c79e amqp broker refactor	1	-2	 1475[0] commit[0] 2efd22565fa83c727287033e651dfdd300b5c79e[0] amqp[0] broker[-1] refactor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1479 commit 529c3db9c50bf79cd4420b39f13594222b611ae7 alarm/currenttime refactor 	1479 commit 529c3db9c50bf79cd4420b39f1359422b611ae7 alarm/currenttime refactor	1	-3	 1479[0] commit[0] 529c3db9c50bf79cd4420b39f13594222b611ae7/529c3db9c50bf79cd4420b39f1359422b611ae7[0] alarm/currenttime[-2] refactor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
1508 commit e73a257f9b579d0055191e8f7a98482208606fc5 cli/rest refactor: remove silly errorqueryresult 	1508 commit e73a257f9b579d0055191e8f7a98482208606fc5 cli/rest refactor: remove silly errorqueryresult	1	-2	 1508[0] commit[0] e73a257f9b579d0055191e8f7a98482208606fc5[0] cli/rest[0] refactor[0] remove[0] silly[-1] errorqueryresult[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1551 commit 9317dff8051494945d7cd0f0ece16d46db451312 commands refactor for rest 	1551 commit 9317dff8051494945d7cd0f0ece16d46db451312 commands refactor for rest	1	-1	 1551[0] commit[0] 9317dff8051494945d7cd0f0ece16d46db451312[0] commands[0] refactor[0] for[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1707 commit 5c62d4bff5873e5529fb3b869b6f516d05084d6d config-deploy command, memcache refactor 	1707 commit 5c62d4bff5873e5529fb3b869b6f516d05084d6d config-deploy command, memcache refactor	1	-1	 1707[0] commit[0] 5c62d4bff5873e5529fb3b869b6f516d05084d6d[0] config[0] deploy[0] command[0] memcache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1719 commit 0083edafc06263ac301e13e49ac9882be90a80f7 cli refactor 	1719 commit 0083edafc06263ac301e13e49ac9882be90a80f7 cli refactor	1	-1	 1719[0] commit[0] 0083edafc06263ac301e13e49ac9882be90a80f7[0] cli[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1829 commit 2c8d84ec7101e0db62905e3c3d03a8af90ed2227 cache partial refactor 	1829 commit 2c8d84ec7101e0db62905e3c3d03a8af90ed227 cache partial refactor	1	-1	 1829[0] commit[0] 2c8d84ec7101e0db62905e3c3d03a8af90ed2227/2c8d84ec7101e0db62905e3c3d03a8af90ed227[0] cache[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2337 commit 6eb5a343f9a78a73391f29a46dd9913beba9edd3 misc bugs, hmtp refactor 	2337 commit 6eb5a343f9a78a73391f29a46dd9913beba9edd3 misc bugs, hmtp refactor	1	-1	 2337[0] commit[0] 6eb5a343f9a78a73391f29a46dd9913beba9edd3[0] misc[0] bugs[0] hmtp[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2521 commit 610049e87b5ec54763c8e701a127884c040066e5 bam/htmp refactor 	2521 commit 610049e87b5ec54763c8e701a127884c040066e5 bam/htmp refactor	1	-1	 2521[0] commit[0] 610049e87b5ec54763c8e701a127884c040066e5[0] bam/htmp[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2638 commit 1aa455abc938d88ea8ba70842cc4e8c6baa21b04 xa/pool refactoring 	2638 commit 1a455abc938d88ea8ba70842cc4e8c6ba21b04 xa/pool refactoring	2	-1	 2638[0] commit[0] 1aa455abc938d88ea8ba70842cc4e8c6baa21b04/1a455abc938d88ea8ba70842cc4e8c6ba21b04[0][+0.6 MultipleLetters] xa/pool[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression 	2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression	1	-1	 2704[0] commit[0] d7135c3f58daea759f8f2605e13eba56f89265e3[0] deployment[0] refactoring[0] and[0] regression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2847 commit dcd0280212f535a9f5efde6d31b81fb44291b55d sensor/meter refactor 	2847 commit dcd0280212f535a9f5efde6d31b81fb44291b55d sensor/meter refactor	1	-1	 2847[0] commit[0] dcd0280212f535a9f5efde6d31b81fb44291b55d[0] sensor/meter[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2885 commit 610a865111989c00d861ca7b7169c4fd31ff317c cloud/system/resin refactor 	2885 commit 610a86511989c00d861ca7b7169c4fd31ff317c cloud/system/resin refactor	1	-1	 2885[0] commit[0] 610a865111989c00d861ca7b7169c4fd31ff317c/610a86511989c00d861ca7b7169c4fd31ff317c[0] cloud/system/resin[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2900 commit 570aae19f4a103a3ff8ecac96622323884367b1a bam/htmp authentication refactor 	2900 commit 570ae19f4a103a3ff8ecac96622323884367b1a bam/htmp authentication refactor	1	-1	 2900[0] commit[0] 570aae19f4a103a3ff8ecac96622323884367b1a/570ae19f4a103a3ff8ecac96622323884367b1a[0] bam/htmp[0] authentication[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2902 commit 57ef6276b612f0f9446a9ed1a12b1db66948cc1e hmtp/watchdog security refactor 	2902 commit 57ef6276b612f0f9446a9ed1a12b1db66948cc1e hmtp/watchdog security refactor	1	-1	 2902[0] commit[0] 57ef6276b612f0f9446a9ed1a12b1db66948cc1e[0] hmtp/watchdog[0] security[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3123 commit ffefcbeffdfe316ca9e1aeca6ab19646498ee3fb cdi/ejb aspect refactor 	3123 commit ffefcbeffdfe316ca9e1aeca6ab19646498ee3fb cdi/ejb aspect refactor	1	-1	 3123[0] commit[0] ffefcbeffdfe316ca9e1aeca6ab19646498ee3fb[0] cdi/ejb[0] aspect[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype 	3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype	1	-1	 3178[0] commit[0] dacb6fb872c32446c5341be806dede2353a11e5d[0] ejb[0] refactor[0] apiclass[0] to[0] annotatedtype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3371 commit 484a7f134b7d96ddba3c4c02eca816911ccf56a3 blockstore refactor for stress tests 	3371 commit 484a7f134b7d96ddba3c4c02eca816911ccf56a3 blockstore refactor for stress tests	1	-2	 3371[0] commit[0] 484a7f134b7d96ddba3c4c02eca816911ccf56a3[0] blockstore[0] refactor[0] for[0] stress[-1] tests[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3416 commit dcad93efe0cdbb3bd7e40f10b15b0cf87b75337e jpa manager refactor 	3416 commit dcad93efe0cdbb3bd7e40f10b15b0cf87b75337e jpa manager refactor	1	-1	 3416[0] commit[0] dcad93efe0cdbb3bd7e40f10b15b0cf87b75337e[0] jpa[0] manager[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3417 commit 371e0bdd53d1b23711ae1428deb30f2225086665 jpa refactoring 	3417 commit 371e0bdd53d1b23711ae1428deb30f22508665 jpa refactoring	2	-1	 3417[0] commit[0] 371e0bdd53d1b23711ae1428deb30f2225086665/371e0bdd53d1b23711ae1428deb30f22508665[0][+0.6 MultipleLetters] jpa[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3422 commit 0dfad91b63f62d2c2d61c6f0517684e45f11487e ioc circular refactoring 	3422 commit 0dfad91b63f62d2c2d61c6f0517684e45f11487e ioc circular refactoring	1	-1	 3422[0] commit[0] 0dfad91b63f62d2c2d61c6f0517684e45f11487e[0] ioc[0] circular[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor 	3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor	1	-1	 3525[0] commit[0] 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f[0] quercus[0] class/expr[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3581 commit 09416536a7c7b57253e0ba8630ec3ee31a47bf3c protocol/async refactor 	3581 commit 09416536a7c7b57253e0ba8630ec3ee31a47bf3c protocol/async refactor	1	-1	 3581[0] commit[0] 09416536a7c7b57253e0ba8630ec3ee31a47bf3c[0] protocol/async[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4121 commit 9db6cd1be7b901f78f30445bed2719fe753b75c1 ejb scheduling refactor 	4121 commit 9db6cd1be7b901f78f30445bed2719fe753b75c1 ejb scheduling refactor	1	-1	 4121[0] commit[0] 9db6cd1be7b901f78f30445bed2719fe753b75c1[0] ejb[0] scheduling[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4490 commit 37096849aa6c4e0774619fcf5c0712e6cdcde894 candi refactor 	4490 commit 37096849a6c4e0774619fcf5c0712e6cdcde894 candi refactor	1	-1	 4490[0] commit[0] 37096849aa6c4e0774619fcf5c0712e6cdcde894/37096849a6c4e0774619fcf5c0712e6cdcde894[0] candi[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4536 commit cfd8eb3a4cd4bb3cb4dde84c34250eebec60e800 candi refactor 	4536 commit cfd8eb3a4cd4bb3cb4dde84c34250eebec60e800 candi refactor	1	-1	 4536[0] commit[0] cfd8eb3a4cd4bb3cb4dde84c34250eebec60e800[0] candi[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4949 commit bed4cebe42619d2a043c3a351ab30ada6bc97b05 refactored the cache entries around a new (abstract) abstractcacheentry class. refactored methods and method names for consistency and clarify. 	4949 commit bed4cebe42619d2a043c3a351ab30ada6bc97b05 refactored the cache entries around a new (abstract) abstractcacheentry class.<br> refactored methods and method names for consistency and clarify.	1	-1	 4949[0] commit[0] bed4cebe42619d2a043c3a351ab30ada6bc97b05[0] refactored[0] the[0] cache[0] entries[0] around[0] a[0] new[0] abstract[0] abstractcacheentry[0] class[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] methods[0] and[0] method[0] names[0] for[0] consistency[0] and[0] clarify[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4966 commit e803df0e4f458aafec49dd49cbb429ba643d6911 bam refactor 	4966 commit e803df0e4f458afec49dd49cbb429ba643d6911 bam refactor	1	-1	 4966[0] commit[0] e803df0e4f458aafec49dd49cbb429ba643d6911/e803df0e4f458afec49dd49cbb429ba643d6911[0] bam[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5025 commit 794d2b42d744be9b13851edd432349a2a4fb85d9 ioc partial refactor 	5025 commit 794d2b42d744be9b13851edd432349a2a4fb85d9 ioc partial refactor	1	-1	 5025[0] commit[0] 794d2b42d744be9b13851edd432349a2a4fb85d9[0] ioc[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5056 commit 41fa13b5dfc8faea272ca0da9764bcb6cb1926b8 cache/jcache refactor 	5056 commit 41fa13b5dfc8faea272ca0da9764bcb6cb1926b8 cache/jcache refactor	1	-1	 5056[0] commit[0] 41fa13b5dfc8faea272ca0da9764bcb6cb1926b8[0] cache/jcache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5061 commit e25d2282934f07e34df04b61f69e66e82d7e4916 hmtp refactoring 	5061 commit e25d2282934f07e34df04b61f69e66e82d7e4916 hmtp refactoring	1	-1	 5061[0] commit[0] e25d2282934f07e34df04b61f69e66e82d7e4916[0] hmtp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5063 commit 221642494cc18c3761be405c89ea21e9d2d6e75e partial bam/hmtp refactor 	5063 commit 221642494cc18c3761be405c89ea21e9d2d6e75e partial bam/hmtp refactor	1	-1	 5063[0] commit[0] 221642494cc18c3761be405c89ea21e9d2d6e75e[0] partial[0] bam/hmtp[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5184 commit 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79 authentication refactor 	5184 commit 50065a7211a1f30e05e3b2fa523f74a2bbfa79 authentication refactor	2	-1	 5184[0] commit[0] 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79/50065a7211a1f30e05e3b2fa523f74a2bbfa79[0][+0.6 MultipleLetters] authentication[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5210 commit cbd845e3330f389c2b823d7afff8fa0e99e126f6 repository refactor 	5210 commit cbd845e330f389c2b823d7aff8fa0e99e126f6 repository refactor	2	-1	 5210[0] commit[0] cbd845e3330f389c2b823d7afff8fa0e99e126f6/cbd845e330f389c2b823d7aff8fa0e99e126f6[0][+0.6 MultipleLetters] repository[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5211 commit 86d7dfde16c2ce740a5b5d121f4cec9ffcbfc131 partial repository refactor 	5211 commit 86d7dfde16c2ce740a5b5d121f4cec9ffcbfc131 partial repository refactor	1	-1	 5211[0] commit[0] 86d7dfde16c2ce740a5b5d121f4cec9ffcbfc131[0] partial[0] repository[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5729 commit e948705da935a73f4e5a3d3277c6dc0691b6b197 refactor amber config 	5729 commit e948705da935a73f4e5a3d3277c6dc0691b6b197 refactor amber config	1	-1	 5729[0] commit[0] e948705da935a73f4e5a3d3277c6dc0691b6b197[0] refactor[0] amber[0] config[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5943 commit 72ea3f157cd9e4666e8ed06e9f2610f92ae933c1 port/thread refactor 	5943 commit 72ea3f157cd9e466e8ed06e9f2610f92ae933c1 port/thread refactor	1	-1	 5943[0] commit[0] 72ea3f157cd9e4666e8ed06e9f2610f92ae933c1/72ea3f157cd9e466e8ed06e9f2610f92ae933c1[0] port/thread[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5977 commit 3050e6f8a68066c927e015dee934db2545ffb06c hmtp refactor 	5977 commit 3050e6f8a68066c927e015dee934db2545ffb06c hmtp refactor	1	-1	 5977[0] commit[0] 3050e6f8a68066c927e015dee934db2545ffb06c[0] hmtp[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
