Move Class	Translation	Positive	Negative	EmotionRationale
1563 commit 2bd92d5d0685144aad566b9d29454fb519ff0371 vpn2: show third-party vpn services vpn apps are shown alongside configured vpns now. the requirement that a password is set is now only enforced when setting up a configured vpn as this is not necessary for apps. some ui redesign. bug: 19573824 bug: 17474682 bug: 19575658 change-id: i02bd977136929647d65b9784fb4cc5df24b45428 	1563 commit 2bd92d5d0685144ad566b9d29454fb519ff0371 vpn2: show third-party vpn services vpn apps are shown alongside configured vpns now.<br> the requirement that a password is set is now only enforced when setting up a configured vpn as this is not necessary for apps.<br> some ui redesign.<br> bug: 19573824 bug: 17474682 bug: 19575658 change-id: i02bd977136929647d65b9784fb4cc5df24b45428	1	-2	 1563[0] commit[0] 2bd92d5d0685144aad566b9d29454fb519ff0371/2bd92d5d0685144ad566b9d29454fb519ff0371[0] vpn2[0] show[0] third[0] party[0] vpn[0] services[0] vpn[0] apps[0] are[0] shown[0] alongside[0] configured[0] vpns[0] now[0] [[Sentence=-1,1=word max, 1-5]] the[0] requirement[0] that[0] a[0] password[0] is[0] set[0] is[0] now[0] only[0] enforced[-1] when[0] setting[0] up[0] a[0] configured[0] vpn[0] as[0] this[0] is[0] not[0] necessary[0] for[0] apps[0] [[Sentence=-2,1=word max, 1-5]] some[0] ui[0] redesign[0] [[Sentence=-1,1=word max, 1-5]] bug[0] 19573824[0] bug[0] 17474682[0] bug[0] 19575658[0] change[0] id[0] i02bd977136929647d65b9784fb4cc5df24b45428[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
6730 commit 409fbb738b8c6c91015cbafec06d66d439d93622 merge: adc9259 4069869 am 4069869e: am 156d1827: am ee398747: refactor user profile editor dialog for reuse * commit '4069869e2cedefe0778af812cba760124445aada': refactor user profile editor dialog for reuse 	6730 commit 409fbb738b8c6c91015cbafec06d66d439d93622 merge: adc9259 4069869 am 4069869e: am 156d1827: am ee398747: refactor user profile editor dialog for reuse * commit '4069869e2cedefe0778af812cba76012445ada': refactor user profile editor dialog for reuse	2	-1	 6730[0] commit[0] 409fbb738b8c6c91015cbafec06d66d439d93622[0] merge[0] adc9259[0] 4069869[0] am[0] 4069869e[0] am[0] 156d1827[0] am[0] ee398747[0] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] commit[0] '4069869e2cedefe0778af812cba760124445aada'/'4069869e2cedefe0778af812cba76012445ada'[0][+0.6 MultipleLetters] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
6743 commit 4069869e2cedefe0778af812cba760124445aada merge: c642e3d 156d182 am 156d1827: am ee398747: refactor user profile editor dialog for reuse * commit '156d1827806d70060952f4d0d1752c455a7dcfbc': refactor user profile editor dialog for reuse 	6743 commit 4069869e2cedefe0778af812cba76012445ada merge: c642e3d 156d182 am 156d1827: am ee398747: refactor user profile editor dialog for reuse * commit '156d1827806d70060952f4d0d1752c455a7dcfbc': refactor user profile editor dialog for reuse	2	-1	 6743[0] commit[0] 4069869e2cedefe0778af812cba760124445aada/4069869e2cedefe0778af812cba76012445ada[0][+0.6 MultipleLetters] merge[0] c642e3d[0] 156d182[0] am[0] 156d1827[0] am[0] ee398747[0] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] commit[0] '156d1827806d70060952f4d0d1752c455a7dcfbc'[0] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
6756 commit 156d1827806d70060952f4d0d1752c455a7dcfbc merge: 0ed8633 ee39874 am ee398747: refactor user profile editor dialog for reuse * commit 'ee3987475e1d29e8355bdb9e068149eb01e3fd43': refactor user profile editor dialog for reuse 	6756 commit 156d1827806d70060952f4d0d1752c455a7dcfbc merge: 0ed8633 ee39874 am ee398747: refactor user profile editor dialog for reuse * commit 'ee3987475e1d29e8355bdb9e068149eb01e3fd43': refactor user profile editor dialog for reuse	1	-1	 6756[0] commit[0] 156d1827806d70060952f4d0d1752c455a7dcfbc[0] merge[0] 0ed8633[0] ee39874[0] am[0] ee398747[0] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] commit[0] 'ee3987475e1d29e8355bdb9e068149eb01e3fd43'[0] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6757 commit ee3987475e1d29e8355bdb9e068149eb01e3fd43 refactor user profile editor dialog for reuse move the dialog code into a separate class. use it from restrictedprofilesettings and usersettings for the current user. bug: 15761405 change-id: i0b9a95ba8463304525e6a4b8cf3b4ca77b15796f 	6757 commit ee3987475e1d29e8355bdb9e068149eb01e3fd43 refactor user profile editor dialog for reuse move the dialog code into a separate class.<br> use it from restrictedprofilesettings and usersettings for the current user.<br> bug: 15761405 change-id: i0b9a95ba8463304525e6a4b8cf3b4ca77b15796f	1	-1	 6757[0] commit[0] ee3987475e1d29e8355bdb9e068149eb01e3fd43[0] refactor[0] user[0] profile[0] editor[0] dialog[0] for[0] reuse[0] move[0] the[0] dialog[0] code[0] into[0] a[0] separate[0] class[0] [[Sentence=-1,1=word max, 1-5]] use[0] it[0] from[0] restrictedprofilesettings[0] and[0] usersettings[0] for[0] the[0] current[0] user[0] [[Sentence=-1,1=word max, 1-5]] bug[0] 15761405[0] change[0] id[0] i0b9a95ba8463304525e6a4b8cf3b4ca77b15796f[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7833 commit 4ad687a0d841dd10470c79007575ee2a9ec2894e merge: 09626a8 d3446c5 merge "refactor setup wizard-related code" 	7833 commit 4ad687a0d841dd10470c79007575ee2a9ec2894e merge: 09626a8 d3446c5 merge "refactor setup wizard-related code"	1	-1	 7833[0] commit[0] 4ad687a0d841dd10470c79007575ee2a9ec2894e[0] merge[0] 09626a8[0] d3446c5[0] merge[0] refactor[0] setup[0] wizard[0] related[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7839 commit d3446c5708aff2580d4ddb9f559e72784bfac55e refactor setup wizard-related code extracted setup-related code from wifisettings, putting it into a new derived class, wifisettingsforsetupwizard. set taskaffinity to com.android.wizard, for alignment with other setup wizard-related tasks. change-id: if371f219dac5d3eff8f7899c16cc6f9475be47cf 	7839 commit d3446c5708aff2580d4ddb9f559e72784bfac55e refactor setup wizard-related code extracted setup-related code from wifisettings, putting it into a new derived class, wifisettingsforsetupwizard.<br> set taskaffinity to com.<br>android.<br>wizard, for alignment with other setup wizard-related tasks.<br> change-id: if371f219dac5d3eff8f7899c16cc6f9475be47cf	1	-1	 7839[0] commit[0] d3446c5708aff2580d4ddb9f559e72784bfac55e[0] refactor[0] setup[0] wizard[0] related[0] code[0] extracted[0] setup[0] related[0] code[0] from[0] wifisettings[0] putting[0] it[0] into[0] a[0] new[0] derived[0] class[0] wifisettingsforsetupwizard[0] [[Sentence=-1,1=word max, 1-5]] set[0] taskaffinity[0] to[0] com[0] [[Sentence=-1,1=word max, 1-5]] android[0] [[Sentence=-1,1=word max, 1-5]] wizard[0] for[0] alignment[0] with[0] other[0] setup[0] wizard[0] related[0] tasks[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] if371f219dac5d3eff8f7899c16cc6f9475be47cf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7885 commit 4e4cdeffdb6087c953f44808f14f18554a749bda settings: remove sound settings. - move the remaining conditional preferences into the combined sound & notifications screen. - refactor the "other sounds" sub-settings screen to provide a home for the new preferences. - migrate docking sounds, conditional on config. - migrate docking media, conditional on config. - migrate emergency tones, conditional on cdma. - move all boilerplate preference  -  setting plumbing into a separate helper. - since some preferences in other sounds are now conditional, create a special indexer for searching. - remove soundsettings (and xml), create aliases in the manifest to avoid breaking shortcuts. bug:15279526 change-id: i5ae3ecda2f899b1948f7908bd217a799326c2c56 	7885 commit 4e4cdeffdb6087c953f44808f14f18554a749bda settings: remove sound settings.<br> - move the remaining conditional preferences into the combined sound & notifications screen.<br> - refactor the "other sounds" sub-settings screen to provide a home for the new preferences.<br> - migrate docking sounds, conditional on config.<br> - migrate docking media, conditional on config.<br> - migrate emergency tones, conditional on cdma.<br> - move all boilerplate preference  -  setting plumbing into a separate helper.<br> - since some preferences in other sounds are now conditional, create a special indexer for searching.<br> - remove soundsettings (and xml) create aliases in the manifest to avoid breaking shortcuts.<br> bug:15279526 change-id: i5ae3ecda2f899b1948f7908bd217a799326c2c56	2	-2	 7885[0] commit[0] 4e4cdeffdb6087c953f44808f14f18554a749bda[0] settings[0] remove[0] sound[0] settings[0] [[Sentence=-1,1=word max, 1-5]] move[0] the[0] remaining[0] conditional[0] preferences[0] into[0] the[0] combined[0] sound[0] &[0] notifications[0] screen[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] other[0] sounds[0] sub[0] settings[0] screen[0] to[0] provide[0] a[0] home[0] for[0] the[0] new[0] preferences[0] [[Sentence=-1,1=word max, 1-5]] migrate[0] docking[0] sounds[0] conditional[0] on[0] config[0] [[Sentence=-1,1=word max, 1-5]] migrate[0] docking[0] media[0] conditional[0] on[0] config[0] [[Sentence=-1,1=word max, 1-5]] migrate[0] emergency[-1] tones[0] conditional[0] on[0] cdma[0] [[Sentence=-2,1=word max, 1-5]] move[0] all[0] boilerplate[0] preference[0] setting[0] plumbing[0] into[0] a[0] separate[0] helper[0] [[Sentence=-1,1=word max, 1-5]] since[0] some[0] preferences[0] in[0] other[0] sounds[0] are[0] now[0] conditional[0] create[0] a[0] special[1] indexer[0] for[0] searching[0] [[Sentence=-1,2=word max, 1-5]] remove[0] soundsettings[0] and[0] xml[0] create[0] aliases[0] in[0] the[0] manifest[0] to[0] avoid[-1] breaking[0] shortcuts[0] [[Sentence=-2,1=word max, 1-5]] bug[0] :15279526[0] change[0] id[0] i5ae3ecda2f899b1948f7908bd217a799326c2c56[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
8061 commit eac9c273dc23fb4eeae17ff2db07ce01325d6bc6 merge: a7dc76f 5160536 merge "code refactoring" 	8061 commit eac9c273dc23fb4eeae17ff2db07ce01325d6bc6 merge: a7dc76f 5160536 merge "code refactoring"	1	-1	 8061[0] commit[0] eac9c273dc23fb4eeae17ff2db07ce01325d6bc6[0] merge[0] a7dc76f[0] 5160536[0] merge[0] code[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8062 commit 5160536df91bb9daa6cac9a878ce406deda791c6 code refactoring - move toggleswitch to the widget package change-id: id277fc11c78363bf7d7b229ef9ae91c1ec5d6774 	8062 commit 5160536df91bb9da6cac9a878ce406deda791c6 code refactoring - move toggleswitch to the widget package change-id: id277fc11c78363bf7d7b229ef9ae91c1ec5d6774	1	-1	 8062[0] commit[0] 5160536df91bb9daa6cac9a878ce406deda791c6/5160536df91bb9da6cac9a878ce406deda791c6[0] code[0] refactoring[0] move[0] toggleswitch[0] to[0] the[0] widget[0] package[0] change[0] id[0] id277fc11c78363bf7d7b229ef9ae91c1ec5d6774[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
