Extract Method	Translation	Positive	Negative	EmotionRationale
60 commit d6301e103252f4d028e3382e613c3ae8289fe74f refactor #8068 to enable support for portlets 	60 commit d6301e103252f4d028e3382e613c3ae8289fe74f refactor #8068 to enable support for portlets	1	-1	 60[0] commit[0] d6301e103252f4d028e3382e613c3ae8289fe74f[0] refactor[0] #8068[0] to[0] enable[0] support[0] for[0] portlets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
779 commit b07685803847c8fab69fe5cce887acfc0a288157 refactored based on review (#6420) svn changeset:21204 branch:6.6 	779 commit b07685803847c8fab69fe5cce887acfc0a288157 refactored based on review (#6420) svn changeset:21204 branch:6.6	1	-1	 779[0] commit[0] b07685803847c8fab69fe5cce887acfc0a288157[0] refactored[0] based[0] on[0] review[0] (#6420[0] svn[0] changeset[0] :21204[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
825 commit 55419885087453ffc4a711b22e96c1de565789af refactored span size calculation to use the same core method for both rows and cols in preparation for actual #5868 change svn changeset:20884 branch:6.7 	825 commit 55419885087453ffc4a711b22e96c1de565789af refactored span size calculation to use the same core method for both rows and cols in preparation for actual #5868 change svn changeset:20884 branch:6.7	1	-1	 825[0] commit[0] 55419885087453ffc4a711b22e96c1de565789af[0] refactored[0] span[0] size[0] calculation[0] to[0] use[0] the[0] same[0] core[0] method[0] for[0] both[0] rows[0] and[0] cols[0] in[0] preparation[0] for[0] actual[0] #5868[0] change[0] svn[0] changeset[0] :20884[0] branch[0] :6[0] .7[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
845 commit 2e386937e63c6db3afcbf5932de8a535fb7250c3 refactor of moving of items from one side to the other. use one setselectedindex instead of multiple invocations of setitemselected to fix problem with keyboard navigation in some browsers (#5683) svn changeset:20795 branch:6.7 	845 commit 2e386937e63c6db3afcbf5932de8a535fb7250c3 refactor of moving of items from one side to the other.<br> use one setselectedindex instead of multiple invocations of setitemselected to fix problem with keyboard navigation in some browsers (#5683) svn changeset:20795 branch:6.7	1	-2	 845[0] commit[0] 2e386937e63c6db3afcbf5932de8a535fb7250c3[0] refactor[0] of[0] moving[0] of[0] items[0] from[0] one[0] side[0] to[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]] use[0] one[0] setselectedindex[0] instead[0] of[0] multiple[0] invocations[0] of[0] setitemselected[0] to[0] fix[0] problem[-1] with[0] keyboard[0] navigation[0] in[0] some[0] browsers[0] (#5683[0] svn[0] changeset[0] :20795[0] branch[0] :6[0] .7[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1544 commit e74c43578e82988f8e38b488eeba30d5b1d6f897 #6527 container refactoring: partly encapsulate abstractinmemorycontainer.allitemids() svn changeset:17606 branch:6.6 	1544 commit e74c43578e82988f8e38b488eeba30d5b1d6f897 #6527 container refactoring: partly encapsulate abstractinmemorycontainer.<br>allitemids( svn changeset:17606 branch:6.6	1	-1	 1544[0] commit[0] e74c43578e82988f8e38b488eeba30d5b1d6f897[0] #6527[0] container[0] refactoring[0] partly[0] encapsulate[0] abstractinmemorycontainer[0] [[Sentence=-1,1=word max, 1-5]] allitemids[0] svn[0] changeset[0] :17606[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1554 commit dfdb672263973efe7761269b0b564b0c711531d8 #6527 container refactoring: move most of in-memory container filtering code to superclass svn changeset:17580 branch:6.6 	1554 commit dfdb672263973efe7761269b0b564b0c711531d8 #6527 container refactoring: move most of in-memory container filtering code to superclass svn changeset:17580 branch:6.6	1	-1	 1554[0] commit[0] dfdb672263973efe7761269b0b564b0c711531d8[0] #6527[0] container[0] refactoring[0] move[0] most[0] of[0] in[0] memory[0] container[0] filtering[0] code[0] to[0] superclass[0] svn[0] changeset[0] :17580[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1579 commit db1287079742a46ce63b65e79998882153291fa1 minor refactoring in abstractbeancontainer: eliminate duplicated code for bean id resolving svn changeset:17538 branch:6.6 	1579 commit db1287079742a46ce63b65e799882153291fa1 minor refactoring in abstractbeancontainer: eliminate duplicated code for bean id resolving svn changeset:17538 branch:6.6	2	-1	 1579[0] commit[0] db1287079742a46ce63b65e79998882153291fa1/db1287079742a46ce63b65e799882153291fa1[0][+0.6 MultipleLetters] minor[0] refactoring[0] in[0] abstractbeancontainer[0] eliminate[0] duplicated[0] code[0] for[0] bean[0] id[0] resolving[1] svn[0] changeset[0] :17538[0] branch[0] :6[0] .6[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1588 commit 22758fabe1f45ad474c045c3e0874a7fa4ffed80 #6527 preparative refactoring in indexedcontainer: rename field, access another field with private accessors. svn changeset:17515 branch:6.6 	1588 commit 22758fabe1f45ad474c045c3e0874a7fa4ffed80 #6527 preparative refactoring in indexedcontainer: rename field, access another field with private accessors.<br> svn changeset:17515 branch:6.6	1	-1	 1588[0] commit[0] 22758fabe1f45ad474c045c3e0874a7fa4ffed80[0] #6527[0] preparative[0] refactoring[0] in[0] indexedcontainer[0] rename[0] field[0] access[0] another[0] field[0] with[0] private[0] accessors[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :17515[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1902 commit a729ad78e5e4d08523fb700961bfe6aece5766ac refactored fix for #6142 svn changeset:16479 branch:6.5 	1902 commit a729ad78e5e4d08523fb700961bfe6aece5766ac refactored fix for #6142 svn changeset:16479 branch:6.5	1	-1	 1902[0] commit[0] a729ad78e5e4d08523fb700961bfe6aece5766ac[0] refactored[0] fix[0] for[0] #6142[0] svn[0] changeset[0] :16479[0] branch[0] :6[0] .5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2029 commit 12771728abc819a923107073f651c77b4d8b1f9a refactor beanitemcontainer, splitting out the superclass abstractbeancontainer that does not assume that the item ids are the beans. addresses #5713 (partly) beanitemcontainer should not require the bean to implement equals() and hashcode() in a certain way #5233 and #5946 collection constructor of beanitemcontainer is problematic svn changeset:16162 branch:6.5 	2029 commit 12771728abc819a923107073f651c77b4d8b1f9a refactor beanitemcontainer, splitting out the superclass abstractbeancontainer that does not assume that the item ids are the beans.<br> addresses #5713 (partly) beanitemcontainer should not require the bean to implement equals( and hashcode( in a certain way #5233 and #5946 collection constructor of beanitemcontainer is problematic svn changeset:16162 branch:6.5	1	-2	 2029[0] commit[0] 12771728abc819a923107073f651c77b4d8b1f9a[0] refactor[0] beanitemcontainer[0] splitting[0] out[0] the[0] superclass[0] abstractbeancontainer[0] that[0] does[0] not[0] assume[0] that[0] the[0] item[0] ids[0] are[0] the[0] beans[0] [[Sentence=-1,1=word max, 1-5]] addresses[0] #5713[0] partly[0] beanitemcontainer[0] should[0] not[0] require[0] the[0] bean[0] to[0] implement[0] equals[0] and[0] hashcode[0] in[0] a[0] certain[0] way[0] #5233[0] and[0] #5946[0] collection[0] constructor[0] of[0] beanitemcontainer[0] is[0] problematic[-1] svn[0] changeset[0] :16162[0] branch[0] :6[0] .5[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
